¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Quod si fractura ossis iam peruenit ad panniculum tangentem cerebrum, et est cum minutiis, et attractione: tunc oportet, ut incidas partem comminutam, et attritam, secundum quod narro tibi.	But if the bone fracture has already reached the membrane touching the brain, and is accompanied by fragments and pulling, then you must cut away the shattered and damaged part, as I instruct you.
Et est, ut radas caput uulnerati: et detege super os secundum quemcunque modum possibile est tibi: et secundum figuram uulneris, et quod leue est super infirmum.	This means you shave the head of the wounded: and expose the bone in whatever way possible for you, according to the shape of the wound, and whatever is least distressing for the patient.
Quod si accidat tibi apud detectionem ossis fluxus sanguinis, aut apostema calidum: tunc oppone ei cum eo quod oportet.	If, upon exposing the bone, there occurs a flow of blood, or a warm swelling, then apply what is necessary to it.
Et est, ut impleas locum cum pannis infusis in uino, et oleo rosato: et facias quiescere uulnus, donec sedetur apostema, et sis securus a fluxu sanguinis.	This is to fill the area with cloths soaked in wine and rose oil: and you let the wound rest until the swelling subsides, and you are safe from bleeding.
Deinde incipe in curatione ossis, et ablatione eius.	Then begin treating the bone, and removing it.
Et illud fit secundum unum duorum modorum.	And this is done according to one of two methods.
Modus quidem unus est, ut incidas os cum Incisorio strictae aciei: et haec est forma eius.	One method is to cut the bone with a knife of sharp edge: and this is its form.
Deinde administra Incisorium aliud post Incisorium latius eo parumper: et haec est forma eius.	Then use another knife after the first, slightly wider than it: and this is its form.
Deinde administra etiam Incisorium aliud latius etiam quam secundum.	Then use yet another knife, even wider than the second.
Et modus secundus est, ut sit apud te numerus Incisoriorum diuersorum: quorum quaedam sint latiora quibusdam, et quaedam eorum breuiora quibusdam: et sint in ultimo acuitatis extremitatum suarum, et sint ex ferro indo, aut fuled: et utere facilitate in percussione super Incisorium, ut non concutiat caput, et laedat ipsum.	And the second method is that you have a number of different knives: some of which are wider than others, and some shorter than others; and let the ends of their tips be sharp, and let them be made of Indian steel or hardened steel: and strike lightly upon the knife, so that it does not shake or injure the head.
Si autem os est forte, durum: tunc oportet, ut perfores in circumitu eius, antequam tu administres Incisoria, cum Terebris quae nominantur Terebra non profundantia: et non nominantur ita, nisi quoniam ipsa non pertranseunt terminum ossis carnei ad illud, quod est post ipsum: propterea, quod Terebro est extremitas rotunda super illud, quod est sub capite eius acuto, similis margini, et circulus paruus prohibet submergi, et pertransire spissitudinem ossis.	But if the bone is strong and hard, then you must drill around it, before you apply the knives, with drills called "non-penetrating drills": and they are called this because they do not go past the boundary of the bone to the tissue behind it; for the drill has a rounded end over the sharp head, like a border, and a small ring prevents it from going deep and passing through the thickness of the bone.
Et conuenit tibi, ut accipias ex istis Terebris numerum multum, quorum unumquodque conueniat quantitati spissitudinis ossis, donec praesens sit tibi omni craneo Terebrum: cuius extremitatis acutae quantitas in longitudine et breuitate sit, secundum quantitatem spissitudinis illius cranei.	And it is suitable for you to take a large number of these drills, each corresponding to the thickness of the bone, so that for any skull you have the appropriate drill: with the length and width of its sharp tip matching the thickness of that skull.
Et haec est forma trium specierum Terebrorum, uel Trepanorum.	And this is the form of three types of drills, or trepans.
Qualitas autem perforandi in circumitu ossis fracti, est: ut ponas Terebrum super os, et reuoluas ipsum digitis tuis, donec scias, os iam penetratum esse.	The manner of drilling around the broken bone is to place the drill on the bone, and rotate it with your fingers, until you know that the bone is already penetrated.
Deinde permuta Terebrum ad locum alium, et pone quod est inter omne foramen quantitatem grossitudinis radii, aut circiter illud.	Then move the drill to another spot, and place between each hole the width of a finger, or about that distance.
Deinde incide cum Incisoriis quod est inter omne foramen ex osse: et fac illud subtilius quam potes super illud ex fine leuitatis, sicut diximus, donec eradices os, aut manu tua, aut cum aliquo alio ex quibusdam instrumentis, quae parasti ad illud: sicut tenaliae, et forpices subtiles.	Then cut with the knives the bone between each hole: and do this as finely as you can, with gentle precision, as we said, until you remove the bone either by hand or with some other instrument you have prepared for this: like small forceps and fine scissors.
Et oportet, ut caueas omni cautela, ne tangat Terebrum, aut Incisorium aliquid ex siphac.	And you must take every caution that the drill or knife does not touch any part of the membrane.
Cum ergo circumieris os perforando, et separatum fuerit a siphac, si fuerit continuum cum eo, et extraxeris ipsum, oportet ut radas, et aeques extremitatem eius quod remanet in osse cum instrumento alio simili Incisorio.	When you have drilled around the bone, and it has been separated from the membrane, if it is attached to it and you have removed it, you should shave and smooth the edge of what remains in the bone with another instrument similar to a knife.
Verumtamen oportet, ut sit tenuis et subtilis magis aliis Incisoriis.	However, it should be thinner and more delicate than the other knives.
Quod si remanet aliquid ex ossibus paruis, et satagiae: tunc accipe ea cum facilitate, cum eo quod est apud te ex instrumentis.	If there remain any small bones or fragments, then remove them carefully with whatever instrument you have at hand.
Deinde cura uulnus post illud cum liciniis, et unguentis quae diximus.	Then treat the wound afterward with lint and ointments as we have described.
Et modus alius operationis est facilis, prorsus longinquus a timore: quem dixit Galenus, et laudauit ipsum laude magna: et iste est sermo eius.	And another method of operation is easy, entirely free from fear: which Galen mentioned and praised highly, and this is his description.
Necese est tibi in primis, ut incipias detegere partem ossis ex loco, in quo fractura est uehementior, et manifestior: donec quando detexeris illam partem, et posueris sub eo extremitatem huius Incisorii lenticularis, cuius haec est forma.	It is necessary for you to begin by exposing the part of the bone where the fracture is most severe and apparent: so that, when you have exposed that part, you place under it the end of this lenticular knife, of which this is the form.
Et pars lenticularis, lenis non incidit aliquid: et pars acuta eius in duabus lateribus eius uadens in longitudinem, sicut uides: ut sit pars lenticularis innixa ad siphac, facie eius incidente acuta in osse.	And the lenticular part, smooth, does not cut anything: and its sharp part goes lengthwise on two sides, as you see: so that the lenticular part rests upon the membrane, with its sharp side cutting the bone.
Deinde percute super Incisorium a parte una cum malleo paruo, donec incidas totum os cum facilitate, sicut reuoluitur: et tu sis securus ex panniculo, quod non accidat in eo accidens, quod timeas prorsus.	Then strike on one side of the knife with a small hammer, until you cut the whole bone with ease, as it rotates: and you can be certain regarding the membrane, that nothing will happen to it that would cause you fear at all.
Et si medicans non esset stultior hominum, et magis ignarus eius, nec esset dormiens, tunc si remaneret aliquid annexum ossi ex panniculo in quibusdam locis, incideret ipsum ab eo cum extremitate incisorii lenticularis ipsius, et liberaret ipsum ab eo cum facilitate.	And if the doctor were not the most foolish or ignorant of men, nor asleep, then if anything from the membrane remained attached to the bone in certain places, he would cut it away from there with the tip of his lenticular knife, and free it from there with ease.
Liberatur enim ab eo sine nocumento, et absque timore.	For it is freed from it without harm, and without fear.
Et si fractura ossis non penetret usque ad panniculum, et illud quod abscinditur ab osse est facies eius, et remanent in ipso asperitas et satagiae subtiles: tunc oportet, ut radas illam asperitatem, et eradices illas satagias cum rasoriis subtilibus ex quibus praeparasti numerum diuersarum quantitatum, ut sit tibi possibile administrare ex eis in omni loco conuenientiora eorum, et rectiora ipsorum, secundum illud ad quod perducit te operatio, et ipsum os fractum, et figura eius.	And if the fracture of the bone does not reach the membrane, and what is removed from the bone is its surface, and slight roughness and small fragments remain on it: then it is necessary to shave that roughness and remove those fragments with fine rasps, of which you have prepared a number in various sizes, so that you are able to use whichever is most suitable and appropriate in every place, according to what the operation leads you to and the shape of the broken bone.
Et oportet, ut administres in rasione tua, qua in primis radis os, latius illorum rasoriorum.	And you should begin your rasping with the widest of those rasps.
Deinde utere post ipsum subtiliore eo.	Then use after it one that is finer.
Et non cesses facere illud secundum continuitatem, donec peruenias ad administrandum tenuius, et subtilius eorum omnium.	And do not stop doing this in sequence, until you reach using the finest and most delicate of them all.
In unaquaque autem fissurarum reliquarum paruarum capillarium, et fractura subtili, oportet ut administres curam, secundum illud quod perducit ad rectificationem eius.	And in each of the remaining small cracks or hairline fractures, and in slight fractures, it is necessary to apply care according to what will bring it to proper alignment.
Et est res quae non occultatur super omnem, cui in hac arte est quodlibet studium, et stetit super illud quod scripsimus, et ostendimus in fracturis magnis.	And this is something that is not hidden from anyone who has any experience in this art and has followed what we have written and demonstrated regarding major fractures.
Si autem panniculus detectus retinetur, quando tu eradicas os: tunc oportet, ut accipias pannum lini, secundum quantitatem uulneris, et submerge ipsum in oleo rosa, et pone ipsum super orificium uulneris.	But if the exposed membrane remains intact when you remove the bone, then you should take a linen cloth, according to the size of the wound, and soak it in rose oil, and place it over the opening of the wound.
Deinde accipe pannum alium duplicatum, aut triplicatum, et submerge ipsum in uino et oleo rosa, et pone ipsum super pannum primum: et fac illud quam facilius potes super illud, ut non grauetur siphac.	Then take another cloth folded double or triple, and soak it in wine and rose oil, and place it over the first cloth: and do this as gently as you can over it, so that the membrane is not burdened.
Deinde administra supra ipsum ligamentum latum: et non stringas ipsum, nisi per quantitatem quae teneat uulnus tantum: et dimitte ipsum cum hac cura die uno, aut diebus duobus, donec sis securus ab apostemate calido.	Then place a wide bandage over it: and do not tighten it, except to the degree that it holds the wound only: and leave it with this care for a day or two, until you are free from the risk of a hot abscess.
Deinde solue ipsum, et administra post illud medicinas cum quibus est superflua siccitas: sicut radices lilii, et farina herbi, et puluis thuris, et aristolochia, et similia eis: et est, ut facias ex istis medicinis puluerem, qui puluerizetur super uulnus sicut sunt siccae.	Then loosen it, and afterwards apply medicines that provide excess dryness: such as lily roots, flour of herbs, frankincense powder, birthwort, and the like: and you should make a powder from these medicines, which is sprinkled over the wound while they are dry.
Et uniuersaliter administra in illo omnem medicinam de proprietate cuius est ut abstergat, et non mordicet.	And generally, administer any medicine to it whose property is to cleanse without biting.
Et caue secundum tuam uirtutem, ut uulnus in curatione tua sit limpidum: neque sit in ea sordes unguenti, neque sordicies.	And take care, to the best of your ability, that the wound in your treatment remains clear: let there be no filth of ointment or foulness.
Neque dimittas uirus aggregari in eo omnino: quoniam quando uirus aggregatur super panniculum cerebri, corrumpit eum, et putrefacit ipsum, et accidit super infirmum post illud malicia magna: et iam accidit in siphac capitis, cum mundificatur ab eo os, praecipue quando negligitur cura eius, nigredo in superficie eius.	Do not allow any pus to gather there at all: for when pus gathers over the cerebral membrane, it corrupts it and decays it, and a great affliction befalls the patient afterward: and it has already happened in the membrane of the head, when the bone is cleaned from it, especially when its care is neglected, that blackening occurs on its surface.
Considera ergo tunc, si accidunt infirmo accidentia quae diximus, scias, quia est pernitiosum proculdubio.	Therefore, consider then, if the patient suffers from the symptoms we have mentioned, you will know without a doubt that it is dangerous.
Et si nigredo non accidit, nisi a medicina quae ponitur super ipsum, et est in uirtute illius medicinae, ut faciat illam nigredinem: tunc oportet, ut accipias ex melle partem unam, ex oleo rosato partes tres, et linias cum eis pannum.	And if blackening occurs only from the medicine applied to it, and it is in the power of that medicine to cause that blackening, then it is necessary to take one part of honey, three parts of rose oil, and dip a cloth in them.
Deinde pone ipsum super siphac: postea cura ipsum cum speciebus curationis quae conueniunt, donec sanetur.	Then place it over the membrane: afterwards, treat it with appropriate healing substances until it heals.
¶ De restauratione Nasi quando frangitur.	On the restoration of the nose when it is broken.
Caput IIII.	Chapter IV.
Scias, quod non franguntur ex Naso nisi duae partes eius superiores simul, aut una earum: propterea, quod ipse sunt duo ossa: quoniam inferius eius est cartilaginosum, non frangitur, et non accidit ei nisi attritio, et tortuositas, et simitas.	Know that only two upper parts of the nose can break together, or one of them: this is because it consists of two bones, since the lower part is cartilage, it does not break, but only suffers abrasion, twisting, and bending.
Si frangitur una duarum partium eius, tunc oportet, ut intromittas digitum paruum in foramen Nasi, et aeques illam fracturam digito tuo indice, et pollice deforis, donec redeat Nasus super figuram suam naturalem: et fiat illud arte, cum facilitate.	If one of its two parts is broken, then you should insert your little finger into the nasal cavity and align the fracture with your index finger and thumb from the outside, until the nose returns to its natural shape: and this should be done skillfully, with ease.
Et caue, ne accidat per operationem tuam illam super infirmum dolor.	And be careful that no pain is caused to the patient by your operation.
Quod si fractura est in superiore parte Nasi, et non perueniat ad illam digitus: tunc oportet, ut aequetur extremitate radii, in quo sit grossitudo parua.	But if the fracture is in the upper part of the nose and your finger cannot reach it, then it should be aligned with the end of a rod, which has a small thickness.
Si uero fractura est in duabus partibus, tunc fac simile illius: et propera cum restauratione eius in die primo fracturae, si est possibile.	If the fracture is in both parts, then do the same: and hasten to restore it on the first day of the fracture, if possible.
Et si non, tunc post diem septimum, aut decimum apud quietem apostematis calidi.	If not, then after the seventh or tenth day, when the swelling has calmed.
Deinde intromitte in extremitate Nasi licinium ex panno lini, si fractura est in parte una: aut intromite duo licinia si fractura est in duabus partibus: et sit in licinio grossitudo tantae quantitatis, quae impleat foramen Nasi.	Then insert into the end of the nose a linen strip if the fracture is in one part, or two strips if the fracture is in both parts: and let the strip have enough thickness to fill the nasal cavity.
Et dixerunt quidam antiquorum restauratorum, ut infundantur licinia in butyro, et permutentur omni die.	And some of the restorers of old have said that the strips should be soaked in butter and changed every day.
Illud uero non uidetur mihi, imo oportet, ut infundatur licinium in albugine oui, confecto cum puluere molendini.	However, this does not seem advisable to me; rather, the strip should be soaked in egg white, prepared with millstone powder.
Deinde dimitte licinium, donec firmetur os, et induretur cartilago.	Then leave the strip in place until the bone sets and the cartilage hardens.
Et quandoque intromittitur in Nasum loco licinii penna anseris, postquam inuoluitur super ipsam pannus lenis: et fit, quod ipsa tenet fracturam Nasi uehementius, et ut non prohibeatur infirmus ab inspiratione.	Sometimes, instead of a strip, a goose feather wrapped with a soft cloth is inserted into the nose, which holds the nasal fracture more firmly and does not prevent the patient from breathing.
Et non est haec res necessaria.	But this is not necessary.
Si uis, fac illud: et si uis, fac licinia.	If you wish, do this; or if you wish, use the strips.
Quod si accidat Naso iterum dum operaris apostema calidum, emplastra nasum cum caeroto, aut cum coto infuso in oleo rosato, aut modico ex dyaquilon.	If, while you are operating, the nose becomes swollen, then plaster the nose with cerate, or with cotton soaked in rose oil, or a little diachylon.
Si autem non accidit apostema calidum, tunc oportet, ut emplastres ipsum cum farina sisami, et puluere thuris confecti cum albugine oui.	If no swelling occurs, then you should plaster it with sesame flour and frankincense powder mixed with egg white.
Deinde pone super ipsum stuppam lenem, et non liges Nasum cum aliquo omnino.	Then place soft tow on it, and do not bind the nose with anything at all.
Si uero franguntur ossa Nasi fractura parua, aut comminuuntur, tunc oportet, ut scindas super ea, et extrahas ipsa cum instrumentis quae conueniunt eis.	If the nasal bones are fractured into small pieces or are crushed, then you must make an incision over them and extract them with suitable instruments.
Deinde sue scissuram, et cura ipsum cum eo quod incarnat, et consolidat ex emplastris conuenientibus ad illud, uel unguentis.	Then suture the incision, and treat it with something that encourages flesh growth and consolidates it, using suitable plasters or ointments.
Quod si accidat inter Nasum uulnus, tunc oportet, ut cures ipsum cum liciniis: et administres cannulam de plumbo, donec sanetur.	If a wound occurs between the nose, then it should be treated with strips, and a lead tube should be used until it heals.
¶ De restauratione Mandibulae inferioris, quando disrumpitur.	On the restoration of the lower jaw when it is fractured.
Caput V.	Chapter V.
Quando disrumpitur Mandibula inferior, et fractura eius non est cum uulnere: conspice tunc si est fractura eius deforis tantum, et non frangitur in duo, et curuatur ad interiora: tunc cognitio eius est facilis.	When the lower jaw is fractured, and the fracture is not accompanied by a wound: then observe if the fracture is only on the outside and not split in two, and if it bends inward: in that case, its diagnosis is easy.
Oportet ergo, si est fractura eius in parte dextra, ut intromittas digitum indicem sinistrae in os infirmi: similiter si fractura est in mandibula sinistra, tunc intromitte indicem manus dextrae: et impelle cum eo gibbositatem fracturae deintus cum facilitate ad exteriora cum manu tua altera ab interiori parte ossis decenter, et cum eo aequa ipsam.	Therefore, if the fracture is on the right side, you should insert the index finger of your left hand into the patient’s mouth; similarly, if the fracture is on the left side of the jaw, then insert the index finger of your right hand; and with it, gently push the bump of the fracture from the inside toward the outside, using your other hand from the inner side of the bone to align it properly.
Quod si fractura mandibulae iam separata est in duo, tunc oportet, ut administres extersionem a duabus partibus, secundum rectitudinem: donec possibilis sit aequatio eius.	But if the jaw fracture is already separated into two, then you should manage the cleaning of both parts, aligning them as straight as possible until adjustment is achievable.
Si autem iam accidit in dentibus commotio, aut disruptio: tunc stringe illos de quibus speras quod remaneant cum filo auri, aut argenti, aut seta.	If any teeth have already become loose or dislodged, then secure those which you believe will stay in place with a gold, silver, or silk thread.
Deinde pone super mandibulam fractam caerotum.	Then apply cerate over the fractured jaw.
Deinde pone super ipsum pannum duplicatum, et pone super pannum astellam magnam decenter factam: aut frustum cutis soleae aequale, in longitudinem mandibulae.	Then place a folded cloth over it, and place a large splint properly made on the cloth, or a piece of leather of equal length to the jaw.
Deinde liga ipsum desuper, secundum quod praeparatur tibi ligatura eius, et conuenit ipsius applicatio, donec non destruitur: et praecipe infirmo, uti tranquillitate et quiete: et pone cibum eius sorbitiones lenes.	Then bind it from above, according to how the bandage has been prepared for you, so that it is appropriately applied and does not move; and instruct the patient to rest quietly: and provide them with soft broths for nourishment.
Si autem estimas, quod iam alteratur aliquid figurae aliquo modorum: tunc propera, et solue ipsum in die tertio.	If you think that some part of its shape has already changed in any way, then hasten and loosen it on the third day.
Deinde rectifica quod alteratum est ex eo, et emplastra ipsum ex puluere molendini, cum albugine oui, aut cum farina sisami, postquam tu abstuleris caerotum: et pone super emplastrum lanam lenem.	Then correct what has been altered, and apply a plaster made of millstone powder with egg white, or with sesame flour, after you have removed the cerate: and place soft wool over the plaster.
Dum ergo permanet annexum illud emplastrum super ipsum, et non alteratur ossis dispositio, dimitte ipsum, ne soluas, donec sanetur: aut stringe fracturam.	As long as the plaster remains attached over it and the bone’s alignment does not change, leave it undisturbed; do not loosen it until it heals: or tighten the fracture.
Multotiens enim stringitur haec fractura in tribus septimanis.	For often this fracture is set within three weeks.
Quod si interim accidat apostema calidum, tunc administra illud quod diximus multotiens in sedatione eius, donec remoueatur illud apostema.	If a hot swelling occurs in the meantime, then apply what we have frequently mentioned to alleviate it, until the swelling subsides.
Et si fractura est cum uulnere, considera.	And if the fracture is accompanied by a wound, consider it.
Namsi iam separatur ex osse frustum, aut a satagie: tunc subtilia te in hoc, ut auferas illa frusta satagiae cum eo quod conuenit tibi in ablatione eorum ex instrumentis.	For if a piece of bone or splinter is already separated, then proceed carefully to remove those bone fragments with the instruments suitable for their extraction.
Si uero orificium uulneris est strictum, tunc amplifica ipsum cum phlebotomo secundum quantitatem necessitatis tuae.	But if the wound opening is narrow, then enlarge it with a lancet according to your need.
Deinde quando abstuleris illa satagie, et non remanserit ex eis aliquid, sue tunc orificium uulneris, si est amplum: et si non, pone super ipsum ex emplastris quae conueniunt ad illud, et incarnant illud, donec sanetur.	Then, when you have removed those splinters and none remain, suture the wound opening if it is large; if not, apply plasters suitable for it that encourage flesh growth until it heals.
¶ De restauratione Furculae, quando frangitur.	On the restoration of the clavicle when it is fractured.
Caput VI.	Chapter VI.
Plurimum quidem frangitur Furcula ab anteriore parte ex parte humeri, et fractura eius fit secundum unum trium modorum.	The clavicle is most often fractured from the front, near the shoulder, and its fracture occurs in one of three ways.
Aut enim frangitur et separatur in duo, praeter quod accidant in ea satagiae: et est facilius ad restaurationem eius.	Either it is fractured and split into two without splinters occurring; this is the easiest type to restore.
Aut ita, quod accidunt in osse satagiae: et est difficilius ad restaurationem.	Or it occurs with splinters in the bone; this is more difficult to restore.
Aut ita, quod est fractura cum uulnere.	Or it occurs as a fracture with an accompanying wound.
Et operatio in ea quando fractura est absque uulnere, est, ut facias praesentes esse duos ministros, ut teneat unus eorum adiutorium quod sequitur Furculam fractam, et alter extendat collum uersus partem.	When the fracture is without a wound, the procedure is to have two assistants present, one to hold support near the fractured clavicle, and the other to extend the neck toward that side.
Deinde aequa fracturam digitis tuis, donec fiat forma eius, secundum quod oportet: et non sit in ea eminentia, neque concauitas.	Then align the fracture with your fingers until it takes its proper shape; let there be no bump or hollow.
Quod si indiges extensione plus, tunc oportet, ut ponas sub titillico infirmi spheram ex panno, aut lana: et sit magnitudo eius secundum quantitatem necessitatis tuae: et extende, et eleua Furculam, et coarta spheram manu tua, donec aeques fracturam, secundum quod oportet.	If you need more extension, then you should place a ball of cloth or wool under the patient’s armpit, its size according to your needs; extend, raise the clavicle, and press the ball with your hand until you align the fracture as required.
Quod si non potes trahere extremitatem Furculae ad exteriora: propterea, quia peruenit ad profundum: tunc oportet, ut resupinetur infirmus super ceruicem suam: et ponas sub humero eius puluinar medium in magnitudine, et premat minister humerum eius ad inferiora, donec eleuetur os Furculae quod est in profundo ad sursum: atque tunc rectifica fracturam, et aequa eam digitis tuis.	If you cannot pull the end of the clavicle outward because it lies too deep, then the patient should be laid back on their neck, and you should place a medium-sized pillow under their shoulder, and the assistant should press down on their shoulder until the clavicle bone, which is deep, rises upward; then set the fracture and align it with your fingers.
Si autem sentis sathaiatum ex Furcula, et mouetur: tunc oportet, ut findas super illud, et extrahas ipsum alsathaiatum cum facilitate.	If you feel a splinter in the clavicle and it moves, then you should make an incision over it and carefully remove the splinter.
Si autem est retentum in osse, tunc ingenia in incisione eius cum uno Incisoriorum quae praeparasti ad illud, postquam tu posueris sub Furcula instrumentum quod seruat sifach: et est instrumentum ex ligno, aut ex ferro.	But if it is lodged in the bone, then proceed with the incision using one of the chisels you have prepared for this, after you have placed under the clavicle an instrument called a “sifach support,” which is a tool made of wood or iron.
Et haec est forma eius.	And this is its shape.
Assimilatur cochleari cui non est concauitas.	It resembles a spoon without a concavity.
Et sit latitudo eius secundum illud quo indiges eo ex magnitudine ossis, et paruitate eius.	Its width should match what you need, depending on the size and thickness of the bone.
Longitudo uero eius etiam secundum quod possibile est tibi ad operationem.	Its length should be as long as is practical for the procedure.
Et habeat duas extremitates, sicut uides: et extremitas una sit ampla, et altera stricta.	It has two ends, as you see: one end is wide, and the other narrow.
Si autem disruptio uulneris quod scidisti quando extraxisti sathaiatum ossis, est ampla, et securaris ab apostemate calido: tunc aggrega duo labia uulneris cum sutura.	If the wound you incised to remove the bone splinter is wide, and you are free from concern about a hot swelling, then bring together the two edges of the wound with a suture.
Et si disruptio est parua, aut times apostema calidum: tunc imple uulnus cum pannis, et puluillis secundum quantitatem scissurae uulneris.	If the wound is small or you fear a hot swelling, then fill the wound with cloths and small pads according to the size of the wound incision.
Quod si accidat apostema calidum, tunc infunde pannum in oleo rosato, et aceto, et uino, et pone super ipsum.	If a hot swelling occurs, then soak a cloth in rose oil, vinegar, and wine, and place it over the area.
Strictura uero ossis quando est absque uulnere, et absque sectione, est, ut ponas super os emplastrum factum ex farina molendini cum albugine oui.	If the bone needs setting without a wound and without an incision, place over the bone a plaster made of millstone flour with egg white.
Et pone stuppam lenem super ipsum.	And place soft tow over it.
Deinde pone spheram sub titillico eius, si indiges illa.	Then place a ball under the armpit if you need it.
Deinde accipe himematem, id est, rotam quam tenent Saraceni, quae sit longa ualde: et sit latitudo eius palmi unius, aut circiter illud.	Then take a himematem, that is, a wheel held by the Saracens, which is very long and about the width of a palm or close to it.
Deinde pone puluillum duplicatum super stuppam et emplastrum.	Then place a folded pad over the tow and plaster.
Deinde accipe astellam ex tabula subtili, cuius latitudo sit trium digitorum, et in longitudine similiter.	Then take a splint made from a thin board, about three fingers wide and of similar length.
Deinde inuolue eam in panno.	Then wrap it in cloth.
Deinde inuolue pannum illum cum astella in loco alhimemati qui cadit super fracturam et locum.	Then wrap that cloth and splint in place with the himematem over the fracture site and location.
Deinde pone alhimemati super fracturam sicut reuoluiur, et inuolue eam super collum eius, et sub titillico eius sano, et sub titillico eius infirmo: et reduc eam super omnem partem, et quomodo uides quod strictura tenet fracturam strictura decenti: et est illud, quod non occultatur super te, et totum, ut non remoueatur astella desuper os fractum.	Then place the himematem over the fracture as it wraps around, and wind it over the patient’s neck, under the healthy armpit, and under the injured armpit; adjust it around so that the binding holds the fracture in a fitting way. This is what will ensure the splint is not removed from above the fractured bone.
Et propter hoc oportet, ut aspicias infirmum in omni die.	For this reason, you must check the patient every day.
Quotiens ergo mollificatur ligamentum, et uides astellam iam remoueri: tunc rectifica illud, et stringe ligamentum.	Whenever the bandage loosens and you see the splint has already shifted, then adjust it and tighten the bandage.
Deinde pone somnum infirmi super dorsum eius, et pone sub titillico eius apud somnum eius puluinar paruum in nocte, ut cum eo eleuetur adiutorium eius a latere ipsius.	Then place the patient's sleep on his back, and place a small cushion under his head near his sleep at night, so that his support is lifted from his side with him.
Eleuatur ergo fractura furculae per eleuationem humeri.	Thus, the fracture of the collarbone is raised by the elevation of the shoulder.
Aut liga brachium eius ad collum ipsius: et non soluas ligamentum, si non accidat in loco accidens ex pruritu, aut ab apostemate, usque ad duodecim dies.	Or tie his arm to his neck: and do not loosen the binding, unless an irritation or swelling occurs at the place, for up to twelve days.
Deinde renoua emplastrum, si uideris faciem eius ad illud.	Then renew the dressing if you see his face inclined toward it.
Et adde in strictura, et dimitte ipsum, donec restauretur et coaguletur.	And add to the compression, and leave it until it heals and hardens.
Et fractura quidem furculae stringitur et confortatur secundum plurimum in uigintiocto diebus: et quandoque fit in quibusdam hominibus in minore illo.	And indeed, the fracture of the collarbone is generally secured and strengthened in twenty-eight days: and sometimes it happens in some people in less time.
¶ De restauratione fracturae Spatulae.	¶ On the restoration of a shoulder blade fracture.
Caput VII.	Chapter VII.
Raro frangitur Spatula, et in loco lato eius: et non franguntur ex ea nisi margines eius.	The shoulder blade rarely fractures, and in its broad part: and only its edges break.
Quando ergo frangitur ex eo locus, et frangitur in medio eius, et non cognoscitur illud nisi per tactum: tunc secundum quod est figura fracturae conare praeparationem eius.	Therefore, when a part of it is broken, and it breaks in the middle, and it is only recognized by touch: then attempt its preparation according to the shape of the fracture.
Et reduc eam super figuram naturalem omni modo ingenii, quod est tibi possibile.	And restore it to its natural shape by every skillful means possible for you.
Deinde pone super locum puluerem molendini cum albugine oui, et stuppam lenem, et pone desuper puluillum ex panno duplato.	Then place mill dust with egg white on the spot, with soft wool, and place a cushion made of folded cloth over it.
Deinde pone super ipsum astellam latam ex tabula subtili secundum quantitatem Spatulae totius, aut ampliorem ea parum.	Then place over it a broad splint from a thin board according to the size of the entire shoulder blade, or slightly larger.
Si uero sub astella est concauitas in aliquo locorum Spatulae, tunc aequa illam concauitatem cum stuppa leni, donec descendat astella secundum aequalitatem.	But if there is a hollow under the splint in any part of the shoulder blade, then equalize that hollow with soft wool, until the splint aligns evenly.
Deinde ftringe desuper cum alhimemati longa, constrictione decenti, et firmitudine astellae, donec non remoueatur a loco suo.	Then bind it above with a long binding, with decent compression and firmness of the splint, until it does not move from its place.
Et considera ligamentum in omni die.	And inspect the binding every day.
Quotienscunque ergo mollificatur ligamentum, stringe ipsum, et aequa astellam si remoueatur a loco suo: et iaceat infirmus super latus suum sanum.	Therefore, whenever the binding loosens, tighten it, and align the splint if it has moved from its place: and let the patient lie on his healthy side.
Et Spatula quidem restauratur in uiginti diebus, aut in uigintiquinque diebus.	And the shoulder blade indeed heals in twenty days, or in twenty-five days.
Quando ergo completur iste numerus, tunc solue ligamentum: et tu sis in securitate.	When this number is complete, then loosen the binding: and you may be at ease.
Nam ipsa est ex ossibus quorum communitio non timetur, neque eorum solutio.	For it is one of the bones whose healing is not feared, nor its breaking apart.
Si autem procedat ex osse frustum, et pungit sub cute: tune scinde super ipsum, et aufer ipsum.	But if a piece protrudes from the bone and pierces under the skin: then cut above it and remove it.
Et fac quod diximus in fractura furculae ex sedatione apostematis calidi, si accidat ex eo aliquid.	And do what we said for the fracture of the collarbone regarding the calming of a hot swelling, if anything arises from it.
¶ De restauratione fracturae Pectoris.	¶ On the restoration of a chest fracture.
Caput VIII.	Chapter VIII.
Pectus quandoque frangitur in medio sui, et raro accidit illud.	The chest is sometimes fractured in the middle, and this rarely occurs.
Extremitates eius quidem plurimum franguntur, et comminuuntur ex accidentibus eius.	Indeed, its ends are mostly fractured and crushed due to accidents.
