¶ De restauratione fracturae ossium, quando est cum vulnere.	On the Restoration of Bone Fractures When There is Also a Wound
Deinde applica cum palma tua duo latera Genu eius cum fortitudine.	Then press both sides of his knee with your palm with strength.
Et minister alius extendat pedem eius, donec redeat Genu ad locum suum.	And another assistant extends his foot until the knee returns to its place.
Et signum reditionis est, ut adhaereat crus cum coxa in lenitate, non laboriose.	The sign of its return is that the leg joins with the hip smoothly, not with difficulty.
Deinde emplastra ipsum, et adhaerere fac crus cum coxa.	Then apply a plaster, and make the leg adhere to the hip.
Deinde liga ea simul cum uitta tribus diebus, aut quatuor.	Then bind them together with a band for three or four days.
Deinde solue ea.	Then loosen them.
Et non utatur infirmus ambulatione aliquot diebus, donec sanetur.	And the patient should not walk for a few days until it heals.
Si autem recusatur tibi reductio eius, tunc administra extensionem fortem cum ligamentis, quorum praecessit narratio in curatione anchae, donec redeat.	But if its reduction is resisted, then perform a strong extension with bands, as previously described in the treatment of the hip, until it returns.
¶ De curatione dislocationis Calcanei.	On the Treatment of the Dislocation of the Heel.
Caput XXXIIII.	Chapter 34.
Calcaneus quandoque remouetur remotione parua, et quandoque dislocatur secundum complementum.	The heel sometimes shifts slightly, and sometimes dislocates fully.
Et dislocatio eius fit, aut ad interiora, aut ad exteriora.	Its dislocation occurs either inward or outward.
Et signum dislocationis eius est, quod uides Calcaneum inflatum, procedentem ad partem ad quam dislocatur.	The sign of its dislocation is that you see the heel swollen, protruding toward the direction in which it is dislocated.
Curatio autem remotionis eius, est facilis reditionis: et est, ut extendatur cum facilitate cum manibus, et aequetur, donec redeat.	The treatment of its slight displacement is an easy reduction: it involves gentle extension with the hands, aligning it until it returns.
In curatione autem eius quando dislocatur secundum complementum, oportet, ut facias sedere infirmum rectum: et teneat ipsum minister fortis ualde a posteriori parte dorsi eius, in medio ipsius.	For treating a full dislocation, have the patient sit upright, and a very strong assistant should hold him from behind at the middle of his back.
Deinde tene tu cum manu tua dextra pedem eius a superiori parte eius, et cum manu tua sinistra ab inferiori parte pedis eius loco cauillae.	Then grasp his foot with your right hand from the top, and with your left hand from the lower part of the foot at the ankle.
Deinde trahe pedem ad tecum manu tua dextra.	Then pull the foot toward you with your right hand.
Deinde cum sinistra duabus uicibus.	Then do the same with the left hand twice.
Deinde extende cum sinistra, et impelle pectus pedis cum dextra uersus crus absque labore.	Then extend with the left hand, and push the instep of the foot with the right hand toward the leg without strain.
Fac illud bis, sicut narrauimus.	Do this twice, as we described.
Deinde impelle pectus pedis ad crus in uice tertia, et tu trahis cauillam.	Then, on the third time, push the instep of the foot toward the leg, while you pull the ankle.
Si ergo redit in uice una, aut in duabus secundum hunc modum, et uides pedem aequatum, est bonum: et si non, tunc itera operationem super ipsum: quoniam ipse redit.	If it returns within one or two attempts in this way, and you see the foot aligned, that is good; if not, then repeat the procedure, for it will return.
Si autem prohibetur tibi reductio eius cum eo quod narrauimus: tunc fac iacere infirmum super dorsum suum super terram, et fige paxillum in terra firmatum ualde, ut cadat inter coxas eius: et tu iam inuoluisti super ipsum pannum, ut non laedat infirmum.	But if the reduction resists with the method we described, then have the patient lie on his back on the ground, and firmly fix a stake in the ground so that it falls between his hips, having already wrapped it in cloth so as not to harm the patient.
Deinde accipiat minister coxam eius: postea extendat minister alter pedem, aut cum manibus suis, aut cum ligamento quod liget super collum pedis.	Then one assistant should hold his hip, and another assistant should extend the foot, either with his hands or with a band tied around the ankle.
Deinde extendat omnis minister contra extensionem comparis sui: et paxillus sit stans inter duas coxas infirmi retinens eum, ut non attrahatur corpus eius ad inferiora apud extensionem.	Then let each assistant pull against the extension of his counterpart; and let the stake stand between the patient’s hips, holding him so that his body is not drawn downward during the extension.
Deinde aequet medicus dislocationem manibus suis, et minister alter teneat crus sanum ad inferiora.	Then the physician adjusts the dislocation with his hands, and another assistant holds the healthy leg downward.
Nam dislocatio redit cum uelocitate.	For the dislocation returns quickly.
Quando ergo redit dislocatio, et declaratur tibi sanitas reditionis eius: tunc pone emplastrum et stuppam, et stringe ipsam cum ligamentis firmiter, et liga pedem cum ligamento ad crus.	When the dislocation returns and its proper alignment is evident to you, then apply a plaster and cotton, bind it firmly with bandages, and tie the foot with a band to the leg.
Et oportet, ut caueas uel timeas de neruis, qui sunt supra calcaneum posterius, ut non sit ligamentum super eos uehemens, et laedat eos.	It is necessary to be cautious regarding the nerves above the heel from the back, to ensure the bandage is not overly tight, which could injure them.
Deinde dimitte ipsum duobus diebus, aut tribus.	Then leave it undisturbed for two or three days.
Quod si mollificatur ligamentum, stringe ipsum: deinde solue ipsum in die tertio, aut quarto: et prohibe infirmum ab ambulatione quadraginta diebus.	If the bandage loosens, tighten it again; then loosen it on the third or fourth day. Restrict the patient from walking for forty days.
Si uero conatur ambulare ante illud spacium, non fit securitas quin dissoluatur super ipsum dislocatio, et corrumpatur, et non recipiat post illud curationem.	If he tries to walk before this time has passed, there is no assurance that the dislocation will not recur and worsen, making it beyond healing.
Quod si accidat ei apostema calidum: tunc oportet, ut administres in sedatione eius illud, in quo praecessit narratio nostra in alio loco ex curatione, et embrocationem, donec remoueatur.	If a hot abscess forms, apply the treatment previously described in another section for cooling the inflammation, and apply embrocation until it is reduced.
¶ De dislocatione Digitorum pedis, et cura.	On the Dislocation of the Toes and their Treatment.
Caput XXXV.	Chapter 35.
Oportet, ut aequetur quod dislocatur ex eis cum extensione pauca absque labore: et illud quidem non est difficile, imo est facile.	The dislocated toe must be aligned with gentle extension without strain, which is not difficult but rather easy.
Si autem dislocatio est in quibusdam nodis dorsi pedis: tunc oportet, ut faciat sedere infirmus pedem suum super locum aequalem terrae, aut super tabulam: et est stans sicut ambulans.	If the dislocation is in one of the joints of the top of the foot, have the patient place his foot on a flat surface, such as the ground or a board, as though he were standing.
Deinde tu sta, et pone pedem tuum super illud quod eminet ex illis iuncturis.	Then, stand and place your foot over the protruding part of the joint.
Deinde calca illud cum pede tuo cum uirtute, donec redeat, et uideas ipsum iam aequatum, et non appareat in loco eminentia.	Press down with strength until the joint returns to place, and you see it aligned, without protrusion.
Deinde pone sub uentre pedis eius tabulam quae capiat pedem totum, cui sint duo capita.	Then place a board beneath his foot that covers the entire sole, with two ends.
Deinde stringe ipsum strictura decenti tribus diebus.	Then bind it with a moderate binding for three days.
Deinde solue ipsum, et fac quiescere eum ab ambulatione diebus multis, donec stringatur et securetur a reductione.	Then release it and have him refrain from walking for several days until it strengthens and stabilizes to prevent re-dislocation.
¶ De speciebus dislocationis cum uulnere uel fractura.	On Types of Dislocation with Wounds or Fractures.
Caput XXXVI.	Chapter 36.
Quando accidit aliquid ex illo, et conaris curationem eius, et ipsius restaurationem, multotiens succedit mors: et propter illud non oportet, ut praesumat super curationem eius, quod est huiusmodi, nisi qui est prudens in arte longi usus, misericors, pius, tardus, non audax, neque praesumptuosus: et ut utatur in incaeptione medicinis quae sedant apostemata calida tantum: et dimittat infirmum diuino iudicio.	When such an injury occurs, and one attempts to treat and restore it, often death results. Thus, only those who are wise in the art, experienced, compassionate, patient, cautious, not reckless nor presumptuous, should undertake such a treatment. They should begin with medicines that reduce hot abscesses alone and leave the patient to divine judgment.
Nisi uideas, aut speras salutem a perditione cum lenitate aegritudinis, et in quo apparet quiddam spei.	Unless you see or hope for relief from suffering with mild symptoms and a sign of possible recovery.
Conare ergo reductionem eius statim in principio rei, antequam accidat apostema calidum.	Attempt the reduction immediately at the onset, before a hot abscess forms.
Si ergo redit membrum, secundum quod uolumus, tunc administra regimen quod sedat apostema: et cura uulnus cum eo quod conuenit ei ex unguentis desiccatiuis.	If the limb returns as desired, then apply treatment to calm the abscess, and treat the wound with suitable drying ointments.
Quod si dislocatio est cum fractura, et accidunt in osse satagiae separatae, tunc conare ablationem earum, et fac in illo quod diximus in aegritudinibus simplicibus ex eo quod praecessit in locis earum.	If the dislocation includes a fracture and small fragments of bone have separated, attempt to remove these fragments, and follow the previously stated instructions for simple ailments as discussed in their respective places.
Et caue secundum tuam uirtutem, et custodi teipsum ab introitu in uiam timoris: secundum quod praecessit praedicatio mea tibi.	Exercise caution according to your ability, and guard yourself from entering the path of fear, as my previous counsel advised.
Nam illud est melius tibi apud Creatorem tuum, et magis permanens ad gloriam tuam, et magis saluum tuo corpori apud illos in tuo tempore.	For this will be better for you before your Creator, more enduring to your honor, and safer for your body among your peers in your time.
