Ayssi comensan las paraulas de Albucasim .	The patient's doctor begins to speak.
E aprop cura aquela am calguas envolopadas en boder o en caus trissat entro que·l loc geta brac, e aprop lahoras cura la plagua am enguentz carn dura engendran e consolidan.	And treat that which is swollen with pus wrapped in a bandage or in a cloth tightly around the affected limb, and then later treat the wound with a purulent discharge of hard flesh that generates and consolidates.
E so medicinas en las quals so stipticitat e exseccio; quan lahoras es restaurada ja es sanada e no temes iteracio.	And these are the medicines in which there is stagnation and sequestration; when later they are restored, then it is already healed and does not fear recurrence.
Mays si la fistula ja perve entro al preon del cul e es elonguada de lu superficia del cos, lahoras entromet le tieu dit en le cul e inquireys am aquel.	But if the fistula has already passed through the anus of the rectum and is extended from its surface, then insert your finger into the rectum and examine it.
E donc si centes la tenta e entre tu e ela es velament de ciphac o de carn, e es propda a la penetracio, lahora no es operacio en lu sino segon via di fiducia e de speransa.	If one tries to penetrate between you and your partner when you are both naked, and it is suitable for penetration, then there is no operation in place but according to the way of faith and trust.
La qual causa es aministrar en lu una de tres manieyras: o que cauterize aquela ayssi cum havem dit; o que secces aquela entro que consieguas la conquavitat de lu per que sia a tu possible entrometre las qualcas e la curacio propdana; e no procesiscas mot am seccio per so que no inscidas le lacert contenent le cuol, e que accidisque sobre le malaute eyssiment de la egistio ses voluntat; e aprop cura aquel am aquo que havem dit quar fort leu sira sanat; o que elongues aquel velament e mondes aquel pus que seccas aquel entro prop le cul, ayssi cum havem dit, o am tenta o am autre instrument de aguda extremitat, e aprop mondifique aquelas carns fistuladas las quals so en la seccio entro la on podes am percrustacio; e aprop esforsa te a far la restauracio de tota la plagua am seccio, e si le orrifici pus desus no es consolidat, e romangua la fistula uberta en la partida del cul, e sira pus leugier per le malaute.	Which cause is administered in one of three ways: either by cauterizing that area as we have said; or by cutting that tissue so that you can acquire the cavity of it, thereby allowing the passage and the proper cure; and do not press too hard on that section, lest it opens up the wound containing the tumor, and such accidents happen as may come about from the malady being in the seat of the bowels; or lengthen the veil, remove the pus that you cut into properly at the root, as we have said, or attempt to pierce or use another sharp instrument on the extremaity, and carefully remove those flesh-filled fistulas which are within the section where you can penetrate by perforation; and strive to make the restoration of all the wound in that section, and if the pus ulcer does not consolidate above, and the fistula remains open at the exit of the anus, it will be easier for the malady.
E alscunas veguadas la fistula es finida segon aquesta manieyra: es quan tu entrometas la tenta en la fistula, e es en le latz del cul entorn la superficia del cos am la codena e en le marge del cul, lahoras pren tenta de perforada extremitat, que es ayssi cum agulha de preparantz les coers segon aquesta forma:	When the fistula is closed according to this method: when you insert the ligature into the fistula, and in the fold of the buttocks on the surface of the body with the cord, and along the edge of the buttocks, always take care of perforating a finger extremity, which is as if preparing needles for filling the blood according to this form.
e entromet en aquela fiel envolopat de v fiels o entorn aquels; e aprop entromet tenta am fiel en la fistula entro que consiegua la conquavitat de lu.	You enter that enclosed bundle of veins or around them; and then you insert the ligature into the fistula entering where it finds the cavity of the patient.
Mays si es penetrant en le marge del cul prop dedintz, lahoras tu extratz le fiel de aquel trauc ayssi que tu intrometas le tieu dit en le cul; e extraguas la extremitat del fiel e ajustes las duas extremitatz essemps, e estrenh cascuna, e leyssa aquo per un dia o per dos, e quan mays inscideys le fiel en la carn, estrenh be aquel entro que aquelas carns sian inscididas las quals so entre doas extremitatz del fiel e que cajan.	But if it penetrates into the edge of the anus too deeply, then you extract the vein from that track as if you were inserting your finger into the anus; and you cut off the tip of the vein and adjust both ends so that each one is severed, and let them heal for a day or two, and when it gets embedded in the flesh, sew it up so that those parts are embedded between two ends of the vein, and they adhere.
E aprop cura la plagua entro que sia consolidada e sanada.	And cure the plague while it is consolidated and healed.
Mays si le orrifici de la fistula no es penetrant, lahoras fay aquel penetrar, en qualque manieyre sia a tu preparat, sino que sia mot en le preon, quar no es a tu que fassas aquo per que no inscidas le lacert; e aprop fay am aquela entro que sia sanada.	If the opening of the fistula is not penetrating, then you should make it penetrate in some manner, whether to your preparation or not, so that it may be done in front, which is not for you to do, lest you get injured; and place it inside so that it heals.
La forma de spatum spinos am lo qual es fenduda la fistula: la curvitat del qual es mot aguda e l’autra partida es no-aguda, per so que no inscidas aquo que no es necessari, ayssi cum vezes.	The shape of the spindle with thorns to which the fistula is cut: its curvature is sharp and the other end is not sharp, so that you do not get injured unnecessarily, like sometimes.
De sutura de emorroydas en las quals corra sanc en la inscizio de aquelas.	Suturing of hemorrhoids in which there is bleeding at the beginning of those.
Emorroydas so segon dos manieyras, quar o so entre le cul semblantz aysi que es de carbos, o quays aquelas sian cum a gras de rasim.	Hemorrhoids occur in two ways, either between the anus like stones of charcoal, or else they are similar to fat.
E de aquelas so petitas e grans, e que le sanc corr de aquelas tostemps e es una, e so motas, e so fora·l cul, e en las extremitatz de lu.	And of those, there are small and large ones, and the bleeding comes from them at that time and is one, and some are external, and on the anus, and in the extremities.
Mays empero aquelas que so foro le cul so segon las mes de pauca humiditat, de las quals corr aygua citrina o un petit de sanc am cos continuabla, e so segon la color del cos.	But those that are outside the anus occur according to the season of low humidity, from which there is citrus water or a small amount of bleeding with continuous flow, and they are according to the color of the skin.
E la curacio de aquela que es dedintz le cuol es que comandes al malaute que se assela e que se exprema entro que le cuol yesca e las emoroydas apparescan a tu.	The treatment of that person who is dying from the cold is to command the patient to sit up and to be opened into the wound while the fever appears, and the oozing stops.
Adonc tu te coyte e suspen am uncis o que tenguas aquelas am la tua ungla, e aprop incideys aquelas deves las suas razitz.	So then you cut and suspend the incision with one finger that you hold in your hand, and place the other fingers on those wounds to press them.
Mays si les uncis no so tengutz en aquelas per la humiditat de lor e mollificacio de aquelas, lahoras pren aquelas am drap aspre o am coto o am flassada de lana, e extratz aquelas am les tieus ditz, e aprop inscideys aquelas e polveriza sobre lor alcunas polveras caudas aprop la inscizio, per que sian ad aquelas en loc de cauteri; o cauteriza aquelas segon que es precedit en le capitol de cauterizar.	But if the fingers do not hold well in those wounds due to their moisture and softness, then take them with a rough cloth or with wool or with a flannel, and extract them with the tied ends, and place the incisions again with some powdered salt over them, so that they may be attached to those wounds in place of cauterization; or cauterize as previously stated in the chapter on cauterizing.
E aprop cura aquelas am l’autra curacio entro que sian sanadas.	And after treating those with another treatment while they are being healed.
E si le cul no obezeys a egressio, lahoras cristerisa le malaute am cristeri en le qual sia mordicacio petita, e sia lavat am aquel aquo que es en le cuol e que obezesca a egressio leugierament quan le malaute s’esprem.	And if the gallbladder does not obey discharge, then the servant presses it with small stitches in which there is a slight bite, and washes it with that water that is in the wound, so that it obeys discharge lightly when the patient is pressed.
Mays si las emorroydas so defora le cul, lahoras la causa de lor es leugiera, e es que tu prenguas aquelas am la tua ungla, o que prenguas aquelas am unci, e inscidas aquelas, e aprop cura aquelas am aquo que havem dit entro que sian sanadas.	If the hemorrhoids are outside the anus, then their cause is light and it is because you take those with your finger, or that you take them with unguent, and inscribe them, and place a cure on them as they have said before they are healed.
E aquel que avoreys inscizio, cove que aministres sutura de lor segon aquesta manieyra: pren fiel envolopat e entromet aquel en agulha e aprop extratz las emorroydas a las partidas dessus, e fay aquel penetrar am la agulha en la razit del autra part, e envolveys las doas extramitatz del fiel en la partida pus dejos de la agulha, e so latitudinalment; e estrenh la emorroyda am strectura fort, e aprop noza le fiel e extratz la agulha.	And he who wishes to excise, covering those that administer sutures according to this method: take the thread wrapped and inserted into the needle and remove the hemorrhoids from above, and place that penetration into the sharp of the other part, and wrap both extremities of the thread at the parted side of the needle, so laterally; and stretch the opening with force, and apply noose the thread and remove the needle.
E fay aquo a totas, e layssa de aquelas una e no la cozes, per so que la superfluitat del sanc corra de aquela.	And do this to all of them, and gently remove one and not the other, in order that the excess of the healthy tissue may flow from that.
E aprop pausa sobre le cul drap enfus en oli rozat o en cerot; e pausa aquel sobre·l cuol e comanda al malaute que·s repause.	And place over the anus, clothe it with olive oil or camphor; and place that on top of the mouth and command the patient to rest.
E aprop layssa aquela entro que caja; e quan es casuda, cura aquelas am enguentz o am autra curacio entro que sia sanat.	Put the intestine back into its case, and when it is closed, cure those with an emollient or another treatment inside so that they may recover.
De curacio de fistulas.	On the treatment of fistulas.
Motas veguadas accideys per exseccacio de fenda o per costriccio de natura.	Small accidents that occur from excessive cutting or from the natural constriction.
E cum so antiquadas e no val en aquela medicina, lahoras cove que tu razas aquelas am la puncta de spatum o am la tua ungla entro que sian faytas humidas e sia hostada de aquelas la escorsa pus desus, la qual prohibeys aquelas de consolidacio; e aprop cura aquelas entro que sian consolidadas.	And because such old and useless remedies are of no value in that medicine, then cover with your spatum or with the tip of your finger where there is moisture and heat, to prevent those moist humors from causing ulcers; and cure those once they have consolidated.
Lahoras tu osta aquelas am razio pus vehement que la primieyra entro que mot sancno e sian excoriadas; e aprop cura aquelas entro que sian sanadas.	Then apply that pus with great force, first before the wound is healed and excoriated; and cure those once they are healed.
De curacio de almesamir, so es clau.	On the treatment of ulcers, for this is the key.
Sapias que alamermar, so es clau, e no es si no notz redon segon la color del cors semblant a cap de claviel, e es fayt en tot le cors e majorment en las partidas dejos les pes e als ditz, e endeve per aquels dolor deves le anament.	Know that ulcers are caused by this key, and it is not unless you notice the color of the skin similar to the color of nails, and it is done throughout the body more so in the left parts of the feet and hands, and endevour for those pains to apply a poultice.
E adonc cove que sia inscidit aquo que es en le circuit del clau, e sia tengut am les forfexs o am unci, e sia eradicat de la sua razit; e aprop cura aquel.	And then it is possible to insert what is in the circle of the lock, and it should be held with the fingers or with an instrument, and it should be eradicated from its origin; and you should cure that.
E si vols, cauteriza le segont que es precedit en le sieu capitol.	If you wish, cauterize the second one that is preceded in its head.
Mays de veruca es eminencia petita aspre fistulada redonda sobre la superficia del cos, e motas veguadas veno en las mas dels enfantz.	The warts are small, hard, rounded protrusions on the surface of the body, and moles can be seen in most of the children.
E curacio de lu es que estendas e inscidas aquela, o que estrenhas aquela am fiel o am pel entro que caja.	Treatment for it is to stretch and insert that, or to prick that with a nail or on the skin through which it heals.
E si vols, cauteriza aquo, segon que havem dit, am foc o am medicina acuta.	If you wish, cauterize it, as they have said, with fire or sharp medicine.
E ja so eradicadas enversas e no-enversas am le instrument le qual yeu diyre.	They are also eradicated by both sides and not-both, with the same instrument which you specify.
Mays formica es eminencia petita feutrada o fistulada grossa sobre la superficia del cos anant mot en le preon, e quan le freg atroba aquela es centit en lu semblant de mordificacio de formigua, e es fayta entorn le cos.	Warts are small, fuzzy or fistulous protrusions on the surface of the body that move before it, and when you press on it, it feels like a bite by an ant, and it is placed around the body.
E curacio de lu es que prenguas una canula de pena de auca o de pena de voltor, e sia fort, e pausa aquela sobre la formigua entro que la contengua le cercle de la canula de las partidas de lu; e aprop revolveys la tua ma am la canula entro que inscidas aquo que es en le circuit de la formigua, e pauses aquela en le preon de la carn, e que eradiques la formigua de la sua razit.	A joint pain caused by cold humors infiltrating each part of the body is called gout.
E si vols, fay aquo am canula de eram o de ferr segon aquesta forma:	If you want, do this in this way with a cane of horn or iron according to this form:
Sia la partida desus de la canulha trahent a subtilitat, sorda (so es no-perforada), envolopada per so que sobre le dit la aprencio de lu sia ablaviada e la revolucio de aquela.	So that the passage of the cane is subtle and silent (it's not perforated), wrapped so that the pressure on it be avoided.
E si vols cauteriza la formiga segon que es denant dit en la cauterizacio de atheyl en le capitol de cauteri.	If you want to cauterize the vein according to what is said in the chapter of cauterization.
De forma dels instrumentz que so aministratz a dar cristeri.	In the form of the instruments that are administered to give piercing.
Alcunas veguadas es fayt cristeri de argent o de lato o de eram fondut o malleat; e alcunas veguadas es fayt de aquels instrumentz petit e gran segon aquels als quals so aministratz, quar aquel que es aministrat en la curacio dels petitz enfants sia petit; e de aquel dels quals los culs son freuls o doloyrozes, les cristeris de aquels sian petitz.	Sometimes it is made with piercing of silver or lead or cauterized horn, or sometimes with those small instruments and large ones according to which they are administered; for the one that is administered to the cure of small children is small, and those of the which the anus is swollen or inflamed, have small piercings.
La forma de cristeri gran e pauc:	The form of large piercings few.
Le cap de la canula de lu desus en le qual es liada la borsa sia ampla segon aquesta manieyra; e sia a lu distinacio la on la borsa es liada ayssi cum vezes.	The top part of the cane, above where the bag is tied, is large in this manner; and there is distinction in it where the bag is tied so that it may become more or less tight.
E la extremitat de lu pus dejus, la qual es entromesa en le cul, sia sorda (so es no-uberta) mot leon, atrasent a subtilita; e en la un del latz de lu sian dos traucs, e en l’autre costat un trauc, e sia la amplesa del trauc segon la groseza dels rays e pus gros un petit.	The first line is translated to:
E sia la borsa en la qual sian pausadas las medicinas de vesica de bestia o de pel de ovelha, e la razit de lu sia un palm.	The medical treatise is suggesting that a patient suffering from gout should place a poultice made of wool or animal hide in a bag on their abdomen. The size of the poultice should be the length of one's palm.
E sia perforada per motz traucs ayssi cum es revolvuda; e si l’espazi le qual es entre les traucs la grossetut del dit.	If the poultice is pierced by a thorn or any other sharp object and it has been rolled around, then if the space between the wounds has grown in size due to its thickness.
E aprop entromet en aquels traucs fiel fort de fiel cru le qual sia de detz fiels, o enviro aquels; e ajusta am aquel la borsa; e quan es pausada en lu la borsa, sia streyt en le cap del cristeri entre dos distingentz am fort costriccio, e aprop cristeriza am aquel quascun trauc: Mays la qualitat de cristerizar am aquel es que tu omples la borsa de la medicina, que sia escalfada segon la quantitat de la tolleransa del malaute; e guarda te que no sia trop cauda ni trop freja.	To insert into the wounds a piece of thorny flesh, or surrounding it; and adjust the bag. When the poultice is placed on it, straighten the cristeri between two distinct points, with strong constriction, and insert any wound there; but the quality of inserting it is that you compress the poultice of medicine, warming it according to the patient's tolerance amount; and be careful not to make it too hot nor too cold.
E aprop le malaute sia resupinat sobre le sieu dos, e eleva las suas cambas en sus e pausa dejos lu un cuer sobre le qual ja so les homes o un lansol; e aprop unta la extramitat del cauteri am oli o am album de huou o am mucellage de fenugrec o de semblantz; e aprop entromet aquel en le cul am facilitat, e aprop le ministre prengua la borsa e exprema aquel am doas mas e essemps am vehemencia entro que sia evacuat en le budelh tot aquo que es en le cristeri; e aprop extra le cristeri e le malaute leva las suas cambas a la paret.	And bring the patient to lie on their back, and elevate their legs up high, placing a cushion under them so that they do not slip off; and apply the cauterization tip with oil or beeswax or mucilage of fenugreek or similar substance; insert it gently into the anal opening with ease; and then have the servant take the poultice and pull it out with two fingers, exerting force until all that is in the wound drains out through the cristeri; and remove the cristeri and bring the patient's legs up to the wall.
E si la medicina forsa aquel a eyssiment, tengua le tant quant poyra; e si dorm am aquel per tota una nueyt, es mays derier en juvament.	If the medicine is not effective, keep giving it until it hurts. And if you sleep on that for an entire night, it is more severe in the morning.
Mays si tu cristerizas aquel en las malautias de solucio de ventre e l’eyssiment de lu le coyta, lahoras tu itera le cauteri entro que sia sanat.	But if you give him an emetic for the solution of stomach ailments and draw out the swelling from his intestines, do so repeatedly until he recovers.
E si en le cul so emorroydas o apostemas ledens, lahoras sia le cristeri mot subtil e leon, dels cristeris am les quals les enfantz so criterisatz.	And if the stool is bloody or contains apostems (i.e., blood clots), then give him a mild emetic and a purgative from those emetics to which children are accustomed.
De curacio de las plaguas.	Of the treatment for wounds.
Yeu ja e dit en la divisio de la curacio de las plaguas aquo que convenia al libre, e yeu dic assi la curacio de aquelas am ma e am medicinas segon le conpliment.	And you have already said in the division of the treatment of wounds that it is suitable for open wounds, and I say so here that the treatment for those with a knife or with medicines according to the form.
Donc dic que las plaguas son diversificadas segon aquo en que son faytas las plaguas e segon le loc sobre le qual cazo las plaquas.	Then say that wounds are diversified according to whether they are caused by a puncture or by the location where the wound falls.
E las causas per que motas vetz son faytas las plaguas so ayssi cum getament de peyra, o inscisio d’espaza o de cotel, o percussio am lansa, o am fustz, o am sageta, o semblantz ad aquels de motas causas.	And the causes for which wounds become infected are such as an accumulation of pus, or a rupture of space, or percussion with an arrow, or with a club, or with a spear, or similar to those causes.
Mays las plaguas que so en les locz del cos so ayssi cum plagua la qual catz sobre le cap, o·l col, o·l pietz, o·l ventre, o·l fitge, e semblantz ad aquels dels membres.	Pain in the joints is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E yeu so recomtant la curacio de alcunas plaguas per que pauses aquela ratiocinacio e regla sobre las autras plaguas.	I recommend the cure for some diseases that follow a certain reasoning and rule over others.
E yeu comensare de las plaguas del cap simplas, quar la rememoracio de las compostas vindra al comensament del tertz capitol.	I will begin with the diseases of the head that are simple, for the memory of the composed remedies will come at the beginning of the third chapter.
Donc dic que quan accideys en le cap plagua simpla e no es fractura, lahoras considera: si es per getament de peyra o de semblant, e ja ha trinquada la codena tant solament e es gran plagla e temes sobre aquel malaute havinement de apostema caut, lahoras tu te coyta e fleubotoma la cephalica tantost, e no tardas aquo; e extrats ad aquel del sanc segon la quantitat de la vertut de lu si no mes alcuna causa prohibent de fleubotomia, majorment si·l sanc que es eyssit de la plagua es pauc.	So, when it happens on the head a simple disease and not a fracture, then consider: if it's due to a fall or similar, and the chain is already broken only once, and it's a great plague and fears about that bad malady of an apoplectic seizure, then take out the cautery and flebotomy from the scalp immediately, and don't wait for long; extract according to the amount of the wound value if there is no other cause forbidding flebotomy, especially if the wound is close to the disease site, which occurs less often.
E sia la flaubotomia del contrari de la partida plaguada; e guardase le malaute de replecio e de vi e de viandas grossas.	Flebotomy is the opposite of what is expected from the starting point of the disease, and beware of the return of the plague through infection and by eating gross food.
Mays si de la minuicio prohibeys alcuna causa, lahoras sia aminorat de la vianda e no apropinque a carn ni a vi.	When some cause forbids smallness, then decrease the food and do not approach meat or drink.
E pausa sobre la plagua, si a lu accideys apostema caut, coto enfus en oli rozat solet o en vi en le qual es stipticat.	Pause over the plague, if it happens that an aposteme occurs, which is cauterized in olive oil or white wine, where it is affected.
Mays si est segur de apostema caut, lahoras pausa sobre la plagua, si es recent am le sieu sanc e le ayre no ha mudat aquela la polvera la qual yeu recomtare aprop petit.	But if it is sure of the cauterized aposteme, then pause over the plague, if it is recent and the air has not changed that powder which I recommend to apply small.
E si le ayre ja ha mudada aquela, lahoras pausa sobre alscus enguentz entro que sia sanada.	But if the air has already changed that one, then pause over a scab that is being swallowed until it heals.
Mays si la plagua es gran o es per inscizio d’espaza e de semblantz, e no so ajustadas las labias de lu per puvils, lahoras ajusta aquelas am sutura segon que yeu recomtare de la sutura de lor.	But if the plague is large or is due to space and similarity, and the labia are not closed well for ulcers, then close those with suture according to what I recommend for their stitches.
Mays si la plagua ja es discuberta del os e pen, e no es retencio de lu sino un petit suspensori, lahoras inscideys aquela e aprop cura la plagua am medicinas e restaura la carn aprop en loc de codena, e comanda al malaute que sia pescut de viandas en las quals es groceza: caps e formen coyt e semblantz a lor, entro que sia compost.	But if the plague has already been uncovered of bone and skin, and it is not retention of him but a small suspender, then close that one and apply cure to the plague with medicines and restore the flesh in place of codena, and command the patient to be fed with foods in which he finds grossness: capsules and form to them, resembling their shape, until it is composed.
E si atrobas en la codena putrefaccio e no adhereys al os, lahoras tu inscideys tot aquo poyrit e geta aquo, e aprop cura aquo.	If you find corruption in the bone and it does not stick to the flesh, then immediately insert everything into that place and throw it out, and then cure it.
Mays si en aquestas plaguas es arteria o vena de la qual fluxs de sanc pot evenir, e no es abscindida per medicinas, lahoras tu inquier sobre la arteria, e si atrobas aquela no-inscidida, lahoras tu inscideys aquela am spatum, o lia aquela; e si necessitat te provoca que aquo que havem dit no comfereys, lahoras tu cauteriza entro que·l sanc sia abscidit.	But if in these wounds there is an artery or vein from which the flow of blood can occur, and it cannot be cut with medicines, then ask about the artery, and if there is that non-closed one, then insert it with a stick, or ligate it; and if it must necessarily provoke a false confidence, then cauterize inside until the wound is closed.
E si aquestas plaguas son simplas e petitas, lahoras la causa de lor es leugiere; enayssi que tu polverizas sobre aquelas aquesta polvera, quar consolidada aquela denant que l’ayre mude aquelas.	If these wounds are simple and small, then the cause of them is light; therefore, powder over those wounds with that powder, until the air changes those.
E la manieyra de la polvera es aquesta: recipe oli de enses partida una, de sanc de drago partida doas, de caus no-extincta partidas tres; sia tot mot trissat e crivellat, e de lu sia la plagua omplida, e sia constrengida per bona constriccio entro que be sobre aquela aderesca, e sia coagulada am le sanc.	And the way of the powder is this: mix oil of a single herb, dragon's blood cut into two parts, and a non-extinct cause cut into three parts; all of it mixed and crushed, and so that the wound is filled, and is constrained with good constriction until you press on top of it, and coagulate with the blood.
E aprop strengeys aquela desus am pulvils e leyssa aquela, e no la deslias mentre esta ayssi que no es apostemada, quar no es eredicada de lu la medicina entro que sia sanada.	And now return the instrument to its powder and ashes, and do not remove it while it is still in this form that is not infected, lest it be corrupted by the medicine within until it is healed.
E alcuna vetz fa aquo sola cautz, quan no es a tu en present enses e sanc de drago.	There is none of this to be done alone, unless it is in your own presence, that and the healing of dragon.
E ja fa aquesta meteyssa operacio en las grans plaguas quan conveneys que sia pausada sobre aquelas e sian streytas, e so plaguas recentz am le lor sanc, las quals le ayre no ha alteradas.	And this same surgical operation is performed on great wounds when it is convenient to stop them and straighten them out, and those wounds that have not had their power altered.
E si le ayre las ha alteradas, e majorment quan es en temps d’estiu, lahoras no es entencio a la posicio de aquesta polvera, mays adonc cura aquelas am aquo que havem dit, enayssi que tu pauses sobre aquelas alcus enguents degistius, o que pauses sobre aquelas pols de la farina del ordi am aygua e mel entro que getan poyredura; e aprop cura aquelas am l’autra curacio entro que sian sanadas.	But if the air has altered them and more so in summer, then it is not understood about the position of this powder, rather cure those with that which have been said, in such a way that you pause over those wet places or on the dust of flour-water mixture until they are dry; and then cure those with another cure until they are healed.
Mays si accideys am la plagua fractura en os, e es petita, lahoras tu extratz aquo am gesti.	But if it happens to the plague a fracture in the bone, and it is small, then you extract that with gesture.
E yeu diyre la cura de las fracturas del cap en aquo que es envenidor.	I am poisoning myself with the treatment for head fractures in this case.
De las plaguas del col.	Of those plague symptoms of the neck.
Mays si la plagua accideys en le col, lahoras no es en lu differencia en medicacio, e entre la plagua del cap quan es simpla.	But if the plague occurs in the neck, then it's not a different treatment than for head symptoms that are simple.
Mays si ja le nervi del col es inscis o arteria, lahoras si es nervi, no es en lu engen sino que sia evitada curacio de lu am aquo que fa vehement stipticitat, ayssi cum ziniar e zegi que es vetriol e semblantz a lor quar nozo als nervis e contrazo aquel.	But if the neck nerves are compressed or arteries, then it's not the case that nerve damage is to be avoided in this situation. If it is nerve damage, then you must avoid treatment for this because of violent symptoms. This is like a splinter and seems to have the appearance of a venomous thing, which causes no pain at all near nerves and counteract that.
E no pauses sobre la plagua alcuna causa de tot freja, quar la sustancia dels nervis es freja e la continuacio de lu es am le cervel, le qual es le pus aut de totz les membres.	And do not press on the plague at any point because of the free flow, since the substance of nerves is fluid and its continuation is in the brain, which is the most toxic of all members.
E si’ aquo am que es curat de medicinas leugieras, ayssi cum es caus lavada am aygua dousa, alcuna veguada enfusa en oli rozat o no-rozat, e thucia quan es lavada am aygua dousa e las autras peyras minarantz segon aquesta manieyra, e enguentz humitz.	And if this is to be treated with lighter medicines, just like it causes water to wash away, then apply olive oil, raw or roasted, and it will take effect when washed in warm water and other parts nearby according to this method, and eat honey.
Mays si la plagua es gran, lahoras aministra sutura, o coarta las labias de lu, e aprop cura aquela am pulvils entro que sia sanada.	When a large wound is present, therefore, administer stitches, or close the lips of the patient, and place treatment inside until it is healed.
Mays si a la plagua es profunditat o accideys en lu a la pus bassa partida poyredura, lahoras perfora aquela en le loc mays depremegut.	But if the wound has great depth or occurs in a place with low-lying pus, therefore, perforate it at the nearest location.
Mays si en la plagua ja es inscisa arteria e es conseguit flux de sanc, lahoras separa o secca aquela, o lia aquela, o cauteriza aquela si necessitat te provoca ad aquo.	But if the wound already has an incised artery and there is a great flow of blood, therefore, separate or dry up that one, tie that one, or cauterize it if necessary to stop that.
Mays si ja ha insciditz les spondils del golayro o tot, e so salvadas las venas del col, lahoras tu ajusta las labias de la codena am sutura sobre la cana del golayro e no toques aquel; abantz egala aquel e reduzeys aquel sobre la sua figura natural, e aprop strenh aquel am strectura decent, e leyssa aquela per alcus jorns; e aprop cura aquel am enguentz en les quals es stipticitat e excitacio entro que sia sanat.	But if the joints of the fingers or all are already incised, and the veins of the neck are saved, therefore, tie up the lips of the codena with stitches on the keel of the finger and do not touch that one; cut it equal to that one and reduce it to its natural shape, and tie it with a decent stretch, and let it heal for acute days; and treat it with ointment in which there is stipticitat and excitation until it is healed.
Mays si la plagua ja en le os a fayta enprecio, lahoras percuireys aquela, e lahoras si en lu ha fragmentz de hos, extratz totz aquels que podes de lor; e aquo que a tu no es apparelhat, leyssa aquo entro que la plagua se poyrisca, e sia separat e la egrecio de lu sia alleujada.	But if the wound is already in the bone, therefore, pound it, and if there are fragments of bone in it, extract as many as you can from them; and if it's not suitable for repair, let it heal until the wound dries up, and is separated, and the swelling of him be relieved.
E si la plagua es recent lahoras polveriza sobre aquela polvera la qual t’e recomtada.	If the wound is recent, then sprinkle powder over that powder which you have recommended to me.
Mays si en la plagua es fayta fistula, lahoras cura aquela am aquo del qual la rememoracio vindra aprop en le sieu capitol.	But if the wound has a fistula, then cure that with the same thing from which you have remembered to bring it up in your book.
De las plaguas del col o de semblantz quan fayta entre las spallas e es fayta am spaza o am cotel o am lansa o am semblantz.	From the wounds of the neck or from similar symptoms that occur between the shoulders, where there is a space or a cleft or a lance or a swelling.
Si es percussio de lansa o de cotel, e vezes de lu la profunditat, lahoras considera mays si de la plagua yeys ventositat quan le malaute elena; lahoras sapias que la plagua es mortal.	If it is a percussion with a lance or a cleft and sometimes when you probe its depth, then consider more if the wound has gas within it as with the consumption; you will know that the wound is fatal.
E si en lu no es profunditat e la plagua es recent am le sieu sanc, lahoras tu pauses en lu de la primieyra horo polvera, e no strenhas aquel per que no sia le sanc retengut en la profunditat de lu e que retorne al cor e que aucigua le malaute, mays pausa en lu enguent atractiu, e deslia aquela doas veguadas le dia.	But if there is no depth and the wound is recent on their skin, then put powder in it for the first hour, and do not press it too hard so that the wound does not retain its pain in the depth of it and return to the heart; but rather put a dressing attractive, and remove it two times a day.
E si l’enguent no es a tu present, lahoras tu pausa en le orrifici de la plagua coto viel per que sucque aquo que yeys de las humiditatz; e fay que le malaute dorma sobre la plagua per que corra aquo que es en lu ajustat.	If the dressing is not available, then put powder in the orifice of the wound to absorb what comes from the humidity; and make the patient sleep on the wound so that it constricts what is inside.
Mays si ja de la plagua son passatz tres dias o mays e no accideys al malaute spasme ni tremor de cor mal ni strictura de ale, e vezes las autras dispozicios bonas de lu, lahoras sapias que plagua es salva; e adonc cura aquela am calguas e am l’autra curacio entro que sia sanada.	When the disease is present for three days or more, and does not cause any pain, spasms, or abnormal heartbeats, and sometimes other good dispositions of the patient, you will know that the disease is cured; and then cure it with hot water and another operation until it is healed.
Mays si la sanacio de lu es excusada, e ja tot temps es uberta, lahoras sapias que ja es fayta fistula; cura donc aquela per le sieu capitol.	But if the cure of him is postponed, and he has been open for a long time, you will know that already there is an artificial opening; therefore, cure it in its capital.
E si la plagua es per inscisio de spaza o de cotel, e es simpla en la superficia del pietz o del dos, lahoras cura aquela am aquo que es precedit de sutura, si es gran, o am polvera, si es petita.	And if the disease is caused by incision of space or cutlet, and it is simple on the surface of the foot or in the flesh, you will cure that with water which is preceded by suture, if it is large, or with powder, if it is small.
Mays si ja ha fayta enprecio en le os, e so ja de lu inscizas pessas, lahoras tu torqua la plagua e coyta ad extrayre aquelas pessas, si so separadas.	But if there is already an infection in the bone, and they have incised the infected pieces, you will torque the disease and cut out those pieces, if they are separated.
Mays si no so separadas, lahoras leyssa las entro que se poyresca la plagua, que la extraccio de lor es alleujada.	But if they are not separated, you will lance the cavity where the disease will be cured, because the removal of their contents is alleviated.
E de las autras plaguas accidentz en les autres membres le juvament en curacio es le juvament de aquo que havem dit.	And of other accidental pains in the other limbs, the recommended treatment is as we have said.
De las plaguas del ventre.	Of stomach pains.
