Ayssi comensan las paraulas de Albucasim .	 This appears to be a statement that begins with "Thus begin the words of Al-Bukhari.
E aprop quan am la agulha auras penetrat aquestas quatre extremitatz, reduzeys la agulha de aquela meteyssa partida de la qual comensest, per so que le fiel retrayt caja de la pus subirana partida a la plagua, per so que la sutura sia segon sutura de drap am la qual les draps so strengutz.	 "And then, after the needle has penetrated these four extremities, return the needle from that same point where it began, so that the thread can be pulled out from the higher part of the wound, ensuring that the stitch is like a stitch used to strengthen fabric.
E pausa entre quascuna sutura la quantitat del gros del dit mendre.	 "And place between each stitch the thickness of the little finger.
E aquesta sutura sabo les homes.	 "And this stitch is known to men.
E am tal sutura yeu cozegui la plagua la qual era accidida a un home en le sieu ventre le qual era stat plaguat am un cotel, e era la disrrumpcio de la plagua major de un palm, e era eyssit dels budels entorn dos palms del budel del mieg loc e era la disrupcio en le mieg del membre; e adonc yeu reduzegui aquel depus que le budel havia stat foro la plagua per xxiiii horas.	 "And with this stitch, I sewed the wound that a man had in his belly, which he had been cut by a sword, and the opening of the wound was more than a palm, and it was about two palms from the middle part of the intestine and it was located in the middle of the member; and so I reduced what protruded after the intestine had been outside the wound for twenty-four hours.
E la plagua fo consolidada en le spazi de xv dias o entorn, e curegui aquel e es sanat; e aprop aquo visquec per motz ans, e es conversat en las suas disposicios.	 And the wound was healed in the space of fifteen days or thereabouts, and he was cared for and healed; and then he lived for many years, and returned to his usual activities.
E les autres metges havian jutgat que no fora sanat; e per miracle foc, quar yeu no curegui aquel am enguent, quar era en loc en le qual enguent no era atrobat ni deguna medicina, mays pausegui sobre la plagua coto viel dos veguadas lo dia e ablucio assiduo am aygua de mel entro que foc sanat.	 And the other physicians had judged that he would not be healed; and by miracle it happened, for I did not cure him with ointment, because it was in a place where no ointment or any medicine could be found, but I placed a cloth on the wound twice a day and washed it continuously with honey water until he was healed.
Mays yeu diyre dos specias de sutura proprias segon narracio de Paraula.	 But I will describe two types of stitches, according to the account of Paulus.
E es que tu comenses am sutura de la codena, e entrometas agulha de la partida deforo a la partida dedintz.	 And it is that you begin with the stitch called "codena," and insert the needle from outside to inside.
E donc cum la agulha penetra en la codena e en aquel meteys lacertz segon rectetut e en longetut de tot le cos, e layssa la extremita del ciphac en le qual has entromesa la agulha; e fay penetrar en la autra extremitat la agulha de la partida dedintz a la partida deforo en l’autra extremitat del mihat.	 And thus, when the needle penetrates in the "codena" and enters that knot straight and along the entire length of the body, it leaves the end of the thread on which you have inserted the needle; then make the needle penetrate from inside to outside on the other end of the stitch.  (In other words: To perform a running stitch, insert the needle from outside to inside at one end of the wound, pull the thread through and leave the end sticking out. Then insert the needle from inside to outside at the other end of the wound, pulling the thread through again.)
E don cum tu auras fayta aquela penetrar, lahoras tu fay aquela penetrar autra veguada en aquela meteyssa extremitat del mihat de la partida deforo a la partida dedintz; e leyssa la extramitat del ciphac que es en aquest latz, e fay penetrar la agulha en l’autra extremitat de la partida dedintz a la partida deforo.	 Certainly! Let's break down the text into manageable parts and translate it line by line:
E fay penetrar am aquela la tua penetracio am la qual fas aquela penetrar en le ciphac en la extremitat del mirat la qual es en la partida de lu entro que tot aquel penetre.	 And make the penetration with that, your penetration tool, which you use to penetrate into the hip joint at its extreme edge, located in the inner part of the patient's thigh until it all penetrates.
E aprop comensa de aquest meteys costat e cus aquel am la extremitat que es del ciphac en l’autra latz, e extratz la agulha de la codena la qual penetrec, e aprop redutz aquela en aquela codena e cos la extremitat del ciphac que es en l’autra costat am aquesta extramitat del mirat; e extratz aquela de la codena la qual es de part de lu.	 And then begin from this same side and pass it with the extremity that is of the hip joint to the other side, and extract the needle from the cord which penetrated, and then return that in that cord and place the extremity of the hip joint that is on the other side at this extremity of the patient; and extract that from the cord which is on the part of him.
E fay aquo una veguada e autra, e fay aquo una veguada aprop autre veguada entro que tu cozes tot aquo que es deforo segon aquel eysemple.	 And do this once and then again, and do it one time after another time until you have extracted everything that is outside according to that example.
E la suma de aquesta manieyra de sutura es que tu cozes am sutura de pellicies am la qual cozo las pels, enayssi que tu cozes le ciphac una veguada de la part de la extremitat de la codena, e que leysses aquela autra veguada entro que la ajas complida.	 And the summary of this method of suturing is that you should sew with a subcutaneous suture, with which you sew the skin, so that you sew the hip joint once from the side of the cord's extremity, and leave it the other time until you have completed it.
Mays la segonda specia de sutura propria la qual dieys eyssament Gualia , e aquest es de sermo de lu e per lu recomtat, es que tu cozas aquela segon semilitut am la qual alcus medicantz cozo aquela, enayssi que agreguan tota partida a la sua compar partida a lu convenient per natura; e aplican la extremitat de autre de lu e la extremitat del mirat al autra extremitat de lu, e aquo es fayt segon que yeu a tu recomti.	 But the second type of proper suture, which they call Gualia, and this is said about it and recommended by him, is that you sew it with half-thread stitches with which some doctors sew, so that they bring together all the divided parts to their corresponding part according to nature; and apply the extremity of one to the extremity of the other of the patient, and this is done as I recommend to you.
Cove que tu fiques la agulha en la extremitat del mirat a tu propdana de la partida deforo, e fassas aquela penetrar a la partida dedintz en aquel sol, e leysses dos extremitatz del ciphac; e aprop revolveys la agulha e fay aquela penetrar de foro a la dedintz en dos extremitatz del ciphac.	 Here's the translation of your sentence:
E aprop revolveys aquelas cascunas, e fay penetrar quascunas de la partida dededintz entro a la partida deforo en dos extremitatz del mirat autras que so en le latz contrari.	 And then return each of those, and make each one penetrate from the inner part to the outer part in two extremities of the mentioned organs, except for those that are in the opposite side.
E aquesta manieyra de sutura es milhor de la sutura comuna leugiera, e es sutura de la qual precedic rememoracio.	 And this manner of stitching is better than common light stitching, and it is the stitching of which the preceding reminder is given.
Aquest es le sermo de Gualia	 This is the treatise of Gaul
E mays le diyssero alcus, sutura del ventre es rectificada am dos agulhas, so es que tu entrometas en aquestas a quascunas un fiel, e comensa am intromiccio de agulha de aquo que es deves tu, e fay aquela penetrar entro al autra latz segon sutura de aquels les quals cozo les cuers engualment.	 And some may say that stitching the belly is done with two needles, so that you insert a thread into each of these needles, and begin by inserting the needle on the side where you must start, and make it penetrate to the other side according to the stitching method used for those who have had their hearts cut equally.
E sapias que quan disrupcio es en le mieg loc del ventre, lahoras la sutura de lu es pus difficil que dels autres locs del ventre.	 And know that when the rupture is in the middle of the belly, then its stitching is more difficult than in other parts of the belly.
Mays le juguament de medicacio de plagua es jutgament de las autras plaguas.	 But the judgment of treating a wound is the same as for other wounds.
La qual causa es quar quan tu consieguas la plagua recent am le sieu sanc denant que l’ayre altera aquela, e reduses le budel e cozes aquela e aptas aquela decentment, lahoras pausa sobre aquela polvera encarnativa.	 Which cause is that when you obtain the fresh wound with its blood before the air alters it, and return the intestine and close it, and prepare it properly, then place over it a powder that promotes healing.
E si le ayre ja ha alterada la plagua, lahoras pausa sobre aquela alcus enguentz les quals so a tu presens entro que fassan peyra dura e cajan les fiels, e sian consolidatz ciphac e mirat; e aprop cura aquela ayssi cum es la curacio de las autras plaguas entro que sia sanat.	 And if the air has already altered the wound, then place on that wound ointments which are at your disposal until they form hard skin and seal the edges, and are consolidated and cured; and then treat it in the same way as you would with other wounds until it is healed.
Mays si a tu no so presens las medicinas, lahoras pausa sobre aquela tantost, pus que comensa a getar brac, coto viel, e permuta aquel dos veguadas le dia, ayssi cum a tu e ensenhat, entro que sia sanat, quar tu no indigeysses de autra medicacio en motas disposicios quan las plaguas so simplas.	 But if you do not have the ointments available, then apply immediately, as it begins to bleed, a clean cloth, and change that cloth two times a day, just as you have been taught, until it is healed, because you will not need any other treatment for simple wounds in most cases.
Mays si tu temes que la plagua comunique en lesio als membres principals, lahoras cove que tu submergas lana leon en oli de trempada qualiditat, o en oli rozat, e pausa aquela en le circuit dels locs que so entre les angonas e dejos las aysselas.	 But if you fear that the wound may spread to the major limbs, then it is necessary for you to immerse wool in oil of good quality or in refined oil, and place that around the edges of the wound and under the armpits.
E si sent dolor o putrefaccio en les sieus budels, quar motas veguadas aquo s’endeve, lahoras cristeriza aquel am vi stiptic negre tebe, e majorment si la poyredura es pervenguda en le budel e es fayta exitura penetrant entro la conquavitat de lu.	 And if there is pain or putrefaction in the intestines, because this often happens, then cauterize that with black henbane juice, especially if the putrefaction has penetrated into the cavity of the intestine and formed a deep wound.
E sapias que aquela que es del budel gros es de pus leugiera sanacio que aquela que es en les budels subtils.	 And know that the one which is of the large intestine is of easier healing than that which is in the thin intestines.
E es de dificil sanacio quar le budel le qual es apelat “gegunu” no recep sanacio de plagua que caja en lu de tot; e aquo es per la gran multitut de venas que so en lu e per la magnitut de lu que so en aquelas, e per subtilitat del cos de aquel, e per propinquitat de aquel a natura de nervis.	 And it is of difficult healing because the intestine which is called "jejunum" does not heal from any wound that falls upon it; and this is due to the great number of veins in it and the size of those veins, and the subtlety of its body, and its proximity to the nature of nerves.
Mays si aquo que procezeys de la plagua es la tela, e conseguas aquela recent, redutz aquela segon la tua rectetut am la qual reduzes les budels engualment.	 But if that which comes from the wound is cloth and you are able to get hold of it recently, reduce it according to your judgment with which you also reduce the intestines in the same way.
Mays si es passat a lu spazi e ja es feyt vert o negre, lahoras que tu strenguas aquela am fiel sobre le loc que es denigrat de lu, per so que vengua fluxs de sanc, quar en la tela so venas e arterias.	 But if it has passed into the space and has already turned green or black, then you should strengthen it with oil on the spot that is discolored by it, so that blood flow comes out, for in the cloth there are veins and arteries.
E aprop inscideys aquo que es otra aquel liament, e pausa dos extremitatz del fiel pendentz de la partida dejos de la plagua foro lu, per que sobre tu sia alleujada la atraccio de lu deves le cazement de la tela e emissio del brac de la plagua.	 And immediately cut out what is the other side of that bandage, and place two ends of the oil dangling from both sides of the wound, so that the attraction to you is relieved and the fall of the cloth and emission of the arm of the wound are prevented.
Rememoracio de las plaguas quan accideysso en le budel.	 "Remembering the pains that occur in the intestine.
Quan accideys disrupcio en le budel e es petita, lahoras es possibla que sia resteurada en alcus homes, per aysso quar yeu vi aquel le qual era stat plaguat en le sieu ventre am percussio de lansa et era la plagua de la part dreyta del stomac, e la plagua era antiquada e fayta fistula, e eyssic de lu gestio e ventositat.	 When a disruption occurs in the intestine and it is small, it may be possible to restore it in some men, as I saw one who had been wounded in his stomach with the blow of a lance, and the wound was on the right side of the stomach, and the wound had become old and made a fistula, and thus from him there was an issue and gas.
Adonc yeu pansegui la curacio de lu ja sia que no era confizat en la sanacio de lu, mays cessegui subtiliar aquel entro que foc sanat e le loc es consolidat.	 Then I began to heal him since he was not cured in his healing, but rather continued to refine the inside until it was healed and the place was consolidated.
E yeu pus que vi le loc ja consolidat, timegui sobre le malaute que endevengues sobre lu accident de mal en le sieu ventre; e no endevenc alcu per aquo mal accident e romas en las suas milhos disposicios mangant e bevent, e aprop entrec en banh e es exercitat en sos ditz.	 And I, seeing the place was already consolidated, advised the patient to guard against any bad accident in his stomach; and none of them happened due to this bad accident, and he remained in good condition eating and drinking, and then entered a bath and was trained in these words.
E ja diysero alcus experimentados que quan endeve plagua en le budel, e es petita, lahoras cove que sia liada segon aquesta manieyra: e es que tu prenguas fromiguas de grans caps; e aprop ajusta las doas labias de la plagua e pausa una fromigua de aquelas que aja la boca uberta sobre las doas labias de la plagua; donc quan pren sobre aquelas e strenh la sua boca, abscindeys le cap de lu, quar adhereys e no es dissolvut.	 And some experienced ones said that when a wound occurs in the intestine and it is small, then it should be tied in this manner: and it is that you take large-headed ants; and then adjust the two lips of the wound and place one of these ants with its mouth open over the two lips of the wound; so that when it takes hold of those and closes its mouth, cut off its head, because it adheres and does not dissolve.
E aprop pausa autra formigua prop la primieyra, e no cesses aquo a far am formiguas una aprop autra segon la quantitat de tota la plagua.	 And then place another ant near the first one, and do not stop doing this with ants, placing one after another according to the size of the entire wound.
E aprop reduzeys aquela e cos la plagua; e romanguan aquels caps annexces en le budel entro que·l budel sia sanat; e no accideys al malaute degun nocument.	 And then reduce that and close the wound; and let those attached heads remain in the intestine until the intestine is healed; and do not cause any harm to the patient.
E ja es possible que·l budel sia liat am fiel subtil lo qual es fayt del budel de bestia annexs am lu, pus que es mes en agulha; e es que tu prenguas la extremitat de aquestz fiels de budel, e sia mot descarnat, e aprop lia la extremitat de lu am fiel de li, envolopat, e aprop entromet aquel fiel en agulhas e cos am aquel le budel, e areduzeys aquel en la disrupcio.	 And it is possible to tie the intestine with thin thread made from an attached animal's intestine, since it is more like a needle; and you should take the end of these intestinal threads, which should be very thin, and then tie the end to the thread of silk, wrapped around it, and then insert that thread through needles and sew with it, closing the intestine in the rupture.
E aquesta manieyra de sutura am formiguas no es sino segon via de fiducia e d’esperansa.	 And this method of stitching with ants is not without trust and hope.
Mays si la plagua es gran e ampla, majorment si es en un dels budels subtils, quar lahoras no es engen sino subtiliacio, e no es sanacio de lu de tot.	 But if the wound is large and wide, especially if it is in one of the thin intestines, for then it is only a cauterization and not a complete healing.
De curacio de zuchem e fistula.	 On the cure of ulcers and fistulas.
Sapias que tota plagua e apostema quan se envilheseys e se Antiqua, e es fayt ulcus, e no es consolidat e geta braç tot temps e no es abscindit, lahoras, en qualque membre sia, universalment es nompnada fistula e nos la apelam aquela azukem.	 Know that every wound and abscess, when it becomes old and chronic, and turns into an ulcer, and is not consolidated or healed completely, but persists over time without being opened, in whatever member it may be, it is generally called a fistula, and we call it azukem.
E fistula segon veritat es nodacio feutrada, dura, blanqua am la qual no es dolor e a la qual es conquavitat ayssi cum es conquavitat de pena de ausel; e per aysso nompnat aquela alcus rizatz, id est pena.	 Certainly! Here's the translation of the first source sentence:
E es en alcus homes humida, la qual geta brac; e fort leu la humiditat es abscidida en alcunas horas.	 "And in some men it is moist, which causes swelling; and quickly after, the moisture evaporates within a few hours.
E alcunas veguadas aquesta humiditat es mota, e es pauca, e es grossa, e es subtil.	 "And sometimes this moisture is abundant, and scarce, and thick, and subtle.
E yeu ja he denant dit en la divisio, lahoras cum yeu diyssi las plaguas, que tot ulcus que no es sanat ni no es en lu nuda carn, no es aquo sino per una de ix causas: de las quals la una es o per pauquesa de sanc en le cos; o per malicia de lu; o quar entre lu e las labias es carn dura prohibent nativitat de carn; o quar es de mota legesa; o quar aquel ulcus en si meteys es poyrit e la materia que es a lu tramesa es de mala qualitat; o quar la medicina es enconvenient en la curacio de lu; o quan corrupcio catz en la regio, e es pestilencia; o per proprietat de regio ayssi cum endeve a Saragossa , en la qual es fayta difficil degestio de las malautias, e es tardada en aquela sanacio de apostema per natura; o quar en lu es os un, o motz osses.	 "And I have already said before in the division, when I spoke of diseases, that every ulcer which is not healed or does not have bare flesh, is so only for one of nine reasons: one of which is either because of a lack of blood in the body; or because of its malice; or because between it and the lips there is hard flesh preventing the growth of new flesh; or because it is too light; or because that ulcer itself is rotten and the matter sent to it is of poor quality; or because the medicine used for its treatment is inappropriate; or when corruption occurs in the region, and it becomes pestilential; or due to the nature of the region, as is the case in Zaragoza, where the digestion of diseases is difficult and healing of abscesses is delayed by nature; or because there is a bone, or many bones, within it.
Ja e mostrat totas aquelas causas, e·ls senhals de aquelas e la curacio de lor am medicinas en la divisio.	 "I have already shown all those causes and the signs of them, as well as their treatment with medicines in the division.
E cove assi que yeu fassa a tu saber la curacio de fistula la qual es fayta per via de operacio am ma.	 And it is necessary that I teach you the treatment for a fistula, which is created through surgical intervention by hand.
E sapias que fistula accideys en totz les membres del cos; quar de aquelas son fistulas que perveno a las venas grantz e arterias, o als nervis, o al ciphac, o al budel, o a la vesica, o ad alcuna de las costas, o ad alcu dels spondils del dos, o ad alcuna de las juncturas compostas per composicio ayssi quo de la ma e del pe; e de aquelas so que dan a lu propinquitat del membre principal e de semblantz.	 And know that fistulas can occur in all parts of the body; for some are fistulas that pass through the large veins and arteries, or the nerves, or the bladder, or the intestines, or the bladder, or any of the ribs, or any of the vertebrae of the spine, or any of the joints composed as such as the hand and foot; and some of these are located near the main member and resemble it.
E donc aquela de aquestas fistulas que es segon aquesta manieyra es de las malautias de dificil sanacio, e no recep curacio, e occupacio am aquela es trebalh e ignorancia.	 Therefore, the fistula of this kind is among the most difficult illnesses to heal, and it does not receive treatment, and dealing with it requires work and ignorance.
E si es de las fistulas alcuna la profunditat de la qual no perve ad aquestz locs que e dit, e esperas e confizas en la curacio de lu, e vols pervenir a cognicio de lu, lahoras pren tenta de eram o de ferr, e si la fistula va segon rectetut, e perquireys aquela am lu.	 And if there is any fistula whose depth does not reach these places that have been mentioned, and you hope and wish for its treatment, and you want to gain knowledge of it, then take a probe of iron or lead, and if the fistula goes straight, explore it with it.
Mays si la fistula es tortuissitat, lahoras investigua aquela am tenta de plom subtil, quar plom am la levitat del sieu cors es alleujat e curvat deves la tortuositat.	 But if the fistula is twisted, then investigate it with a fine lead probe, for lead, due to its lightness, is easily bent and follows the twisting.
E si la fistula es havent motz horrificis, no es a tu possible que signifiques sobre lu am tenta.	 "And if the fistula has horrible words, it is not within your power to interpret for him.
Adonc cristeriza le orrifici per sos orrificis, quar la humiditat per la qual clisterizas aquela va deves las autras orrificis e corr de lor.	 "Then irrigate the orifices with an irrigation solution, because the moisture used for the irrigation will go to the other orifices and flow from them.
E aprop inquier exquisitament, segon qual manieyra a tu es possible que conoguas si aqui has os o nervi, e es la conquavitat de la fistula longinqua o propdana, o es una fistula a la qual so motz orrificis e esta sobre aquo tot am la suma de la tua fortaleza, am la tua enterroguacio, am la qual enterroguas le malaute, e la invencio de la dolor deves la tua compressio am la ma sobre le loc, e semblantz de las significacios e de las causas accidentz al apostema.	 "Then inquire carefully, in whatever way is possible for you to know if there are bones or nerves here, and whether the cavity of the fistula is distant or near, or if it is a fistula with multiple orifices and this one is entirely under your skill, with your questioning, and the questions you ask the patient about the pain, and your pressing with your hand on the area, and similar to the meanings and accidental causes of the abscess.
E cum tu auras stat sobre totas aquelas causas am stacio veraya, lahoras ve a la curacio segon confidencia: e es que tu consideras lahoras si es fistula apparent propinqua o en loc sal, longinqua de junctura, o de nervi, o de arteria, o de vena, o de un dels locs les quals yeu a tu e ditz.	 "And when you have stood firm on all these causes with true understanding, then proceed to the treatment with confidence: and that is for you to consider whether it is an apparent fistula near or in a prominent place, distant from a joint, or of nerves, or of artery, or of vein, or of one of the places which I have told you.
Lahoras tu secca la fistula segon que denant es dit de la naracio de lu, e osta aquo que es en aquela filtracio e de carns corrumpudas, e aquo que es nascut en le orrifici de la carn, o de theil e de semblantz, e cura aquela entro que sia sanada.	 "Then you dry the fistula according to what was said before about its treatment, and remove whatever is in that opening of rotten flesh, and anything born in the orifices of the flesh, or of membranes and similar things, and cure it until it is healed.
Mays si la fistula es de longinqua profunditat, e es segon rectetut, lahoras cove que inscidas aquela en le preon atant quant a tu sira possible, e aprop mondifica aquela de totas las suas carns corrompudas; e aprop administra calguas envolopadas en medicinas acutas, e intromet aquelas entro a la conquavitat de la fistula, la qual has conprenduda am ferr.	 Here's the translation for the provided text:
E fay aquo am aquela alcunas veguadas entro que la medicina acuta corroda tot aquo que es romas en la conquavitat de la fistula de la corrupcio.	 And do this with some vinegar until the sharp medicine dissolves everything that is soft in the cavity of the fistula of corruption.
E aprop restaura aquela am enguentz les quals engendran carn sana entro que sia sanada.	 And then restore it with ointments that promote healthy flesh until it is healed.
Mays si no es sanada per aquo, lahoras tu cauteriza aquela segon que havem recomtat.	 But if it does not heal from this, then you must cauterize it as we have recommended.
Mays si la causa de fistula es os e es deves tu certificat aquo, lahoras tu inquireys aquela e secca aquela segon que havem recomtat, si tu no prohibeys alcuna causa de vena o de nervi o de membre principal ayssi cum havem dit.	 But if the cause of the fistula is bone and you are certain of it, then you should inquire into this and dry it out as we have recommended, unless there is any cause related to a vein or nerve or main member as we have said.
Mays si le os es a tu descubert e es en lu alcuna corrupcio e negror, lahoras tu ratz aquel entro que la corrupcio sia hostada tota; e aprop cura aquel am aquo que lu encarne entro que sia sanat.	 But if the bone is exposed and there is any corruption or blackness on it, then you should scrape it until all the corruption is removed; and then cure it with water that promotes flesh growth until it is healed.
E si no es sana e gieta brac ayssi cum fazia, lahoras sapias que tu no est pervengut a la eradicacio tota de la corrupcio; e adonc tu descuebre sobre lu segondanament e exquisitament fay la razio de lu e la mundificacio de lu am la deriera fortalasa tieua, e aprop restaura aquel.	 And if it does not heal and continues to suppurate as before, then you should know that you have not completely removed all the corruption; therefore, you should carefully uncover it again and diligently scrape and cleanse it with the strongest vinegar you have, and then restore it.
E donc si es sanat, bo es; e sino, lahoras sapias que aquela corrupcio es en la profunditat longinqua del cors, la qual no ha conseguida, e adonc a tu en aquel no es engen sino laysar aquela.	 And so if it is healed, it is good; and if not, then know that this corruption is in the deep recesses of the body, which has not been reached, and thus to you in that place there is no skill but to leave it alone.
E si le os corromput es petit, o es a tu possible atirar aquel, lahora tu le atira am forceps subtils las quals conveno ad aquo.	 And if the bone is slightly corrupted, and if it is within your power to remove it, then you should do so using delicate forceps suitable for this purpose.
E si so motz osses, lahoras exquisitament fay la extraccio de totz aquels, e de aquels no laysses denguna causa am la tua fortaleza.	 And if there are many bones, then skillfully extract all of them, and leave none unaddressed with your strength.
Mays si a tu fa contrarietat alcuna causa de las humiditatz, e en lor inscizio no ha temor ni error, lahoras inscideys aquelas liaments o carns si so aqui, e deliura les osses.	 But if you encounter any difficulty due to the moisture, and there is no fear or error in making an incision into them, then make an incision into those ligaments or flesh if they are here, and deliver the bones.
Mays si a tu no es preparacio de ostar les osses de la tua hora, lahoras pausa sobre la plagua aquo que poyresca la plagua aquela, e layssa aquela entro que aquo es al enviro de aquels osses de carns e de liamentz, e guarda la plagua que no sia consolidada, e sia constrengida la seccio la qual tu has inscidida en la tua operacio.	 But if you are not prepared to remove the bones at that moment, then place something over the wound that will soften it, and leave it until the flesh and ligaments around those bones have relaxed. Guard the wound so that it does not heal, and keep the section that you made in your operation constricted.
Habantz, si temes, pausa sobre lu coto submers en sopre trissat am oli, o coto submers en anguent egipciac, o en alcu dels enguentz vertz, quar quan poyriran aquelas liaments, e les osses son de lor seperatz la ablacio, e de aquels atraccio es alleujada.	 Hence, if you are afraid, place a cotton cloth soaked in oil or a cotton cloth soaked in Egyptian salve, or one of the other powerful ointments, for when those ligaments have softened and the bones are separated from them, extraction is easier.
Mays si es un gran os ayssi cum le os de camba o de coyssa o semblantz ad aquels, e aquo que de lu es corromput es la facia de lu tant solament, lahoras ratz aquela am resio tant solament derriera entro que sia ostada aquela negror e corrupcio, e aprop restaura la plagua.	 This appears to be discussing the treatment of an infected bone or similar part where only the surface is affected. Let's break it down:
Mays si aquo que de lu es corrumpyt es gran partida, e la corrupcio ja ha conseguida la medulla del os, lahoras es causa necessaria cerrar aquel e aquel tot inscidir entro al loc on es pervenguda la corrupcio, e lahoras cura aquel entro que sia consolidada.	 Here's the translation of the given sentence:
E yeu recomti a tu aquo que endevenc ad un home en la sua coyssa per que pausez aquela a eyssempli e adjutori sobre la tua operacio.	 And I recommend that you consider this as an example and aid for your operation.
Foc un home jove per etat entorn xxx ans, al qual accideys dolor en la sua cueyssa, e de las partidas dedintz mauguda es sobre la materia dedintz le cors entro que la materia es pervenguda a la cueyssa, e es materia de apostema am gran apostema, e no foc a lu causa extrinseca.	 A young man around 30 years of age experienced pain in his abdomen, and from the internal parts, a swelling occurred in the middle of the body until the matter reached the abdomen. It was a case of an abscess with a large abscess, and there was no external cause for it.
E adonc foc extendut le temps am aquela per la error dels metges entro que l’apostema es hubert, e acorrero de lu materias motas, e la sua curacio foc aprop pausada entro que la camba foc fistulada, e faytz son en lu motz orrificis les quals totz getavan poyredura e las humiditatz del cos.	 And so the time was extended with that due to the error of the physicians until the abscess burst, and matter flowed from it. His treatment was then stopped until his thigh was fistulated, and in him were made many orifices through which all the pus and humors of the body flowed out.
E adonc le curec multitut de metges entorn dos ans, e no foc en aquels savia ma en la art, entro que yeu fu appelat.	 And then a multitude of physicians treated him for two years, and none among them knew more about the art than I did, until I was called upon.
E vi la camba de lu e las materias que corrian de lu aquels orrificis per gran cors; e ja le cos de aquel home era tot stabozit e la color de lu era citrina.	 And I saw his thigh and the matter flowing from it through those orifices, covering a large part of the body; and the body of that man was already completely emaciated, and his color was yellowish.
E adonc yeu intromesi la tenta ad un de aquels orrificis e pervenguec la tenta al os.	 And then I inserted a probe into one of those orifices and the probe reached the bone.
E aprop yeu e perscrutat tostz les orrificis e trobegui aquels pervenir a lor de totas partidas de la camba.	 "And then I thoroughly examined all the orifices and found that they originated from every part of the thigh.
E adonc yeu me coytegui e inscidegui sobre un dels orrificis aquels entro que descrobegui una partida del os, e atrobegui aquel corromput, e ja era terros e corrumput e denigrat; e era ja corrumpuda una partida de la camba entro que havia penetrat entro a la mezola.	 "And then I cut and incised into one of the orifices that I discovered, finding a piece of bone, which was rotten and decayed; and already a part of the thigh inside where it had penetrated to the marrow was also corrupt.
E adon yeu serregui aquo que a mi era discubert e preparat del os descubert.	 "And then I sawed away what had been discovered and prepared from the exposed bone.
E yeu cujegui que no fos en le os sino aquela corrupcio la qual abscidigui e serregui, e yeu ja havia derraziguada.	 "And I thought that it was not in the bone itself but rather the corruption which I had cut away and sawed off, and already I had scraped it clean.
E aprop pausegui la restauracio de la plagua am medicina consolidativas per lonc temps, e no es consolidada.	 "And then I applied healing ointments to the wound for a long time, but it did not heal.
E aprop yeu iteregui e descubregui sobre le os segondament sobre le descubriment primier, e atrobegui continua corrupcio am le os.	 "And then I scraped and discovered on the bone further, following the initial discovery, and found continuous corruption within the bone.
E serregui aquo que a mi apares de aquela corrupcio, e aprop yeu fo perforsat fayre la curacio de lu e restauracio, e no es restaurat.	 "And I sawed away what appeared to me from that corruption, and then I was determined to make a cure for him and restore him, but he did not recover.
E adonc yeu descubri sobre lu autra veguada e no cessegui inscidir le os petit a petit particuladament e perforsa la restauracio de lu, e no es restaurat entro que inscidigui entorn un palm de lu, e aquel extraxi am la medula sua, e aprop restauregui aquel am medicinas, e es consolidat leugierament e sanat.	 "And then I opened him up again and did not cease to cut away at the bone piece by piece, determined to restore him, but he did not recover until I had incised around a palm's width of him, from which I extracted his marrow, and then I restored that with medicines, and it healed slightly and became sound.
E no es necessaria iteracio en la operacio de lu e seccio de lu sino per la disposicio de la freulesa de lu e per la paucitat de la tollerancia de lu e paor de lu de mort, quar a lu accidia en totas horas per superfluitat de evacuacio sincopi mala.	 And it is not necessary to repeat the operation on him or perform an incision except due to the condition of his weakness and lack of tolerance for it, because he is afraid of death, as he is always in danger of sudden, severe fainting episodes.
E donc sanat es per sanacio entiera, e nada es en loc de os carn dura; e es fayta bona la disposicio de lu en le sieu cors e retornec la vertut de lu; e es conversat en las suas disposicios e no fec a lu contrarietat en ambulacio ni nocument en denguna causa.	 Therefore, he is healed by complete healing, and nothing remains in the place of hard flesh; and the disposition of his body is made good, and his strength returns to him; and he is returned to his usual habits, not suffering any opposition during movement or any harm for any reason.
Mays si es os eminent en loc del cors ja trauquat, lahoras cove que tu secces aquel segon aquesta manieyra: e es que tu prenguas liament e strenh aquel en la extremitat de aquel os eminent, e comanda ad alcu que extenda aquel en sus; e pausa aquel liament de lana pus gros del primier liament; e aprop lia aquel sobre la carn que es dejos le os, e exten la extramitat de lu per que atires la carn a las partidas dejos, e tu descuebras la carn sobre le loc le qual voles serrar per que la serra no leda la carn.	 But if there is bone protruding in the place of the previously treated body part, then you should cut it in this manner: and that is to take a ligament and tightly bind it at the tip of the protruding bone; and command someone to stretch it out; and place the thicker woolen ligament over the remaining soft tissue; and then tie it onto the flesh beneath the bone, stretching the extremity so that you pull the skin towards the split areas, and expose the flesh in the location where you want to saw, so that the saw does not cut the flesh.
E pausa fust o taula dejos le os decentment, quar quan tu fas aquo no es prohibida la serra que no secce la carn corrumpuda.	 And place a stick or board under the bone properly, because when you do this, it is not allowed for the saw to cut the rotten flesh.
