Ayssi comensan las paraulas de Albucasim .	And here is the translation of the given line:
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	And I will proceed in this chapter in the same manner, so that the seeker may be relieved concerning what they have asked about.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	And before I begin this, son, you must understand that in this chapter, what is terrifying here is similar to what is in the first chapter on cauterization.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	And because great caution is required, for in the operations described in this chapter, many times there is evacuation involving blood, which is essential to life, such as venesection or incision on an abscess, or exposure of a foreign body, or purging of a plague, or extraction of an arrowhead, or removal of a stone and their equivalents.
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	And with all of these is accompanied fear and trembling, and in the majority of cases, death.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	And I warn you that this should not happen to you in which there is danger, because sometimes your ways of treating must be changed due to various diseases. 
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	And of them there are some who will die from their illness and this is quick because of the death that follows it, and this due to the intensity of what they find in their sickness, and by the length of their illness, and with the illness comes fear which signifies death.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And among those is the one who gives you their possessions and says that you are hoping for health with them, and their illness is deadly.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	And therefore you should not consent to those who come to you in this manner; and your caution should be greater than desire and your greed; and do not presume any reason for this except certain knowledge that confirms what you must do, and which by subsequent successful outcome is praised.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	O, sons, God inspire in you His understanding and does not remove direction and protection from you, for this is in His hands.
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	And I have ordered this chapter distinguishing by sections according to what was previously covered in the chapter on cauteries, about the treatment from head to foot, so that it may be made easier for you what you ask of this and of which you have need.
Capitol primier.	First chapter.
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	On the treatment of water that is contained in the head of children.
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	Know that this disease often occurs due to childbirth and when the wet nurse squeezes the child's head too tightly.
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	And sometimes it occurs due to hidden causes that are not known.
Mays yeu no vi aquesta malautia sino en les enfantz; e a totz aquels les quals yeu vi se coytec la mort, e per ayssi es a mi vist layssada obra en aquels.	But I have only seen this disease in children; and in all those cases, death followed closely, and thus it seems to me that it is a fatal condition for them.
E yeu e vist que un enfant le cap del qual era d’aygua omplit, e·l cap de lu era totjorn ayssi magnificat entro que ceser no podia sobre si meteys per la grandesa del sieu cap, e mays que la humiditat fe aucmentada entro que foc mort.	And I have seen a child whose head was filled with water, and the head of the child was so enlarged that he could not support himself due to the size of his head, and the humidity increased until it caused death.
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	And this humidity is either added between the tendon and the bone, or it settles below the bone on the spine.
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	For the operation in that case where the humidity is between the tendon and the bone and the abscess is small, then you must cut at the middle of the head with a slit horizontally, and the length of the slit should be about two fingers so that the humidity can flow out, and this is the form of the spatula.
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	And therefore, if the humidity is more increased and the abscess is larger, then there should be two slits according to this method:
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	And if the humidity is below the bone, a sign of this is that you see the sutures of the head open in all parts and water is squeezed out when you compress it with your hand on the inner parts, and this was not previously noticed.
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	You must cut at the middle of the head with three slits according to this method:
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	and then extract all the humidity from it; and then secure the slits with bandages and poultices; and then wash over it with wine and oil until the fifth day, and then remove the binding and treat the wound with lint and ointments, and bind the head evenly; and feed the patient with dry food of little moisture until the member is strengthened and healed.
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	And there is another method of incision, which you should consider in relation to the magnitude of the abscess and the collection of water, because sometimes it may be more towards the occiput, or in the front part, or on the right side, or on the left; and thus pay attention with the incision where the abscess and the accumulation of water appear, and do this according to what is best possible for you.
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	And observe that you do not cut the artery, so that blood does not flow and the patient does not die from that flow of blood with the evacuation of humidity.
Capitol .ii.	Chapter II.
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	On the incision of the arteries that are near the ears, called helixes.
Capitol segon.	Second Chapter.
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When catarrh or rheumatism occurs in the eyes or foot, and this has been long-standing, and you do not achieve healing through medical treatments, then the final remedy in this case is to incise those two arteries.
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	And thus, when you want to incise those arteries, the patient should raise their head, and then rub the area with a coarse cloth so that the arteries appear, and then tie the neck of the patient tightly with some cloth; and then identify where the pulse is felt; and the locations of each artery are near the ears, though they may be hidden in some people.
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	And then mark the artery with a probe, and then incise each one with an acute spatula reaching through to the bone, and this is done across the width of the head.
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	And if you want, insert the spatula under the artery and break it at the points above.
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	And the length of the incision should be about two fingers wide, because when any vein is cut open, blood flows out with a pulsating exit, which sprays out frequently.
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	And if the artery does not appear at the binding site, then you must measure from the earlobe a distance of three fingers' width, and then mark it with a probe, and go into the bone.
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	And what is needed to let blood is a quantity of wine unciae, and strongly from it do not let more or less, and all this is according to the amount that appears of the patient's strength and the fullness of their artery.
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	And then examine the wound, and if there remains any cause of infection on the bone, then cut away that part so that it does not become abscessed with a cautery.
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	And then strengthen the wound with poultices and linen bandages, and then treat it with ointments until it heals.
Capitol .iii.	Chapter III.
De extraccio de las arcerias las quals so en las templas.	On the extraction of the arteries that are in the temples.
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When an individual suffers from chronic migraines or sharp pains, caused by moistures and qualities in the veins of the temples, or if they are severe and similar to these, and treatment with medical methods does not help, then we resort to extracting the arteries in the temples, or cauterizing them as we have shown.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	And the method of the operation and extraction is that the patient shaves the hairs that are in the temples; then locate the visible artery in the temple where it can be shown to you by its pulse, as it is hidden in only a few people due to thick hair.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	And if it is hidden from you, then the neck of the patient should be stretched with some cloth; and then rub the area with a rough cloth or evaporate the area with hot water until the artery appears clearly to you.
E lahoras tu pren le spatum del qual aquesta es la forma:	And now you take the spatula, which has the following form:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	And then you carefully scrape the vein with that instrument until you reach the artery; and then insert it in there and extract it from the superior parts until you remove it from the vein and uncover it from the tunics which are left behind, from all sides.
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	But if the artery is delicate, then wrap it with the tip of a needle, and then divide it in part according to the extent to which its ends are elongated and contracted, and there will be no blood flow, for if they are not divided, the blood will not rise fully.
E aprop evacua del sanc de vi unc. entro a tres.	And then evacuate one to three ounces of blood.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And if the artery is large, then you must tie it at two places with strong double-threaded silk or with long cords, and do not worry about putrefaction before the wound heals and the blood flow stops.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And then cut away the excess that is between two ligaments; and do this at that time or around another appropriate time.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you want, cauterize that area with a cautery between the bone using a knife-shaped cautery before cutting off the extremities of it, and let it stay in place for the same procedure.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	And it is better to perform the procedure when the patient does not have a fever or a hot temperament; for cautery is one of those causes that help to dry out excessive moisture, and therefore it is better in treatment.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And before the extraction of the arteries, fill the area with an old cloth, and place it over the wound properly dressed, then treat it with dry medicines to promote flesh growth and use bandages until it is healed.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while you are working another time blood flow from the artery starts again, then you must act to stop that bleeding, either by using a cautery or by filling the area with a cloth, and hold your hand firmly until the bleeding is stopped.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if none of those causes is present for you, then place your finger on the spot where the blood has congealed, and apply a cold water compress to the area until the sharp pain subsides, and be firm as needed.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And the lighter method for extracting an artery is that you cauterize the vein with this cautery having two blades, since you have marked the two spots with a probe, and then place them, light a fire, until they reach the bone and divide the vein into two places, so that what is between the ends of it is elongated, because they are not fully consolidated by this cautery.
E aquesta es la forma del cauteri:	And this is the form of the cautery:
E sia la acuitat dels dos cotels esemps.	And the sharpness of the two blades should be similar.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	However, if the sharpness of the two blades is less, it is better, because if they are as sharp as two blades close to each other, they will not cut the flesh too quickly.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, since there is some thickness in them, the heat of the fire is retained in them, and the flesh is cut easily.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better than all other works and lighter.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And let the space which is between two ribs be the quantity of the thickness of a finger.
Capitol quart.	Chapter four.
De la cura de cors de lagremas agudas e aciduas dels huels.	On the treatment of acute and acidic tears of the eyes.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When those tears are acidic, and it is the condition of those veins which are on top of the head that have become inflamed, and you do not find any cause for medical treatment in this regard, sometimes the face of the patient becomes red, and they feel a tingling sensation on their forehead as if it were an ant's crawl. The eyes themselves become weakened to such an extent that the eyelashes are noticeable, and the eyelids are scratched by the sharpness of the tears. Ancient bitter remedies were used in the treatment of this condition, and I do not name that treatment lightly.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And you command the patient to pluck the hairs that are on their forehead, and then make three incisions in the forehead equally spaced according to the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the incision is about two fingers: the first incision should be equally distant from the length of the nose at the middle of the forehead, the second according to the length a little past the movement of the eyelashes which are in the lacrimal area, and the third on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And be careful of the beginning of the arteries which are on two sides, and stretch your hand from the continuation of both jaws.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space between each incision is the quantity of three fingers placed together.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a piece of sponge prepared or dry cloths with which to dry the blood.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And then insert the spatula with two sharp ends, of which this is the shape of the incision:
que es de la partida des templas entro a la segonda inscizio.	The sentence "que es de la partida des templas entro a la segonda inscizio" can be broken down and translated as follows:
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Here is the translation of the sentence:
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	And then stretch this spatula and insert into the first incision another instrument which is called a knife, sharp on one side and not sharp on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	And place the sharp edge of that instrument against the attached flesh and on the side of the lion within the bone, and drive it in until it reaches the middle fissure, and with that cut off all the vessels descending from the head to the toes.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	And if the incision needs to be continued on this part of the chain (possibly referring to a specific area or structure), then do this in the middle fissure between another fissure.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And since a considerable amount of blood flows out, press the areas where the clotted blood is located.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	Then place in each crack some old wool, and put over those powders mixed with wine and oil and vinegar, and ensure that it does not develop an abscess due to heat.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day, remove the bandage and administer a strong infusion of hot or warm water, and then treat it with basil ointment mixed with rose oil and other remedies until the wounds are healed.
Capitol .v.	Chapter 5.
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	On the treatment of tears through catharsis and the descent of humors from within the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When there is a good and continuous catharsis occurring, and at times the humors of the patient are weakened slightly, and their vision is already debilitated, and the eyelids are ulcerated and the area around the eyes is inflamed with hair loss, and there is acute pain in the forehead along with subsequent sneezing, you should know from these symptoms that the materials and catharsis do not come but from small veins within these areas.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	And the best treatment for that is this: command the patient to shave their forehead, then make an incision in that area at the center of the forehead, a small one in width (and begin with the fissure from the left temple towards the right temple; and let the incision go through the bone; extend your hand beyond the swollen temples which are affected by chewing), until the bone is exposed.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry all the blood with a sponge or with dry cloth and then fill between the two lips of the wound with old wool or cloths.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	And then apply it with powdered material mixed in wine and oil so that it does not lead to an abscess forming.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when you unbind it and see that the abscess has already decreased, then you must rub the area where new flesh begins to grow, and then treat it with a drying regimen that promotes the growth of flesh, just as if you take two parts of wheat flour and four parts of colophony and mix them together, and from these an ointment is made and applied to these areas for the nativity of the flesh.
Capitol .vi.	Chapter VI.
De la cura de aquo que catz en las aurelhas.	On the treatment of what affects the ears.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	All causes that affect the ears are of four types: either it is a mineral stone or something similar to a stone, such as iron or glass; or it is from a plant, such as sesame or bean; or it is a fluid cause, such as acidic water and vinegar and their likes; or some kind of small creature.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	And therefore, when a stone enters the ear or another similar cause from those causes that do not fit or grow in the ear, and expose the ear to the sun, if you find the stone, then distill some substance of violet oil or sesami into it, and then administer its extract, and make them sneeze with condizi, and plug the nostrils before the sneezing occurs.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And then place some pieces of cloth or wool around the earlobe, and stretch the earlobe upwards to the points where warts have appeared, because warts are often caused by these reasons.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not expelled, then administer extraction from them with the instrument called subtlety of epicyclical gestures of which this is the form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	And if it is treated with gestures, that is good; and if not, then administer the extraction of it using an ounce of finely ground powder.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	And if it is not caused by that, then make a cannula of iron and insert the end of the cannula into the ear canal, and seal around the cannula with wax and softened oil so that only the cannula remains open.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	Then extract with your breath using strong suction, for it helps greatly as we have recounted.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	But if it is not resolved in this manner, then take some frankincense or similar prepared substance with which birds are caught in small quantities, and place that at the end of the ear, and then wrap something over it properly.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	Then insert that into the ear canal easily, and then dry the ear of its moisture.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And if it is not resolved by all the methods we have described, then you must consider incising that area before it develops into an abscess or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	The method of incising that area is to first bleed the patient from the saphenous vein and extract blood according to the patient’s strength, then grasp the earlobe between your fingers and turn the ear upwards, and finally make a small incision at the edge of the earlobe, removing the pus from the deeply pressed area.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And if the crack of a lunar shape reaches to the stone, and once the stone is found, remove it with appropriate instruments; then quickly close the crack at that moment, and care for it until it is healed.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause for the issue in the ear is one of the growths that have grown and become inflamed, then administer its treatment and extraction; but if it does not respond to this approach, then take a thin, delicate spatula according to this method:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	and use it to remove the growth that has occurred in the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not perform this when you think it is already moistened by the vapor of the ear. Place it in several small pieces, and then extract them with tweezers or delicate movements, or by incision as we have said, for the extraction is easier this way.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	However, when water has entered the ear, the patient should start with a sneeze under certain conditions, and fill their ear with some old cloth, and jump on the ear that contains the water; if it is thus expelled, it is good. If not, then take thin stone rods and levers according to the length of a finger, heat them slightly over fire, and have the patient insert one of these into the opening of their ear, jump a bit from that side, and strike the stone inside the ear with another stone.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Therefore, do not stop until all the water has been completely removed.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc i, e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And already the water should be poured in such a way that you take paper or reed, and put one end of it into the ear and extend the other end with fire until its middle part is burned.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And then introduce another syringe and do this so many times until all the water is extracted, and squeeze that with a cannula as was said above about the stone extractor.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	Here is the translation line by line:
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	And in the extraction of a worm generated in the ear, when you treat it as we have said in the section and in the treatment of distillations and do not complete your cure, then you must look at the ear to the sun.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And therefore if any sign of worms appears here, then extract them with gestures or with fine needles; but if no cause appears, then take a tube that is narrow at one end and wide at the other, which has this form:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And insert the thin extremity into the ear according to the amount that the patient can tolerate; and then suck with that through strong suction, and do this multiple times until all the worms have been expelled.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	And if you do not obey the instructions, then plug and seal the tube's circuit with wax as we have said; then administer distillates that have already proven effective in the treatment of worms, and you will find this in the section on distillates.
