Praefatio.	This is an introduction to a medieval Latin textbook on
Deinde cura ipsum, donec sanetur.	Thereafter take care of it so as to recover.
¶ De perforatione apostematis, quod accidit sub Titillico.	Concerning the puncture made by a needle (under Tillelius). This sentence seems more like historical context rather than something that can be translated into instructions or actions for medical care in line with Albuc
Caput XLVIII.	Head of Section Forty-Eight.
Ista apostemata quae accidunt sub Titillico, sunt ex speciebus Strophularum dura, quae continet kistis, et ex eis sunt quae continent humiditates.	This puncture made by a needle (under Tillelius) that occurs in species of hard earthy composition containing seeds and those which contain moisture are discussed herein as Apostema Strophularum, Section Forty-Eight. This section appears to describe the conditions under which specific types of soil punctures occur due to medical intervention by a figure named Tillelius, likely from historical records or texts discussing local flora and fauna
Quae ergo sunt ex eis quae continent humiditates, oportet ut secentur sectione lunari, secundum hanc formam, ex linea b. ad lineam, g. cum ergo euacuatur totum quod est in apostemate ex sanie, tunc imple ipsum coto ueteri, et dimitte ipsum usque ad diem alium.	Which are therefore those that contain moisture and should be divided into crescent moon shapes as per line 'b' to line 'g', so after being sectioned the entirety within this wound can be cleansed with caustic ointment by an elder, which is then released until it dries up on another day. This procedure aligns closely with Albucasis’ methodologies of treating lesions and infections through careful excision followed by thorough cleaning and dressings using herbal concoctions or substances known to the practitioner's time, aimed at promoting healing within a medieval context where such precise knowledge was often based on empirical evidence gathered from local flora. The mention of 'elder', specifically referencing Sambucus nigra (Elderberry), underscores its role as both
Deinde auferatur cotum, et curetur cum unguento conueniente ad illud, donec sanetur.	Thereafter, his bowel is withdrade and treated with a suitable ointment until it heals.
Quod si apostema fuerit ex specie nodorum Strophularum, tunc scinde super ipsum, sicut diximus in sectione super Strophulas aequaliter.	If the tumor is of strophular variety (a type of benign skin growth), then cut it as we have explained for Saphenous Vessels: equally above and below.
Si autem extenditur uulnus in hoc ut emittat pus, tunc administra in eo cauterium, secundum quod diximus in eo quod praemissum est.	If it further extends into the form of a boil (an inflamed skin lesion caused by bacteria), then apply hot iron to that part according as we have instructed beforehand for similar cases.
¶ De sectione apostematis quod accidit propter Arteriam et Venam.	Regarding the incision of a tumor due to artery and vein, it shall be done in this way [following specific guidelines for accessing vascular structures].
Caput XLIX.	Head Section Forty-Nine.
Quando disrumpitur Arteria, et consolidatur cutis quae est supra eam, tuno multotiens accidit inde apostema: et similiter accidit Venae etiam, ut accidat in ea apostema et inflatio.	When the artery is severed and the skin above it hardens (which can happen after vessel removal), an abscess often forms at that point [and similarly with veins when they are injured]. This leads to swelling, which may also occur in venous injuries leading to a tumor-like inflammation.
Et signa quibus cognoscitur, quod apostema et inflatio sint propter Arteriam et Venam, sunt: quoniam, quando apostema est propter arteriam, est longum, aggregatum in profundo corporis: et quando impellis apostema digits tuis, sentis quasi sit ei stridor.	And the signs by which one knows that an abscess and swelling are due to Artery and Vein [are these]: When it is caused by artery injury, then there will be a deep wound in your body: And when you propel an abscess of yours toward its fingers or digits, feels almost as if those were stridor. These symptoms reflect the depth and proximity to organs associated with injuries to these vessels.
Et illud quod est propter Venam, est rotundum in manifesto corporis.	And that which is due to Vein [will manifest as a swelling resembling a bulging mass on the body]. This reflects localized fluid accumulation often seen with venous issues leading to inflammation
Et sectio super hoc apostema est error, et praecipue quod est sub ascellis, et inguinibus, et collo, et in locis multis corporis: et est magnum ualde.	The practice of cutting over this abscess is an error [and particularly when it occurs under the skin (subcutaneous), in the groin, and on the neck], as well as throughout various parts of the body where such occurrences can happen: It represents a serious harmful procedure.
Oportet ergo ut deuitetur eius cura cum ferro, et quod ex eis etiam est in extremitatibus, aut in capite, oportet ut deuitetur.	Therefore it should be treated with iron (which was a common medieval treatment thought to draw out pus) [and similarly for abscesses that occur on the ears or scalp], so they too must be attended to in those areas as well. This suggests applying hot, metallic instruments believed at the time to have therapeutic properties against such lesions through evaporative cooling and perhaps some form of heat therapy intended
Super illud ergo quod ex eis est ex inflatione orificii Arteriae, finde in cute sectione in longitudine.	This is found by cutting through the artery at a lengthwise incision in the flesh.
Deinde aperi sectionem cum uncinis, postea Arteriam: et libera eam ex tunicis, donec detegatur.	Then cut with an instrument to open it and remove its covering until found. Then insert a needle into the artery and extract blood flowing from there until captured by syringe or vessel ligature. (Translation omitted as per instruction)
Deinde intromitte sub ea acum, et fac eam penetrare usque ad latus aliud, et stringe Arteriam cum filo duplo in duobus locis, secundum quod docui te in extractione duarum Arteriarum quae sunt in timporibus.	Then thrust under it and stretch until reaching the opposite side; tie both ends of the artery with double thread at two places as I taught you for extracting a pair of blood vessels lying within the hollow spaces (translation omitted)
Deinde punge locum, qui est inter duo ligamenta cum spatumili, donec egrediatur sanguis qui est in eo totus, et soluatur apostema.	Then pierce the space between two ligaments and a tendon until all blood within that flows out entirely and is removed by suction (translation omitted). This instruction involves understanding the medieval context of surgery techniques such as cauterization or bleeding control, which might not directly translate to modern medical terminology. However, based on available historical knowledge regarding Albucasis's work in Arabic medicine during his time, this sentence appears to
Deinde administra curationem quae generat pus, donec cadant ligamenta: postea cura illud cum unguentis conuenientibus ad illud, donec sanetur.	Then apply treatment that generates pus until the tendons fall off; afterwards treat it with suitable ointments as instructed in this context, so as to heal. (Translation omitted)
Quod si fuerit apostema propter sectionem Venae, tunc oportet ut teneas manu tua quod tibi possibile est ex apostemate cum cute.	If it should become an abscess due to the incision in the vein, then you must hold your hand over that possible wound with a part of skin that is feasible for you until healed by suction or other methods as may be necessary (translation omitted) This instruction addresses the potential complications arising from surgery and provides direction on how to manage them using traditional medieval practices. The mention of applying treatments,
Deinde intromitte acum sub loco quem tenuisti manu tua, et fac eam penetrare: et sit in ea filum duplum, donec extrahas ipsum ex latere altero.	Then thrust immediately under the place where you held your hand, and stretch it so that there is a double thread within until blood flows out from outside on the other side (translation omitted) This directive appears to advise immediate response following an accidental wound or injury during surgery using simple tools available at the time.
Deinde liga cum ipso apostema ligamento bono: secundum quod dixi tibi in ligamento uuae, a duabus partibus cum duabus extremitatibus fili.	Then tie together with this wound's ligament as I directed you concerning the other two previously mentioned ones; at both ends of one thread from each side of its extremities (translation omitted) This seems to refer to a method for repairing an injury using ties and threads, likely after parturition or childbirth. The procedure involves securing flaps with sutures as per Albucasis's teachings in this period when surg
Si autem times quod extrahatur filum, tunc intromitte acum aliam cum filo alio sub apostemate toto apud incisionem acus: preme, et stringe fila tua in quatuor locis.	If however they remove the hair root that is attached outside (of a follicle), then insert another one of its roots underneath at an apostempt position through the incision; press and compress your thread into four places:
Deinde seca apostema in medio sui, donec quando egreditur quod in eo est: tunc incide superfluitatem cutis, et dimitte quod ligatum est ex ea.	Thereafter dry the incision within themselves until it emerges that which is contained therein; then when it comes out what has been bound through this shall be loosened and released: press up to remove excess skin and release the threaded material accordingly.
Deinde pone super ipsum puluillum quem submersisti in uino, et oleo.	Thereafter place a compressive pillow that has been submerged into water on top of it: apply oil subsequently. This instruction likely pertains to post-operative care following surgery or treatment involving hair removal and suturing (lig
Deinde administra curationem, quae fit cum liciniis et unguentis, donec sanetur.	Thereafter provide the dressing regimen which includes oil of olive mixed with honey: continue until healed. This instruction refers to traditional methods for treating wounds in medieval Latin texts derived from Arabic influences on European medicine, emphasizing natural remedies and local
¶ De apostemate quod accidit ex torsione Neruorum.	Concerning the incision that occurred due to a spasm of Neuro's muscles (neck), if you could provide more context or restructure, I would be glad to assist with
Caput L.	Head Section C: In this section titled "Inc
Sicut accidit apostema in Arteria et Vena, similiter accidit apostema in Neruis: quod accidit in eis percussio, aut accidit a labore superfluo, et similibus: et fit plurimum illis in locis adiutoriorum, aut calcanei, et in omni loco in quo mouentur iuncturae: et est apostema graue.	Similarly to incidents that occur within the artery and vein (artery and vascular injury), similar occurrences happen with nerves: which happens as a result of percussion or from labor's unnecessary exertion, similarly in many places along their attachments—be it on the heel bone (calcaneus) or where ligaments are attached to any joint. These instances constitute deep and chronic wounds requiring professional medical attention.
Similatur color eius reliquo corpori, et est in pluribus dispositionibus absque dolore: et quando stringitur cum uehementia, sentit in eo infirmus simile stupori.	The remaining flesh retains a similar hue to the injured area and is found without pain in various positions; when tensioned with force, it feels weakened like intoxication within him. This implies that despite surgery or treatment for nerve-related issues (neuralgia), there might be residual soreness but no acute distress even upon physical strain – a phenomenon perhaps indicative of chronic pain conditions where the sensory threshold is altered. In such cases
Et non est apostema aggregatum in profundo corporis, imo est sub cute, et ipsum mouetur ad omnem partem, et non uadit ad anteriora, uel ante, neque retro ad posteriora.	And it is not an encapsulated wound within the body but under skin (subcutaneous), and itself moves to all parts of the body without advancing forward or backward: this indicates that abscesses which are confined beneath the surface, do move throughout various areas independently from each other. In modern medical contexts, subcutaneous emphysema can occur where gas has escaped into spaces under the skin but does not spread beyond its original location; however, in a historical or less standard understanding of path
Quod ergo ex eis est in iuncturis, non oportet ut inuadatur cum ferro.	That therefore should not be pierced with iron from those joints.
Fortasse enim accidet contractio.	However perhaps contraction occurs.
In illo autem quod ex eis est in capite, aut in fronte, finde cutem cum spatumili.	But find the wound with swords or spearheads on that which is within the head, or upon the forehead.
Si ergo est apostema paruum, tunc tene ipsum cum forficibus, et abscinde ipsum a radice.	If then it happens to be an abscess of some kind in that patient's body wound with fingers and remove the base from its root therewith.
Et si est magnum, tunc suspende ipsum eum uncino, et excoria ipsum: deinde aufer ipsum, et aggrega uulnus cum sutura: et cura ipsum, donec sanetur.	And if it is a large one then suspend the wound with thread and strip off its exterior; afterwards remove what remains thereof within outwardly and bind together two forefinger-sized pieces of flesh using suture: take care of that patient until he/she has recovered.
¶ De sectione apostematis, quod accidit in uentre.	Concerning the incision of an abscess located between organs or cavities within the body.
Caput LI.	Head Fifteen (The specifics pertain to a
Accidunt quibusdam hominibus multotiens in uentribus eorum, et in reliquis corporibus ipsorum, thelil, quae nominantur Fungalia, per similitudinem ipsorum cum fungis.	Therefore some of those people suffer numerous abscesses between their organs and other parts of their bodies, particularly in the throat region (also called 'Fongalia' due to its resemblance with mushrooms).
Quorum radix est subtilis, et ipsorum caput est grossum, et conuersa sunt labia eorum.	Their roots are delicate and the rest of their body is large; however, they have small lips among themselves. This statement suggests a contrast in physical attributes that might be related to how these organisms or individuals cope with abscesses—perhaps indicating different susceptibilities or methods for treatment within
Et est ex eis paruum: et est ex eis quod magnificatur ualde.	And it is from an abcess, and that which enlarges the wound with pus. It seems this part of Albucasis's text focuses on how abscesses can expand if not properly treated or dra
Et ego quidem iam uidi uirum, et in uentre eius erant duo thelil, quae erant magis quam rebus aliis similia fungis: non erat differentia inter ea, alba, minutae radicis, et inuersabantur labia eorum, et findebantur, et humiditas currebat ex eis semper.	And I myself have seen a man with an abscess between his teeth; and there were two such wounds on him which were larger than any other fungal growths known to me: the difference was not that of color or size among these white, delicate roots but in how they are covered by lips. He took them for granted until humidity flowed from within them always. It appears Albucasis recognized specific physical traits associated with certain diseases—in this case an abscess between teeth which continues to leak due to ongoing moisture or fluid accumulation inside it.
Incidi ergo ea, et inueni in pondere unius quasi X et VIII uncia et in altero quasi VI uncia Et operatio in incisione eorum est, ut consideres tunc, si infirmus est humidus, et color thelil est albus, humidum, subtilis radicis: tunc incide ipsum cum spatumili lato, et sint in praesentia tua cauteria in igne.	I incised them so that they weigh almost X and eight grams together on one side and about six grams on the other; then I cut into their sides like this: if he is weak with moisture, his skin turns white, wet, thin as a root. Then incising according to these measurements along with some spatula-like instrumentations should be done now by your care for fire.
Multotiens enim expellitur apud sectionem eius sanguis multus: propera ergo si te uincit sanguis, tunc cauteriza ipsum.	Often blood is driven out at the cutting site; therefore if you are hampered by bleeding from him, then immediately start to cauterize it.
Quod si uides infirmum pauidum et timidum ab incisione cum ferro, tunc accipe filum ex plumbo decenter factum, et stringe cum eo athelul: cuius modus est quem diximus, et dimitte ipsum duobus diebus.	If you see him weak with poverty and fear from the cutting with fire, then take a thread made of lead melted out and tie it together with ashy wool: which is how we have spoken; release him after two days.
Deinde adde in strictura plumbi.	Thereafter add to his constriction by the pipes.
Non ergo cesses stringere plumbum, quotiens imprimit in thelil, donec abscindatur, et cadat per se absque labore.	Thus you should not cease to tighten lead on him as long as it turns into ash until he is abandoned and dies without any effort from himself. This instruction comes after dealing with a patient that continues to bleed despite cauterization, indicating the need for additional measures such as applying pressure or using constriction by plumb (lead pipes) to control hemor
Si autem thelil grossae fuerit radicis, tunc in incisione eius est quiddam timoris et pauoris: praecipue quod est in uentre.	If then his root was thickened with blood and pain stemmed from poverty or weakness of the bowels, especially when it is located between them; thus cutting into such a wound requires courage and concern for suffering due to its critical location within the belly region requiring immediate surgical intervention.
Verumtamen possibile est, ut incidas medietatem eius.	However, it is possible that I may cut his side halfway through as well in order to remove any impurities or foreign bodies within the wound for a more thorough treatment and
Deinde cauteriza ipsum, ut non redeat.	Therefore immediately start cauterizing it so that he does not bleed out again after surgery due to hemorrhage control is critical in
Deinde cura ipsum, donec sanetur uulnus.	And then take care of him until one returns. This suggests continuous postoperative care and observation are necessary for recovery before returning home, implying that the patient'
Et caue ne praesumas incidere thelil quod est fusci coloris, pauci sensus, foedi aspectus: ipsum enim est apostema cancerosum: et ego ueniam cum rememoratione Cancri post hoc.	And avoid assuming to cut through his skin which has a dark color with few sensations and fatty appearance; for he is already an apesome, suffering from advanced cancerous growth: I myself have been after the treatment of this patient now named 'Cancer'. This statement implies dealing with complex medical conditions that require specialized knowledge beyond mere surgical skills.
¶ De cura eminentiae Vmbilici.	For treating wounds with alcohol-soaked bandages.
Caput LII.	Chapter XX.
Fit eminentia Vmbilici ex caussis multis.	The choice of treatment for the wounded is many, according to Albucasis' textbook on surgery in medieval Latin translations from Arabic sources during the Islamic Golden
Aut ex fissuris sifac, quod super uentrem est: et exit ex eo althub, aut intestinum, secundum quod accidit in reliquis rupturis.	From a chasm by the tooth's tip that is open; and from it flows either out of the mouth or into the bowels, as happens with other wounds.
Aut ex sanguine qui fluit ex Vena, aut ex Arteria, secundum quod praemissum est.	From blood that comes forth from a vein or an artery, as prescribed previously.
Aut ex uentositate coartata in eo.	And also due to venous constriction within it.
Si autem est propter fissuram sifac, et exitum thirbi: tunc est color apostematis similis colori corporis: et est lene, absque dolore: et apparet diuersi situs.	If the opening is due to a chasm by the tip of the tooth and causes blood-stained expectoration; then it has a skin-colored appearance without pain and shows different appearances for various timescales.
Et si est propter egressionem intestini, tunc est situs eius, cum eo quod narrauimus, uehementioris diuersitatis.	And if due to expectoration from the bowels, then it has a location as described in what we have narrated; with more intense variability of appearance over time periods.
Cum ergo tu premis ipsum digitis tuis, occultatur: deinde redit, et fortasse est cum eo sonitus: et magnificatur multum apud introitum balnei, et laborem uehaementum.	So that when you apply oil to your fingers (presumably for the treatment), it becomes invisible; then returns and perhaps is accompanied by a noise; and might even get much attention at bathhouse entrances due to excitement or commotion caused by laughter, amusement, etc. Please note: This sentence contains anachronistic references that are not consistent with medieval Latin usage. In the context of medical treatments during Albucasis' time (10th-century), such descriptions would be considered irrelevant and non-historically accurate. The mentioning
Si uero est propter humiditatem, est lene, tunc non occultatur quando premis ipsum manu tua, neque constringium, neque additur.	If indeed due to moisture—then it is soft when you apply oil with your hands; at no point does concealment occur nor contraction happen upon application.
Quod si est propter sanguinem, tunc cum istis signis apparet apostema ad nigredinem de cliue.	What if due to blood—then with these signs it appears apoplectic blackness as of the dye from a mule's tail (black dyed wool). This metaphorical expression likely refers to the discoloration caused by fresh bleeding, which was known in Albucasis’ time and documented
Si autem est propter carnem natam: tunc est apostema graue, grossum, durum, et figitur secundum quantitatem unam.	If for a body that has just been born—then it appears pale grey and is of considerable size with firm texture; forming its appearance proportional to the one singular measurement mentioned beforehand. This description pertains to neonatal jaundice, where newborn babies typically exhibit a yellowish tinge in their skin due to elevated bilirubin levels until these
Si uero est propter uentositatem, tunc tactus eius est lenis.	If it is for his welfare, then its touch feels light at that time.
Et operatio in illo est, ut consideres tunc, si eminentia umbilici est propter sanguinem Arteriae, aut Venae, aut uentositatem: tunc oportet ut prohibearis a curatione eius.	And if the operation is such that the umbilicus' enlargement results from blood of arteries or veins, or for his welfare at that time: then it should be considered as necessary to exclude curing him.
Nam in illo est timor et pauor, sicut docui te in capitulo, in quo dixi apostemata propter arteriam et uenam.	For there is fear and weakness in it, just as I taught you in the chapter where said that about blood of arteries or venous return causes disorders: similar timidity exists here too.
Quod si eminentia umbilici est propter intestinum, aut zirbum: tunc oportet ut praecipias infirmo, quatenus teneat anhelitum suum, et stet stans extensus.	And if the enlargement of umbilicus is due to intestines or stones at that time: then it should be considered with caution when standing upright until his breathing becomes labored and he stands stretched out straight.
Deinde signa cum encaustro in circumitu umbilici totius.	Then signs of engraving on the entire belly should be looked for with an encasement pen, a tool used at that time to mark skin surface preparation areas before surgery or
Postea praecipe ei, ut resupinetur inter manus tuas super dorsum suum.	Then command him: Let his back lie under the palm of your hand.
Deinde circunda cum spatumili lato in circumitu umbilici super locum quem signasti cum encaustro.	Then surround with bandages over the marked area on his belly just encircled, as a step to secure and cover before proceedstatic procedures were common practice at that time: this was done not only for protection but also possibly for infection control or maintaining body temperature during surgery.
Postea extende medium apostematis ad superiora, cum uncino magno.	Then extend the large bandage above to his shoulders with a hook: this method of securing and covering wounds was used before modern sutures were available in medieval times for managing post-operative
Deinde liga eum in circumitu forti cum filo, aut cum chorda de serico ligamento firmo: et sit nodus ligamenti alenxotati.	Then join him with the strong bandage around his bellyline using a sinew string or silk thread and tie knots securely at intervals to ensure that it is tight enough not to move but also allow for slight expansion due to swelling: this procedure would have been crucial in medieval surgery, as they had limited access to anesthetics and needed ways to control pain.
Deinde aperi medium apostematis extensum supra ligamentum.	Then open the extended bandage just above the abdominal ligament with a knife or surgical tool: this step likely indicates that it was time for inspection,
Si ergo inueneris ipsum iam captum a ligamento: tunc extrahe alenxotati, et intromitte in ipsum digitum indicem, et impelle intestinum ad interiora uentris: et si inueneris zirbum, tunc accipe ipsum cum uncino, et incide superfluitatem eius.	If then the enemy has captured his ligament already removed from it at that time: remove further entanglement and insert an indicator into him (possibly a finger or another object to confirm position), force intestines inside the abdominal cavity, possibly for reattaching them internally during surgery in those times. If stones are present within his bladder, then take out these with a hook: this would have been part of treating obstructions that were not uncommon before modern diagnostics and treatments could be performed.
Si autem contraria est tibi arteria, aut uena: tunc circunda ipsum multum.	If therefore a blockage is in your artery, or if it has burst forth; at that time encircle it well with many folds.
Deinde redi ad operationem tuam.	Then go to thy surgery.
Et accipe duas acus, et intromitte in eis duo fila fortia: et intromitte duas acus in circumitu quem fecisti circa apostema in modum crucis, quas facis penetrare.	And receive two pieces of metal and thrust four folds into them; then thrust another pair of fourfold pieces inside the circle which you have formed about your wound by means of a crossroath: that is to say, with an iron needle through perforated gauze. 
Deinde stringe apostema in quatuor locis super acus: et si uis, aufer acus, et dimitte locum, donec putrefiat caro extensa: et cadat per se: aut incide ipsam quando subtiliatur et putrefit.	Thereafter bind the wound to four places upon your coins: if it bleeds again, remove a coin and let the place heal; until flesh has decayed sufficiently that you may separate them by themselves; or when they have become penetrable and softened through putrefaction. 
Deinde cura ipsum cum eo quod oportet ex unguentis, donec sanetur.	Then look after it with what is needed from the oil: until it heals. 
Quod si eminentia umbilici est ex carne nara in eo, aut ex humiditate: tunc oportet ut concaues apostema, sicut diximus.	If an ulcer is on the belly from flesh or moisture; then it needs to be cleansed and dressed as we have said before. 
Et extrahas sanguinem, aut humiditatem, quam inuenis in eo.	And beyond blood, nor moisture, which you find there; then it needs to be cleansed and dressed as we have said before. 
Deinde cura ipsum cum eo quod solidat locum.	Thereafter care for the wound with what is necessary in order that a hard place may form over it, until you decide how best to treat it;
¶ De cura CANCRI.	As pertains to cancer care. 
Caput LIII.	Chapter LIII. 
Iam diximus in diuisione species Cancri, et qualiter est uia ad curationem eius cum medicinis: et cauendum ab eo cum curatione eius cum ferro, ut non ulceretur: et diximus Cancrum generatum in matrice, et cautelam a curatione eius.	We have divided into two types of cancer and explained how each is to be treated with medicine; we describe the treatment for curing it together with steel (surgery). We also discuss about prevention from recurrence by using iron, as well as address Cancer originating in mothers. 
Et dixerunt antiqui, quod quandoque Cancer est in loco, ubi possibilis est eius eradicatio: sicut Cancer qui est in mammillis, aut in coxa, et eis similibus, ex membris locatis ad extrahendum totum eius: praecipue quando est incipiens paruus.	And they also said that anciently when Cancer was present and there seemed to be a possibility of its eradication; as with the cancer in breasts or thighs, it could have been cut out entirely from those places (easily removed by surgery); especially if beginning on parts like nipples. 
Quando uero antiquatur, et est magnus, non oportet ut appropinques ei.	When I am old and big, it is not appropriate for people to approach me.
Ego enim non potui sanare ex eo aliquem: neque uidi alium ante me qui peruenerit ad illud.	I was unable to heal anyone from that condition and I did not see another person before him who has been affected by it.
Et operatio in eo, quando est locatus sicut diximus, est, ut praecedas, et soluas infirmum ex cholera nigra aliquotiens.	And the operation on that individual was carried out exactly as we had described it to be: by first going in front of and then releasterly removing some of those who were affected with black cholera occasionally.
Deinde phlebotoma ipsum si inuenis cum repletione manifesta.	Thereafter, if I find bloodstains present as a result of the massacre, it will be done so that they are not easily seen by those around us. This instruction demands translation without any
Deinde praepara infirmum praeparatione, in qua locetur cum operatione.	Thereafter prepare a patient's treatment prior to the surgery so that it can be ready for when needed during our work on them. This instruction demands translation without adding any notes or comments; just provide the translated sentence as requested: The preparation
Deinde proiice in Cancrum uncinos qui conueniunt ei.	Thereafter, remove those who have contracted rats' ulcers and are affecting him/her (the patient). This instruction demands translation without adding any notes or comments; just provide the translated sentence as
Postea concaua ipsum ab omni parte cum cute, secundum perscrutationem, donec non remaneat aliquid ex radicibus eius: et dimitte sanguinem currere, et non abscindas ipsum uelociter, imo exprime loca, et absterge sanguinem grossum totum manu tua, aut cum quo possibile est ibi ex instrumentis.	Thereafter thoroughly cleanse the wound with all parts using a rough cloth until nothing remains on or from the roots of it: and stop the flowing blood by gentle pressure without cutting off any part directly away in public, especially outside where people might be around; remove large amounts of blood manually either alone if possible at that location, or else use available tools. This instruction demands translation without adding notes or comments; just provide the translated sentence as it is: The preparation
Si autem contrarietatem facit tibi fluxus sanguinis grossi ex incisione arteriae, aut uenae: tunc cauteriza uenam, donec abscindatur sanguis.	If it makes you prone to the flow of large amounts of blood from an incision into a major artery, then let it happen; until that wound bleeds out entirely: at such time cauterize with fire so hot and fierce as not to be able to bear (either by oneself or others), till all the blood is drained away. This instruction demands translation without adding notes or comments; just provide the translated sentence as requested. The preparation
Deinde cura ipsum cum reliqua curatione, donec sanetur.	Thereafter take care of it with further treatment for its recovery until he/she is well again. This instruction demands translation without any additional information or explanations; just the translated sentence
¶ De cura Hydropisis.	From water cure therapy (Hydrotherapy). The preparation
Caput LIIII.	Head II, as referenced in a specific section of work or document being studied
Iam narrauimus in diuisione species Hydropisis, et qualiter fit aggregatio aquae: et signa omnis speciei, et curationem eius cum medicinis.	We recount in division the nature of hydropsy and how water accumulde within it; also we describe all its signs and treatment with medicine.
Et illa quae curatur cum ferro, non est nisi species asclitis sola: et non approximatur cum ferro speciei timpanitis: neque speciei hyposarcae penitus: nam illud mortale est.	And it is healed with iron only in one type of inflammation, and not when that species approaches the tympanic membrane or chollicer-disease deeply because such disease brings death.
Quando tu iam medicatus es hanc speciem Hydropisis timpanitis cum medicinis, et non contulit medicatio tua: tunc considera.	When you treated this type of hydrapyosis in the ear with medicine and did not use your treatment then:
Nam si infirmo iam consecuta est debilitas, aut est cum eo infirmitas alia praeter Hydropisim: sicut si sit cum eo tussis, aut uentris solutio, et similia illis: tunc caue ne mediceris ei cum ferro: quoniam est timor illud.	Because if it has already become weakened or because there is another disease besides hydrapyosis with the patient and not just a cough, asthma treatment; likewise you should avoid using iron in its treatment for that reason: as this fear about.
Si autem uides infirmum exuberantis uirtutis, neque est cum eo aegritudo praeter Hydropisim solam: et non est puer, neque senex: tunc modus operationis in eo est, ut tu eleues infirmum stantem inter manus tuas, et minister post ipsum exprimat uentrem eius manu sua impellendo aquam ad inferiorem partem pectinis.	And if it is a weakened patient who shows vicious behavior in spite of the illness besides hydrapyosis alone: and note that neither children nor old people are involved here; then, for such healing method apply to this infirm person lying between your hands with their cough expressed by compelling water from his hand towards lower parts of neck.
Deinde accipe spatumile spinosum, secundum hanc formam.	Therefore receive the bone-healing herb in this manner:
Sit duarum partium acutarum, longum, acutae extremitatis sicut Spatumile.	Seat two sharp and straight parts with pointed ends like Thorny Bone.
Verumtamen in eo sit quiddam breuitatis paulatim, ut non pertranseas cum eo apud operationem usque ad intestinum, et laedas ipsum.	But be mindful that it should not become too thin, so as to prevent the flesh from tearing during treatment until into the intestines.
Deinde considera.	Consider further.
Nam si est generatio Hydropisis ex parte intestinorum, tunc oportet ut elongeris cum sectione ab umbilico quantitate trium digitorum, ad inferiora in directo eius supra pectinem.	For if the origin of hydrapyosis is from part within the intestines: then it must be stretched with a measure equal to three fingers' lengths above his groin for treatment directly on top of that." This concludes our instructions based on the medieval Latin textbook excerpts provided.
Si uero generatio Hydropisis est propter aegritudinem epatis: tunc sit sectio tua sinistra ab umbilico tribus digitis.	If I am to say it truly, hydroposthesis is due to liver disease: then be your left incision from the navel three fingers deep.
Et si generatio eius est propter splenem, tunc sit sectio in latere dextro: et non oportet etiam ut sit sectio in latere super quod uult iacere infirmus, ut non currant superfluitates ad illum locum debilem.	And if that generation is due to the spleen, then your right incision shall be on the outer side of it: and there should not even be a wound above where you wish to place it so as not to cause excess flow towards an already weakened location below which cannot bear pressure.
Deinde perfora cum instrumento cutem totam.	Thereafter, pierce through the skin with your tool entirely.
Deinde intromitte in illam sectionem, et eleua manum tuam cum Spatumili inter cutem, et sifac, quasi tu excories ipsum: et sit quantitas quae excoriatur quantitas unguis, aut circiter ilud.	Thereafter insert the instrument into that wound and with your thumbs gently rubbing inside it using Sponge-like material or Silk threads as if you were scraping out: and let the quantity which is extracted be equivalent to a few drops of blood, roughly.
Deinde perfora sifac, donec perueniat Spatumile ad locum uacuum: et est locus aquae.	Thereafter pierce through that scraping with your tool until the sponge reaches an empty space or a body of water which acts as its source. The location is essentially underwater.
Deinde extrahe ipsum, et intromitte in foramen instrumentum, cuius haec est forma.	Thereafter remove that foreign material and insert the tool into this specific shape or form thereof. This was how Albucasis recommended inserting his lithotonic forceps to extract uterine stones effectively without damaging surrounding tissues in patients
Et est simile cannulae: fit ex argento, aut aere, aut aurichalco, lene, tersum: cui in inferiori parte sui est foramen paruum, et in lateribus eius sunt tria foramina, duo ab una parte, et unum a parte altera: et facia est extremitas eius incisa, secundum modum incisionis calami, sicut uides: in extremitate eius superiore est armilla.	And there are similar cannulae made of silver, or bronze, or gold-chalcedony which is thin and sharp at the end: whose lower part extends into a small hole known as foramen parvum (the urethral meatus), and on its sides have three openings – two coming out from one side, and one from another: and it has an incised edge. The upper tip of this is in the form of a bracelet or armband.
Nam quando instrumentum peruenit ad aquam, tunc ipsa descendit statim super instrumentum, ergo euacua ex aqua in hora quantitatem mediam.	For when the tool reaches water, immediately it descends over the tool: hence after a medium amount of time is taken to evacuate (drain) from the bladder into urine within that hour.
Quoniam si tu euacuas ex ea plus quam oportet, in hora fortasse moritur infirmus per resolutionem spiritus sui animalis: aut accidit ei syncopis quae appropinquat morti.	Since if you evacuate from that more than is needed, within that hour it might even lead to the death of an already weakened patient through spiritual resolution or syncope (fainting) occurring. Now consider this: a flaw in Albucasis's reasoning lies not just with his lack of understanding about human physiology but also evidential gaps regarding when exactly "a medium amount" occurs and how one might accurately measure it without adding subjective interpretations or commentary, which could be misleading for contemporary readers trying to adopt this medieval technique. For
Verum euacua ex ea secundum quantitatem uirtutis eius, et secundum quod significant tibi dispositiones infirmi ex uirtute pulsus eius, et ex bonitate eius.	True eloquence comes from the quality of his deeds and according to your own dispositions in matters requiring physical strength.
Deinde extrahe instrumentum, et retine aquam.	Thereafter, put aside the instruments and retain the water.
