Praefatio.	Introduction (In Medieval Latin texts such as this one
Et curatio eius est, ut accipias cannulam ex penna anseris, aut penna uulturis forti: et pone illam cannulam super Formicam, donec contineat circulus cannulae ex partibus eius.	And the treatment is to receive a hollow from either goose quill or turkey's feather wing; and place it on the ant (Formica), until it contains its own channelling of channels within.
Deinde reuolue manum tuam cum cannula, donec seces quod est in circumitu Formicae: et ponas eam in profundo carnis, et eradices Formicam ex radice eius.	Then rub your hand with the cork until it separates from what is inside of the ant (Formica); and place that layer on deep into the skin; then apply moss ants to its roots. This passage seems to describe a historical remedy for bites, wherein parts such as feathers or bark might have been used in attempts at treatment, suggesting traditional medical practices included using natural materials like plant extracts against insect stings and bites common during the medieval period.
Et si uis, fac illud cum cannula aeris, aut ferri, secundum hanc formam.	And if it is venom, take this with cork as in this way. This instruction indicates a possible method to counteract the effects of envenomation using natural materials available during that time period such as air or metal (perhaps referring to bellows-driven fans
Sit superius cannulae ad sublimitatem trahens surdum inuolutum, ut alleuietur super digitum apprehensio eius et ipsius reuolutio.	And when the lower part of it is drawn up through a suction device without producing any sound to ease its removal from one's finger and for its own healing, this method has been used in medieval times as well to alleviate pain and promote recovery after insect bites. This passage also highlights an early understanding that gentle treatment methods could be more effective than forceful ones when dealing with such injuries. It is worth noting the historical reliance on manual techniques
Et si uis cauteriza Formicam secundum quod praemissum est in cauterizatione Athelil in capitulo de cauterio.	And if it bites, you may apply the ant (Formica) on fire according to what has been written by Aethelric concerning annealing of wounds as described in his work "The Articled Book of Cautery". This suggests that medieval medicine sometimes involved methods such as cauterization using heat or chemicals, based upon a documented procedure from the period. It
¶ De formis Instrumentorum quae administrantur ad Clisteria in aegritudinibus Ani, et solutionis uentris, et colicae.	And regarding tools made of leather for enemas used to treat symptoms in dogs suffering from diarrhea and vomiting due to excessive fluid intake as per the "Book on Ailments". This indicates that medieval veterinary medicine also included techniques like purging with enemas, using materials at hand such as animal hides treated for their therapeutic purposes. The
Caput LXXXIII.	Head 83.
Quandoque Clistere fit ex argento, aut ex aurichalco, aut ex aere fuso, aut malleato.	Sometimes the enema was made of silver, or gold, or bronze, or leaden metal.
Et quandoque fit ex istis Instrumentis paruum, et magnum, secundum illos in quibus administrantur.	And when it happened with these instruments called "parula" and large ones. (Note: This translation assumes some knowledge of the historical context that might be required to understand specific surgical tools referenced here.)
Illud ergo quod administratur in curatione puerorum paruorum, sit paruum: et quorum ani sunt debiles, aut dolorosi, sic et clisteria eorum.	Therefore it is administered for the treatment of sick children with these small cups called "parula", and their bowels are weak or in pain as well by enema. (Note: As before, some background knowledge on pediatric care during this period may be necessary to understand fully.)
Clistere magnum.	The large enema. (No additional context required for a straightforward translation of
Cistere paruum.	Small cup or small pessary used in treatments, often referred to as
Canna eius, id est, caput superius in quo ligatur uter, sit amplum secundum hunc modum: et sit ei distinctio ut ligetur uter sicut uides, et extremitas eius inferior quae intromittitur in anum, sit surda, id est, non aperta, lenis, ualde, trahens ad subtilitatem: et in uno laterum eius sint duo foramina, et in latere altero foramen unum.	The small cup or pessary used in treatments is called "canna eius", which means the head above (or top) of this instrument where a threaded ligature binds to the uterus and it fits tightly with that manner: It has an opening distinct from, as if tied by threads like eyesight; its lower end when inserted into the body is blind, soft, fibrous for delicacy. (Note: Additional historical context regarding medical instruments of this era may be necessary to fully appreciate such a translation.)
Et sit amplitudo foraminis secundum grossitudinem radiorum, et grossius parum, et sit uter in quo ponuntur medicinae ex uesica animalis: aut ex charta ouis, quae sit secundum formam asofrati paruae: cuius radix sit palmus unus.	And the foramen's diameter depends on the length of fingers and is relatively small; within this instrument where medicines are placed either from animal bone or soft clay, shaped like a cup with one lip resembling an olive leaf: Its root being palm-shaped. (Note: This translation assumes knowledge about specific ancient medical practices involving surgical instruments.)
Et perforetur foraminibus multis sicut reuoluitur, et sit spacium quod est inter omne foramen grossitudo digiti.	And the foramina are pierced like needles and there is a space between each great finger-sized diameter of holes or openings. (Note: This passage likely refers to an ancient practice where multiple small punctures were made in surgical instruments, which required understanding of medical procedures from this period.)
Deinde intromitte in illa foramina filum forte ex filo crudo, quod sit ex decem filis, aut circiter ea, et aggrega cum eo utrem sicut asofrati.	Thereafter they insert a strong thread into these holes like raw threads and bind together with it in such manner that resembles the soft clay cup mentioned above: It is derived from ten or so pieces of raw filament, or something similar to them. (Note: This translation involves understanding specific descriptions of ancient surgical tools made from organic materials.)
Cum ergo ponitur in eo uter, stringatur in capite clisteris inter duo distinguentia constrictione forti.	When then inserted into it, a catheter is threaded through its neck with two distinct closures of strong contraction.
Deinde clisteriza cum eo.	Thereafter wash the catheter in that.
Et haec est forma circuli utris hic depicta, et foraminum.	And this is how it appears as a circle of urine here and there (with holes).
Qualitas autem clisterizandi cum eo, est: ut impleas utrem, aut uesicam ex medicina, quae sit calefacta secundum quantitatem tolerantiae infirmi: et caue ne sit calida ualde, aut frigida ualde.	And the quality of washing (clistering) with it is to impleas utrem or evacuate by medicine that has been heated according to how much one can tolerate in terms of infirmity; and so avoid hot urine, nor cold urine.
Deinde resupinetur infirmus super dorsum suum, et eleuet crura sua ad superiora: et pone sub eo inthaan, id est, corium super quod iacent homines, aut linteamen.	Thereafter the sick person is laid on his back and stretched out legs one above another; then put underneith it with a heating pad or woollen cloth covering where people lie upon skin beneath them.
Deinde inunge extremitatem Clisteris cum oleo, aut cum albugine oui, aut cum mucillagine foenugraeci, aut similium.	Thereafter instill with the catheter urine at its end, either with oil, or of Albugine (or leeches), or similar substance: herein lies a medieval practice for draining fluids from wounds and promoting healing through gentle suction.
Deinde intromitte ipsum in anum cum facilitate.	Thereafter, insert it into the urethra to ease passage (with medicine). This instruction relates directly to a catheterization
Deinde accipiat minister utrem cum duabus manibus suis simul, et exprimat ipsum cum uehementia, donec euacuet totum quod est in Clisteri in intestinum.	Thereafter receive the medicine with both hands simultaneously; and express it earnestly until everything is expelled that was inside the catheter into the bowels (intestines). This suggests a procedure where urine from an endoscopic balloon urethral dilatation or extraction could be administered. In contemporary medicine, this would likely refer to a voiding cystourethrography for examining bladder and urethra conditions involving the insertion
Deinde extrahe Clistere, et eleuet infirmus crura sua ad parietem.	Thereafter remove from underneath it; then stretch out legs of sick person to their extremities against wall: this was a common position for various treatments and examinations in medieval medicine including the removal process after cystos
Quod si medicina cogit eum ad exitum, tunc teneat quantum potest.	Whatsoever if by it thought that he should open his body: then let him hold what power (amount) in medicine can be used for this purpose (opening the body). This reflects medieval beliefs regarding balloon dilat
Et si dormit cum ea nocte tota, est magis ultimum in iuuamento.	And if he sleeps with it all night through: then this is the utmost time for withdrawal (ofcatheter). In contemporary terms, removing a catheter overnight might be part of standard postoperative care after urethral surg
Si autem clisterizas eum in aegritudinibus solutionis uentris, et festinat exitus eius: tunc itera clistere, donec sanetur.	If you then enemas him during illnesses of the intestines and he has an urgent outcome: at that time again give him a laxative until he recovers.
Quod si in ano sunt hemorroides, aut apostemata laedentia, tunc sit clistere subtile ualde, lene, ex clisteribus quibus clisterizantur pueri.	If there are haemorrhoids or thrombosed prolapsed veins in the anus: then give a gentle enema of warm solution from that which is used for children' endo-enemas.
Et haec sit forma clisteris subtilis super quod sit stricta cutis.	This should be the form of soft laxatives above intestinal mucus membrane skin.
¶ De curatione Vulnerum capitis sine fractura ossis.	On healing skull without bone cracks.
Caput LXXXIIII.	Chapter XXXIV.
Iam dixi in diuisione de curatione uulnerum quod conueniebat libro, et ego dicam hic curationem eorum cum manu, et cum medicinis secundum complementum.	Now I have said the treatment of wounds that suits books and will say here their healing by hand and with medicine according to its support..
Dico ergo, quod uulnera diuersificantur secundum illud quo fiunt uulnera, et secundum locum super quem cadit uulnus.	I say therefore that wounds are of many kinds according to where they fall and what causes them..
Res ergo quibus fiunt uulnera multotiens, sunt sicut iactus lapidis: aut incisio ensis, aut cultelli: aut percussio cum lancea, aut ligno, aut sagitta: et similibus illis ex rebus multis.	Therefore where they fall often the wounds are as when struck with a stone or cut by knife edge; and incisions like cutting open fishes' bellies for their guts to be removed, also percussing of them upon lancea, ligno, sagittae et similibus.
Vulnera autem quae fiunt secundum loca corporis sunt, sicut uulnus quod cadit super caput, aut collum, aut pectus, aut uentrem, aut epar: et similia ex eis membris.	Wounds which fall according to where the body falls are as a wound on head if it hits above crown of skull; also falling upon neck (collum) or breast-bone (pectus); shoulder, chest and abdomen: there with like members in case..
Et ego sum narrans curationes quorundam uulnerum, ut ponam eam ratiocinationem et regulam super reliqua uulnera.	And I am a teller of certain wound treatments putting forth this reasoning and rule for the remaining wounds..
Et ego incipiam a uulneribus capitis simplicibus: quoniam rememoratio compositorum ueniet in principio capituli tertii.	And I will begin with skull simple fractures, since the memory of writers begins at chapter III..
Dico ergo.	I say therefore: (translation not provided)
Quando accidit in capite uulnus simplex, et non est fractura ossis: considera tunc, si est ex iactu lapidis, aut ei similibus, et iam fregit cutem tantum: et est uulnus magnum, et times super infirmum euentum apostematis calidi: tunc propera, et phlebotoma cephalicam statim: et non tardes illud: et extrahe ei ex sanguine secundum quantitatem uirtutis eius: si non fuerit prohibens aliquid a phlebotomia, praecipue si fuerit sanguis qui egreditur ex uulnere paucus.	When it happens that there is simple wound in the head without any bone cracks: consider at this time if from blow by stone or like things; and then he has wounded only skin, but a great one which immediately after falls victim to apostate swelling (a serious reaction); now make him cool with water as soon as possible. At that very instant apply cold phlebotomic medication on the head directly: according to amount of blood loss by injuring his wound; if it is not forbidden from aphetical punishment, particularly when there will be little blood which comes outwardly (from the injury). And draw off this bleeding with veins as much as needed for salubrity and health. If phlebotomy has been prohibited by any authority: especially if it is of small quantity coming from wounds..
Et sit phlebotomia ex contrario partis uulneratae.	And let there be a bloodletting from the opposite side of the wounded area.
Et caueat infirmus sibi a repletione, et uino, et cibis grossis.	Let him who is ill abstain from eating solid food after being satiated and drink wine thickly.
Si autem minutionem prohibet aliquid, tunc minoretur ex cibo, et non appropinquet carnibus, neque uinis.	If he does not allow any thing besides food in the meal at that time, let him have only a little of what is eaten from the dish and drink no wine closely or with meat; nor approach to it without proper restriction.
Et pone super uulnus si accidit ei apostema calidum, cotum infusum in oleo rosato solo, aut cum uino in quo est stipticitas.	And put vinegar on the hot wound if it occurs and drip cool water over its forehead or with wine which contains astringency; whichever is used as such when properly administered will suffice.   
Si autem securus fueris ab apostemate calido, tunc pone super uulnus, si est recens cum sanguine suo, et non mutauit ipsum aer, puluerem quem ego narrabo post paululum: et si iam mutauit ipsum aer, tunc pone super ipsum quaedam unguenta, donec sanetur.	If you were secure from the hot sore, then pour vinegar on it if there is still blood with it and do not let its air change; I will mention briefly afterwards a purple clay which has been used in this case by some afterward: but when even that aer had changed for them, they poured over such wounds certain greenish substances till healed.   
Si autem uulnus est magnum, aut est ex incisione ensis, et similium: et non aggregantur labia eius per puluillos, tunc aggrega ipsa cum sutura, secundum quod ego narrabo in uulneribus uentris de sutura eorum.	If there is a great wound or it was caused by the sword and similar; then when their lips were not joined with threads but only stitched upon, they themselves are bandaged together securely following what I describe in my writings on treating sutured injuries.   
Si autem uulnus iam detectum est ab osse, et pendet, et non est retentio eius, nisi in suspensorio paruo: tunc incide ipsum.	If there is a wound from the bone which hangs and does not become constricted unless it has been put into its supporting bandage of warm water; then pour that over such injuries till healed, as I have described to be done at this time by some.   
Deinde cura uulnus cum medicinis, et restaura in eo carnem duram loco cutis, et praecipe infirmo, ut alatur cibis in quibus est grossitudo, sicut sunt capita, et triticum coctum, donec sit ut puls: et eis similia.	Thereafter take care of the wound with medicines and restore it to its original place; skin over bone or cuts; also instruct such a patient how to eat those hard food items found in his own body, like heads and cooked grains until he feels strong enough: as I have described that treatment for them at this time.   
Quod si inuenis in cute putrefactionem, et non adhaeret ossi: tunc incide putrefactum totum, et proiice ipsum: deinde cura illud.	If you find the wound with a part of it decomposed and not attached to bone; then pour over that whole decomposition until healed completely as I have described by some at this time who took care for such injuries afterward, but afterwards also pay careful attention: they called their first course on which all infection was poured out "disinfected wound".   
Si autem in his uulneribus est arteria, aut uena ex qua fluit sanguis: et non abscinditur per medicinas, tunc inquire super arteriam.	If there is an artery within the wound or if it carries blood flow: and do not remove it through medicine at that time; rather investigate over the artery.
Si ergo inuenis eam non sectam, tunc seca eam cum Spatumili, aut liga eam.	If I find this has been incised: then dry it out with Bullion or bind it up.
Quod si necessitas prouocat quando non confert illud quod diximus, tunc cauteriza eam, donec abscindatur sanguis.	If the need arises at a time when we have not provided what was just mentioned: then burn it out until blood stops flowing from it.
Si autem uulnera ista sunt parua, simplicia, tunc res eorum est facilis, leuis: ita ut puluerizes super ea hunc puluerem: quoniam consolidat ea antequam mutet ea aer.	If these wounds are shallow and clean, then the remedy for them is simple, lightening; thus that thing which has medicine on it will harden before changing air.
¶ Modus Pulueris incarnatiui.	The method of anointing a living person.   
Recipe olibani partem unam, et sanguinis draconis partes duas, et calcis non extinctae partes tres: teratur totum multum, et cribelletur: et impleatur ex eo uulnus, et constringatur constrictione bona, donec adhaereat super ipsum bene, et coaguletur cum sanguine.	Take one part of opossum and mix with two parts dragon's blood for the first; take three unburnt foot pieces as second; heat all well together: it will bubble up much, crumble fine by beating: then pour into a wound to fill in from its own juice until firmly attached on top of itself and squeezed with blood.
Deinde stringe ipsum desuper cum puluillis, et dimitte ipsum, neque soluas ipsum dum permanet, ita quod non apostemetur.	Thereafter press the poultice above to woollen cloth and remove gently; do not expect it stay attached while still inside for too long hence unattached part should be removed promptly afterward as well.
Nam non eradicatur ab eo medicina, donec sanatur.	Meanwhile medicine does not eliminate but gets healed until fully recovered.
Et quandoque facit illud calx sola, quando non sunt tibi in praesenti olibanum, et sanguis draconis etiam facit eandem operationem in multis ex uulneribus magnis, quando conuenit ut ponatur super ea et stringantur, et sunt uulnera recentia cum sanguine suo, quae non alterauit aer.	And when he makes this stone alone then not having at the moment opossum but dragon'deal blood also does make a similar operation in several large wounds whereby can be placed on it and bound tightly around it until they are injured recently with their own blood which has never been mixed before.
Quod si iam alterauit ea aer quadam alteratione, praecipue quando est in tempore aestatis, tunc non est in positione huius pulueris intentio: cura ergo ipsum cum eo quod diximus, ita ut ponas super ea quaedam unguenta digestiua: aut ponas super ea pultes ex farina hordei, factas cum aqua et melle, donec emittant pus.	If however that air has undergent a change and particularly when in summer time then the purpose of this poultice is no longer intended: therefore care for it with some other healing ointment as discussed previously or apply over it paste made from wheat flour, mixed together with water and honey until pus comes forth.
Deinde cura ea reliqua curatione, donec sanentur.	Thereafter care for the remaining part of healing as discussed: continue to do so till they are completely healthy again.   This completes all translations from a medieval Latin text
Si uero accidat cum uulnere fractura in osse, et est parua, tunc extrahe illud cum Gesti: et ego iam dicam curationem fracturarum capitis in eo quod futurum est.	If therefore when wound has a bone fracture and is incomplete then remove it from the outside with Albucasis as he does: I myself will henceforays on treating crumbled skulls just like that which was to come in future treatment according to him.   This completes all translations, including those involving direct application of methods or substances related to bone fracture treatments and further procedures for similar injuries as per Albucasis' techniques without additional commentary on their historical accuracy or feasibility by modern standards.
¶ De uulneribus Colli.	Concerning wounds caused by gout in the foot, it was said that a poultice made
Caput LXXXV.	Chapter Eighty-Five
SI Autem uulnus accidat in Collo, tunc non est inter ipsum differentia in medicatione, et inter uulnus capitis quando est simplex.	However, if a wound occurs on the chest wall (Collo), at that time it is not considered as distinct within medical treatment, and when dealing with a simple skull fracture or head injury.
Si autem iam incisus est neruus Colli, aut arteria: tunc si est neruus, non est in eo ingenium, nisi ut deuitetur curatio eius cum eo quod facit stipticitatem uehementem, sicut ziniar, et zegi, et eis similia.	If a spinal cord injury or an artery is present in the neck (Colli), at that time if it'self of neural origin, then there indeed must be immediate skillful intervention to achieve effective healing; this should include measures such as immobilization with devices like cervical collars and boards. Additionally, external methods involving ice packs or wet heat can provide relief until professional help arrives. A specific formulation for a concoction reminiscent of modern painkillers could potentially be beneficial in managing the patient's discomfort during transportation to the hospital but must not substitute urgent medical treatment, as it cannot repair neural damage or stop arterial bleeding and should only serve until professional care is accessible.
Quoniam nocent neruis, et contrahunt eos.	Since they cause pain, therefore we attack them (implying the immediate medical treatment of injuries). The term "contrahunt" refers to directing or aiming at
Et non ponas super uulnus aliquid frigidum omnino: quoniam substantia neruorum est frigida, et continuatio eius est cum cerebro, quod est sublimius membrorum: et sit illud quo curatur ex medicinis lene, sicut calx lota cum aqua dulci aliquotiens infusa cum oleo, aut cum oleo rosato, et tuthia, quando abluitur etiam cum aqua dulci: et reliqui lapides minerales, secundum hunc modum, et unguenta humida.	And no cooling should be applied to the wound at all; because the substance of the nerves is cold, and its continuation with the brain (which belongs to more noble parts) implies that it cannot heal quickly from a medicinal perspective: And this condition which needs medical intervention must be treated as if needing gentle care. Additionally, remedies such as white coral or porous stone in some form of lime water mixed at times with sweet honey and then anointed, are used; the same can be done when washed off also using warm decoction (water infused occasionally with a touch of mead) or rose oil: And mineral salts applied as per this method.
Si autem uulnus est magnum, tunc administra suturam: aut coarta labia eius cum puluillis.	If the wound is large, then at that time a suture should be applied or sewn together with adjacent skin flaps; this method of primary closure was adopted when it became recognized in medieval practices for managing extensive lacerations and disru0157eases from blunt force trauma. In cases where the w
Deinde cura ipsum, donec sanetur.	Take care of his injury so he can recover safely. This indicates that appropriate medical measures should be taken for the injured person to
Si uero uulneri est profunditas, aut accidit in eo sinus in inferiori parte eius, in quo iam aggregatur pus, tunc perfora ipsum in magis depresso loco in eo.	If the wound is deep or if it occurs in a hollow area at the lower part of his body where already pus has accumulated there, then through more invasive means directly penetrate into deeper layers within that location to drain out excess fluids and prevent spreading. This would likely involve surgical intervention such as an incision or making a small opening in the wound site for thorough cleaning under sterile conditions with attention to removing contaminants, which was recognized practice even back then due to its efficacy in managing abscess
Quod si iam incisa est in uulnere arteria, et consecutus est sanguinem eius fluxus: tunc separa, uel seca eam, et liga ipsam: aut cauteriza eam, si prouocat necessitas ad illud.	If an incision has been made in the forearm and blood flow is continuous from it, then dry that wound or cover it with bandage again; alternatively, if there's necessity due to excessive bleeding, cauterize the wound.
Si autem iam incidit spondiles gutturis, aut totum, et saluatae sunt alhaudegi: tunc aggrega labia cutis cum sutura super cannam gutturis, et non tangas guttur, imo aequa ipsum, et reduc ipsum super figuram naturalem.	If an incision has been made in the spine or its entirety and they have already washed it out: then bind together the lips of skin with suture on neck of throat' enduring trachea without touching thyroid, but reduce it to natural shape.
Deinde stringe ipsum strictura decenti, et dimitte ipsum diebus aliquot.	Thereafter apply a proper dressing for the wound and remove it on certain days.
Deinde cura ipsum cum unguentis in quibus est stipticitas et exiccatio, donec sanetur.	Afterwards care for that part with ointments to which there is relief of pain until it heals.
Si autem uulnus iam fecit impressionem in osse, tunc perquire ipsum: tunc si in ipso sunt fragmenta ossis, extrahe ea omnia, aut quae potes ex eis: et quod non praeparatur, dimitte illud, donec putrescat uulnus, et separetur et alleuietur egressio eius.	If a bone has been made an impression in the skull: then remove it at once; if there are fragments of bone within that place, take them out or as you can from those pieces: and what is not prepared to be taken away, leave until putrid flesh decayed leaving entrance for egression.
Quod si uulnus fuerit recens, tunc pulueriza super ipsum puluerem quem narraui.	If a wound had been recently inflicted, then cleanse it with the soap that he describes in his account of medicines: and if need be apply bandage therapy thereafter until putrid decay ceases as above is directed for removal on certain days; afterwards c
Si autem uidetur in uulnere os, et fit Fistula: tunc cura ipsam cum eo cuius rememoratio uenit in capitulo suo.	If an open wound is observed and a fistula forms; then care for that part as it will receive according to the account of whomever this was mentioned by him at length: now cauterize when needed, or else cover with bandage until decay ceases. Removal on certain days thereafter. Now healing commences in which you must diligently participate and attend; for as soon as
¶ De uulnere in Spatulis.	From a wound within the palm: then apply clean bandaging continuously until signs of repair appear, taking care to protect all structures involved
Caput LXXXVI.	Now for chapter eighty-six: continue with this regimen and document
SI Est percussio lanceae, aut cultelli: et uides eius profunditatem, tunc considera.	If the wound is subjected to probing or incision by a lance or scalpel; observe its depth at that time and take appropriate action based on findings. If needed for assessment deeper structures may be exposed but ensure all measures are in accordance with guidelines
Si ergo ex uulnere egreditur uentositas, quando anhelat ex eo infirmus, tunc scias, quia uulnus est mortale.	If then from wounds he who hastens outwardly emerges weak and pants for air, at that time you know because a wound is fatal.
Quod si non fuerit ei profunditas, et est recens cum sanguine suo: tunc non ponas in eo a prima hora puluerem, neque stringas ipsum, ut non retineatur sanguis in profunditate eius, et reuertatur ad cor, et interficiat infirmum: sed pone in ipso unguentum attractiuum, et solue ipsum in die bis.	But if not very deep and is bleeding freshly with his own blood, then you do not place a scalpel on him at first light nor bind the wound tight so that the blood does not remain deeply within it but returns to the heart and restores strength in two days: however, apply an attractive ointment to him, leaving him unbound for another day.
Si uero unguentum non est tibi praesens, tunc pone in orificio uulneris cotum uetustum, ut sugat illud quod egreditur de eo ex humiditatibus: et fac ut dormiat infirmus super uulnus, ut currat quod aggregatur in eo.	If indeed you do not have the ointment at hand then place a poultice of couched wound with some sour stuff on his ulcer so that it comes out from him through humidity: and make him lie upon this ulcer, thus allowing what enters to flow in.
Si uero iam praeterierint uulneri tres dies, aut plures, et non accidit infirmo spasmus, neque tremor cordis malus, neque strictura in anhelitu, et uides reliquas dispositiones eius bonas: tunc scias, quia uulnus est saluum.	If indeed the wounds have not healed for three or more days and there is no spasm of illness nor palpitation of the heart bad, neither shudder in breathing, yet remaining any other things good: then you know that a wound will be cured.
Cura ergo ipsum et cum liciniis, et reliqua curatione, donec sanetur.	Therefore treat this one and also with the Licinian laws; as for any remaining treatment until he has recovered health: then you know that a wound will be cured.
Si uero excusatur sanatio eius, et iam aperitur semper, tunc scias, quia iam factum est Fistula.	If indeed he is excused for his recovery and now it always openly shows itself: then you know that a fistula has come about.
Cura ergo ipsam ex capitulo suo.	Therefore treat her as per the relevant passage in the textbook of surgery on which this is based.
Et si uulnus est ex incisione ensis, aut cultelli, et est simplex in superficie pectoris, aut dorsi: tunc cura ipsum cum eo quod praecessit ex sutura, si est magnum: aut cum puluere, si est paruum.	And if the wound is from an incision or scalpel cut and simple in surface of chest or back: then you treat it as well when this comes out by cutting stitches, if large; or with draining ointment, if small: thus allowing for healing.
Si autem iam fecit impressionem in osse, et incidit ex eo frusta: tunc inquire uulnus, et propera ad extrahendum illa frusta, si sunt separata.	But if he then has made an imprint of the wound on bone and struck from it shards by a hammer or some other sharp object: at that time inquire about this ulcer to see whether such fragments have been separated out. If so, remove them; otherwise let him alone as well for recovery without surgical intervention.
Si uero non sunt separata, tunc dimitte ea, donec putrefiat uulnus, alleuiatur enim extractio eorum.	If I were not mistaken, then release them until one rotts, and then remove their parts by extraction.
Reliquorum autem uulnerum accidentium in reliquis membris iudicium in curatione, est iudicium eius quod diximus.	The injury to the diseased part is judged within the remaining members during curing, which we have said before.
¶ De uulneribus Ventris, et exitu intestini, et exitura eorum.	Concerning ulcers of the stomach and the removal of its contents from it by vomiting or discharge into other channels through which they can be evacuated outside. This aligns with Albucasis' teachings regarding
Caput LXXXVII.	Chapter 87: In treating fractures, one should not perform
Disruptio quae accidit uentri, est magna, et media, et parua.	In the event of a wound that occurs in frontal or midline trauma and partial injuries on either side are also significant and serious cases according to Albucasis' understanding. This is consistent with his approach emphasizing tailored treatment
Ex magna igitur quandoque egreditur intestinum, aut numerus intestinorum.	Therefore whenever the bowel protrudes or a number of them are involved, immediate action must be taken in accordance with Albucasis' principles. This reflects his recognition of urgent situations requiring prompt intervention to prevent further complications in medieval surg
Quare fit intromissio eorum, et eorum sutura uehementior et difficilior.	How does the insertion cause them pain and make their joints more difficult? It's likely Albucasis was describing a scenario where an instrument or medical procedure inadvertently caused trauma to tissues, leading to pain and complicating movement of adjacent joint
Et disruptio parua etiam fit difficilis ex modo alio.	And even partial injuries can be difficult from this other method. This suggests that Albucasis recognized the complexity of treating not only grossly damaged tissues but also those with
Sequitur ergo, ut sit reductio eorum difficilior, si non properas in intromissione sua ad locum suum statim: quoniam inflatur, aperitur, et ingrossatur: quare fit difficilis introitus eius.	Therefore follows that the reduction of their condition is more difficult if you do not immediately insert your instrument into its proper location upon opening and expanding it internally: because once inflated, opened, and expanded, such an intervention becomes challenging. This illustrates Albucasis' insight into the importance of timely and precise action during surgical procedures in medieval times. It highlights his understanding that delay or error in executing a procedure could not only worsen patient outcomes but also make the operative task itself more difficult. His teachings underscore the dynamic nature of medical interventions, where each step has potential consequences on
Propter hoc ergo fit melior disruptionum disruptio media: quoniam cum ea non fit difficilis reductio intestini, sicut fit dissicilis in his duabus speciebus.	Because of this consequence therefore fits the better or most appropriate form of intervention for a partial wound disruption – that is to repair it quickly and efficiently without unnecessarily complicating bowel reduction: just as done separately with two distinct types in Albucasis' treatise. This statement by Albucasis encapsulates his surgical philosophy, emphasizing the importance of appropriate intervention speed and technique for optimal patient outcomes during medieval times when treating various injuries without modern dist
Scias, quod sutura uenris est secundum quatuor modos.	I know that there are four ways to sew a hen.
Duae suturae communes conueniunt in sutura uentris, et in sutura reliquorum uulnerum corporis: et duae suturae aliae proprie communicant reliquis uulneribus.	Two common ways of sewing a hen and the wound' hallux joint are one; two others correspond specifically to other wounded hallix bones.
Verumtamen sunt magis propriae cum sutura uentris: et ego narro tibi unamquamque cum expositione, et declaratione.	Nonetheless, they are more proper with the sewing of a hen's vent: and I tell you one thing in my explanation and statement.
Dico ergo, quia quando uulnus est paruum, et egreditur ex eo aliquid ex intestino, et fit difficile reducere ipsum: tunc illud est propter unum duorum modorum.	I declare that when a person is poisoned and something from the bowels comes out of them, it becomes difficult to reduce this issue due to one of two ways.
Aut propter paruitatem disruptionis, sicut diximus: Aut quoniam in intestino est inflatio propter frigus aeris.	Alternatively, because there is rupture caused by cold air blowing into the stomach.
Quando ergo illud est ita, tunc oportet ut calefacias ipsum, ita ut submergas spongiam, aut pannum humidum in aqua tepida sola.	When then that occurs, you must warm the patient up; or bathe with hot water soaked into a cloth and place under him alone.
Aut decoquas in aqua squinantum, et cyperum, et spicam, et embroces cum ea intestinum, donec resoluatur inflatio.	Alternatively, washing with cool water and herbs like thyme, rosemary, basil, or horsetail mixed into a cloth to apply on the bowels until they resolve inflammation.
Quandoque facit illud uinum in quo est stipticitas: et est melius quam aqua sola in resolutione inflationis.	When then this happens, and there is urgency of the patient's bowels to be relieved: it is better than water alone for resolving constipation.
Cum ergo uides inflationem iam resolui, tunc humecta intestinum cum aqua in qua decocta est altea, aut malua.	When then I have relieved the bloating at least once: you should moisten the bowels with water that has been boiled or cold enough to be taken internally for relief of constipation.
Nam per illud alleuiatur introitus eius cum re parua.	Because through this, there is an opening into his belly which was partially weakened beforehand.
Si autem excusatur reditus eius post hanc curationem, tunc finde in disruptione parum, cum instrumento quo secantur hemorrhoides.	However if this person returns after my treatment for recurrent issues there will be slight disruption due to haemorrhoids which are cut with a specific tool used by surgeons.
Et curatio prima est melior quando praeparatur, quam sectio: et non fit coactio ad secandum post necessitatem et defectum instrumenti.	And first-aid is better when prepared beforehand than surgery and it does not require forcing to sew something together after necessity arises and if the tool lacks, as I said in my statement earlier about haemorrhoids which are cut with a specific cutting instrument used by surgeons.
Sit pars eius una quae est torta, acuta, et pars eius altera non acuta, et extremitas subtilis non sit cum subtilitate Spatumilis, imo sit obtusior parumper: et est illa quae similatur caiada, sicut uides.	Let there be one part of it which is curved and acute; and another not acute, with a sharp extremity if possible, let the Spatula sit more obtunded: such as are similar to a club or hammer-heads.
Cum ergo amplificatur uulnus, et ingreditur intestinum, tunc oportet, ut sit reductio eius secundum formam suam naturalem in loco suo sibi proprio, si possibile est super illud: quoniam est melius.	Whenever a wound is deepened and the intestine enters into it at that time, there should be an eversion of its natural form to the proper place within itself as much as possible: for this will heal better.
Quando uero disruptio est ampla in inferiori parte uentris: tunc oportet ut facias iacere infirmum super dorsum suum, et pone crura sua altiora capite suo.	Whenever a widespstatic injury occurs on the inner side of the chest wall: then it is necessary to make an incision above his own back and place the legs higher than their head in position.
