Ayssi comensan las paraulas de Albucasim .	Then apply the techniques of Albucasim.
Donc dic que emorroydas e theyls quan so en le preon de la mayre e no apparo al sentiment, lahoras en aquelas no sia fayta curacio am ferr.	Therefore, I say that when there's a pain in the joints and they are treated, it is customary to call it cured, but if the patient feels no pain, then it is customary to say that they are cured.
Mays aquelas las quals so en le orrifici de la mayre sobre las quals catz sentiment, so aquelas que so curadas.	Those are the ones that are truly cured, only if they are treated.
E cove que tu metas la femna en mayso frega e aprop exten atheyl am les forfexs, o am drap aspre, e inscideys aquelas am las razitz.	And if you wish that it is done to the patient's joints or already have a cushion placed on your legs, or whatever.
E aprop pulveriza sobre aquelas deves le fluxs del sanc de una de las polveras insciscivas ses mordicacio, ayssi cum acassia e semblant ad aquels.	And then sprinkle powder on the other parts to stop the pain.
E aprop enpellesca les sieus pes per una hora, e aprop pausa aquela en aygua freja.	Then apply the hot cushion to the patient's feet for an hour.
E si persevera le fluxs del sanc, lahoras fay aquela sezer en decoccio de sumat e de scorsas de milgranas e de gualas e de semblantz.	And if the blood flow persists, it should be treated with a poultice of various sorts.
E aprop pren farina de ordi e comfiys aquela am miel e vi agre e fay emplastre am aquo sobre le dos de lu.	Then place honey on the patient's legs and feet.
E si le sanc es abscindit, bo es; e sino, fay adherir am dos ventozas, e a las mamilhas ses escarificatio.	Then apply two cupping glasses to the affected area.
E aprop pren lana e submergeys aquela am suc de coliandre o am suc de arnagloza o am suc de guarravier am vi pentit e fay adherir al loc; e aprop cura le loc am enguentz entro que sia sanat.	Then, apply a cushion to the legs and hold them in place.
Mays athyl rog le qual es de aspre reguardament, cove que tu inscidas aquo que a tu appar de aquel segon que he dit en theyl engualment.	May's God be praised, may He be considered for your good health.
E cura aquel entro que sia sanat.	And cure that which is within the patient's body, and let them be healed.
Capitol .lxxiv.	Chapter 74.
De perforacio de eyssedura accident en la mayre.	The patient's pain arises from the piercing or burning by a hot humor.
Motas specias de apostemas accideysso en la mayre, ayssi cum cranc e apostema lapident e ulceracios e adhubelat e erpetromens e fistulas emorroyas e raguarrias e thyl e autres apostemas.	Some diseases are caused by the pain in the feet, such as gout, which causes swelling and pain in the feet, and others by the pain that arises from a wound or injury.
E yeu ja he dit aquestas malautias e las specias de aquelas e les senhals de aquelas, e las curacios de lor en la divisio.	And if the patient has a disease or sickness, you should place a cushion under their legs and place your hand on the patient's feet.
E cove que yeu digua en aquest tractat de apostema caut le qual ve en la mayre quan es dels apostemas que collegeysso sania, e si vols saber en qual manieyra se fa la opperacio de lu am ferr.	And if it is a cushion placed under the thighs of the patient, that's what we use to describe the condition when the body experiences gout.
Adonc cove que tu consideres si la dolor de la apostema en le sieu comensament es aguda am percussio e flecma e febre, e vezes aquel enrogezir e si catz sobre aquel le sentiment, lahoras no·t coytes am perforacio de lu, e cura aquel am aquo que ajuda sobre la maturacio entro que cesse la acuitat dels accidentz.	When a person has an early stage of inflammation in their foot from a boil, it is customary to treat it with heat.
E lahoras cove que tu fassas cezer la femna sobre una cezelha que aia doas cezelhas; e recline sobre le sieu dos e ajusta les sieus pes a la partida pus dejos del ventre, e las sieus coyssas sian expandudas, e pausa les sieus brasses dejos les sieus denols, e lia quascus am liament ad aquo convenient.	And you place their hands on the woman to hold back the pain.
E aprop la matrona segua del latz dreyt e aministre le instrument am le qual es ubert le orrifici de la mayre, la forma del qual vindra en aquelas causas que·s faran aprop.	And so the midwife should be consulted in cases where it's necessary to help with pain in the joints.
E cove quan vols ministrar aquest instrument que tu fiques am lo ray le preon de la mayre de la femna, e aquo que del instrument es intrat en la mayre no sia mays que·l preon de la mayre e leda le malaute.	Then apply the cushion to the patient's leg and let it be placed on the woman’s thighs.
Mays si l’estrument es major que·l preon de la mayre, lahoras cove que tu pauses pulvils sobre la textura del preon de la mayre per sso que sia prohibit l’intrament de tot instrument en le preon de la mayre.	And you should apply heat to the patient's body, but only to the area between the legs, where the other leg is held in place.
E cove que tu pauses le vertitge que corr en le strument del latz pus desus e que le ministre tengua le strument e revolva le vertitge entro que sia ubert le orrifici de la mayre.	The doctor will treat the patient for their ailment, the body's humors being kept in check.
E cum appar la excitura, e es tocada am la ma e es leon e molh, lahoras cove que tu secces aquela deves le cap de lu am spatum lat.	And when your hand is placed on the patient's foot, you should cauterize the affected area.
E cum la sania es evacuada, lahoras cove que tu pauses en la plagua una meca submersa en oli rozat o oli vert en le qual sia alcuna stiptisitat; e pausa la calca7 en la seccio en le preon de la mayre.	And if the wound is on the foot or leg, you should cauterize it using another tool designed for that purpose.
E pause deforo la mayre e sobre le pentenilh lana munda submersa en aygua en la qual sian bulidas malvas.	When the patient has been treated with a poultice.
E aprop sia curada aprop dos dias am enguent le qual conveneys ad aquo entro que sia sanat.	Then apply the ointment to their legs for two days.
E alcunas veguadas es lavada la mayre e la plagua enayssi que es cristerisat am aygua e mel, e aprop am aygua en la qual es bulhida razit de liri o de aristologia longua, e aprop retorna al enguent.	And if necessary, apply a poultice to reduce swelling.
E si la plagua es dedintz en la mayre ameguada, lahoras cove que tu sias prohibit de la curacio de lu am ferr, habantz cura aquel am aquo que havem dit en la divisio.	Then treat them as doctors would typically treat gout in the feet.
Capitol .lxxv.	Capitol .lxxv. translates to "Chapter 75".
A ensenhar las matronas en qual manieyre les enbrios bius sian medicatz quan yeysso segon figura no-natural.	And if there are already signs of injury in the body's natural state, it is called an unnatural pain by doctors.
Necessaria causa es que la matrona conogua en le comensament la figura del enfantament natural per senhals de lu, e es que quan tu vezas la femna expremar a las partidas dejos e desira odorar le ayre, e sobre aquo es enleujada per aquo que sobre ela es del part, e festina le eyssiment del enbrio, lahoras sapias que aquest part es segon figura natural, e es l’eyssiment de lu sobre le sieu cap, e la segondina am aquel o suspensa o pendent del ombelic.	The midwife must apply pressure to the areas of the body where the pain is felt to prevent a breach from occurring.
Donc cum tu vezes aquels senhals, lahoras cove que·l ventre de lu sia compremut per so que l’embrio deysenda leugerament quar quan deyssen sobre le sieu cap, deysen a lu la segondina, e es mondada de aquelas superfluitatz am bona mondificacio.	When you see these signs, you must carefully cauterize the second line so that it can be distinguished from other conditions.
Mays aquel que es otra aquest part es no-natural e no-lausable, quar quan le enbrio es eyssit sobre sos pes e·l cos de lu es eyssit devant le cap de lu e·ls pes de lu, e la ma de lu una, o al pe de lu i, o es eyssit le cap de lu e la ma de lu, o al ventre de lu, e fort leu es convertit sobre le sieu col, e semblant de las figuras de lu no-lausablas.	And if it's a pain in the foot that needs to be treated, then use a pointed cautery on the affected area.
Don necessaria causa es a la matrona que sia savia e subtil en totas aquelas causas, e que·s guarde de error e de decepcio.	And if she avoids error and deception, she will be successful in treating all those ailments.
E yeu so mostrant tota figura de aquelas, e qual engen es en aquelas per so que sia significat per aquo e sia stat sobre aquo.	And the pain of that ailment is what they are treated for by doctors.
Quan le feyt es eyssit sobre le sieu cap per egrecio natural, e aquel es vehement sobre la femna e es fayt a lu part dificil, e vezes la vertut de lu ja debelitada, lahoras fay aquela sezer , o que las femnas tenguan lu, e evapora le conh de lu am fenugrec coyt e am olis humitz.	When the patient's body is weakened, they are easily fatigued, and have a tendency to be clumsy.
E aprop entrometa la metrona entre les sieus ditz espatum petit e fenda am aquel la segondina, o secce aquela am la sua ungla entro que corro aquo que es en ela de humiditat.	And then place a hot iron on their chest.
E preme le ventre de la femna entro que deyssenda le fet.	And if it is necessary, apply a cushion to her legs, for they are covered in the body's bowels.
Mays si no deyssen, lahoras cove que la femna sia cristirizada de mucellage de ptilli e mucellage de fenugrec am cizami.	Mays it be that the patient may have a cushion placed under them.
E aprop comanda a lu, aprop le cristeri, que sia compremuda e fay aquela stornudar am condisi; e te la boca de lu e·l nas de lu per huna hora, quar le fet sira foro-getat tantost.	And you should apply a poultice to the affected area, keep it covered for an hour if possible.
E si las doas mas del fet so foro-getadas al comensament, lahoras cove que tu redusiscas aquelas am fecilitat petit a petit.	And if the pain is in the legs, arms, or feet, the doctor will help you reduce the swelling.
Mays si no obezeys al intrament, lahoras pausa la femna sobre una cezelha e leva les pes de lu sus, e aprop concuceys la cezelha sobre la terra; e la femna sia tenguda que no caia deves la concussio.	And if you are not obese, they say that it is a case of gout.
E si las mas no son dedintz tornadas e morr le fet, lahoras inscideys aquelas e extratz le romament del fet o lia le cors a la ma de lu am drap e extratz aquel am equalitat, quar aquel sira foro-getat.	Then, if the body is affected by an excess of cold humors, one should use a hot cautery to draw out the pain.
De eyssiment del embrio sobre les sieus pes.	Then apply cautery to the skin of the patient's thighs.
Quan le fet yeys sobre les sieus pes, lahoras cove que tu impelliscas aquels en sus, e aprop convertas le fet petit, e aprop que engualhes aquel, e aprop que prenguas un pe de lu e extendas aquels petit a petit.	When the foot swells, apply heat to relieve pain from the infiltration of cold humors.
Mays cum son eyssit entro a las coyssas, lahoras tu comanda a lu que se exprema, e fay aquela extornudar am condizi, quar sira foro-getat si Deus lo vol.	Then apply the cushion to your legs and let them know that it is their wish that they be healed if God wills.
E si no es foro-getat am aquo que havem recomtat, lahoras tu retorna le fet petit a petit entro que pauses aquel segon figura natural, quar aquel sira lahoras foro-getat am leugier eyssiment.	Then, gradually return to its proper place.
E si es prohibit am tot aquo que havem recomtat, lahoras pren de musellage de altea e de goma dissolvuda, e percuteys tot en le mortier per bona percussio, e aprop linieys am aquo le conh de la femna, el pus bas del ventre de lu.	And if it is necessary to apply a cautery to a woman, you can use a mortar and pestle for grinding the herbs.
E aprop fay aquela cezer en aygua tebeza, entro que consegua les ypocondias.	Then apply the treatment to the legs so that the patient receives relief.
E cum vezes que las partidas dejos de lu so lenificadas, lahoras fay a lu subfumiguacio de mirta e sub-pausa aquela a lu.	E if you have cushion to put under those parts which are affected by them, and it is necessary to treat the intestine with a cushion, then do so with a pointed one.
E quan te la sub-fumiguacio per una hora, lahoras tu la fay sezer sobre una cezelha, e aprop fay aquela stornudar e extrenh la boca de lu, e levas de aquela, e prem la partida pus bassa del ventre de lu am leugiera compressio, quar le fet sira tantost foro-getat.	And then apply a bandage to the affected area for an hour, so that the patient's body may be treated by the application of heat.
Eyssiment del fet sobre les sieus denols e las suas mas.	Then apply cauterization to the affected areas.
Quan le fet eyssira segon aquesta forma, lahoras tu engenies en entrometen las suas mas petit a petit; e aprop la femna stia evessada sobre le sieu col, e les pes de lu pengo en jos, e aquelas sia jasent sobre le lieyt, e complegua las suas mas.	If the pain in the patient's legs is due to humors leaking from the body, then you should place your hand on their leg to prevent gout.
E aprop prem sobre le ventre de lu petit a petit, e aprop extratz aquo que es dejos les pes de lu de las aurelhas entro que sia preparada en la partida pus dejos.	And so the abdomen should be gently warmed with a poultice.
E si le fet no es fora-getat, lahoras pren les pes de lu e mau aquels am movement vehement, e aprop prem aquo que es sobre les ypocondres petit a petit entro que le fet puege a las partidas desus.	And if there are things in the body which are not done to the patient by force, but slowly, as the doctor should do.
E aprop entrometa las suas mas e engualhe le fet petit a petit, e comanda a la femna que se exprema entro que le fet sia foro-getat.	And then apply the cushion to their legs, and the other to their feet.
Eyssiment del fet latutidinalment pendent una de las suas mas.	And if it is necessary to apply a cautery to the body in such a way that the patient's body can be accessed by the surgeon.
Sia engeniat en reduccio de la ma de lu, mays si no podes aquela reduzir, lahoras eleva la femna e fe aquela anar.	And if you are going to reduce (the swelling) the pain in the feet, or if there is no cushion, then elevate their legs.
E si anar no pot, lahoras fay la jazer sobre le lieyt, e concuteys las coyssas de lu am concussio vehement, e aprop aministra liamentz les quals yeu e recomtatz de mucillages.	Then apply strong cauterization to the affected area.
E si es vengut le enfantament, lahoras fay aquela sezer sobre cezelha, e aprop studia sobre la reduccio de la ma, e enguala le fet segon figura natural, e fay stornudar la femna e comanda a lu que comprema a si entro que sia foro-getat.	And if the patient suffers from gout, they should be treated with a cushion placed under their hands, so that another cushion is not needed.
Eyssiment del fet sobre·l col expandudas las suas mas e la fassia de lu es al dos de la sua mayre.	The bowels are inflamed by gout.
Cove que la matrona tengua la ma del fet e aprop revolva aquel petit a petit, e eque aquel am facilitat.	This midwife must be careful to avoid causing harm by using a gentle touch.
E cum es e quant so es engualhat, e lahoras pausa sobre le conh de lu aquo que havem recomtat de oli e de mucellages.	And then when he has opened their legs, apply oil to the area.
E aprop comandas a lu que·s maugua petit a petit, e quan auras feyt aquo, lahoras fay aquela cezer sobre una cezelha e comanda li que sia inclinada sobre le latz dreyt, e aprop comanda a lu que sia compremuda; e fay aquela stornudar am condizi.	Then command the patient to stretch their hands and legs slowly.
Exitus foetus praeparati super latus.	The result is a very large amount of pain in the side and elsewhere.
Quan deyssen a horrifici de la mayre segon aquesta manieyra, considera, e lahoras tu inscideys la segondina am la tua ungla entro que sia evacuada de la humiditat.	When you have a patient with symptoms that resemble gout, consider the possibility that they are experiencing a condition caused by an imbalance of the humors in the body.
E si le fet es suspendut sobre la cara e·l col de lu, lahoras tu inscideys aquela del embelic, per so que no sia retengut e mora.	And if you have a wound on their belly, apply heat to that area using a cushion.
E aprop empelleys le fet a las partidas dedintz entro que pauses aquel segon que cove, e manda a la femna que comprema a si alcunas veguadas, e el sira fora-getat am eyssiment leugier, si Dieus o vol.	And if you are a surgeon, then press on the patient's foot so that the wound does not bleed freely, using the cushion for another.
Exitus geminorum aut foetuum multorum.	And so, you have two or more translations for this sentence.
Sapias que gemels motas veguadas so natz, e alcunas vetz naysso tres o quatre , mays aquo es estranh e tart s’endeve; mays v so causas foro natura, e no vivo.	But if you see three or four or more, they are caused by a natural hot burning tool called a "nat" (needle) which causes pain in the foot.
E conte aquelas, ja sia que sian montiplicatz, una segondina, e son seperatz per ciphac, distingen aquels enter le liguament en l’ombilic de cascun de aquels E alcunas veguadas so foro-getatz ayssi cum es un fet per eyssiment natural leugier, e so eysitz alcunas veguadas per eyssiment no-lausabla ayssi cum havem recomtat.	And if it is necessary to cauterize the patient's legs, it should be done carefully, as one must use caution when applying such treatment.
E si son dificils alcus de lor deves le enfantament e perveno ad aquo que havem dit de las figuras no-naturals, lahoras tu cura aquels ayssi cum havem recontat.	And you cauterize those who are affected by them, as well as they have been by gout.
E si’ la matrona subtil e fassa aquo que fa am facilitat e subtilitat, e am tarditat, e sia ingeniat segon tota figura segon que es a lu preparat de l’engen amenant a salut.	And do if you have to treat the patient's legs for their condition.
Rememoratio eius quod formatur in matrice ex embrionibus et Abortiuntur.	And if it causes pain in the patient's cavity, treat them as needed.
Alcunas veguadas son formatz en la mayre un, e dos, e tres, e quatre, e v, e vi, e vii, e mays x, e ja es deves mi verificat que una femna abortem ne getet vi, e una autra x totz formatz, la qual causa fo fayta per mensuracio dels glorios savis.	Let us translate this ailment in the foot, which is caused by an excess of humors.
E tot aysso cove que sia en la sciencia de la matrona quar fort leu ad aquela parve semblant de aquo, e donc opause se ad aquo am so que cove.	And the midwife knows how to make incisions on the legs.
Capitol .lxxvi.	Of the seventy-sixth chapter.
De extraccio del fet quan es mort.	And then apply your hand to the patient's feet.
Quan tu curas le fet mort am aquo que havem dit en la divisio de la medicacio e no es defora eyssit, e tu yest forsat usar de opperacio am ma, lahoras cove que consideras si la femna es de sana vertut e no es am alcu dels accidentz per les quals sobre ela es temuda perdicio.	Then consider whether to apply cautery to the foot if the intestine or other part of the body is healthy and there is no fear of harm from the procedure.
Lahoras cove que la femna sia envessada sobre le lieyt sobre le sieu dos, e sia le cap de lu enclinat enjos e las coyssas de lu sian elevadas.	When the time comes to open the wound on the foot, you must hold the wound open and place something soft underneath so that the blood can be drawn from it.
E·l ministre tengua aquela de doas partz o sia liada en le lieyt per so que·l cos de lu no se extenda deves la extraccio del fet.	And if the pain is in the legs, they should be treated there.
E aprop tu humecta la boca de la mayre de lu am olis humitz e am mucellage de altea e de fenugrec e de semensa de li.	And then you must apply a poultice to the patient’s leg and moisten their legs with a mixture of herbs and oil.
E aprop unte la matrona la sua ma am aquels olis e mucellages, e aprop entrometa la sua ma am fecilitat en la mayre, e aprop cerque am la ma loc en le qual fique les uncis en le fet.	And then the midwife would place her hand on the patient's legs to guide the baby in the womb, and another cushion would be placed on the mother to help with the delivery, and a midwife, on the other hand, would tend to the child.
E locs convenient en aquo: adonc tu considera si le fet es preparat que deysenda sobre le sieu cap, e lahoras tu fique les uncis en les huels de lu, o en le col, o en la boca, o en le palat, o dejos la barba, o en la furcula de lu, o en les locs propdas de las costas, o dejos les ypocondres.	Then place the cushions on their legs, so that the patient's legs are treated as if they were already suffering from gout.
Mays si le deysendiment es sobre les pes de lu, lahoras en le pentenilh, o en le mieg de las costas.	And if it is upon the legs, it's a sign of gout.
E cove que tengua le unci am la ma dreyta, e pausa la curvitat de lu en aquel loc le qual es entre les ditz de la ma senestra, e entrometa la ma am facilitat e fique le unci en alcu de aquels locs les quals havem ditz, entro que pervengua a la causa boyda.	And so that you may hold the patient's legs steady, put your hand on their body.
E aprop pause e fique en la apposicio de lu un autre unci, o le tertz si es necessitat, per so que sia atraccio engual, e no sia extencio segon la sua rectetut tant solament.	Then apply a cautery to the third finger of the affected foot.
Ans sia maugut a tota partida, per so que l’eyssiment de lu sia alleujat ayssi cum es fayt en dent deves la eradicacio de lu.	And if it is necessary to treat someone's ailment, you should apply a poultice to their affected body part, and use a cushion and other treatments as needed.
E cove en lu aquo que es entre lor que la extencio sia mollificada; e si alcuna partida de lu es retenguda, lahoras cove que la matrona unte alcus sieus ditz am oli e entrometa aquels espertament e revolva am aquels aquo que es retengut.	And if there is pain in the joints, then soften it with oil and movement.
Donc si la partida del fet es fora-getada, lahoras les uncis sian permudatz entra loc le qual sia pus aut; e fay aysso entro que tot le fet sia fora-getat.	Therefore, if the first part of the body is affected by humors, a physician would call it gout.
Mays si la ma es eyssida denant l’autra, e no es possible reduzir aquela per la coartacio de lu, lahoras cove que drap sia envolopat sobre aquela; e aprop extratz aquela entro que tota sia fora-getada, e inscideys aquela o en la junctura de la ma o en le coyde.	If the pain is in the toes, then it is called urica by doctors.
E ayssi cove que fassas en l’autra ma e en les dos pes.	And so apply your hand to the affected area of the leg and feet.
Mays si le cap del fet es gran, o accideys a lu coartacio en le eyssiment, o es en le cap de lu aygua ajustada, lahoras cove que entrometa entre les ditz espatum spinos e fenda le cap e extragua la aygua, o que discroba aquel am un instrument le qual es nompnat “alundat”, la forma del qual vindra am las formas dels autres instruments en le capitol le qual es aprop aquest.	Mays apply “alund” to the affected area in the form of a poultice on the body.
E semblantment fassa si·l fet es de gran cap per natura: e lahoras cove que inscida aquel am algematu, o que prengua aquel am alunda ayssi cum havem dit; e aprop extra les osses am les forceps.	And if it is the foot that has been affected by cold humors, apply a poultice to the affected area.
E si le cap es eyssit e es coartat deves la furcula, lahoras sia fendut entro que la humiditat la qual es en le pietz sia efunduda.	And if the pain is in their feet, then apply cautery on the humerus bone and use other methods to treat them.
Mays si no es complicat, ni obezeys a eyssiment, lahoras tu inscideys le cap tantost segon que a tu sira possible.	Here comes the translation: If it's not complicated, you should apply a cushion to the wound.
E si le dejos del ventre es apostemat o es en lu ydropici, lahoras cove que tu perfores aquel entro que corro la humiditat que es en lu.	If the patient has a sore foot due to swelling from gout, cauterize the affected area.
Mays si le fet es sobre les sieus pes, lahoras la atraccio de lu es leugiera e la direccio de lu a la boca de la mayre es leugiera.	If the patient has pain in their feet, it's called "lepra" on the legs.
Mays si es coartat deves le ventre e·l pietz, lahoras cove que tu extraguas aquel am drap le qual auras envolopat sobre la tua ma, e que fendes le ventre e·l pietz entro que corra aquo que es en aquels.	If there are other things that need to be done, you will know how to proceed.
Mays si les autres membres so ostatz e torna le cap, lahoras la metrona entrometa la ma senestra; mays si la boca de la mayre es huberta, lahoras intrometa la ma en le preon de layre, e cerque am aquela le cap, e atira aquel am les ditz entro a la boca de la mayre, e aprop entrometa en lu un unci, o dos uncis, e atire lu am aquels.	The text likely describes different stages of treating an injury to the body.
E si la boca de la mayre es coartada per apostema caut le qual accideys a l’u, lahoras cove que no sia trebelhat sobre lu; abantz cove lahoras aministrar efusio de causas humidas grassas.	And if the mouth of the patient is constricted, you should hold them down in front with your hand on their stomach, so they do not suffer from an internal inflammation.
E aministre emplastres; e segua le pacient en ayguas que mollifican e humectan.	Then apply poultices; and place your hand on the patient's body to prevent further inflammation.
E si le fet es sobre le sieu costat, lahoras si possible es, sia agulat: e sia aministrat aquo que havem dit en le fet viu.	Then if the pain is in the side, it should be treated by applying a poultice to the area.
E si aquo no es possible, lahoras sia inscidit en pessas, e sia extrayt.	When it is not possible to use cushions, then cut into the foot.
E cove que non layssas alcuna causa dedintz de la segondina.	Then burn the second toe (or toes) to prevent the intestine from protruding further.
E cum tu auras complida tota la tua opperacio, lahoras aministra aquo que havem dit de la curacio en les apostemas cautz les quals accideysso de la mayre.	Then you must apply your care to all the joints by removing them from the body.
E si accideys flux de sanc, lahoras deyssendas en ayguas stipticas e aministra l’autra curacio.	And if you cauterize elsewhere, use a cushion to protect the patient's legs and feet.
E yeu ja e vist una femna en le ventre de la qual era fet mort, e aprop sobre aquel foc autra veguada emprenhada, e aprop foc mort es le fet autre.	And if it is necessary to apply cautery to the foot, then the patient should be placed in another position.
Accidit al u aprop lonc temps apostema en le sieu embelic; e inflat es entro que foc ubert, e comensec a getar brac.	You have already opened the space between their legs, and a cushion has been placed on their chest, but I need another person to hold their arms.
E yeu fu appelhat a la cura de lu, e medicat a lu per lonc temps, e la plagua no es consolidada.	And if the patient has been treated for a long time and another place needs cauterization, you can use a hot iron to burn their foot.
Adonc yeu pausegui sobre lu de alscunas causas emplastra de forta atraccio, e eyssic de lu un os, e aprop passero alcus jorns, e eyssic un autre os; e yeu fu trop meravilhat, cum en le ventre no sia os.	Then place a cushion on their legs, so they can't be too surprised by the pain.
E adonc yeu cogitegui que eran dels osses del fet mort.	Then it was considered that the patient's bones were affected by the disease.
Donc yeu enguisigui la plagua, e extrayssi de lu motz osses , la femna existent en las sieuas milhos disposicios, e ja visquec en tal manieyra per lonc temps, correc de lu un petit de brac.	Therefore, treat them with the other methods.
E yeu no afermegui asso esser stranh, sino quar en aquo es sciensa e ajutori ad aquo que le metge artifec am la ma per curacio aministra.	When there is pain in the joints, they are called "gouty" pains because...  it is known to be caused by an excess of humors.
De las formas dels instrumentz que so necessaris a extrayre le fet.	Then we use tools to extract the pain from the joints, which are used for healing.
Forma de vertitge am la qual es uberta la mayre:	Then apply heat to the legs and arms, and apply a cushion or other support to their knees.
Aquesta es la forma de strenhedor en le qual so engualhatz les libres, al qual engualhament sian dos virtitges en doas extremitatz de dos futz.	This is how you treat a patient for a strong gout attack.
May empero aquesta virtitge cove que sia pus subtil de strictori, e sia fayt o de eba o de fust de boys.	And thus if the patient has pain in their feet, they should be treated with hot cautery.
E sia la latitut de quascun fust quays dos ditz e le marge de quascu amdos quays un dit, e la longitut de quascu es un palm e mig; e en le mieg loc de dos fustz so dos ajustaments de aquel meteys fustz les quals ja son fermatz, dels quals la longitut es la maytat de un palm e un pauc mes, e la latitut de quascu es quay dos ditz, o un pauc mes.	And if you need to burn or cauterize the body of someone who has been plagued by illness, they should be carefully cauterized with the appropriate tools.
E aquestz dos additamentz sian entromeses en la boca de la mayre per que sia uberta am aquels quan tu revolves las doas prescriptas virtigges.	And if they are in the legs, then the blood must be drawn from the body.
Forma autra semblant de aquela pus subtil e pus leugiera:	Take the form of a poultice to the affected area and apply it gently.
Sia fayta de fustz de eba o de boys segon la semblansa de forceps.	And if you are using forceps on the patient, they should be made of wood or have metal handles to prevent injury from heat.
Mays empero en la extremitat de lu so dos additament ayssi cum vezes, e la longitut de aquels additament es quays un palm, e la latitut de quascu es dos ditz.	But in the patient's body, he will be healed by the use of a cautery.
E cum tu vols am aquels ubrir la mayre, lahoras tu fay cezer la femna sobre le lieyt les pes pendentz, ubert aquo que es entre las coyssas de lu.	This is for the legs which are in pain, or for other ailments.
E aprop obre la tua ma am le instrument ayssi cum fas am forfexs engualment segon la quantitat que vols de la aprecio de la boca de la mayre entro que la metrona fassa so que vols.	Then open the space between the patient's thighs to release the cushion from the instrument that holds the closed portion.
La forma de vertitge la qual diysero les antics:	This refers to the patient's condition, not their name.
Forma de impellent am le qual es empellit le fet:	When the shape of the body is distorted by a condition called "the gout"
Forma de amisidat2 am le qual es conterit le cap gran	The patient has a form of pain in their legs.
E es asemblat a forceps al qual so dentz en la extremitat, ayssi cum vezes, e alcunas veguadas es fayt lonc ayssi cum forceps segon aquesta forma, ayssi cum vezes, al qual so dentz ayssi cum dentz de ressegua am le qual es inscidit e conterit.	This means the same as Translation 2: *to the patient's body, already a cushion can be put into place on their legs.*
Forma de amesidat pauc:	The other one's (meaning the patient) are already in the throes of pain.
Forma de unci havent una spina:	The original text seems to be in a form of Romance language, possibly Italian or a similar dialect.
Forma de unci havent doas spinas:	Forma de unci having two points/spines.
Forma de forceps a la qual so dentz de cerra am le qual le cap del fet sia conterit:	This form of forceps is used for when the uterus is opened during childbirth.
Forma de spatum havent dos extremitatz am le qual le cap es abscindit:	When pain is caused by fluids in the body's joints, it is called a spasmodic ailment.
Forma de dos espatums latz:	Apply cautery to the two thighs.
Totz aquels instrumentz so excersitatz, e quan mes so multiplicadas las specias de aquel e so preparadas deves le artifexs, quant es pus leugier a la sua opperacio e pus aut deves les homes per la sua quantitat.	When the instruments are used on the patient, then use the tools to make the operation easier on them.
E no obres de aquels instrumentz ja sia qua sia deves tu aparalhat, quar la necessitat de aquels no es excusabla.	And so you must apply cushions to their legs when dealing with a patient, so that they are not too embarrassed.
De extraccio de la segondina.	Then there are other ways the body can be treated by cauterization.
Quan la segondina es retenguda deves le enfantament, lahoras cove que tu comandes a la malautae que retengua le sieu ale, e aprop fay aquela stornudar am condizi, e strenh la tua ma sobre la boca de lu e sobre las nars de lu, e si per aysso es defora eyssit, bo es.	And if the pain extends to the joints in the legs and feet, then you must apply cautery.
E sino, lahoras tu pren una ola e perfora en la cuberta un trauc e pausa en aquela erbas ubrent la boca de la mayre, ayssi cum calament e ruda e anet e camamilla e scicados arabic e cassia lignea e santaurea.	And if necessary, you must use a cushion on their legs and apply herbs to the body.
Totas aquestas erbas o alcunas de lor sian submersas en aygua en la ola, e pausa aquela sobre le foc.	These herbs or some of them are to be placed in water, and then the patient's body is to be submerged, and the other one is to be treated with a cautery on the legs and feet.
E aprop pausa una canula de canaviera en la boca de la mayre, e tengua aquela entro que la evapor vengua a la concavitat de la mayre.	Then apply a hot iron to the patient's mouth, e.g., to stop bleeding or treat wounds.
E aprop fay aquela stornudar ayssi cum havem dit, e la segondina sira fora-getada am velocitat.	Then let the patient's knees be caressed by the other as pain, and the patient be placed on a cushion.
Mays si roman aprop aquesta curacio e no es eyssida, lahoras tu comanda a la matrona que submerge la sua ma sinistra en oli sizami o en micellage de altea, e aprop entrometa aquela en le conh e queresca am aquela la segondina, e cum aquela auras trobada, lahoras pren la e exten aquela pauc a pauc Mays si es annexsa en le preon de la mayre, lahoras entrometa la sua ma segon que havem recomtat, e quan aura trobat la segondina, extragua aquela petit a petit segon rectetut per so que la mayre no caja deves la atraccio vehement.	If you have found the second cushion, then apply the same treatment to the thigh muscles as you do to the chest, but less intensely, on their legs gently so that the patient doesn't shiver.
Abantz cove que sia permudada als costatz dreyt e sinestre am facilitat.	Before the patient's pain is eased by cautery on their legs.
E aprop sia ajustat en la quantitat de atraccio, quar ela obedira e evasira de adhirencia.	And if it is necessary to cauterize, make sure to apply it to the surface, so it doesn't go beyond the point of coagulation.
E si la boca de la mayre es coartada, nos ja havem recomtat la curacio am sturnutacio e am medicacio de la ola am erbas.	And if the mouth of the patient is closed, another course of treatment is needed.
