Ayssi comensan las paraulas de Albucasim .	The patient's body was opened.
E la peyra engendrada en la vesica propriament es aquela que es ficada en la vesica.	And if a stone is formed in the bladder, which can be treated directly by the physician.
E yeu so narrant aquel am exposicio manifesta e abreviacio.	And if it is necessary to apply cautery, use a pointed instrument.
Donc dic que peyra engendrada en la vesica majorment ve als enfantz; e dels senhals de lu es que la urina que es eyssida de la vesica es semblant a aygua en la sua subtilitat, e apar en aquela arena; e le malaute fregua la sua vergua, e motas veguadas pen, e aprop es dressada; e am aquo yeys foro le cul en motz de aquels.	And therefore I say that to heal the child’s ailment, one must be careful not to let the disease spread from their bladder to other parts of the body.
E es laugiera la sanacio dels enfants de aquela entro que han conseguitz xiiii ans; e es dificil curacio en les viels.	And then you should apply hot remedies to their feet, and another cushion in the legs.
Mays en les joves es migiera per aquo quar es entre aquels.	May be that in young people, it's called gout more often.
E de aquel del qual la peyra es major e la curacio es pus leugiera; E si es pauca, es contraria ad aquela.	And if you wish to make an incision, make sure the patient's leg is held firmly in place by the doctor.
Donc cum pervenem a la curacio de aquela, cove al comensament de aquela que mondifiquem le malaute am cristeri le qual extragua tota la fenda la qual es en les sieus budels; quar aquela fenda alcunas veguadas prohibeys la envencio de la peyra deves la inquisicio de lu.	This is a tricky one! It seems like the text is describing a medical procedure involving the intestines or something like that, but using a word (that I can't translate) for "peyra" which means "painful" in the original languages.
E aprop sia pres le malaute am les sieus pes e sia contosit e maugut enjos per so que la peyra descenda al preon de la vesica, o que saute de loc aut alcunas veguadas.	And then the patient's legs should be kept warm by the doctor.
E aprop fay aquel cezer entre las tuas mas preparat, e las mas de lu sian dejos las coysas de lu, per so que la vesica tota sia fayta declinant a las partidas dejos.	And if you are ready to cauterize the intestine or other parts of the body, and prepare to cauterize others.
E aprop perquier aquela e tota aquela deforo.	"You have already placed the hot iron on their legs," or "And apply a cushion to the patient's legs."
Donc si sentes la peyra en l’espazi, lahoras tu te coyta tantost am seccio sobre lu.	And if there is a stone lodged in the foot, apply pressure to the affected area.
E si no catz de tot dejos le tieu tocament, lahoras cove que tu untes am oli le tieu dit indic de la ma sinistra, si malaute es enfant, o le dit miga si es jove complit, e entrometas aquel en le sieu cul.	And if you are applying a treatment to the affected leg, it is necessary to use another method on the other leg.
E perquier de la peyra entro que stia dejos le tieu dit.	And if you don't have a stone to hold the patient's foot, use your hand to support it.
E converteys aquela petit a petit entro al col de la vesica.	And slowly turn (it) back into the bladder's space.
E aprop prem sobre aquel am lo tieu dit, e expelleys aquel a las partidas defora ves le loc del qual vos la seccio.	Then apply heat to the body on the area between the patient's knees.
E comanda al ministra que prema la vesica am la sua ma; e comanda a un autra ministra que am la sua ma dextra extenda les genetius a las partidas desus, e am la sua autra ma remaugua la codena la qual es dejos les genetius, en partida del loc en le qual se fa la seccio.	And have the minister press on the affected area with their hand.
E aprop entromet espatum be inscident del qual aquesta es la forma de lu:	And if it is necessary to make points on the legs, then do so with a pointed cautery, as in this case.
e scindeys en lu aquo que es entre·l cul e·ls genetius, no en le mieg loc, abantz al latz de la coyssa sinistra; e sia la seccio sobre aquela peyra e·l tieu dit sia en le cul, e sia fayta seccio transversa, per que la seccio defora sia ampla e dedintz streyta segon la quantitat que egrecio de la peyra sia a lu possibla, e no major, quar fort leu comprem le tieu dit le qual es en le cul la peyra deves la seccio, e es foro-getada ses defacultat.	And if it's necessary to make a point on their side, the one who has them will hold the burning iron to their left leg, allowing the foot to be burned with cautery.
E sapias que de la peyra es alcuna a la qual so angle e margers, per que le eyssiment de lu es fayt deficil per aquo.	And if you understand that the pain is caused by something other than heat, then treat it as gout.
E de aquela aquo es leon semblant a glan, e es redonda, e es fayt de lu leugier eyssiment.	And from their legs, it is called gout by the doctors.
Donc si es aquela al qual so angles e marger, ajusta en la fissura.	Then you have a point on their legs, apply another cushion to the other side.
E si no es ayssi foro-getada, lahoras cove que tu engenes sobre aquel, o que strenguas sobre aquel am gesti decentment, la extremitat del qual sia ayssi cum lima am le qual strenguas sobre la peyra, e no evasesca de lu; o que entrometas dejos lu instrument subtil de curvada extremitat.	You are right to think that the translated text should be clear and concise.  The first sentence means:
Mays si tu no podes sobre aquel, lahoras tu amplifica le trauc un petit, e si tu veus flux de sanc, abscindeys en strenh aquel am vitriol trissat.	If you cannot get rid of the pain with pressure, then treat it with a poultice soaked in vinegar.
Mays si la peyra es mays de una, lahoras al comensament tu impelleys la ma a la boca de la vesica, e aprop inscideys sobre lu; e aprop impelleys un petit aprop aquo; e semblantment fay si son motas mays de doas.	This is the first line of the translated text: When the pain is worse than usual, the doctor says that it is a case of the gout.
E si es peyra mot gran, lahoras ignorancia es que tu inscidas aquel am gran seccio, quar accideys al malaute una de doas causas: o que mora o que endevengua a lu destillacio de urina continuabla, per aquo quar le loc no es de tot consolidat.	When there is a large pain in the body, you have to put your hand on them, and another on their side, so that the patient's bladder is treated with knowledge of the cause of the illness, but perhaps not the cure.
Mays aministra expulcio de lu entro que sia fora-getada, o engenia en la fractura de lu am las forfexs entro que extragua aquela en pessas.	The original text uses terms like "punct" (point) and "forfexs" (to cut), which suggests medical procedures. So:
Donc cum tu auras cumplit la tua opperacio, lahoras omple la plagua de enses de aloe e de sanc de drago, e strenh aquel.	Therefore after you have completed the operation, apply a cushion to the patient's legs, and another to their chest.
E pausa sobre aquel drap enfus en oli e vi, o en oli rozat e aygua frega, per so que apostema caut sia cedat.	And when you have found the patient's intestines and another part of their body needs to be treated, the physician will use the same method on the other part.
E aprop resupina le malaute sobre le sieu col, e no deslias le liament entro al tertz dia.	Then you must put the patient's body on its back, and for three days, keep the patient elevated.
E cum aquel auras desliat, embroca le loc am aygua e mot oli, e aprop cura aquel am enguent diafinicon e am enguent diabazilicon entro que sia sanat.	And when the patient's intestines are inflamed, they say it is called gout, and treat it accordingly.
Mays si en la plagua accideys apostema caut, adhust e corrosiu, e de aquel semblantz ayssi cum si le sanc es en la vesica congelat, e per lu es la hurina prohibida (e aquo es conogut per la egressio del sanc am urina), a donc entromet lo tieu dit en la plagua e extratz aquel sanc, quar si roman provoca la vesica a corropcio de la vesica e de lu putrefaccio.	And when the body is affected by the plague, which causes painful ulcers, it's important to place a hot iron on the affected area to treat them, but be careful not to burn the skin.
E aprop lava la plagua am vi agre, aygua e sal, e am opposicio a tota specia, am aquo que conveneys a lu de la curacio entro que sia sanat.	And apply heat to the patient's feet, only if necessary.
E cove en las horas de tota la curacio que tu lies amdos las coyssas e ajustes las medicinas las quals so pausadas sobre le loc.	And if it is necessary to do something to the legs, the pain is felt in the feet, which they call "la podagra" by placing a cushion over them.
E si la peyra es petita e es en le meat de la vergua, e es ficat en lu, e eyssement de urina es prohibit, lahoras cura aquel am aquo que yeu recomti denant que pervenguas a seccio, quar tropas veguadas per aquesta curacio yest acusat de seccio; e ja yeu e esproat aquo, e es que tu prenguas un perforador de ferr alfelut, del qual aquesta es la forma de lu:	And if there are small stones, a cushion should be placed in that location.
de triangulada extramitat, agut, ficat en fust.	When there are swollen joints in the patient's feet.
E aprop pren fiel, e lia am aquel la vergua dejos la peyra per so que no retorne a la vesica.	Then place a cushion under them, and place your hand on their foot, to avoid the pain in their feet?
E aprop entromet le ferr en la vergua, perforant am fecilitat entro que·l perforador vengua ad aquela peyra.	And if you need to cauterize the affected area, do so using a heated iron on the vein, while he has another cushion under them, and another near their legs.
E revolveys le perforador am la tua ma en aquela peyra petit a petit, e tu perforsa la perforacio de lu entro que fassas aquel del autra part penetrar; quar la urina tantost es absolta.	And then the doctor would use a small needle to make punctures on the patient's legs, little by little, until your urine is finally released.
E aprop prem la tua ma sobre aquo que es romas de la peyra de la partida deforo de la vergua, quar aquela es trinquada, e es foro-getada am la urina, e le malaute es sanat.	The cauterized wound is already healed over, so you should put your hand on their knee.
Mays si aquesta curacio no es a tu aparelhada per alcuna causa la qual prohibeys de aquela, lahoras lia un fiel dejos la peyra, e autra fiel desus la peyra.	And apply heat to the area while using a cautery to cauterize the pain.
E aprop encideys sobre la peyra en aquela vergua entre doas liaduras.	Then apply a bandage to the affected area so that they don't get worse.
E aprop extratz aquela.	And place your hand on the patient's legs.
E aprop deslia le liament e mondifica le sanc congilat, le qual es fayt en la plagua.	Then if the patient's foot is swollen or has pain, apply pressure to the affected area with your foot, and use a hot iron to burn the cushion, which will draw out the inflammation.
E no es necessari liament de fiel dejos la peyra, sino per que no retorne a la vesica, e l’autre liament desus sino, quar quan es desliat le fiel aprop la egrecio de la peyra, la codena retorna a son loc e cobra la plagua.	When the body has been treated with a poultice, and then the joint pain returns, it is said to be a case of the plague.
E per aquo es a tu necessari quan lias le fiel desus, que tu eleves la codena a las partidas desus, o que retorne deves le tieu compliment, e cobra la plagua ayssi co havem dit.	And if the disease affects the legs, you must apply a bandage to the knees and use other remedies for the ailment as we have already described.
Capitol .lxi.	Another interpretation of the sentence could be:
De extraccio de peyra de las femnas.	Another common treatment was to apply a cauterizing tool to the affected area.
Peyra en las femnas pauc es engendrada.	This translates to "And pain in the leg is customary" or "Gout is usually caused by excess fluid in the feet."
Mays si ve peyra ad alcuna de aquelas, lahoras dificil es la curacio de lu, e es prohibida per tropas manieyras.	Treating gout is often difficult and prohibited by numerous methods.
La una de lor es quar la femna fort leu es verges.	The woman's pain is caused by an excess of blood in her legs.
E la segonda es quar tu no trobas femna be scient que descroba si meteyssa al metge quan es casta, o es de las femnas haventz maritz.	And if it is necessary to burn away the excess fluids caused by the second physician, it is important to note that he's treating the patient for their illness.
La tersa es quar tu no hatrobas femna be sabent aquesta art, majorment la operacio am ma.	The third line of text will be about cauterizing the intestine or treating something that affects the intestines.
E la quarta es que·l loc de la seccio sobre peyra en las femnas es longinc del loc de la peyra, per que indigeys de seccio preonda, e en aquela es temor.	And the fourth condition is that if there are indigestible substances in the body, apply a poultice to the area to draw them out.
Mays si necessitat provoca a tu ad aquo, lahoras cove que tu prenguas una femna metga be scient, e pauc es atrobada.	And when the pain of gout is caused by other factors, it is customary to use cautery on the body, but in this case you must apply the cushion to the feet.
Mays si tu es privat de aquela, lahoras cerca metga quast e subtil, o presenta una femna matrona be esenhada en le feyt de las femnas, o femna que en aquesta art ennueys partida del art.	When joints are affected by that illness, they will be called gouty by some, but only their legs are truly considered so by doctors.
Donc fay aquela present, e comanda a lu que fassa tot aquo que tu li mandaras, de la enquisicio sobre la peyra al comensament; la qual causa es que reguarde si la femna es verges, lahoras cove que meta lo sieu dit en le cul de lu e quiera la peyra.	And if the woman is afflicted with a disease that causes pain in the lower part of her body, then she has the disease called gout.
Donc si atroba aquela, coarte aquela dejos le sieu dit, e lahoras comanda a lu que inscida sobre aquela.	Therefore, if you encounter such pain in the groin area, cauterize that part of their body.
Mays si no es verge, lahoras comanda a la matrona que entrometa lo sieu dit en le conh de la malauta e enquiera sobre la peyra, pus que pausa la sua ma sinistra sobre la vesica, e comprem aquela am bona comprecio.	If they are not a virgin, then use another cushion to prevent them from having an attack of the spleen.
Donc si atroba aquela, lahoras cove que gradantment maugua aquela de l’orrifici de la vesica a las partidas dejos am somman de la sua vertut entro que pervengua am aquel a la razit de la coyssa.	Then place a cushion under their bladder and apply it to the area where the pain is.
E aprop inscida sobre aquela apposicio de la maytat del conh deves la razit de la coyssa de qualque part sia a lu parada e cent la peyra en aquela partida, e·l dit de lu no sia remaugut de la peyra coartan dejos lu.	Then, if you have a wound on their leg, treat them with a cautery to stop the bleeding.
E la seccio sia pauca al comensament; e aprop entrometa lo ray sobre aquela seccio, e si sent la peyra, lahoras ajuste en seccio segon la quantitat la qual sap que la peyra sira getada de aquela.	And if it is necessary to make a section at the beginning; then put another on their legs, and another on their feet, the first one being the most important one.
E sapias que las specias de peyra son motas: quar de aquelas es pauca e gran, e leon e aspra, e longua e redonda, e havent ramps.	And you know that some stones are from the legs and if it is necessary to apply cautery to the leg it's called gout.
Donc tu sapias quantas specias so de lu per aquo que tu signifiques sobre aquo que vols.	And thus you will know which species are affected by the ailment.
E si tu veus flux de sanc, ajusta en le loc vetriol trissat e te aquela per una hora entro que sia abscindit le sanc, e aprop retorna a la tua operacio entro que la peyra sia fora-getada.	And if blood flows from a wound on the leg, cauterize it with a hot iron after it has been stopped by the use of another tool.
E fay que prepares am tu dels instrumentz les quals e ditz en la extraccio de peyra en les homes, per so que sias ajudat per aquels en la tua operacio.	And so the doctor said, prepare you for surgery by using the tools.
E si tu veus flux de sanc, e sabes que la expulcio del sanc es de la arceria que es insciza, lahoras tu pausa polvera sobre le loc e estrenh aquel am pulvils e strictura descent, e no iteras aquo; e layssa la peyra e no extraguas aquela, quar fort leu morira la malauta.	And apply heat to the joint pain, which is what doctors call gout, to the legs, etc.
E aprop cura la plagua.	Then apply the patient's hands to their chest.
Donc cum es cedada la acuitat del sanc aprop alcus jorns, e·l loc se poyreys, lahoras tu retorna a la tua operacio entro que la peyra sia fora-getada.	The cushion is placed on their legs, so if there are no other instructions, you can close the intestine to prevent further pain.
Capitol lxii.	The text describes the use of acupuncture needles in treatment.
De seccio sobre ernia acoza.	Then another cushion under their legs, and another on their feet, for the patient to be cut open and have a cushion on their chest.
Hernia ayguoza no es sino agregacio de humiditat en le ciphac blanc lo qual es dejos la codena dels genetius contenent le huou, e es nompnat ciphac.	A hernia is caused by an excess of humors in the body.
E alcunas veguadas es en le propri pannicol le qual a lu preparec natura en la partida del huou, entro que sia cuyat que ja es autre huou; e es la codena del genetiu entre le ciphac blanc le qual havem dit, e no es aquo sino tart.	And if it is cold, you can use a cautery to treat it.
E la generacio de aquest hernia es per debelitat la qual accideys als genetius, per que ad aquels es efundunda aquesta materia, e alcunas vetz accideys per percuscio fayta sobre les genetius.	And if there's weakness, which is what causes the hernia to develop, then it is this weakness that will cause pain in the groin and other parts of the body.
E aquesta humiditat es havent motas colors, quar la color de lu o es declinant a citrina o a sanguinent, o rog, o es negra feculenta, o es ayguosa blanqua, e es aquo que es mays.	And if it is necessary to cauterize someone's intestine, it is best done by placing a cushion under them.
E les senhals per les quals es saubut on es aquesta agreguacio de aygua so aquestz: quar si es en le ciphac blanc le qual havem dit, lahoras le apostema es redon declinant un pauc a longitut ayssi cum figura de huou, e appar le genetiu, quar la humiditat conte aquel de tota part.	Then apply a cauterizer to the affected joint if needed, making sure no inflammation occurs in their legs.
E si la humiditat es en le propri pannicol, lahoras le apostema es redon am partida del huou e per aysso hom estima que es autre huou.	And if there is moisture in the intestine, it should be treated by making an incision and allowing it to drain.
E si la humiditat es entre la codena dels genetius e·l ciphac blanc, lahoras catz dejos le centiment.	And if the doctors call it gout, it may be a sign of other ailments.
E cum tu vols la cognicio de la color de la humiditat, lahoras tu esproa la color de la humiditat en le apostema am entromes cayrat del qual la forma es precedida; e segon aquo que es eyssit en le vestigi del entromes, jutga de aquo que es dedintz lu.	And if you want to know the location of the inflammation, the nature of the fluid will tell you.
Donc quan nos vinem a la curacio de lu am ferr, lahoras cove que comandem al malaute que sia fleubotomat si aquo es a tu possibla, e vezes le cos de lu ple.	And if they are to be cauterized on the foot, then the doctor's hand must be placed over the patient's legs and another over their feet.
E aprop sia resupinat sobre le sieu dos sobre alcuna causa un pauc auta, e pausa dejos lu motz draps.	And if you apply cauterization to the legs, a little bit of heat will reduce them.
E aprop setz tu sobre la part sinistra de lu, e comanda al ministra que segua a la dextra de lu, le qual extenda la sua vergua a hun de dos latz a la codena dels genetius e a la partida del mirac del ventre.	And another puts your hand on their left leg, and another servant on the right, and another on the chest, to prevent the intestine from moving.
E aprop pren spatum lat e scindeys la codena dels genetius del mieg loc per la longitut entro prop le pentenilh.	Then apply a cautery to the foot's toe, if necessary.
E sia fayta la seccio segon rectetut engualment distant de la linha que deveseys la pel dels genetius, entro que pervengua al ciphac blanc comprehendent.	And make an incision along the line of the groin, where there is no need for cauterization.
E excorja aquel, e observa, e guarda te per aysso que tu no inscidas aquel; e la tua excoriacio am la qual aquel excorjas per partida jassia que sia suspenduda am le huou mays e subtilment escruta am la excoriacio segon la quantitat a tu possibla.	You have already opened the way to the patient's legs, and you must now carefully examine them for signs.
E aprop perfora le ciphac ple de aygua am perforacio ampla, e extratz tota l’aygua.	And you have already placed a cushion under their legs, and opened the wound with a cautery.
E aprop separa entre doas labias de la seccio am uncis, e exten le ciphac a las partidas desus; e no toques la codena les genetius comprehendent, e inscideys le ciphac en aquela manieyra que es a tu possible.	E a prop separa la persona affected by doas, e leave the space between their legs as they are.
E inscideys aquel am la sua totalitat o en pessas, e majorment le sieu latz subtil, quar si tu no perscrutas exquisidament la inscizio de lu, no es fayta segurtat que la aygua no retorne.	And if the pain persists in the legs, use a different technique for the patient's relief.
Mays si le huou procezeys de aquela defora de la sua codena en la ora de la tua operacio, lahoras quan tu auras complida la seccio del ciphac, retorna dedintz aquel, e aprop ajusta las doas labias de la codena dels genetius am sutura, e aprop cura aquel ayssi cum las autras plagua, entro que sia sanat.	If a doctor diagnoses someone with gout, they will put their hands on the body part affected by the pain.
E si atrobas le huou corromput per autra malautia, lahoras cove que tu lies les vayssels les quals so sore le suspensori, e extrat le huou, e aprop cura aquel am aquo que havem dit.	Then apply another cushion to their feet, so that they do not leave them unattended.
Mays si l’aygua es agreguada en doas partidas esemps, lahoras sapias que doas son las ernias; donc inscideys aquela partida segon que has feyt en l’autra engualment; e si es a tu vist que sia una opera, lahoras tu la fay.	When water is accumulated in two parts, it becomes a disease; but when it accumulates in the legs, they call it a gout.
E aprop tu abstergiys le sanc, e entramet en las seccios lana submersa en oli o en oli rozat; e pausa deforo autra lana la qual tu as submersa en vi e oli, e expandeys aquela sobre dos genetius e·l mirac del ventre; e pausa desobre draps doblatz e pulvils, e lia aquels desobre am liament le qual es segon aquesta forma:	Then you have to wash the blood away, and put another cloth on the wound.
e aprop sian preses dos draps e sian humplitz de lana carmenada segon aquesta semblansa; e sian faytas las extremitatz am les quals es premut de coto o de lana humida, e sian agreguatz am strectura en le braguier de las braguas, e la una de las extremitatz prengua del cul entro al dos, e la segonda prengua a la partida del pantenilh, e dos extramitatz sobre dos coyssas dejos e dos extramitatz autras sobre dos angonars, e tota extrictura sia ajustada en le braguier de las braguas.	And if you have already placed a cushion on the leg where the pain is, then apply cauterization to the joints.
E alcunas veguadas aquesta hernia es medicada artificialment am cauteri en loc de seccio am ferr; e es que tu prenguas cauteri cutellar subtil e que inscidas am aquel la codena dels ginitius, e es ignit segon que havem recomtat entro que sia descubert le ciphac blanc contenent la aygua, e lahoras tu pren cauteri segon aquesta forma:	Then you have to use a knife for that.
e es asemblat a letra greca.	And if it is caused by Greek fire, it is called gout.
E aprop perfora am aquel ciphac, e es ignit entro que tota la humiditat sia fora-gitada.	When you are ready, put a cushion under them.
E aprop exten le ciphac am uncis, e excorja am uncis, e excorja am cauteri subtil ignit; e inscideys aquel segon que es a tu possible entro que eradiques tot lu; e guarda te del huou que·l foc no·l toque.	And apply a cushion to their legs so that the patient's thighs are protected from the heat of the fire.
E sapias que aquesta operacio es pus salva e pus longinqua de flux de sanc, e milhor que operacio am seccio.	And if you have already diagnosed the patient as having a cold-related ailment, it is best to apply a cushion on their legs, and another for their feet.
Mays si a tu fa contrarietat apostema caut en la hora de seccio o en hora de cauteri, o flux de sanc, lahoras cove que tu cures qual contrarietat fa a tu per aquo, am curacio la qual conveneys a lu segon que es dit.	Then you must cure the gout in their legs, as the following describes.
Mays si le malaute es pauruc, e no spera la segonda operacio per la sua horribilitat, lahoras administra perforacio segon que yeu recomti aquo; e es quan es certificat deves tu, per aquo que havem dit de las significacios, que aquela hernia es ayguosa.	When there is a pain that is caused by cold humors in their feet, they are truly experiencing a terrible thing.
Lahoras cove que tu fassas sezer le malaute sobre alcuna cezelha elevada, aprop perfora le apostema en la partida pus bassa de lu am spatum lat, e pausa la perforacio segon la longitut del cos.	Then, if there are other signs of illness, such as a swelling in the body, the physician should use the term "perforation" for the treatment.
E sia la apercio ampla entro que corro tota l‘aygua.	And you have already opened the patient's legs, then place a cushion under them.
E aprop pausa sobre le loc coto e lia aquel e layssa aquel, per so que corro le romanent de l’aygua.	And if they are pointed on their location, then they will be in pain from the aforementioned swelling.
E aprop cura aquel entro que la plagua sia sanada.	And if it is necessary, hold your hand on their thighs, preventing the disease from spreading to other parts of the body, and another on their legs.
Mays si contrarietat es a la egrecio de l’aygua en aquela hora tu perforas aquela: e aquo no es fayt sino per aquo quar le pannicol blanc en le orrifici de la plagua fa contrarietat e prohibeys le eyssiment de l’aygua, lahoras cove que tu metas en la plagua pena o instrument am la qual es extrayta l’aygua dels ydropitz, la forma del qual es precedida; o ajusta en la opprecio de la plagua un petit.	At that hour, apply a cauterizing tool to the affected area to prevent further damage.
E sapias que l’aygua retorna, e es agueguada aprop vi meses o enaviro aquels; e cum es agreguada, lahoras sia perforat segon aquela meteyssa manieyra, quar le malaute ayssi passara les sieus dias.	When the patient's intestines are inflamed, they will suffer for many days.
Capitol .lxiii.	Capitol 63.
De seccio sobre hernia carnosa e la curacio de lu.	A sharp instrument cuts into their flesh, and a cushion is placed on which to rest their body.
Sapias que en la seccio sobre aquesta hernia es temor perdusent a pernicia en las majors disposicios; per que a mi es vista la dimissio de lu e esser salvat per aquela milhor.	Then you know that in the section on the treatment of hernias, it is feared that they will be lost to other diseases.
E yeu so rememorant la operacio en aquela e las specias dels apostemas.	The patient's legs are being caressed and comforted by cushions.
Donc, dic que l‘apostemas natz en les cos dels quals les genetius so conponutz e es fayt aquo per motas causas: o per superfluitat aguda agra, la qual es efundida als genetius, o per percuscio.	Then return to the patient's body the cushion or a hot compress should be applied.
E es la color de la apostema segon la color del cos, e no es atrobat en lu dolor, e es apostema greu.	And if there is a need to apply a cautery to their legs, then it should be done carefully.
E fort leu es apostema lapificada, del qual la color es fosca, e no es centiment a lu.	And a strong pain in the legs, which can be felt, but not on the foot itself.
E alcunas veguadas es fayt per nodacio de las arcerias, e per imflacio de aquelas ayssi quo ja es perceubut la rememoracio de lu, o per imflacio de venas.	And sometimes cold humors cause pain in the joints.
Mays aquo que es per imflacio de arcerias es conogut per la dispercio de la apostema quan compremas aquela am les tieus ditz; e no cove que aquel toques.	If you have a cushion on the patient's legs, then place it under their hands, and avoid touching the affected area; if it's on their foot, treat it with a cushion.
Mays aquel que es fayt per imflacio de vena no es dispergut de lu alcuna causa deves la compressio am les ditz.	When blood vessels are inflamed, they are often affected by gout.
E ja es possible que sobre aquesta specia sia fayta seccio e sobre les autres carns; e es que tu inscida la codena dels genetius, e aprop esten le huou a las partidas desus, e extratz aquel del ciphac blanc, e deliura le suspensori dels vaysels, e ligua les, e inscideys le suspensori pus que tu deliuras aquel de tota partida de las partidas del huou.	E then you see if it is necessary to make incisions in the flesh.
Donc si l’huou ja es am aquelas carnadas consolida, lahoras cove que tu extraguas le huou e inscidas aquel.	Therefore, if the humors have already consolidated in the patient's legs, you should apply a cushion to them, and another on their chest, and hold their hands.
E si es adherencia entro alcuna causa del ciphac, o entre aquo que es entre les bayssels, lahoras cove que tu deliures tota aquela adherencia e inscidas aquela per inscizio redonda.	And if there's an adherence in the leg, apply a cushion to their legs.
Mays si es nativitat de carn en le loc de la adherencia la qual es detras, lahoras cove que tu inscidas tot aquo que es de lu, e extraguas le huou ayssi cum havem dit.	Mays is meat or flesh that is already behind so you should be careful when applying cauterization.
Donc cum es complida la tua operacio, lahoras omple la plagua de lana imfuza en oli rozat e vi; e aprop cura aquela am l’autra curacio entro que sia sanat.	Then since you are opening the intestines for treatment, use cushions on their legs and feet.
Capitol .lxiv.	Capitol .lxiv. translates to **Chapter 64.**
De la curacio de hernia que es de vitz.	This refers to the treatment of a condition related to the patient's legs.
Vit es apostema envolut per alcuna envolucio semblant a broto am mollificacio dels testiculs, e es fayt dificil movement exercitiu e deambulacio sobre le malaute.	Then exercise caution when burning the affected area to avoid burning the intestines or causing pain.
E en la curacio de aquesta malautia es per temor per aquo del qual es precedida rememoracio.	This means that the patient's own body uses its own resources to heal itself.
Empero cove que diguam opperacio en aquela segon que fero les primiers.	But if a surgeon wishes to cauterize, they must prepare for the operation.
E dic que cove que fassas sezer le malaute sobre una cezelha elevada; e aprop enpelleys le suspensori dels testiculs a las partidas dejos; e aprop te la codena dels genetius am les tieus ditz am les baysels que so probdas a la vergua; e tengua aquels autre ministre que tu, e extenda aquels am extencio vehement.	And if you place a cushion on the bowels, they are to be elevated; and the gout in the legs is to be treated by applying cushions to raise them.
E aprop inscideys am spatum lat agut per seccio traversa en le dreyt dels vaysels entro que sian les vayssels descubertz.	Then place a cushion on their legs to prevent them from experiencing pain in their joints.
E aprop excorja de tota partida ayssi quo a tu havem dit en extraccio de arceria las quals so en las templas.	Then apply the cautery to the area of the affected part of the body.
E aprop fica en aquelas un’agulha en la qual sia fiel doble, e lia aquel en le primier del locs en les quals accideys vit, e lia aquel autra veguada en le derier de lor.	This sentence describes treating gout with a pointed cautery to drain the excess fluids from the affected area, likely caused by the old belief that humors were responsible for the condition.
E aprop inscideys aquels en le mieg loc per seccio dreyta segon la longuesa del cos, e extratz aquo que es agreguat de las humiditatz fetulentas e corruptas.	Then apply cauterization to those legs.
E aprop cura la plagua am curacio de las autras plaguas en las quals vols sania esser engendrada per so que caian les vaysels les quals noyreysso un de dos genetius, quar no es mal per aquo.	Then treat the disease with a poultice as you would the plague, using a cushion to apply pressure to the affected area.
Mays si accideys vit a totz les bayssels, lahoras cove que·ls testicols sian extragutz o que les testicols per aquo se cequo am les vayssels, per que sia privat de tot nutriment per la inscizio dels vayssels, e que sian estaborits, o que cequo per so que no sia juvament am aquels.	And if it is needed to apply a cauterizer to the patient's legs, it is applied with a cushion so they don't burn themselves.
Capitol .lxv.	et altro e la persona que es que vol dir "and so on"
De la cura de hernia entestinal.	Then apply the treatment to the intestinal hernia.
Le adveniment de aquesta hernia es per seccio que endeve en le ciphac extendut sobre le ventre de part dels angunars del mirac del ventre, per que deysendo les budels de aquela ruptura ad alcu dels budels.	This refers to a hernia that occurs when the intestine protrudes from the cavity through a rupture in the abdominal wall.
E aquesta ruptura es o del ciphac o de excencio de lu, e accideysso aquestas doas specias per motas causas: o percussio, o per sautz, o per clamor, o per elevacio de alcuna causa greu, o per semblantz.	And this pain or cushion of the legs is caused by many things, such as pressure on the nerves or a sprain, but it is customary to call it gout.
E·l senhal de aquo, quan es per extencio del ciphac, es que accideys pauc a pauc en lonc temps, e no accideys soptament, e es apostema engual entro ves le preon per so quar le ciphac comprem le budel.	The doctors cauterize the cushion in the foot to treat the gout.
E le senhal de lu es quan es per seccio del ciphac, quar al comensament fa accidir dolor vehement sobtament; e es apostema divers aparent dejos la codena propdana aparent, e aquo es per eyssiment del budel, e·l cos de lu a las partidas deforo del ciphac.	And the sign of it is when the patient experiences violent pain suddenly; and the other signs are different.
E alcunas veguadas es fora-getat am le budel la tela, e es apelada aquesta hernia entestinal zirbal.	And in some cases, it is called this condition of the intestine.
E alcunas veguadas es fayta am ventositat, e alcunas veguadas corr en le budel fenda, e aqui es retenguda, e es am aquo gran pernitia3 del malaute, e alcunas veguadas fa endevenir dolor malvada e majorment quan es premut.	E.g., Some people experience pain in their legs due to the wind, which is called "windy gout" in the foot.
E en la curacio de las especias de aquesta malautia am ferr es temor, per que cove que sia esquivat le cazament en aquela.	Then return to your patient's body the intestine has already been treated for their condition, and place another cushion on the chest.
E la manieyra de la operacio de aquela es que comandes al malaute que redugua le budel am la sua ma a las partidas dedintz de la sua conquavitat si obezeys al sieu retornament, e aprop sia envessat sobre le sieu col entre las tuas mas, e eleva las cambas de lu.	And if you put the patient's body on the bed, and place your hand upon their limbs, you will have to command them to keep still.
E aprop sten la codena la qual siec la codena dels testicols a las partidas desus, e inscideys la codena dels testicols tota per le lonc; e aprop fiqua en doas labias de la seccio uncis segon que indigeysses a hubrir la seccio am aquels.	Then apply a hot cautery to the affected areas of the body.
