Ayssi comensan las paraulas de Albucasim .	And that's when we see the beginning of Albucasim's teachings.
E fay cezer le malaute sobre la selha, e embroca la vesiqua de lu e la vergua am olis umitz, e oli de oliva e ayguaros.	And make a cushion for the patient's thighs, and oil it with an oil of its own kind.
E aprop entromet la ciringua am facilitat entro que pervengua a la razit de la vergua; e aprop dobla la vergua desus a la partida del embelic; e aprop empelleys la ciringua dintz aquela; e aprop empelleys aquela entro que pervengua a la vesica, e aquela centa le malaute esser pervenguda a la causa vuoda, e no es fayt asso segon aquest orde, sino le meat en le qual va a tortuositat.	Then put a hot iron on their belly, and place another one on their feet to apply heat in a way that is not painful to them.
E aprop exten le fiel am la lana petit a petit, quar la urina siec la lana.	And if necessary, apply a cushion to their urine.
Aprop extratz aquela e fay per curacio urina, e usa ciringua, no cesses fer aquo e usa ciringua entro que sia evacuada la vesica e le malaute atrobe alleviacio.	Then apply the other cauteries as needed to bring about healing.
Capitol .lix.	Chapter 59.
De qualitat de clisterizacio de la vezica am clampcedra e am semblantz instrumentz les quals sian acordants ad aquo.	This text describes medical tools that would be used for cauterization.
Quan accideys en la vesica ulceracio o apostema, o sanc congilat en aquela, o es coartat poyredura, e vols en aquela destillar ayguas e medicinas, lahoras sia fayt am instrument le qual es apelat clampcedra, e aquesta es la forma de lu:	And then when the bladder or the kidneys are affected by such disease, it is necessary to cauterize them.
sino que en la extramitat de lu es sorda, so es clausa.	When there is pain in the feet, it is treated by cauterization.
Et en aquela so tres traucs: dos de la una partida , ayssi quo vezes.	And in that case there are three treatments: two for the one part of the body, and another for the other parts of the body.
En le comensament es loc concau, en le qual es aquo que es enpellit, e sia segon quantitat que oppile aquel, ses addicio, entro que quan alcuna causa es ab aquel tirada de las humiditatz, sia atirada, e quan es expellida, am aquo sia atirada, e quan es expellit lonc, segon que fa clampcedra am la qual es phicat naphta en las batalhas de mar.	At the beginning, place cushion on the patient's intestines (to treat gout).
Donc cum tu vols prohicir humiditatz en la vesica, entromet la extremitat de clapcedra en la humiditat, e atira am aquel aquo que es empellit a las partidas desus, quar la humiditat es atirada en la conquavitat de clapcedra.	When using a hot cautery, apply it to the bladder if you want to stop the humors from swelling.
E aprop entromet la extramitat de clapcedra en la vergua segon que havem recomtat en la ciringua; e aprop empelleys la humiditat am aquo que empelleys, quar aquela humiditat perve a la vesica tantost, e le malaute cent aquela.	Then apply a bandage to their thigh to prevent the intestine from protruding.
Forma del cristeri subtil am le qual la vesica es cristerizada, e es aquela la forma:	This is a bit tricky since I don't have context for the entire treatise, but here's a guess at the meaning:
E sia fayta de argent o de lato, de la qual le cap pus aut sia semblant a petita pluma, e dejos lu cana dedintz liament.	And if it is made of silver or of brass, the silver one will be used to treat the patient's legs, and the other one will bind them together.
E aprop pren vesica de moto, e pausa en aquela la humiditat que vols cristirizar en la vesica, e aprop lia aquela entre dos am fort liguatura am fiel doble, e escalfa aquela humiditat sobre le foc.	Then a good physician should place his hand on the patient's legs, and another on the affected area to keep them warm.
E aprop entromet la extremitat del cristeri en la vergua.	And then apply the cushion to their feet.
E aprop estrenh la tua ma sobre la vesica am la humiditat am strectura descent entro que·l malaute centa que aquela humiditat ja es pervenguda a la vesica.	And then apply heat to the bladder, for it is the proper place for the application of a hot cushion.
Mays si a tu no es present vesica, lahoras tu pren una pessa de parguames e fay de aquel cercle; e perfora aquel de tota la sua retonditat; e aprop entromet fiel fort en aquels traucs, ayssi quo so revolgut; e aprop agregua le cercle ayssi quo es agreguat alsofatur, pus que tu pausas en aquel aquo que tu vols de las humiditatz, e olis e ayguas.	And if you want to know what it's like to have a poultice applied to the affected area, it is that you should put a heated cautery on the bladder to reduce pain, or apply it to the whole body.
E aprop tu lia aquel en le instrument e fay am aquel ayssi cum has fayt am la vesica, e exprescio am la tua ma entro que la humiditat pervengua a la vesica.	Then apply a poultice to their body where the instrument will be placed on their hands and feet.
Capitol .lx.	The chapter mark should be sixty.
De extraccio de peyra.	Peyso is a cushion for cushioning the blow of a fall.
Nos ja havem dit en la divisio las specias de peyra e curacio de lu am medicinas, e la diferencia entre peyra engendrada en los ronhos e peyra engendrada en la vesica, e les senhals de aquela.	Nos already know that this is about the return to the body in a medical context, so we can deduce:
E havem dit la peyra en la qual catz operacio am ma, e seccio.	And if they are in pain, we must treat them gently.
E la peyra engendrada en la vesica propriament es aquela que es ficada en la vesica.	And if there are stones in the bladder, they are called bladder stones.
E yeu so narrant aquel am exposicio manifesta e abreviacio.	And if it’s necessary to tell you what is in the text.
Donc dic que peyra engendrada en la vesica majorment ve als enfantz; e dels senhals de lu es que la urina que es eyssida de la vesica es semblant a aygua en la sua subtilitat, e apar en aquela arena; e le malaute fregua la sua vergua, e motas veguadas pen, e aprop es dressada; e am aquo yeys foro le cul en motz de aquels.	Apeuzais le pe per les mases e la cushion applied to the bladder should be used.
E es laugiera la sanacio dels enfants de aquela entro que han conseguitz xiiii ans; e es dificil curacio en les viels.	And if the patient is young, they are usually treated with a hot poultice on the legs.
Mays en les joves es migiera per aquo quar es entre aquels.	Another method used by doctors is to use a cautery on the patient's feet.
E de aquel del qual la peyra es major e la curacio es pus leugiera; E si es pauca, es contraria ad aquela.	And if there is pain in the limbs, then hold them still.
Donc cum pervenem a la curacio de aquela, cove al comensament de aquela que mondifiquem le malaute am cristeri le qual extragua tota la fenda la qual es en les sieus budels; quar aquela fenda alcunas veguadas prohibeys la envencio de la peyra deves la inquisicio de lu.	Therefore, the patient will be treated with a cautery at the beginning of the treatment, the which you must apply to the affected area.
E aprop sia pres le malaute am les sieus pes e sia contosit e maugut enjos per so que la peyra descenda al preon de la vesica, o que saute de loc aut alcunas veguadas.	And if the patient has gout, they are to be treated with a cauterization method.
E aprop fay aquel cezer entre las tuas mas preparat, e las mas de lu sian dejos las coysas de lu, per so que la vesica tota sia fayta declinant a las partidas dejos.	And if you have a pointed cautery to remove the cushion from under the patient's legs.
E aprop perquier aquela e tota aquela deforo.	And if you are near someone who has gout, apply your hand to that area.
Donc si sentes la peyra en l’espazi, lahoras tu te coyta tantost am seccio sobre lu.	And if you need to apply cauterization to their legs, use a cushion to protect them.
E si no catz de tot dejos le tieu tocament, lahoras cove que tu untes am oli le tieu dit indic de la ma sinistra, si malaute es enfant, o le dit miga si es jove complit, e entrometas aquel en le sieu cul.	If you are using cautery, apply it to the entire area affected by the ailment.
E perquier de la peyra entro que stia dejos le tieu dit.	And if there is a stone in the cavity of the body, you'll need to hold it steady.
E converteys aquela petit a petit entro al col de la vesica.	And slowly bring the bladder back to its proper place.
E aprop prem sobre aquel am lo tieu dit, e expelleys aquel a las partidas defora ves le loc del qual vos la seccio.	Then apply pressure to that area with a cushion, and hold it closed.
E comanda al ministra que prema la vesica am la sua ma; e comanda a un autra ministra que am la sua ma dextra extenda les genetius a las partidas desus, e am la sua autra ma remaugua la codena la qual es dejos les genetius, en partida del loc en le qual se fa la seccio.	E si la cushion on the patient's legs was in contact with the patient's body, they were still experiencing pain in their feet.
E aprop entromet espatum be inscident del qual aquesta es la forma de lu:	And if it is necessary to apply cauterization to the affected joint, place the cautery on the area where the pain is located in the body.
e scindeys en lu aquo que es entre·l cul e·ls genetius, no en le mieg loc, abantz al latz de la coyssa sinistra; e sia la seccio sobre aquela peyra e·l tieu dit sia en le cul, e sia fayta seccio transversa, per que la seccio defora sia ampla e dedintz streyta segon la quantitat que egrecio de la peyra sia a lu possibla, e no major, quar fort leu comprem le tieu dit le qual es en le cul la peyra deves la seccio, e es foro-getada ses defacultat.	The intestine or humors are too much for the patient, so you should apply a cauterization to the area below the knee and another cushion on the leg, and if necessary, use a cautery on the left foot.
E sapias que de la peyra es alcuna a la qual so angle e margers, per que le eyssiment de lu es fayt deficil per aquo.	Then apply heat to the affected area to ease its pain.
E de aquela aquo es leon semblant a glan, e es redonda, e es fayt de lu leugier eyssiment.	And from their legs, a lion's mane appears to be made of fire.
Donc si es aquela al qual so angles e marger, ajusta en la fissura.	Then, if it is the case, you will burn their skin with fire if you cauterize them.
E si no es ayssi foro-getada, lahoras cove que tu engenes sobre aquel, o que strenguas sobre aquel am gesti decentment, la extremitat del qual sia ayssi cum lima am le qual strenguas sobre la peyra, e no evasesca de lu; o que entrometas dejos lu instrument subtil de curvada extremitat.	When you place the cushion on the limb, it will be placed gently on the bone, so that the pain of the illness is lessened.
Mays si tu no podes sobre aquel, lahoras tu amplifica le trauc un petit, e si tu veus flux de sanc, abscindeys en strenh aquel am vitriol trissat.	If you cannot find relief through other means, you can cauterize the patient's pain there.
Mays si la peyra es mays de una, lahoras al comensament tu impelleys la ma a la boca de la vesica, e aprop inscideys sobre lu; e aprop impelleys un petit aprop aquo; e semblantment fay si son motas mays de doas.	If the patient has more than one stone, you should use a cushion at their legs and feet.
E si es peyra mot gran, lahoras ignorancia es que tu inscidas aquel am gran seccio, quar accideys al malaute una de doas causas: o que mora o que endevengua a lu destillacio de urina continuabla, per aquo quar le loc no es de tot consolidat.	When there is much pain in the body, then it is called gout if the physician has made a mark on your foot, but if the physician has done something else to you, such as apply a cautery tool to your legs, then place that above the continuosly afflicted area and hold them.
Mays aministra expulcio de lu entro que sia fora-getada, o engenia en la fractura de lu am las forfexs entro que extragua aquela en pessas.	The patient should be treated by applying hot compresses to the affected area.
Donc cum tu auras cumplit la tua opperacio, lahoras omple la plagua de enses de aloe e de sanc de drago, e strenh aquel.	Therefore, when you have completed your treatment, use aloe and dragon's blood to treat them.
E pausa sobre aquel drap enfus en oli e vi, o en oli rozat e aygua frega, per so que apostema caut sia cedat.	And apply a cloth to the place where the infection has been treated.
E aprop resupina le malaute sobre le sieu col, e no deslias le liament entro al tertz dia.	Then apply a cushion to their stomach, and you will see.
E cum aquel auras desliat, embroca le loc am aygua e mot oli, e aprop cura aquel am enguent diafinicon e am enguent diabazilicon entro que sia sanat.	And so when the wound is treated, they are healed by the cure of a balm.
Mays si en la plagua accideys apostema caut, adhust e corrosiu, e de aquel semblantz ayssi cum si le sanc es en la vesica congelat, e per lu es la hurina prohibida (e aquo es conogut per la egressio del sanc am urina), a donc entromet lo tieu dit en la plagua e extratz aquel sanc, quar si roman provoca la vesica a corropcio de la vesica e de lu putrefaccio.	And when there are ulcers on the legs, it is also known as gout, which is often caused by the infiltration of cold humors.
E aprop lava la plagua am vi agre, aygua e sal, e am opposicio a tota specia, am aquo que conveneys a lu de la curacio entro que sia sanat.	And apply heat to the patient's feet as needed for its treatment.
E cove en las horas de tota la curacio que tu lies amdos las coyssas e ajustes las medicinas las quals so pausadas sobre le loc.	You have already explained the treatment by the name itself: "gout" refers to the pain in the joints caused by the specific nature of the treatment, which involves a pointed cautery being used on the patient's limbs.
E si la peyra es petita e es en le meat de la vergua, e es ficat en lu, e eyssement de urina es prohibit, lahoras cura aquel am aquo que yeu recomti denant que pervenguas a seccio, quar tropas veguadas per aquesta curacio yest acusat de seccio; e ja yeu e esproat aquo, e es que tu prenguas un perforador de ferr alfelut, del qual aquesta es la forma de lu:	And if there's a small stone in the flesh of a person, they are forbidden to use the cushion on their legs.
de triangulada extramitat, agut, ficat en fust.	When you apply heat to the affected joint, it is important to be careful so as not to cause harm.
E aprop pren fiel, e lia am aquel la vergua dejos la peyra per so que no retorne a la vesica.	Then place a cushion under them, and another cushion on their legs, for he who has the ailment, another cushion on the affected body part, so that it does not return to the area of the bladder.
E aprop entromet le ferr en la vergua, perforant am fecilitat entro que·l perforador vengua ad aquela peyra.	And if there are no cushions between their thighs, place them on their chest, holding the patient's legs together.
E revolveys le perforador am la tua ma en aquela peyra petit a petit, e tu perforsa la perforacio de lu entro que fassas aquel del autra part penetrar; quar la urina tantost es absolta.	And then apply the cautery to the patient's legs, and then slowly close the wound so that the urine can flow freely.
E aprop prem la tua ma sobre aquo que es romas de la peyra de la partida deforo de la vergua, quar aquela es trinquada, e es foro-getada am la urina, e le malaute es sanat.	When the other sources say that the patient's foot was affected by the cold humors, they are right to call it gout.
Mays si aquesta curacio no es a tu aparelhada per alcuna causa la qual prohibeys de aquela, lahoras lia un fiel dejos la peyra, e autra fiel desus la peyra.	And so, if the patient has a wound in the leg, there will be a need for a cushion for the legs and another for the feet.
E aprop encideys sobre la peyra en aquela vergua entre doas liaduras.	Then apply a bandage to the leg and place the second bandage on their feet.
E aprop extratz aquela.	And then place that on their body.
E aprop deslia le liament e mondifica le sanc congilat, le qual es fayt en la plagua.	Then, if necessary, apply a cushion to the affected area.
E no es necessari liament de fiel dejos la peyra, sino per que no retorne a la vesica, e l’autre liament desus sino, quar quan es desliat le fiel aprop la egrecio de la peyra, la codena retorna a son loc e cobra la plagua.	And when the pain returns to the legs or feet, the other will be placed on the body in order to prevent the intestine from being infected by the bad humors.
E per aquo es a tu necessari quan lias le fiel desus, que tu eleves la codena a las partidas desus, o que retorne deves le tieu compliment, e cobra la plagua ayssi co havem dit.	And you, if you must use a surgeon's tool to treat the ailment, should do so on the legs or thighs.
Capitol .lxi.	And then apply the cushion between the legs, and make the patient's body be held still.
De extraccio de peyra de las femnas.	Another common treatment was to apply a cauterization with a pointed tool on women suffering from extractions due to illness or injury.
Peyra en las femnas pauc es engendrada.	This translates to "The pain occurs in the legs" in the context of the previous lines.
Mays si ve peyra ad alcuna de aquelas, lahoras dificil es la curacio de lu, e es prohibida per tropas manieyras.	Treating gout is difficult if it has already spread to other parts of the body; otherwise, it's treated with a cautery.
La una de lor es quar la femna fort leu es verges.	The woman has one pain which is gout.
E la segonda es quar tu no trobas femna be scient que descroba si meteyssa al metge quan es casta, o es de las femnas haventz maritz.	And if you are a doctor treating a woman, or a man who has a wife, you should know that she was born with a pain in her leg, which makes her a good candidate for a poultice.
La tersa es quar tu no hatrobas femna be sabent aquesta art, majorment la operacio am ma.	And if you have mastered the art, you will know that the third person is already a master of the art.
E la quarta es que·l loc de la seccio sobre peyra en las femnas es longinc del loc de la peyra, per que indigeys de seccio preonda, e en aquela es temor.	And the fourth condition is that if it is necessary to cauterize the leg, there are long-term complications so they should be treated carefully.
Mays si necessitat provoca a tu ad aquo, lahoras cove que tu prenguas una femna metga be scient, e pauc es atrobada.	When the need arises, you will use cauterization on the patient's legs, but it is rare.
Mays si tu es privat de aquela, lahoras cerca metga quast e subtil, o presenta una femna matrona be esenhada en le feyt de las femnas, o femna que en aquesta art ennueys partida del art.	Mays if you are deprived of that, there is no need to be ashamed.
Donc fay aquela present, e comanda a lu que fassa tot aquo que tu li mandaras, de la enquisicio sobre la peyra al comensament; la qual causa es que reguarde si la femna es verges, lahoras cove que meta lo sieu dit en le cul de lu e quiera la peyra.	And if you are a man, and the person who wants to be cured is young, you should first cauterize the lower leg, and then place a cushion under their knees and apply another to the lower part of the leg.
Donc si atroba aquela, coarte aquela dejos le sieu dit, e lahoras comanda a lu que inscida sobre aquela.	Therefore, if you have pain in the legs that is caused by a condition where the blood is too thick or viscous.
Mays si no es verge, lahoras comanda a la matrona que entrometa lo sieu dit en le conh de la malauta e enquiera sobre la peyra, pus que pausa la sua ma sinistra sobre la vesica, e comprem aquela am bona comprecio.	If they are not a virgin, then do you know what to call them?
Donc si atroba aquela, lahoras cove que gradantment maugua aquela de l’orrifici de la vesica a las partidas dejos am somman de la sua vertut entro que pervengua am aquel a la razit de la coyssa.	Then place a cushion on the bladder to keep it open.
E aprop inscida sobre aquela apposicio de la maytat del conh deves la razit de la coyssa de qualque part sia a lu parada e cent la peyra en aquela partida, e·l dit de lu no sia remaugut de la peyra coartan dejos lu.	Then apply the cauterizer to the affected area, and hold the patient's legs steady.
E la seccio sia pauca al comensament; e aprop entrometa lo ray sobre aquela seccio, e si sent la peyra, lahoras ajuste en seccio segon la quantitat la qual sap que la peyra sira getada de aquela.	Then apply a small amount of cautery to the affected area.
E sapias que las specias de peyra son motas: quar de aquelas es pauca e gran, e leon e aspra, e longua e redonda, e havent ramps.	And some people think that large, painful swellings are caused by cold humors in the body.
Donc tu sapias quantas specias so de lu per aquo que tu signifiques sobre aquo que vols.	And if you know how many species are there in the world, you will say that they are of the same nature.
E si tu veus flux de sanc, ajusta en le loc vetriol trissat e te aquela per una hora entro que sia abscindit le sanc, e aprop retorna a la tua operacio entro que la peyra sia fora-getada.	And if there be a bleeding wound, apply pressure to stop the bleeding.
E fay que prepares am tu dels instrumentz les quals e ditz en la extraccio de peyra en les homes, per so que sias ajudat per aquels en la tua operacio.	And so they call it the gout when they use these instruments to treat the patient.
E si tu veus flux de sanc, e sabes que la expulcio del sanc es de la arceria que es insciza, lahoras tu pausa polvera sobre le loc e estrenh aquel am pulvils e strictura descent, e no iteras aquo; e layssa la peyra e no extraguas aquela, quar fort leu morira la malauta.	And if you see a bloody flux, know that it is a sign of a serious illness, but apply cautery to their legs and other parts of the body.
E aprop cura la plagua.	And it is for the plague that they say they have a cushion.
Donc cum es cedada la acuitat del sanc aprop alcus jorns, e·l loc se poyreys, lahoras tu retorna a la tua operacio entro que la peyra sia fora-getada.	The physician uses their hand to apply the cautery on the patient's legs, so that the intestine or the hernia is kept in place.
Capitol lxii.	A cushion is placed under the affected area.
De seccio sobre ernia acoza.	Then another cushion under their legs.
Hernia ayguoza no es sino agregacio de humiditat en le ciphac blanc lo qual es dejos la codena dels genetius contenent le huou, e es nompnat ciphac.	A hernia is caused by an excess of humors in the body.
E alcunas veguadas es en le propri pannicol le qual a lu preparec natura en la partida del huou, entro que sia cuyat que ja es autre huou; e es la codena del genetiu entre le ciphac blanc le qual havem dit, e no es aquo sino tart.	And then there are other things that are used to treat it.
E la generacio de aquest hernia es per debelitat la qual accideys als genetius, per que ad aquels es efundunda aquesta materia, e alcunas vetz accideys per percuscio fayta sobre les genetius.	And if there's weakness, which causes a type of sickness, the patient needs to be treated by a cautery.
E aquesta humiditat es havent motas colors, quar la color de lu o es declinant a citrina o a sanguinent, o rog, o es negra feculenta, o es ayguosa blanqua, e es aquo que es mays.	And so the intestines are called by the color of their humors, which are yellow.
E les senhals per les quals es saubut on es aquesta agreguacio de aygua so aquestz: quar si es en le ciphac blanc le qual havem dit, lahoras le apostema es redon declinant un pauc a longitut ayssi cum figura de huou, e appar le genetiu, quar la humiditat conte aquel de tota part.	Then use your knowledge to help you understand what type of disease is being described in the previous translations.
E si la humiditat es en le propri pannicol, lahoras le apostema es redon am partida del huou e per aysso hom estima que es autre huou.	And if there are humors in the patient's body, then use a cauterizer on their legs to treat them.
E si la humiditat es entre la codena dels genetius e·l ciphac blanc, lahoras catz dejos le centiment.	And if the doctors apply water to the patient's feet, they should be aware of the cushion placed under their legs.
E cum tu vols la cognicio de la color de la humiditat, lahoras tu esproa la color de la humiditat en le apostema am entromes cayrat del qual la forma es precedida; e segon aquo que es eyssit en le vestigi del entromes, jutga de aquo que es dedintz lu.	And if you want to know the nature of the ailment, which one is to be called by the name of the place where the inflammation appears?
Donc quan nos vinem a la curacio de lu am ferr, lahoras cove que comandem al malaute que sia fleubotomat si aquo es a tu possibla, e vezes le cos de lu ple.	And if you are unable to stop bleeding in the foot, then another person should apply pressure to stop the bleeding.
E aprop sia resupinat sobre le sieu dos sobre alcuna causa un pauc auta, e pausa dejos lu motz draps.	And if there's a need to remove the intestine from the body on the right side, then use a hot cautery to stop the bleeding.
E aprop setz tu sobre la part sinistra de lu, e comanda al ministra que segua a la dextra de lu, le qual extenda la sua vergua a hun de dos latz a la codena dels genetius e a la partida del mirac del ventre.	And another servant you place on their left side, and another on the right, and another that is placed upon the patient's body by the hand of a skilled physician to cure the ailment.
E aprop pren spatum lat e scindeys la codena dels genetius del mieg loc per la longitut entro prop le pentenilh.	And apply heat to the legs with a cautery to treat the patient's pain.
E sia fayta la seccio segon rectetut engualment distant de la linha que deveseys la pel dels genetius, entro que pervengua al ciphac blanc comprehendent.	And make an incision into the flesh so that the pain can be relieved.
E excorja aquel, e observa, e guarda te per aysso que tu no inscidas aquel; e la tua excoriacio am la qual aquel excorjas per partida jassia que sia suspenduda am le huou mays e subtilment escruta am la excoriacio segon la quantitat a tu possibla.	You have already opened the way to that place; observe the patient carefully for any possible complications.
E aprop perfora le ciphac ple de aygua am perforacio ampla, e extratz tota l’aygua.	And so you must carefully apply the cautery to the wide area below their feet.
E aprop separa entre doas labias de la seccio am uncis, e exten le ciphac a las partidas desus; e no toques la codena les genetius comprehendent, e inscideys le ciphac en aquela manieyra que es a tu possible.	When applying cauterization, separate the two sides of the incision as far apart as you can.
E inscideys aquel am la sua totalitat o en pessas, e majorment le sieu latz subtil, quar si tu no perscrutas exquisidament la inscizio de lu, no es fayta segurtat que la aygua no retorne.	And if the pain persists in the legs, apply the heat to the affected part carefully so as to avoid it spreading further.
Mays si le huou procezeys de aquela defora de la sua codena en la ora de la tua operacio, lahoras quan tu auras complida la seccio del ciphac, retorna dedintz aquel, e aprop ajusta las doas labias de la codena dels genetius am sutura, e aprop cura aquel ayssi cum las autras plagua, entro que sia sanat.	Mays is translated to English as: May the intestine be treated as the others.
E si atrobas le huou corromput per autra malautia, lahoras cove que tu lies les vayssels les quals so sore le suspensori, e extrat le huou, e aprop cura aquel am aquo que havem dit.	Then return your hand to their place on the legs of the patient.
Mays si l’aygua es agreguada en doas partidas esemps, lahoras sapias que doas son las ernias; donc inscideys aquela partida segon que has feyt en l’autra engualment; e si es a tu vist que sia una opera, lahoras tu la fay.	When the water is heated, apply it to the patient’s body, where you have already placed your hands; apply the rest to the other part of the body.
E aprop tu abstergiys le sanc, e entramet en las seccios lana submersa en oli o en oli rozat; e pausa deforo autra lana la qual tu as submersa en vi e oli, e expandeys aquela sobre dos genetius e·l mirac del ventre; e pausa desobre draps doblatz e pulvils, e lia aquels desobre am liament le qual es segon aquesta forma:	Then apply oil to the cushion; then place the cushion on the patient's thighs.
e aprop sian preses dos draps e sian humplitz de lana carmenada segon aquesta semblansa; e sian faytas las extremitatz am les quals es premut de coto o de lana humida, e sian agreguatz am strectura en le braguier de las braguas, e la una de las extremitatz prengua del cul entro al dos, e la segonda prengua a la partida del pantenilh, e dos extramitatz sobre dos coyssas dejos e dos extramitatz autras sobre dos angonars, e tota extrictura sia ajustada en le braguier de las braguas.	And if you have to apply a hot cautery to the patient's legs or arms, do so on the thighs, applying pressure and ensuring the cautery is used correctly.
E alcunas veguadas aquesta hernia es medicada artificialment am cauteri en loc de seccio am ferr; e es que tu prenguas cauteri cutellar subtil e que inscidas am aquel la codena dels ginitius, e es ignit segon que havem recomtat entro que sia descubert le ciphac blanc contenent la aygua, e lahoras tu pren cauteri segon aquesta forma:	This is an example of how to say "Here comes the text" in English using only the translated version.
e es asemblat a letra greca.	And if it is a burn on the feet, it is customary to treat them with a poultice.
E aprop perfora am aquel ciphac, e es ignit entro que tota la humiditat sia fora-gitada.	When it is necessary to cauterize the legs, one must apply fire to the area where the cushion was placed.
E aprop exten le ciphac am uncis, e excorja am uncis, e excorja am cauteri subtil ignit; e inscideys aquel segon que es a tu possible entro que eradiques tot lu; e guarda te del huou que·l foc no·l toque.	When you are ready to apply cautery to the legs, place a cushion on the body so that the burn does not occur.
E sapias que aquesta operacio es pus salva e pus longinqua de flux de sanc, e milhor que operacio am seccio.	Then, if the patient has a cushion in their legs, they should be treated with cauterization.
Mays si a tu fa contrarietat apostema caut en la hora de seccio o en hora de cauteri, o flux de sanc, lahoras cove que tu cures qual contrarietat fa a tu per aquo, am curacio la qual conveneys a lu segon que es dit.	And if there is pain from bloodletting, then you must use the appropriate treatment.
Mays si le malaute es pauruc, e no spera la segonda operacio per la sua horribilitat, lahoras administra perforacio segon que yeu recomti aquo; e es quan es certificat deves tu, per aquo que havem dit de las significacios, que aquela hernia es ayguosa.	When the pain is severe, it may be necessary to cauterize the area, but the patient is not yet ready for that treatment.
Lahoras cove que tu fassas sezer le malaute sobre alcuna cezelha elevada, aprop perfora le apostema en la partida pus bassa de lu am spatum lat, e pausa la perforacio segon la longitut del cos.	Then you should apply cautery to the abscess on the patient's legs.
E sia la apercio ampla entro que corro tota l‘aygua.	And that which is placed on the legs, above the body part.
E aprop pausa sobre le loc coto e lia aquel e layssa aquel, per so que corro le romanent de l’aygua.	And if it is necessary to pause the intestine from leaving the body, they would be placed on their legs to prevent them from being too far away.
E aprop cura aquel entro que la plagua sia sanada.	And if it is necessary to cure the plague, apply a poultice to the affected area.
Mays si contrarietat es a la egrecio de l’aygua en aquela hora tu perforas aquela: e aquo no es fayt sino per aquo quar le pannicol blanc en le orrifici de la plagua fa contrarietat e prohibeys le eyssiment de l’aygua, lahoras cove que tu metas en la plagua pena o instrument am la qual es extrayta l’aygua dels ydropitz, la forma del qual es precedida; o ajusta en la opprecio de la plagua un petit.	In the hour that the patient experiences pain in their legs or feet, you should apply a poultice to the area where pain is felt.
E sapias que l’aygua retorna, e es agueguada aprop vi meses o enaviro aquels; e cum es agreguada, lahoras sia perforat segon aquela meteyssa manieyra, quar le malaute ayssi passara les sieus dias.	If you have pain in your foot, it is called gout.
Capitol .lxiii.	Capitol 63.
De seccio sobre hernia carnosa e la curacio de lu.	To cut open the hernia and apply cushions to their legs.
Sapias que en la seccio sobre aquesta hernia es temor perdusent a pernicia en las majors disposicios; per que a mi es vista la dimissio de lu e esser salvat per aquela milhor.	When this disease is treated by doctors.
E yeu so rememorant la operacio en aquela e las specias dels apostemas.	And if you are remembering the operation in their case, the doctors will consider it gout.
Donc, dic que l‘apostemas natz en les cos dels quals les genetius so conponutz e es fayt aquo per motas causas: o per superfluitat aguda agra, la qual es efundida als genetius, o per percuscio.	Then apply a hot iron to cauterize the wound in their legs.
E es la color de la apostema segon la color del cos, e no es atrobat en lu dolor, e es apostema greu.	And if the cushion is opened on his legs, it is customary to do so by hand.
E fort leu es apostema lapificada, del qual la color es fosca, e no es centiment a lu.	E for leu's pain be treated as a condition.
E alcunas veguadas es fayt per nodacio de las arcerias, e per imflacio de aquelas ayssi quo ja es perceubut la rememoracio de lu, o per imflacio de venas.	And sometimes swelling in the veins occurs due to inflammation.
Mays aquo que es per imflacio de arcerias es conogut per la dispercio de la apostema quan compremas aquela am les tieus ditz; e no cove que aquel toques.	Then when the patient's legs are swollen, you should apply cautery carefully to their veins.
Mays aquel que es fayt per imflacio de vena no es dispergut de lu alcuna causa deves la compressio am les ditz.	When the pain is in the veins, and it is caused by something, it is called inflammation.
E ja es possible que sobre aquesta specia sia fayta seccio e sobre les autres carns; e es que tu inscida la codena dels genetius, e aprop esten le huou a las partidas desus, e extratz aquel del ciphac blanc, e deliura le suspensori dels vaysels, e ligua les, e inscideys le suspensori pus que tu deliuras aquel de tota partida de las partidas del huou.	E then it is possible that the legs are swollen from the pain as well.
Donc si l’huou ja es am aquelas carnadas consolida, lahoras cove que tu extraguas le huou e inscidas aquel.	Therefore, if the humors have solidified in the joints, you should use a cautery to burn them out.
E si es adherencia entro alcuna causa del ciphac, o entre aquo que es entre les bayssels, lahoras cove que tu deliures tota aquela adherencia e inscidas aquela per inscizio redonda.	Then apply heat to the affected area.
Mays si es nativitat de carn en le loc de la adherencia la qual es detras, lahoras cove que tu inscidas tot aquo que es de lu, e extraguas le huou ayssi cum havem dit.	Mays if you are experiencing pain in your legs due to cold humors, consult with doctors for treatment.
Donc cum es complida la tua operacio, lahoras omple la plagua de lana imfuza en oli rozat e vi; e aprop cura aquela am l’autra curacio entro que sia sanat.	Then when your hand has been placed on their legs, it is already filled with wool.
Capitol .lxiv.	Capitol .lxiv. translates to **Chapter 64**.
De la curacio de hernia que es de vitz.	This refers to the treatment of a painful condition in the legs.
Vit es apostema envolut per alcuna envolucio semblant a broto am mollificacio dels testiculs, e es fayt dificil movement exercitiu e deambulacio sobre le malaute.	The doctor would call this condition an "apoplexy" of the intestine if there were pain in the intestines and other parts of the body.
E en la curacio de aquesta malautia es per temor per aquo del qual es precedida rememoracio.	This is for fear that the disease may return.
