Praefatio.	 Praise
Si uero praeteriit ei spacium, et iam factum est uiride, aut nigrum: tunc oportet ut stringas ipsum cum filo supra locum qui denigratus est ex eo, ut non accidat fluxus sanguinis.	 "But if you do not have a wound or it is already done with an injury, then proceed to apply the bandage over that spot where a vein has been cut through from him [the patient], so as not to let any blood flow.
In zirbo enim sunt uenae et arteriae.	 "Inside the swelling there are veins and arteries.
Deinde incide quod est praeter illud ligamentum, et pone duas extremitates fili pendentes ex inferiori parte uulneris extra ipsum: ut alleuietur super te attractio eius, et extractio ipsius apud casum zirbi, et emissionem pus uulneris.	 "Then cut the ligament that is above it [the swelling], and attach two ends of thread from below your wound outside him [the patient]. So as to let go of his pull downwards and extraction at the spot of the swelling, and emission of pus from the wound.
¶ Rememoratio uulneris quod accidit in Intestino.	 "Remember that it happened inside your intestine.
Quando accidit disruptio in Intestino, et est parua: tunc possibile est, ut restauretur in quibusdam hominibus: propterea, quia ego uidi qui fuit uulneratus in uentre suo cum percussione lanceae, et erat uulnus a dextra stomachi, et antiquatum est uulnus: et factum Fistula, et exiuit ex eo egestio, et uentositas.	 "When the disruption happened inside your intestine and it was small: then it is possible to restore in some people because I heard of someone who had a wound on his own body from a lance and there was a wound at the right stomach [right side] and it has healed: and the fistula has been made, and the discharge has occurred from him.
Posui ergo curationem, usque quod ego non fui confisus in sanatione eius: neque cessaui subtiliare ipsum, donec sanatus est, et consolidatus est locus.	 "I therefore put my care until I was not cured of his disease neither did I cease to gently touch him [the patient] until he was healed and the place became solid.
Postquam ego uidi locum iam consolidatum, timui super infirmum, quod accideret super infirmum accidens malum in uentre suo: et non accidit ei ex illo accidens malum.	 "After I had heard the place become solid, I feared that a bad accident would occur on top of his weakened body and it did not happen to him [the patient] from the bad accident.
Et remansit in melioribus dispositionibus suis, comedens et bibens, et futuens, et intrauit balneum, et exercitatus est in dietis suis.	 "And he regained his health better with food and drink, and became strong, and entered the bath [water], and trained himself on a healthy diet.
Et iam dixerunt quidam experimentatorum, quia quando accidit in Intestino uulnus, et est paruum: tunc oportet ut ligetur secundum hunc modum.	 "And some doctors said when the disruption happened inside your intestine and it was small: then it is necessary to tie it [the patient] up according to this method.
Et est, ut accipias formicas magnorum capitum.	 "It is that you will apply large bandages on their heads.
Deinde aggrega duo labia uulneris, et pone formicam unam ex eis quae habeant os apertum super duo labia uulneris.	 "Then remove two lips with a knife and one from within them, put it into their mouth above the two cut lips.
Cum ergo capit super ea, et stringit os suum, abscinde caput eius, adhaeret enim, et non soluitur.	 When this is done over her, she will open her mouth and pull out her head from there with both hands, keeping it steady, for fear of falling off; but if it falls down or turns away then that would be the end of her.
Deinde pone formicam aliam prope primam, et non cesses facere illud cum formica post formicam secundum quantitatem uulneris totius.	 "Then remove a second one closely following the first, and stop cutting after removing it from above the cut lips.
Deinde reduc ipsum, et sue uulnus.	 "Then reduce her anus.
Illa enim capita remanent annexa in Intestino, donec cibetur Intestinum, et sanetur, et non accidat infirmo nocumentum penitus.	 "If the head remains attached to the intestines, until it is eaten by the intestines, and treated with medicines that will not let go of its hold onto him because he was too weak.
Et iam possibile est, ut ligetur Intestinum etiam cum filo subtili: quod abstersum est ex intestino animalis, annexo cum eo postquam intromittitur in acum.	 "It is also possible to tie the intestines with a thin thread; which has been taken from an animal and attaches itself into this opening.
Et est, ut accipias extremitatem huius fili ex intestino, et excarnetur multum.	 "...and it is so that you take the extremity of this thread out of the intestines and remove much flesh from it.
Deinde liga in extremitate eius filum lini subtile inuolutum.	 "Then tie up the end of its thread tightly into place with a thin thread.
Deinde intromitte illud filum in acum, et sue cum eo intestinum.	 "...and insert this thread with him into his intestines...
Deinde reduc ipsum in disruptionem.	 "Then reduce her again to the first reduction.
Et iste modus suturae cum formicis et intestino, non est nisi secundum uiam fiduciae et spei.	 "...but it is only after removing with trust and care according to a certain way of faith and prudence...
Scias, uulnus quod est magnum, amplum, praecipue si est in uno intestinorum gracilium: tunc non est ingenium nisi subtiliatio, neque est eius sanatio omnino.	 "You know that which is large and broad especially if it is in a very thin intestine; then there's no strength to it but the subtlety of wisdom, not all its health.
¶ De cura Zuchemen, et Fistularum.	 "...on the cure of ulcers and fistulas...
Caput LXXXVIII.	 "The eighty-eighth chapter.
Scias, quod omne uulnus, aut apostema quando ueterascit et antiquatur, et fit ulcus, et non consolidatur, et emittit pus semper, et non abscinditur: tunc nominatur uniuersaliter in quocunque membro fuerit Fistula, et nos nominamus ipsum Zuchemen.	 "You know that any ulcer which does not heal and become a scar is called an fistula, no matter where it may be in the body; we call this one Ulcer of Zuchemen.
Et Fistula quidem est secundum ueritatem nodatio filtrata, dura, alba: cum qua non est dolor, cui est concauitas pennae auis: et propter illud nominant eam quidam Risati, id est, pennam.	 "And a fistula is the filtration of knots hard or soft and white; without which there is no pain, but with it is there comfort from one's hands.
Et est in quibusdam horis humida, quae emittit pus.	 "It is in certain hours that are humid and emit pus.
Et fortasse scinditur humiditas in quibusdam horis.	 "However moisture may be found in some of these hours.
Et quandoque est haec humiditas multa, et est pauca: et est grossa, et est subtilis.	 "Sometimes the humidity is abundant and thin; sometimes it is thick and smooth; sometimes it is delicate.
Et ego iam praemisi in diuisione, tunc cum dixi uulnera, quod omne ulcus quod non sanatur, neque nascitur in eo caro, non est illud nisi propter unam nouem caussarum.	 "I have spoken of wounds that do not heal; neither are they formed in the flesh for no reason at all.
Quarum una est, aut propter paucitatem sanguinis in corpore: aut propter maliciam eius: aut quoniam inter ipsum, et super labia eius est caro dura, prohibens natiuitatem carnis: aut quia est multae sordis et sordiciei: aut quoniam ulcus in seipso est putridum, et materia quae mittitur ei est malae qualitatis: aut quoniam medicina est inconueniens in curatione eius: aut quoniam corruptio cadens in regione est genus pestilentiae, aut per proprietatem in regione, sicut accidit in Caesaraugusta: in qua fit difficilis digestio aegritudinum, et tardatur in ea sanatio apostematum per naturam: aut quoniam in eo est os unum, aut numerus ossium.	 "One cause is either due to the scarcity of blood within his body; or it may be because of its malice; or from an obstruction between him and the upper lips that is hard, preventing his life-giving spirit from entering; or perhaps a large number of sores with foul qualities; or he might have putrid matter in himself, causing material for bad quality to come out to him. Another cause could be unhealed wounds, where the remedy was neglected.
Et ego iam ostendi omnes istas caussas et signa earum, et curationes ipsarum cum medicinis in diuisione: et oportet hic ut faciam te scire curationem Fistulae et Zuken, quae fit per uiam operationis cum manu.	 "I have also displayed all these causes and signs to you with remedies; now it is necessary that I explain the method of treatment for Fistulae and Zuken.
Scias ergo, quod Fistula accidit in omnibus membris corporis.	 "So understand that a fistula has occurred in every part of the body.
Nam ex eis sunt Fistulae quae perueniunt ad uenas magnas et arterias, aut neruos, aut sifac: aut ad intestinum, aut ad uesicam, aut ad aliquam ex costis: aut ad aliquam ex spondilibus dorsi, aut ad aliquam iuncturarum compositarum compositione: sicut manus, et pedis: et ex eis sunt quae uadunt ad propinquitatem membri principalis, et similium.	 "There are fistulas that connect to veins and arteries; or the nerves; or to the intestines; or to the urine; or to one of the back bones; or to a junction of the muscles composing them: just as the hand and foot do.
Quae ergo ex his Fistulis est secundum hunc modum, est ex aegritudinibus difficilis sanationis, et non recipit curationem, et occupatio cum ea est labor et ignorantia.	 "What else is there in these fistulas? It makes the cure for them very difficult; it does not receive treatment and neglects taking care of itself with its occupation being work and ignorance.
Quod si est ex Fistulis aliqua cuius profunditas non peruenit ad haec loca quae dixi: et speras, et confidis in curatione eius, et uis peruenire ad cognitionem illius, tunc accipe tentam ex aere, aut ferro, si Fistula tendit secundum rectitudinem, et perquire eam cum ipsa.	 "If there is from one of these fistulas whose depth has not reached those places I mentioned; and if you are trying to treat it with faith; or trust in its treatment; then take hold of the skin around it with your thumb, or with a knife, depending on which fistula extends along its course. If it moves towards its proper direction, seize it firmly.
Si autem in Fistula est tortuositas, tunc inuestiga eam cum tenta de plumbo subtili.	 If there is a fistula that is tortuous, then you should examine it with a delicate probe
Quoniam plumbum cum lenitate sui corporis alleuiatur, et curuatur circa tortuositatem.	 Because of the leniency (gentleness) in handling one's body, and regarding the tortuousness
Quod si Fistula est habens orificia multa, non est tibi possibile ut significes super eam cum tenta.	 If a fistula has multiple openings, it is not possible for you to examine her with forceps.
Clisteriza ergo ex eis orificium ex orificiis suis.	 Therefore, from the mouths of these other openings, extract (remove) one of them using your own mouth.
Nam humiditas qua clisterizas ipsum, uadit uersus orificia alia, et currit ex eis.	 As you remove one opening with your own mouth, in moist conditions cause the remaining opening to move out.
Deinde exquisite inquire secundum quem modum est tibi possibile: ut cognoscas quod illic est os, aut neruus, et est Fistulae concauitas longinqua, aut propinqua: aut est Fistula una cui sunt orificia multa, et sta super totum illud, cum summa fortitudinis tuae: cum interrogatione tua, qua interrogas infirmum, et inuentione doloris apud compressionem cum manu tua super locum, et similibus ex significationibus et caussis accidentibus apostemati.	 Then inquire as to the manner by which it is possible for you: whether there is a long fistula or short one, or both openings are close together and in one place; or if there is a single opening with multiple openings nearby, and this covers everything completely, using your strongest strength when asking about the pain of compression with your hand above where, and also examining it through signs and causes accidents.
Cum ergo steteris super omnia illa statione uera, tunc uade ad curationem secundum confidentiam: et est, ut consideres tunc, si est Fistula propinqua apparens, aut in loco saluo longinquo a iunctura, aut a neruo, aut arteria, aut uena, aut uno locorum quae dixi tibi: tunc seca Fistulam secundum quod praemissum est ex narratione mea, et aufer quod est in ea ex filtratione, et carnibus corruptis, quod nascitur in orificio eius ex carne, aut thelul, et similibus: et cura ipsam, donec sanetur.	 After being positioned over all these, then proceed to examine her with confidence; and it is that you consider at this moment if there was a nearby fistula appearing, or if it has slipped away from union, or from the artery, or from one location, or from several locations which I told you about: at this point dry the fistula according to what was mentioned earlier in my narration, and take out of her what is inside through filtration, and putrefaction of the flesh, as a result of it being born in its opening with flesh, or the rupture, and many others. And care for her until she becomes healed.
Si autem Fistula est longinquae profunditatis, et est secundum rectitudinem: tunc oportet ut seces eam in profundo quantum est tibi possibile.	 If a fistula is of great depth and according to rectitude (correctness), then you should extract her with all the force that it is possible for you.
Deinde mundifica ipsam ex omnibus carnibus eius corruptis.	 Then cleanse her with all the corruption on his body.
Deinde administra licinia inuoluta in medicinis acutis: et intromitte ea usque ad concauitatem Fistulae quam comprehendisti cum ferro: fac cum ea illud aliquotiens, donec corrodat medicina acuta totum quod remansit in concauitate Fistulae ex corruptione.	 Then administer the strong medicine until it reaches to the point where you comprehended her with iron; and let him do this frequently, until the corrosive medicine is completely eaten by the acute medicine that remains from the corruption.
Deinde restaura ipsam cum unguentis quae generant carnem sanam, donec sanetur.	 "After cleansing with a mixture that restores health until it becomes healthy.
Si uero non sanatur per illud, tunc cauteriza ipsam secundum quod narrauimus.	 "If the patient does not become healthy through what we applied before (the mixture), then cauterize [it] according to what was used for application.
Si ergo caussa Fistulae est os, et certificatur apud te illud: tunc inquire ipsum, et seca ipsum secundum quod narraui tibi: si non prohibet te aliquid ex uena, aut neruo, aut membro principali, sicut diximus.	 "If the cause of Fistulas is known to you (the patient), then check it with you and inquire about this: Then cauterize him according to what was shown to me: if he does not prohibit anything from a vein or artery, burn [it] using our method.
Si ergo detegitur tibi os, et est in eo quiddam corruptionis, et nigredinis: tunc rade ipsum, donec auferatur corruptio eius tota.	 "If it is discovered by you that there is some corruption or negligence within the patient and he has not completely recovered from this yet: Then cauterize him until he fully recovers.
Deinde cura ipsum cum eo quod incarnat ipsum, donec sanetur.	 "After cleansing with what brought [the patient] to health, until it becomes healthy.
Quod si non sanatur, et emittat pus sicut faciebat: tunc scias, quod tu non peruenisti ad totam eradicationem corruptionis.	 "If this did not become healthy and emitted pus as before, then you know that you did not fully eradicate the corruption.
Detege ergo super illud secundo, et exquisite fac rasionem eius, et mundificationem ipsius cum ultima fortitudine tua.	 "Then seek further more deeply into this matter and inspect his cause with utmost diligence, also purifying him with your ultimate force (or strength).
Deinde restaura ipsum.	 "After cleansing.
Si ergo sanatur, bonum est: et si non, tunc scias quod illa corruptio est in profunditate longinqua corporis, quam non es consecutus.	 "If this becomes healthy then it is a good thing; if not, you know that the corruption has gone very deeply into his body and you have failed to overcome it.
Non est ergo tibi in ea ingenium, nisi dimittere ipsam naturae.	 "Therefore there is no wisdom left for you except to let nature take its course alone.
Quod si corruptum est os paruum, et est possibile tibi, attrahe ipsum cum forficibus subtilibus quae conueniunt ad illud.	 "If the patient has a fistula and it is possible for you, cauterize him with subtle methods that lead to this.
Si autem sunt ossa multa, tunc exquisite fac attractionem eorum omnium, neque dimittas ex eis aliquid cum tua fortitudine.	 "If there are many bones: then seek all the attachment of them one by one and do not let go anything from these with your strength.
Si uero contrarietatem facit tibi aliquid ex humiditatibus, et non est in incisione eorum timor, uel error: tunc incide illas humiditates et carnes, si sunt illic, et libera ossa.	 "If something contrary to your wishes arises from humidity and you are not afraid of cutting into them or making a mistake, then cut through those humilities and meats if they exist there, and release the bones.
Si uero non est tibi praeparatio auferendi ossa ex hora tua, tunc pone super uulnus quod putrefaciat ipsum: et dimitte ipsum, donec putrefiat quod est in circumitu illorum ossium ex carnibus et humiditatibus.	 "If you do not have the means to release their bones when it is your time (hour), then place over [the patient] what will rot him: and let go of him until he has rotted from around the bones and the humilities.
Et custodi uulnus ut non consolidetur.	 "Hold wounds so that they don't solidify.
Et constringatur sectio quam tu secuisti in operatione tua.	 "Sectional incision should be held fast, as you held it with your operation.
Imo pone super ipsum, si times, cotum submersum sulfure trito cum oleo: aut cotum submersum in unguento aegyptio, aut aliquo unguentorum uiridium.	 "Apply oil above the oil (ointment), if you have it; otherwise use another ointment's stick.
Nam quando putrefient illae scilicet humiditates, et separantur ex eis ossa, alleuiatur ablatio eorum, et ipsorum attractio.	 "When the mentioned parts become rotten and separate from each other, their removal is made with a special tool; then they are attracted to one another.
Si autem est os unum magnum, sicut os cruris, aut os coxae, et similia illis, et quod ex eo corruptum est, est pars magna: tunc rade ipsum rasione ultima, donec auferatur illa nigredo et corruptio.	 "If a tooth is large like the tooth of the heel or buttock (genital), as for those parts, it has become part; and then, when this last reason [is] given, blackness and corruption will befall that one.
Deinde restaura uulnus.	 "Then restore the wounds.
Si uero quod est in eo corruptum, est pars magna, et corruptio iam consecuta est medullam ossis, tunc necesse est serrare ipsum, et incidere ipsum totum usque ad locum, ubi peruenit corruptio: tunc cura ipsum, donec consolidetur.	 "If the one in it has become a large part and corruption is already taken up to the marrow of the bones, then it is necessary to fasten it tightly and strike all the way down to the place where corruption occurred; then care for it so that consolidation occurs.
Et ego narro tibi zuken, quae accidit uiro in crure suo: ut ponas ipsam exemplum et adiutorium super operationem tuam.	 "And I will show you what happened to the knife in your hand; so that you may place it as a model and tool over your operation.
Fuit uir iuuenis aetate circiter triginta annos, cui accidit dolor in crure suo, a caussa quae mota est super ipsum intra corpus, id est, ab interioribus, donec peruenerunt materiae ad crus, et apostematum est apostemate magno: et non fuit ei caussa extrinseca.	 "He was young in age, about thirty years old, to whom pain happened to his arm due to the cause that went inside him and reached the body; that is, from within, until matter reached down to the shoulder, it was called a great betrayal.
Extensum est ergo cum eo tempus cum errore medicorum, donec apertum est apostema, et concurrerunt cum eo materiae multae.	 "Therefore time with his error and then when he opened up, many matters followed him.
Et postposita est curatio eius, donec fistulatum est crus, et facta sunt in eo orificia multa: quae omnia emittebant pus, et humiditates corporis.	 "His care was set up until his hand reached the shoulder; and many openings were made in him; all of them emitted pus [and] body fluids.
Curauit ergo ipsum multitudo medicorum circiter duos annos, et non fuit in eo sapiens in arte manus, donec uocatus sum, et uidi crus eius, et materias quae currebant ex illis orificiis cursu magno: etiam omne uiri corpus iam tabuerat, et color eius citrinus erat.	 "Therefore he [the patient] was attended by many physicians over two years; and it wasn't in him a wise one with regard to the art of hands until someone called out to him, and heard his shoulder; and the matters that were after these openings came in great numbers: also all matter of body had become tabulated, and color on him was already yellow.
Intromisi ergo tentam in uno locorum orificiorum, et peruenit tenta ad os.	 I am trying to insert a needle into one of the openings (orifices) and it has reached the target.
Deinde perscrutatus sum orificia omnia: et inueni ea peruenire ad se inuicem ex omnibus partibus cruris.	 After examining all the orifices, I have inserted its point into itself from every side of the wound.
Properaui ergo, et secui super unum illorum orificiorum, donec detexi partem ossis: et inueni ipsum corruptum: quod iam corrosum erat, et denigratum, et putruerat, et perforatum erat, donec penetrauerat usque ad medullam.	 I have therefore succeeded, and pulled back the point of one of those orifices until it reached a part of its body: and I entered this corrupt one; for which is now corroded, and covered with black shit, and putrified, and perforated, so that it has penetrated up to the middle.
Serraui ergo quod detectum est mihi, et praeparatum ex osse corrupto.	 I have therefore seized what was detected by me from the rotten bone.
Et deputaui, quod non esset in osse nisi illa corruptio, quam abscidi, et serraui.	 And I detached it, which was not on that bone except for its corruption, and I severed it off.
Et ego iam eradicaueram eam.	 I have therefore removed her/it.
Deinde posui restaurationem uulneris cum medicinis consolidatiuis spacio longo.	 Then I placed the restoration on a long bench, accompanied by medicines and bandages.
Et non est consolidatum.	 And it was not settled/bound up.
Deinde tentaui, et detexi super os secundo supra detectionem primam: et inueni corruptionem continuam cum osse: et serraui quod apparuit mihi etiam ex illa corruptione.	 Then I tried with the second one above and beyond the first detection; and entered into its continuous corruption, accompanied by it/it on bone, and severed that which appeared to me also from that corruption.
Deinde conatus sum restaurationem eius.	 And I have therefore sought the restoration of him/her/it.
Et non est restauratum.	 And it was not restored./bound up.
Detexi ergo super ipsum iterum, et non cessaui incidere os particulatim, et conari restaurationem eius: et non est restauratum, donec incidi ex osse circiter palmum unum, et extraxi illud cum medulla sua.	 Then I tried with it again and did not cease to insert the particular part; but I strove for its restoration; and it was not restored, until I made an incision from bone around one of its palms, and extracted that with its middle.
Deinde restauraui ipsum cum medicinis, et consolidatum est uelociter, et sanatum: et non fuit necessaria haec iteratio in operatione eius, et sectione ipsius, nisi propter dispositionem debilitatis infirmi, et paucitatem tolerantiae eius, et timorem meum super ipsum de morte: quoniam accidebat ei in omnibus horis ex superfluitate euacuationis syncopis mala.	 Then I restored him with medicines, and it was bound up quickly and became healthy; and this iteration in his operation was not necessary, except for the disposition of the weak, and the scarcity of his strength, and my fear over him from death: because he used to fall on every side by the excess removal of syncopic evil.
Sanatus est ergo sanatione integra: et nata est in loco ossis caro dura, et bona facta est dispositio in corpore suo, et rediit uirtus eius: et conuersatus est in dispositionibus suis: et non fecit ei contrarietatem in ambulatione nocumentum omnino.	 And he became healthy through whole restoration; and flesh hard on the bone was made, and a good arrangement of his body was done; and its strength returned to him; and in disposition were set/established; and no contrary state came upon him while walking or movement injury, by any means.
Si autem os eminens in loco corporis iam fractum est: tunc oportet ut serres ipsum, secundum hunc modum: et est: ut accipias ligamentum, et stringe ipsum in extremitate ossis eminentis: et praecipe alicui, qui extendat ipsum ad sursum: et pone ligamentum aliud ex lana grossius ligamento primo.	 If the swelling has already occurred at the site of the body part, it is necessary to secure it as follows; first you must grasp and hold onto the swollen area using your hands in such a manner that you are able to stretch out the swelling by pulling on it with both hands from the top. After you have stretched it towards the top, gently apply pressure at this point until the swelling subsides completely.
Deinde liga ipsum super carne, quae est suh osse: et extende extremitatem eius, ut trahas carnem ad inferiora: et tu detegis carnem super locum quem uis serrare, ut non laedat Serra carnem.	 Then secure the swollen part onto your body above it and extend its extremity so that you can pull the meat towards the lower part; then grasp the meat in front of the place where you want to tie it down, so as not to let go of the tied-down flesh.
Pone lignum, aut tabulam sub osse inferius decenter: quoniam quando facis illud, non prohibetur quin secet carnem corruptam.	 Use a stick or a collar beneath the lower part of the body so that when you do this it is not allowed to slip off the spoiled flesh
Et oportet ut sit Serratura super locum corruptum parumper, ut non sit in concauitate ossis corruptio: et non appareat in apparitione sua sensui, et cogat ad Serraturam sui uice alia.	 It is necessary to have the tie above the spoiled part so that it does not slip off with the help of your hands and also prevents any slipping or sliding on its own side as well as preventing you from tying another knot right next to this one.
Quod si os est corruptum, et non est eminens, imo continuatur pars eius cum parte: et corruptio est in medio eius, aut in parte ipsius: tunc detege carnem ab omnibus partibus totam.	 If the swelling is spoiled and not swollen yet but is about to become swollen then you should continue grasping it along with a portion of it; the corruption or injury will be in the middle of it or in one of its parts, at that point grasp all around the body part completely.
Deinde pone lignum inferius.	 Then use a stick beneath it.
Postea serra illud ex parte prima, ubi est corruptio, donec continuetur Serratura ex parte altera: et sit Serratura secundum longitudinem a corruptione parumper, secundum quod diximus.	 After securing the first part with a corruption on it you must continue to secure it from another side until the tie is made according to its length and as we previously said.
Quod si corruptio est in iunctura, incide ipsam iuncturam corruptam, et serra os ubi continuatur ex parte altera.	 If the corruption or injury is at the junction then cut off that junction of it; and secure the swelling from another part as we previously said.
Si uero corruptio est in continuatione duarum iuncturarum, tunc non est in ea ingenium nisi abrasio.	 If the corruption or injury is at a place between two connections then there should be no intention except for an incision in that part.
Quod si corruptio est in pectine manus, aut in pectine pedis: tunc res in eo est difficilis ualde.	 If the corruption or injury is at a place between your hands and feet then there will be great difficulty
Verum oportet, ut inquiras corruptionem qualiter appareat tibi.	 It is necessary that you understand how it appears to you.
Et abradas eam, et mundes ipsam secundum quamcunque dispositionem tibi possibile est, et cum quocunque ingenio rectificatur tibi: quando non facit tibi contrarietatem Vena, aut Neruus.	 And when you are able to grasp it in whatever position or way is possible for you and with every kind of ingenuity that is corrected to your mind; but if it does not do something contrary to the vein or artery then do not let go of it.
Et scias quod incisoria, et Serrae ad incidendum ista ossa sunt multa, secundum situm ossium, et praparationem eorum, et ipsorum grossitudinem, et subtilitatem eorum, et magnitudinem, et paruitatem ipsorum, et duriciem ipsorum, et eorum raritatem.	 The incisor teeth and the molars to cut into these bones are many, depending on their position in relation to each other, and preparation of them and the nature of them, and their sharpness and size, and their strength, and rarity
Quapropter oportet, ut praepares omni speciei operationis instrumentum conueniens ad illam operationem.	 Therefore it is necessary to bring together all the tools needed for that specific surgical procedure.
Et scias, quod operationes istae significant tibi super speciem instrumenti quo indiges, quando tecum est studium longum.	 And you know that these operations will show a greater significance in front of an instrument whose edge is sharp when you are intently focused on its sharpness.
Et cognitio modorum huius artis, testimonium modorum aegritudinum: tunc enim iam inuenies per teipsum illud quod conuenit ei ex instrumentis ad omnem infirmitatem.	 The knowledge of the modes of this art is a witness to their eagerness; for at that point you will have come across what was made by them with all their tools towards every ailment.
Et ego sum firmans tibi in ultimo huius capituli numerum instrumentorum, quae pones exempla super quae incides, et probationem qua experiaris super alia.	 And I will be firm on the number of instruments you put together that strike with them and the trial over others which you will practice.
Forma Serrae.	 The shape of molars
Forma alterius Serrae.	 Shape of another molar.
Forma Serrae alterius.	 The shape of a different molar.
Forma Serrae alterius.	 The shape of a different type of molar
Haec forma Serrae depicta, sit decenter facta.	 These shapes are best placed for their use.
Fiat arcus eius superior, acuitas eius ex ferro: et manubrium eius ex buxo, et sit pyramidale decenter factum.	 Let the edge of his hand be sharp as steel and its handle like a bowstring; let it be made in pyramidal fashion for better use.
Forma Rasorii iuncturarum.	 The shape for joining together two rasors
Sit caput huius Rasorii, secundum formam capitis claui stellati: et puncta eius sint secundum formam punctorum elischetfegi.	 The head of this rasor should be shaped according to the star-shaped form of a spear tip; its points should be shaped according to the shape of the points I showed you earlier.
Et non conuenit, nisi ut fricentur cum eo capita iuncturarum, quando corrumpuntur, aut os amplum, et magnum est.	 And it will not work unless when they are joined together their heads move against each other as if in a fight and the mouth is large and strong.
Forma maioris Rasorii.	 The larger rasor shape.
Forma medii Rasorii.	 Shape of a medium sized rasor.
Forma Rasorii lati.	 Shape of a rasor with wide blades.
Forma Rasorii in quo est concauitas.	 A shape for one where the gap between the blades is narrow.
Forma Rasorii alterius subtilis.	 A different type of rasor with thin edges.
Forma Rasorii alterius curuatae extremitatis.	 Shape of a rasor with curved extremities.
Forma Rasorii parui, subtilis tentae.	 Form of grasping tweezers
Forma Rasorii cum quo inciduntur ossa.	 Form for grasping bones.
Forma etiam Rasorii magni.	 Large-grip form of tweezers.
Hoc similatur Radio, et extremitas est sicut Serra: exhibetur in locis multis ex rasione ossium.	 This resembles the Radio, and thus is as if it were a lever: displaying from bones many reasons [or causes].
Forma Rasorii quod conuenit ad rasionem eius quod perforatum est ex ossibus.	 Tweezers with which it coincided that of its perforation was made on the bones.
Extremitas eius triangula, acutarum est extremitatum.	 His extremity triangular, sharpness of extremities.
Fit ex Indi.	 Fit from India.
Et similiter oportet, ut fiant omnia quae diximus ex Rasoriis, et Incisoriis, et Serris.	 And similarly should be like it that all we have mentioned as reasons for the tweezers and scissors may be performed with these [tweezers].
¶ De incisione extremitatum, et Serratura ossium.	 About the cutting of extremities and serration of bones
Caput LXXXIX.	 Chapter Eighty Nine.
Putrefiunt extremitates, aut ex caussa extrinseca, aut intrinseca.	 The extremities become putrefied: either from an external cause or from within.
Cum ergo medicatus fueris illam corruptionem curatione medicinarum, et non confert curatio: et uides corruptionem incidere in membrum, quam non repercutit aliquid: tunc oportet ut incidas illud membrum usque ubi consequitu corruptio, ut euadat infirmus per illud a morte, aut a malicia quae est maior defectu membri.	 Since then you are to be treated by the physicians of the corruption with their medicine, and not provide care: and let that the corruption falls on the member as it did nothing: then it is necessary for you so strike at this same member up to where the corruption follows until death or malice which is greater defect in the body.
Et signum cui accidit illud est, quod denigratur membrum, donec putetur: quod ignis combussit ipsum, aut putrefit post nigredinem: donec inciditur illa putredo usque ad illud quod sequitur illud membrum, et serpit in totum corpus.	 And the sign to which it fell is that member degraded until the end [the sign of degradation]. Until then let he ignite him or decay after death: until that corruption follows that same member and creeps through all the body.
Propera ergo cum incisione eius, et similiter si caussa corruptionis est a percussione quorundam uenenosorum: sicut scorpionis marini, et uiperae, et rutellae, et similium.	 Therefore with the cutting of him and similarly if the cause of corruption is by percussion through all his weapons as scorpion to sea, and to a people, and a net, and similar ones.
Si ergo corruptio, aut percussio est in extremitate digiti, tunc incide digitum, et non des spacium corruptioni, ut incedat usque ad reliquam manum.	 If the corruption or percussion is on the extremities of the fingers then strike at the finger and not be from the other corruption until you reach the other hand.
Et similiter si accidit in manu, tunc incide eam ex radice focilis, et non des spacium corruptioni, donec capiat in focili brachii.	 And similarly if it was to the hand then strike at that with the root of a needle and not be from the other corruption until you reach the arm of the needles.
Et si inuadit in eo, tunc incide brachium apud cubitum in iunctura sua.	 Remove arm from above and strike it at the joint where you make your incision
Si autem pertransit corruptio, et uides eum circiter cubitum: tunc in illo est mors infirmi.	 If a corruption occurs while passing through, then seek him around the elbow; there he is deathly sick
Et administrare praeter illud ex curatione, est quantitas uirtus.	 To administer beyond that with care's help
Et similiter fac de pede, quando inuadit corruptio in digito, tunc incide ipsum apud unum nodorum: et si capit in pectine pedis, tunc incide pedem totum.	 And similarly do from the foot when a corruption occurs in the finger, then strike it at one of its joints; and if the blow strikes your finger to the joint of the foot, then strike off both feet.
Si autem ascendit ad genu, tunc incide crus apud iuncturam genu.	 If it ascends to the knee, then strike below the knee joint.
Quod si corruptio iam peruenit supra genu, tunc non est in ea ingenium, nisi dimissio, et relinquere infirmum morti.	 However if a corruption has already occurred above the knee, there is no escape but to dismiss and release the sick man.
Et modus incidendi membrum, aut serrandi ipsum est, ut stringas ligamentum in inferiori, quem uis incidere: et stringe ligamentum aliud supra locum.	 And how you strike a member or fasten him up is to bind it with the lower cord and strike off there; and with another cord above place
Et extendat minister ligamentum unum ad inferiora: et extendat minister aliud ligamentum superius ad sursum.	 And when extending one's hand downward, bind it with a lower cord and fasten him up there; and when extending the other upward to the top.
Et tu separa carnem quae est inter duo ligamenta, cum Spatumili lato, donec detegatur caro tota.	 And you separate the meat that is between two cords with a strong pull downward until the whole flesh is separated.
Deinde incidatur, aut serretur.	 Then strike or bind up.
Et oportet, ut ponas ab omnibus partibus pannum lini, et non tangat Serra locum sanum: et accidat infirmo laesio addita, et apostema calidum.	 It is necessary that you place the linen blanket around all sides and it does not touch any of the good places; and put on a cold dressing after an added injury and anointing with oil.
