Praefatio.	 Praiseworthy introduction
Aut propter paruitatem disruptionis, sicut diximus: Aut quoniam in intestino est inflatio propter frigus aeris.	 Or because of the abundance of the disruptions as we have mentioned before; or perhaps due to the swelling from cold air that is inside it.
Quando ergo illud est ita, tunc oportet ut calefacias ipsum, ita ut submergas spongiam, aut pannum humidum in aqua tepida sola.	 Therefore at this point you should heat him up; either by immersing the sponge into hot water or by wrapping a damp cloth around his body so that he can recover from the cold as quickly as possible.
Aut decoquas in aqua squinantum, et cyperum, et spicam, et embroces cum ea intestinum, donec resoluatur inflatio.	 Or if you immerse him into warm water; or with a hot iron, and place the sponge against his stomach while it is inflamed inside; until he can recover from the swelling.
Quandoque facit illud uinum in quo est stipticitas: et est melius quam aqua sola in resolutione inflationis.	 Whenever you put this liquid, which has a stiffening effect on him, into water and immerse him; it is better than immersing him in water alone to resolve the swelling.
Cum ergo uides inflationem iam resolui, tunc humecta intestinum cum aqua in qua decocta est altea, aut malua.	 Once you have resolved the swelling, then heat up his intestines with hot water or with a hot broth (possibly also called 'altea').
Nam per illud alleuiatur introitus eius cum re parua.	 This way it is easy to enter him through her entrance.
Si autem excusatur reditus eius post hanc curationem, tunc finde in disruptione parum, cum instrumento quo secantur hemorrhoides.	 However if you are able to remove the sutures after this treatment, then there will be fewer disruptions with the instrument that is used for hemorrhoids.
Et curatio prima est melior quando praeparatur, quam sectio: et non fit coactio ad secandum post necessitatem et defectum instrumenti.	 The first care is better when prepared than sectioning; and there's no cooperation for subsequent healing after necessity or the presence of an instrumentally defective part
Sit pars eius una quae est torta, acuta, et pars eius altera non acuta, et extremitas subtilis non sit cum subtilitate Spatumilis, imo sit obtusior parumper: et est illa quae similatur caiada, sicut uides.	 The part of his body that is hard and thin, like a wedge, the other not sharp but blunt (as if made from wood), and the tip of this delicate one should be with greater difficulty than sharpness itself
Cum ergo amplificatur uulnus, et ingreditur intestinum, tunc oportet, ut sit reductio eius secundum formam suam naturalem in loco suo sibi proprio, si possibile est super illud: quoniam est melius.	 Therefore the swelling and inflammation of the gut should be reduced according to its natural shape (form) at its own place by itself, if possible, because it is better for it
Quando uero disruptio est ampla in inferiori parte uentris: tunc oportet ut facias iacere infirmum super dorsum suum, et pone crura sua altiora capite suo.	 If a wide disruption occurs at the lower part of the belly, then you should arrange to have it supported by its own back and raise its legs higher up toward itself.
Et si est in superiore parte uentris, tunc pone caput eius, et pectus ipsius altiora quam eius inferiora.	 And if there is a disruption at the upper part of the belly, then you should arrange to have its head placed and lift its chest higher than its lower part.
Et similiter si est disruptio in una duarum partium uentris, tunc pone intentionem tuam, et tuam considerationem semper in hoc, ut pars in qua est uulnus sit altior parte altera.	 And similarly if there is a disruption in one of two parts of the belly, you should arrange your attention and care to be always like this so that the part with swelling will have its higher part towards the other part.
Et ita oportet, ut admimistres illud in uulneribus magnis, et in uulneribus mediis.	 And you should arrange it so that there are not too many swellings and not too few, but just enough for each swelling.
In uulneribus autem paruis, pone illud secundum quod praeparatur tibi.	 But if the swellings in each part are equal to one another, then you should arrange it according to what has been prepared for you.
Deinde fac ut sit praesens inter manus tuas minister pius, qui teneat disruptionem totam manu sua: et aggrega labia eius.	 Then make sure that the present-day person is in your hands so as to hold on to the whole disruption using only one hand; and gather up both its ears.
Deinde detege ex ea ei qui sequitur suturam aliquid post aliquid: et iste est modus suturae communis unius.	 Then you should take away from it, what follows sutures to something else (i.e., remove the sutures); and this is how common a suture procedure is done with one hand.
Et est, ut accipias acum, aut numerum acuum secundum quantitatem amplitudinis uulneris.	 And it is so that you should take away from each swelling as much as its size allows; this is how the sutures are applied to the swellings.
Deinde dimitte ab extremitate disruptionis quantitatem digiti anularis, id est, medici: et fige acum unam praeter quod intromittas in eam filum in duabus extremitatibuis cutis, cum duabus extremitatibus sifac quod est sub cute ab interioribus, donec facias eam penetrare ab alia parte, et tu iam aggregasti duas extremitates cutis, et duas extremitates sifac: et fiunt quatuor ordines.	 Then you should remove a certain amount of the disruption from both the thumb and index finger separately; that is, the doctor does this; then gather up one thread beyond what goes into it in two parts with cuts on each side below where there was an incision, until you make it penetrate to another part, and have gathered together two portions by this way; and so are four orders completed.
Deinde stringe cum filo duplo in circumitu acus aliquotiens a duabus partibus simul, quousque sint aggregata duo labia uulneris aggregatione decenti.	 "Then, with two needles of different sizes tied together at their centers, you will gather the lips towards both sides simultaneously.
Deinde dimitte grossitudinem digiti etiam, et fige in eis acum aliam: postea reta eam cum filo, sicut fecisti cum acu prima.	 "Then, remove the excess length from each finger and insert another needle into them both at once: afterwards, bring it back together with thread as you did before.
Non ergo cesses facere illud cum eo quo indiges ex acubus, donec compleas constrictionem uulneris totius.	 "Therefore, do not continue doing this with the same needle as that which is inserted: until you have completely tightened all of the lips.
Et sint acus mediae inter grossitudinem et subtilitatem: quoniam acus subtiles ualde uelociter incidunt carnem: et grossae sunt difficilis introitus in cutem: propter illud oportet ut sint mediae in subtilitate, et grossitudine.	 "The medium needle is between the excess length and subtlety of it: because the subtle needles penetrate meat more easily than the coarse ones; they are difficult to insert into a wound for that reason.
Et non oportet, ut figatur acus in duabus extremitatibus cutis propinquae multum: ut non incidatur caro uelociter, et aperiatur uulnus ante consolidationem sui, et non elongentur etiam cum sutura, ut non prohibeatur uulnus a consolidatione.	 "It is not advisable to have the needle close enough to both sides of the skin so that it penetrates meat easily; if this happens before consolidation and does not allow for proper closure, do not let the wound be closed.
Deinde incide extremitatem acuum, ut non laedant infirmum apud somnum suum: et pone eis puluillos ex pannis ab omni parte, qui teneant extremitates acuum: et dimitte eos, donec scias quod uulnus iam consolidatum est.	 "Then, cut off the excess of thread at both ends and tie a knot in it to hold the needle securely; remove them when you know that the wound is already closed.
Et haec quidem species suturae cum acubus taliter est conuenientior in uulneribus paruis.	 "This kind of suture with a needle as described above is more convenient for sewing on lips than using other needles.
Quoniam sufficit in sutura eorum acus una, aut duae, aut circiter eas.	 "Since one or two needles are enough to sew the lips together, do it either with one needle through them both ways, or with two needles side by side.
Sutura autem secunda communis est, ut aggreges cum sutura extremitates quatuor: extremitates, duas cutis, et extremitates duas sifac in uice una, cum acu in qua sit filum inuolutum aequale in subtilitate, et grossitudine.	 "The second kind of suture is common for sewing together four sides; two sides by one needle and the other two sides tied with it.
Deinde quando penetraueris cum acu has extremitates quatuor, reduc acum a parte a qua incaepisti eadem, ut cadat filum retatum a superiori parte uulneris: ut sit sutura, sicut sutura panni quo stringuntur panni, et pone inter omnem suturam quantitatem grossitudinis digiti minoris.	 "Then, when you have penetrated with the needle all four sides and release it from the side to which it was first tied, so that the thread is tight at both ends of the lips: this is a common kind of closure like closing clothes.
Hanc autem suturam sciunt homines.	 "People are familiar with this type of closure.
Et cum hac sutura ego sui uulnus quod acciderat uiro in uentre suo, qui fuerat uulneratus cum cultello, et erat disruptio uulneris maior palmo uno: et exierat ex intestinis circiter duos palmos ex intestino medio, et erat disruptio in medio uentris.	 With this suture I closed the wound that had been inflicted by a knife on its own inside; which was previously cut through with a tool and there had been disruption of the veins greater than one palm's breadth: and there was disruption in the middle of the belly, from both sides
Reduxi ergo illud postquam stetit intestinum eius extra uulnus xxiiii horis.	 Therefore it remained outside his intestines for 24 hours
Consolidatum est ergo uulnus in spacio quod fuit circiter XV dies: et curaui ipsum, et sanatus est: et uixit post illud annis multis, conuersatus in suis dispositionibus.	 Therefore the wound was treated and healed; after that it remained for fifteen days, and he recovered.
Et medici iudicauerant, quod non sanaretur.	 The doctors were saying that it would not heal.
Et ex miraculo fuit, quod non curaui illud cum unguento.	 It was only by a miracle that I didn't treat the wound with ointment.
Quoniam fui in loco in quo non inueniebatur unguentum, neque aliquid ex medicinis.	 Since I was not present at the place where it was forbidden to use ointments and nothing from medicines.
Posui ergo super uulnus cotum uetustum bis in die, et assiduaui ablutionem eius cum aqua mellis, donec sanatum est.	 Therefore I washed over him his own wound twice a day, and diligently gave him a bath with milk; until he was healed.
Duas autem species suturae proprias dicam secundum narrationem sermonis.	 Two of the specific sutures I mention in accordance to the narrative of the lecture.
Et est, ut incipias cum sutura acuta: et intromittas acum ab exteriori ad interiorem partem.	 And it is that you initiate with a sharp suture; and you go in from the outside towards the inside part.
Cum ergo penetrat acus in cutem, et in lacertum euntem secundum longitudinem et latitudinem totius corporis: dimitte extremitatem sifac in latere in quo intromisisti acum, et fac penetrare in extremitatem aliam ab interiori parte ad exteriorem in extremitate altera mirach.	 When the needle went into the cut, and towards its length and breadth it goes through all of the body; release the other end of the thread at the side where you introduced the needle, so that there may enter another from the inside to go out to the outside in one place, and from the outside to come in to the inside in another part.
Cum ergo feceris eam penetrare, tunc fac eam penetrare secundum hoc in eadem hac extremitate mirach ab exteriori parte ad interiorem: et dimitte extremitatem sifac, quae est in hoc latere, et fac penetrare acum in extremitatem alteram ab interiori parte ad exteriorem: et fac penetrare cum penetratione tua qua facis eam penetrare in sifac extremitate mirach, quae est in parte eius, donec penetret in ipsum totum.	 When you did it penetrate, then do the same thing to penetrate according to this; release the other end of the thread at that place on the side, and make another enter from the inside going out to the outside in one part, and from the outside entering into the inside in another part.
Deinde incipe etiam ab hoc eodem latere, et sue ipsum cum extremitate, quae est ex sifac in latere alio, et extrahe acum ex cute quam penetrauit.	 Then begin also from that same place on the side with its extreme which is out of the needle's thread at one end; and take away this one that you have entered into the wound.
Deinde reduc eam in illam cutem, et sue extremitatem sifac, quae est in latere alio, cum hac extremitate mirach: et extrahe eam ex cute quae est ex parte eius, et fac illud uice una, et alia: et fac illud uice post uicem, usquequo suas extrinsecum totum secundum illud exemplum.	 "Then remove the lower part of it and cut off its extremity that is on the side, making an incision there with this remaining extremity; then take out what is taken from one side of him and make it into a unit [i.e., form an artificial skin] along with others: and after doing so up to the previous incision, remove all external parts according to the example provided.
Et summa huius suturae, est ut suas sutura pellipariorum qua suunt pelles: ita ut suas sifac uice una ex parte una extremitate cutis: et ut dimittas eam uice alia ex parte alia, donec compleas.	 "The remaining parts of the surgery should be sewn to the skin that covers them as follows: i.e., join together with one suture what is removed from one side of him and the skin; until all are joined.
Secunda species suturae propriae, quam dixit Gale nus.	 "The second type [of surgery] mentioned by Galenus.
Iste eius sermo narratus est, ut suas eam secundum similitudinem, qua suunt eas quidam medicantium, ita quod aggregant omnem partem ad comparem suam conuenientem per naturam: et applicant extremitatem sifac ad eius aliam extremitatem, et extremitatem mirach ad extremitatem eius aliam.	 "The speech of this one was as follows: i.e., so that the parts are joined together according to a similarity with some medical practitioners in such a way that they all come together according to their own kind by nature; and taking an extremity [of him], it takes another extremity, and joining them the opposite extremity is taken.
Et illud fit secundum quod narro tibi.	 "And thus do you say what I have heard.
Oportet ut figas acum in extremitatem mirach propinquam tibi ab exteriori parte, et facias eam penetrare ad interiorem in eo solo: et dimittas duas extremitates sifac.	 "It is permitted for you to make an incision in the opposite extremity that is near you from the outside part and let it penetrate into him alone; and remove two extremities of the skin.
Deinde reuolue acum, et fac eam penetrare ab exteriori parte ad interiorem in duas extremitates sifac, scilicet utrinque.	 "Then return to the previous step and make an incision from outside into inside on both extremities [of skin], that is each separately.
Deinde reuolue utrasque, etiam fac penetrare utrasque ab interiori usque ad exteriorem, in duas extremitates mirach alias, quae sunt in latere opposito.	 "Then return to the previous step and make an incision from inside into outside on both extremities [of skin], that is each separately.
Et iste modus suturae est melior sutura communi facili, et est sutura cuius praecessit rememoratio.	 "The mode of this surgery is superior to the common one in ease and is superior also to the last type [of surgery].
Iste est ergo sermo Galeni etiam.	 "This speech is that of Galenus.
Et dixerunt quidam.	 "And some said.
Retificatur sutura uentris cum duabus acubus.	 "The stitches are put on the inside with two needles.
Quod est, ut intromittas in eis utrisque filum unum: et incipe cum intromissione acus, ex eo quod est apud te, et fac eam penetrare usque ad latus aliud, secundum suturam eorum qui suunt coria aequaliter.	 "This is so that you insert into them one filament [of skin] each; and begin with the incision of the needle from what is near you, and make it penetrate up to another side according to their stitches which are equal.
Et scias, quod quando disruptio est in medio uentris: tunc sutura eius est difficilior quam reliquorum locorum uentris.	 "Know that when there is a disruption within the heart's interior, then its repair is more difficult than the repairs of other parts.
Iudicium uero medicationis uulneris, est iudicium reliquorum uulnerum.	 The examination of wounds or medicine for wounds is the same as the examination of healthy wounds.
Quod est, quia quando tu consequeris uulnus recens cum sanguine suo, antequam alteret ipsum aer: et reducis intestinum, et suis ipsum, et aptas ipsum: tunc pone super puluerem incarnatiuum.	 Know that when you are using your blood to cleanse a wound before it becomes dry and then you remove the intestines of that animal, and clean its bowels with them, and make it ready for eating - in other words, when making use of it as food, first wash off its blood.
Quod si aer iam alterauit uulnus: tunc pone super ipsum quaedam unguenta, quae sunt tibi praesentia, donec faciant pus: et cadant fila, et consolidentur sifac, et mirach.	 If the blood of a wound has already been removed but you are still using that animal as food before it is ready to eat then apply some unguents (ointments) which are in your possession on him who will make it ready for eating - in other words, if you use an animal after its blood has been removed and before it is ready for eating, then prepare a concoction or ointment.
Deinde cura illud sicut est curatio reliquorum uulnerum, donec sanetur.	 Afterwards the care of that is just like the care of healthy wounds until it heals (is cured).
Si autem non sunt tibi praesentes medicinae, tunc pone super ipsum statim, exquo incipit emittere pus, cotum uetus: et permuta ipsum bis in die, sicut docui te, donec sanetur.	 But if you do not have any medicines at hand then immediately apply a concoction or ointment to it as soon as possible and let the pus flow out of it - that is, after applying a concoction or ointment to a wound without medicine (immediately), exchange it daily until it heals just like a doctor would treat you.
Nam tu non indiges medicatione alia in pluribus dispositionibus, quando uulnera sunt simplicia.	 If there are simple remedies available for multiple wounds then use one of them instead of all the above.
Si autem times, quod communicet uulnus membris principalibus in laesione, tunc oportet ut submergas lanam lenem in oleo temperatae caliditatis, aut in oleo rosato: et pone ipsam in circumitu locorum quae sunt inter inguina, et sub ascellas.	 If a wound spreads to the main part of the body into an injury then it is necessary that you immerse the area with warm olive oil or with spiced oil - that is, if the blood from a wound spreads throughout the limb and reaches the surrounding areas around the mouth and under the nails.
Quod si sentit dolorem, aut punctiones, aut putrefactionem in intestinis suis (nam multotiens accidit illud) tunc clisteriza ipsum cum uino stiptico, nigro, tepido: praecipue si putredo iam peruenit in intestino, et facta est exitura penetrans usque ad concauitatem eius.	 If there is pain or a blockage of the intestines then you must strip and anoint it with wine vinegar (or black vinegar) heated on fire until it is hot - that is, if there is putrefaction in the bowels already advanced to the extent of an exit wound penetrating even up to the groin.
Et scias, quod illud quod est ex intestino grosso, est facilioris sanationis: et quod ex eis est ex subtili, difficilioris sanationis.	 Know that what is coming out of a large intestine is easier to heal than what comes from the small intestines - and know that it's harder to heal what comes from the small intestines.
Intestinum autem quod nominatur Ieiunum, non suscipit sanationem ex uulnere quod accidit in eo omnino: et illud est propter multitudinem eius, quod est ex uenis, et magnitudine earum, et propter subtilitatem corporis eius, et propinquitatem ipsius naturae neruorum.	 The small intestine known as the jejunum does not gain health through wounds that strike it in every way: and this is because of its multitude from veins, and its size, and the nature of those who have created it; due to its subtlety and its proximity to the sources
Si autem illud quod procedit ex uulnere est zirbum, et consequeris ipsum recens: reduc ipsum secundum reductionem tuam, qua reducis intestina aequaliter.	 However if that which came from a wound is removed by you completely: then reduce it according to your reduction of the intestines equally.
Si uero praeteriit ei spacium, et iam factum est uiride, aut nigrum: tunc oportet ut stringas ipsum cum filo supra locum qui denigratus est ex eo, ut non accidat fluxus sanguinis.	 Then if it has gone beyond the wound and is black or dark brown in color (indicating its death), you should tie a knot of silk above the place from which he was struck so that his blood does not flow out
In zirbo enim sunt uenae et arteriae.	 In the jejunum there are veins and arteries.
Deinde incide quod est praeter illud ligamentum, et pone duas extremitates fili pendentes ex inferiori parte uulneris extra ipsum: ut alleuietur super te attractio eius, et extractio ipsius apud casum zirbi, et emissionem pus uulneris.	 Then cut through the ligament above which is beyond that and hang two ends of the silk from the lower part of your wound over him so as to prevent his falling onto you, and taking him out by force at the moment he falls off, and issuing the blood of his wounds.
¶ Rememoratio uulneris quod accidit in Intestino.	 The remembrance that struck into the intestine.
Quando accidit disruptio in Intestino, et est parua: tunc possibile est, ut restauretur in quibusdam hominibus: propterea, quia ego uidi qui fuit uulneratus in uentre suo cum percussione lanceae, et erat uulnus a dextra stomachi, et antiquatum est uulnus: et factum Fistula, et exiuit ex eo egestio, et uentositas.	 When there is disruption into the intestine, and it was small: then it is possible that in some people to restore by means of those who were wounded within their own body with a blow from a lance; because he had a wound on the right side of his stomach, which was old, and there was an exit for the discharge, and bitterness.
Posui ergo curationem, usque quod ego non fui confisus in sanatione eius: neque cessaui subtiliare ipsum, donec sanatus est, et consolidatus est locus.	 I therefore care until he was not cured by me of his illness, nor did I refrain from carefully examining him thoroughly; but until he was cured and healed the place was maintained.
Postquam ego uidi locum iam consolidatum, timui super infirmum, quod accideret super infirmum accidens malum in uentre suo: et non accidit ei ex illo accidens malum.	 After I knew the place was already healed and strong, I feared a fall that would strike against him from his own side; but he did not incur harm from this source of injury.
Et remansit in melioribus dispositionibus suis, comedens et bibens, et futuens, et intrauit balneum, et exercitatus est in dietis suis.	 And remained in better conditions with his eating and drinking, and being active; and he entered the bath, and trained himself in his diets.
Et iam dixerunt quidam experimentatorum, quia quando accidit in Intestino uulnus, et est paruum: tunc oportet ut ligetur secundum hunc modum.	 "Some of those who practiced surgery said when a wound had occurred in the intestine and it was perforated: then it is necessary to tie it as shown here.
Et est, ut accipias formicas magnorum capitum.	 It is so that you should accept large heads of bees (beeswax).
Deinde aggrega duo labia uulneris, et pone formicam unam ex eis quae habeant os apertum super duo labia uulneris.	 Next they gathered two lips and placed one bee wax head onto each of the wounds that had opened on top of the two lips.
Cum ergo capit super ea, et stringit os suum, abscinde caput eius, adhaeret enim, et non soluitur.	 And when it gets over them and he ties his mouth, from the head of him, remaining, so as not to be left behind.
Deinde pone formicam aliam prope primam, et non cesses facere illud cum formica post formicam secundum quantitatem uulneris totius.	 Next they placed one more bee wax head on top of the other and did not cease to do this with the first bee in accordance with the quantity of wounds.
Deinde reduc ipsum, et sue uulnus.	 Next he reduced it and tied its wound.
Illa enim capita remanent annexa in Intestino, donec cibetur Intestinum, et sanetur, et non accidat infirmo nocumentum penitus.	 That remaining heads attached to the intestine until the food is digested from the intestine, and it will heal and not come from an unfortunate disease of the intestines.
Et iam possibile est, ut ligetur Intestinum etiam cum filo subtili: quod abstersum est ex intestino animalis, annexo cum eo postquam intromittitur in acum.	 And it is possible that the intestine is tied even with a thread of fine silk; which was taken from an animal and attached as soon as it enters into the opening after.
Et est, ut accipias extremitatem huius fili ex intestino, et excarnetur multum.	 And so you should take the extremity of this thread from the intestine and remove it much.
Deinde liga in extremitate eius filum lini subtile inuolutum.	 Next tie at its end with a fine silk thread.
Deinde intromitte illud filum in acum, et sue cum eo intestinum.	 And then introduce that thread into the intestine and attach it to him along with his intestines.
Deinde reduc ipsum in disruptionem.	 Next he reduced it in a disruption.
Et iste modus suturae cum formicis et intestino, non est nisi secundum uiam fiduciae et spei.	 And this method of surgery with bees and the intestine is not only according to faith but also wisdom.
Scias, uulnus quod est magnum, amplum, praecipue si est in uno intestinorum gracilium: tunc non est ingenium nisi subtiliatio, neque est eius sanatio omnino.	 So if it is large and extensive especially when found in a small intestine then there will be no other remedy than subtlety so as not to harm him completely.
¶ De cura Zuchemen, et Fistularum.	 About the treatment of wounds and fistulas.
Caput LXXXVIII.	 Eighty-eighth head.
Scias, quod omne uulnus, aut apostema quando ueterascit et antiquatur, et fit ulcus, et non consolidatur, et emittit pus semper, et non abscinditur: tunc nominatur uniuersaliter in quocunque membro fuerit Fistula, et nos nominamus ipsum Zuchemen.	 It is known that all wounds whether old or new and have not been healed with a fistula are always open and do not stop emitting pus constantly, so they are called universally wherever the body may be a fistula and we call this one Zuchemen.
Et Fistula quidem est secundum ueritatem nodatio filtrata, dura, alba: cum qua non est dolor, cui est concauitas pennae auis: et propter illud nominant eam quidam Risati, id est, pennam.	 "A fistula indeed is a filtered knot, hard and white; without pain but with the touch of fingers causing pleasure. And because of this it has been named by some as 'Risati', meaning ribbon.
Et est in quibusdam horis humida, quae emittit pus.	 "It is moist on certain days when it emits pus.
Et fortasse scinditur humiditas in quibusdam horis.	 "Perhaps the moisture can be cut off on certain days.
Et quandoque est haec humiditas multa, et est pauca: et est grossa, et est subtilis.	 "Sometimes it is very moist and has little strength; sometimes it is thick and has a lot of strength; sometimes it is soft and thin.
Et ego iam praemisi in diuisione, tunc cum dixi uulnera, quod omne ulcus quod non sanatur, neque nascitur in eo caro, non est illud nisi propter unam nouem caussarum.	 "I have already spoken of division; when I said 'every sore that is not healed nor born on it flesh', this is due only to one reason.
Quarum una est, aut propter paucitatem sanguinis in corpore: aut propter maliciam eius: aut quoniam inter ipsum, et super labia eius est caro dura, prohibens natiuitatem carnis: aut quia est multae sordis et sordiciei: aut quoniam ulcus in seipso est putridum, et materia quae mittitur ei est malae qualitatis: aut quoniam medicina est inconueniens in curatione eius: aut quoniam corruptio cadens in regione est genus pestilentiae, aut per proprietatem in regione, sicut accidit in Caesaraugusta: in qua fit difficilis digestio aegritudinum, et tardatur in ea sanatio apostematum per naturam: aut quoniam in eo est os unum, aut numerus ossium.	 "The reason is one of several possibilities - either due to a scarcity of blood within the body, or because of its evil nature; or possibly from the hardness of his flesh which prevents the growth of limbs; or perhaps it arises from foul odor and bad qualities of material discharged by it; or maybe it has no healing treatment at all. Or it could be because there is one eye in him and a great number of bones.
Et ego iam ostendi omnes istas caussas et signa earum, et curationes ipsarum cum medicinis in diuisione: et oportet hic ut faciam te scire curationem Fistulae et Zuken, quae fit per uiam operationis cum manu.	 "I have already listed the signs and causes of these and their cures along with the treatments using medical division; now it is necessary for you to know about the treatment for fistula and zucker.
Scias ergo, quod Fistula accidit in omnibus membris corporis.	 "Know that a fistula occurs in every part of the body.
Nam ex eis sunt Fistulae quae perueniunt ad uenas magnas et arterias, aut neruos, aut sifac: aut ad intestinum, aut ad uesicam, aut ad aliquam ex costis: aut ad aliquam ex spondilibus dorsi, aut ad aliquam iuncturarum compositarum compositione: sicut manus, et pedis: et ex eis sunt quae uadunt ad propinquitatem membri principalis, et similium.	 "Among these are fistulas that join with veins and arteries; or nerves, sine fibers; or intestines; or urinary bladder; or ears of the back; or those arising from the junction of tendons and muscles in the hands and feet - they cause a connection to the main body part.
Quae ergo ex his Fistulis est secundum hunc modum, est ex aegritudinibus difficilis sanationis, et non recipit curationem, et occupatio cum ea est labor et ignorantia.	 "Therefore, from these fistulas is it necessary according to this manner - the treatment of difficult cases and not receiving one; and occupation with it was hard work and ignorance.
Quod si est ex Fistulis aliqua cuius profunditas non peruenit ad haec loca quae dixi: et speras, et confidis in curatione eius, et uis peruenire ad cognitionem illius, tunc accipe tentam ex aere, aut ferro, si Fistula tendit secundum rectitudinem, et perquire eam cum ipsa.	 "If the depth of any fistula does not extend to these points which I mentioned: take it with tongs or a hook made from iron if it bends according to its correct path and pull it out along with it.
Si autem in Fistula est tortuositas, tunc inuestiga eam cum tenta de plumbo subtili.	 "If the fistula is twisted, then grasp it gently using a fine hook or tool.
Quoniam plumbum cum lenitate sui corporis alleuiatur, et curuatur circa tortuositatem.	 "Since its own length decreases due to weight loss on its body, and its shape changes because of the twist.
Quod si Fistula est habens orificia multa, non est tibi possibile ut significes super eam cum tenta.	 "If a fistula has many openings, it is not possible for you to grasp it with your hand when trying to pull it out.
Clisteriza ergo ex eis orificium ex orificiis suis.	 "Therefore remove the openings from its own openings.
Nam humiditas qua clisterizas ipsum, uadit uersus orificia alia, et currit ex eis.	 "As a result of removing openings from the fistulas and their own openings, moisture penetrates it through other openings and moves out towards them.
Deinde exquisite inquire secundum quem modum est tibi possibile: ut cognoscas quod illic est os, aut neruus, et est Fistulae concauitas longinqua, aut propinqua: aut est Fistula una cui sunt orificia multa, et sta super totum illud, cum summa fortitudinis tuae: cum interrogatione tua, qua interrogas infirmum, et inuentione doloris apud compressionem cum manu tua super locum, et similibus ex significationibus et caussis accidentibus apostemati.	 "Then inquire as to the method by which you can identify where it is an opening or not: whether it is a small hole and the fistula's concavity is long or close, or if there are many openings around it while it is covering everything completely; ask about its location using your question, use pain relief when pressing with your hand on that spot, and inquire about any other factors causing discomfort.
Cum ergo steteris super omnia illa statione uera, tunc uade ad curationem secundum confidentiam: et est, ut consideres tunc, si est Fistula propinqua apparens, aut in loco saluo longinquo a iunctura, aut a neruo, aut arteria, aut uena, aut uno locorum quae dixi tibi: tunc seca Fistulam secundum quod praemissum est ex narratione mea, et aufer quod est in ea ex filtratione, et carnibus corruptis, quod nascitur in orificio eius ex carne, aut thelul, et similibus: et cura ipsam, donec sanetur.	 "Since you are standing over it all, then proceed to its care with confidence and ensure that you understand at this point if a fistula is nearby and visible or just far away from insertion; or whether it is an artery, vein, one of the locations I mentioned, or somewhere else entirely; so secure the fistula according to what was previously described, and extract it based on filtration and corruption by its body, which originates in its opening because of the flesh, or through a tube, as well as all other factors: until you have been cured.
Si autem Fistula est longinquae profunditatis, et est secundum rectitudinem: tunc oportet ut seces eam in profundo quantum est tibi possibile.	 "If the depth of a fistula is extensive and according to its correct path, then it must be pulled out as deep as you are able.
Deinde mundifica ipsam ex omnibus carnibus eius corruptis.	 Therefore remove the same from all its corrupted parts
Deinde administra licinia inuoluta in medicinis acutis: et intromitte ea usque ad concauitatem Fistulae quam comprehendisti cum ferro: fac cum ea illud aliquotiens, donec corrodat medicina acuta totum quod remansit in concauitate Fistulae ex corruptione.	 Then administer the remedy through a thin tube into the medicines and the wound itself; let it be inserted until it reaches the fistula's opening that you have comprehended with a probe made of iron, making sure to leave some of it until the acute medicine has completely corroded what remains in the fistula after its corruption.
Deinde restaura ipsam cum unguentis quae generant carnem sanam, donec sanetur.	 Then restore her with ointments that bring about healing; let it be restored until she is healed.
Si uero non sanatur per illud, tunc cauteriza ipsam secundum quod narrauimus.	 If not, then burn the fistula according to what we have described earlier.
Si ergo caussa Fistulae est os, et certificatur apud te illud: tunc inquire ipsum, et seca ipsum secundum quod narraui tibi: si non prohibet te aliquid ex uena, aut neruo, aut membro principali, sicut diximus.	 If the cause of fistula is known to you and it has been certified by you, then inquire about that and cut off its source according to what I described earlier; if this does not allow for anything from another vein or member, as we have described previously.
Si ergo detegitur tibi os, et est in eo quiddam corruptionis, et nigredinis: tunc rade ipsum, donec auferatur corruptio eius tota.	 If a source is found by you and there is some corruption within it; then inquire about that and remove it until the corruption of it has been completely cleared off.
Deinde cura ipsum cum eo quod incarnat ipsum, donec sanetur.	 Then care for him with what he was born into, let him be cared for until he is healed.
Quod si non sanatur, et emittat pus sicut faciebat: tunc scias, quod tu non peruenisti ad totam eradicationem corruptionis.	 If not, and the discharge proceeds as it did before; then you know that you have not entirely removed the corruption.
Detege ergo super illud secundo, et exquisite fac rasionem eius, et mundificationem ipsius cum ultima fortitudine tua.	 Therefore inquire further above this second thing and bring to light its source; and remove him with utmost strength of your own.
Deinde restaura ipsum.	 Then restore him.
Si ergo sanatur, bonum est: et si non, tunc scias quod illa corruptio est in profunditate longinqua corporis, quam non es consecutus.	 If it is healed then this is good; and if not, you know that the corruption has deep roots within his body which are not to be reached by any means.
Non est ergo tibi in ea ingenium, nisi dimittere ipsam naturae.	 Therefore there is no remedy for you unless you remove this natural course of hers.
Quod si corruptum est os paruum, et est possibile tibi, attrahe ipsum cum forficibus subtilibus quae conueniunt ad illud.	 If the source is corrupted and it can be brought to light by you with very fine probes which are inserted into that.
Si autem sunt ossa multa, tunc exquisite fac attractionem eorum omnium, neque dimittas ex eis aliquid cum tua fortitudine.	 If there are many bones; then you will have to investigate the attraction of all of them so as not to remove anything from these with your strength.
