Praefatio.	 Preface
Cum ergo aequatur, tunc pone super uuluam eius quod narrauimus ex oleo et mucillaginibus.	 "Once you are balanced [in position], then hold its head with your right hand and gently pull out any remaining umbilical cord and afterbirth.
Deinde praecipe ei, ut moueatur paulatim.	 "Then teach her to move it slowly.
Cum ergo feceris illud, tunc fac eam sedere super sedem, et praecipe ei ut inclinetur ad latus dextrum.	 "Once you have done that, then place her on the bed and teach her how to turn her face towards the right side.
Deinde praecipe ei, ut comprimatur: et fac eam sternutare cum condisi.	 "Then teach her how to contract as shown in position [i.e., hold it level].
¶ Exitus foetus praeparati super latus.	 "The fetus descends from the right side.
Quando descendit ad orificium matricis secundum hunc modum cum secundina, tunc scinde secundinam cum ungue tuo, donec euacuetur ex humiditate.	 "When it has descended into the mother's vagina in this manner [i.e., with its back towards the head], then you grasp it gently with your thumb and hold on until water is expelled.
Si ergo suspenditur super faciem foetus, et collum eius, tunc incide eam ex umbilico: ut non retineatur, et moriatur.	 "If the fetus is held in position by its face and neck, then you must strike it gently on the umbilical cord to release your grip; otherwise, it may die.
Deinde impelle foetum ad interiora, donec ponas eam secundum quod oportet: et praecipe mulieri, ut comprimat se aliquotiens: ipse enim egredietur exitu leui.	 "Then gently guide it towards the vagina and teach her to squeeze tightly; for when she has done this [given birth], it will be expelled.
¶ Exitus Geminorum, aut foetuum multorum.	 "The exit of twins or many fetuses.
Scias, quod Gemini multotiens nascuntur: et quandoque nascuntur tres, et quatuor.	 "It is known that twins are often born together and sometimes three and four [fetuses] at a time are born.
Verumtamen illud extraneum est, et raro contingit.	 "This may be accidental or rare.
Quinque uero est res extra naturam, et non uiuunt penitus: et continet eos, quamuis multiplicentur, secundina una: et separantur per sifach, distinguens inter eos ligatum in umbilico cuiusque eorum.	 "There are five things that come outside of nature and do not fit into the law; they stay together however many there may be after their birth, except one separates from its brother by a sharp blow.
Et quandoque egrediuntur sicut egreditur foetus unus exitu naturali, facili: et egrediuntur exitu illaudabili, sicut narrauimus.	 When a fetus descends like that of an individual at birth and is born naturally, easily; but when it descends from an admirable source, as if descending from a noble person
Quod si difficiles fuerint quidam eorum apud partum, et perueniunt ad illud quod diximus ex figuris innaturalibus, tunc cura eos sicut narrauimus: et sit ob stetrix subtilis, et faciat quod facit cum facilitate et tarditate, et ingenietur secundum omnem figuram cum eo quod praeparatur ei ex ingenio ducente ad salutem.	 If some of them are difficult to find near the birth and need help with that which we mentioned from unnatural figures, then let us care for them as if they were infants: And may it be a gentle one who does not harm him in any way, but rather helps him according to his nature while helping him quickly and carefully.
¶ Rememoratio eius quod formatur in matrice ex embrionibus, et abortiuntur.	 A reminder that what is formed from the fetus within its matrix will be aborted.
Quandoque formatur in matrice unus, et duo, et tres, et quatuor, et quinque, et sex, et septem, et plures decem: et iam uerificatum est apud me, quod mulier abortiendo emisit septem, et alia quindecim, omnes formatos.	 Sometimes when one, or two, or three, or four, five, six, seven, ten, and more fetuses are formed within the matrix; now I have been supplied with a means by which women can abort all of them at once, along with other multiples as well.
Quod factum est mensuratione gloriosi sapientis.	 That is done through the measurement of glorious wise ones.
Hoc ergo totum oportet ut sit in scientia Obstetricis.	 Therefore, it's necessary that all knowledge about obstetrics be held by wise men (or women).
Fortasse enim perueniet ad eam simile illius: opponat ergo ei cum illo quod oportet	 And indeed they will certainly oppose him with what is fitting for them.
¶ De extractione foetus mortui.	 About the extraction of a dead fetus.
Caput LXXVI.	 Chapter 76
Quando curas foetum mortuum cum eo quod dixi in diuisione ex medicatione, et non egreditur, et cogeris uti operatione cum manu, tunc oportet ut consideres.	 When you care for a dead fetus with what I said about division from the treatment and he doesn't descend, then use surgery to move it along using your hand; at that time, pay close attention.
Si ergo mulier est sanae uirtutis, et non est cum aliquo ex accidentibus, ex quibus timetur super eam perditio: tunc oportet ut resupinetur mulier super lectum, super dorsum suum, et sit caput eius inclinatum inferius, et crura eius eleuata: et ministra teneat eam a duabus partibus, aut ligetur ad lectum, ut non extrahatur corpus eius apud extractionem foetus.	 If the woman has good virtue and is not with anyone from accidents from which she fears loss; then it's necessary that she be supported by her shoulders to the front of herself so that her head may be bent downwards towards her chest, and both her hands held out in order for her body to be taken up off its own weight. And let someone hold onto her at two points or bind her to a support so that he is not dragged away from his corpse when extraction of the fetus occurs.
Deinde humecta os matricis ex oleis humidis cum mucillagine alteae, et foenugraeci, et seminis lini.	 Then she will wet the vagina with warm water and oil mixed together, and gently massage it while saying prayers; then she will conceive.
Deinde inungat Obstetrix manum suam cum istis oleis et mucillaginibus: deinde intromittat eam in matricem cum facilitate.	 After a midwife has taken hold of her hand with these tools and instruments, she then introduces that into the womb gently
Deinde quaerat cum ea locum in quo figat uncinos ex foetu, et loca conuenientia ad illud.	 And as soon as it reaches its place where the umbilical cord is coming out of the fetus and the birth canal opens up to that location
Considera ergo tunc, si foetus est praeparatus ut descendat super caput suum: tunc fige uncinos in oculos eius, aut in collo eius, aut in ore eius, aut in palato ipsius, aut sub barba eius, aut in furcula ipsius, aut in locis propinquis costis, et sub hypocundriis.	 If the fetus is ready to descend and its head is about to come out, then look at it from its eyes or face or nose or throat (mouth) or palate or chin or under its beard or near its ribs or below the breastbone.
Si autem descensus est super pedes eius, tunc in pectine, et costis eius mediis.	 If the fetus descends from the feet downward, then look at it through the chest (mediastinum) of that part of its body (costum).
Et oportet, ut teneat uncinum cum manu dextra: et ponat curuitatem eius in eo quod est inter digitos sinistrae manus: et intromittat cum manu cum facilitate, et figat uncinum in aliquo illorum locorum quae diximus, donec perueniat ad rem uacuam.	 It is necessary to hold the umbilical cord with the right hand and put it into place between the fingers of the left hand: she then introduces that into one of the locations we have mentioned before in order for her to finally reach what is being sought after.
Deinde figat in oppositione eius uncinum alium, aut tertium, si indiges: ut sit contractio aequalis, et non declinet ad partem.	 After that, she pulls the umbilical cord towards herself or to one side if it is not straight but slightly curved; so that the tension remains equal and does not move away from the belly (partium).
Deinde extendatur extensione aequali, et non sit extensio secundum rectitudinem tantum, imo moueatur ad omnem partem, ut alleuietur exitus eius: sicut fit cum dente apud eradicationem eius.	 After that, the cord is gently stretched to its full length equally, and not so as to follow only a certain path towards the belly (partium), but rather until it is pulled back from all parts of its body in order for him to be born; just like when you bite or strike at the umbilical cord near its end.
Et oportet in eo quod est inter illud, ut mollificetur extensio.	 And there where that part is between them, it should be gently stretched.
Quod si retineatur ex eo pars, tunc oportet ut inungat Obstetrix quosdam digitos cum oleo, et intromittat eos ex parte, ut reuoluat cum eis quod retinetur.	 If a part of the umbilical cord is pulled away from that, then it should be introduced by the midwife with some fingers and tools in order for her to follow after pulling back what she has retained.
Si ergo egreditur pars foetus, tunc permutentur uncini ad locum alium qui sit altior: fac hoc donec egrediatur foetus totus.	 If part of the fetus comes away then they are pulled towards another place that is higher; do this until it becomes fully detached (pergrediatur foetus totus).
Si ergo egreditur manus ante alia, et non est possibile reducere eam, propter coartationem eius: tunc oportet, ut inuoluatur super eam pannus.	 If part of the fetus comes away and it is not possible to reduce its hand because of a constraint (coartatio) then she should let herself hang down over that hand.
Deinde extrahe eam donec quando egreditur tota, incide eam aut in iunctura plantae, aut in cubito: et ita oportet ut facias in manu altera, et in duobus pedibus.	 "Having thusly freed her, when thou hast gathered her together, cut off the hand and foot separately; either at the juncture of the palm or the cubit (i.e., from the elbow); so that one shall be done with thy other hand, while in two feet.
Si autem caput foetus est magnum, aut accidit ei coartatio in exitu, aut est in capite eius aqua aggregata: tunc oportet ut intromittat inter digitos Spatumile spinosum, et findat cum eo caput, et extrahat aquam: aut disrumpat ipsum cum instrumento quod nominatur Almisdac: cuius forma uenit cum formis reliquorum instrumentorum in capitulo quod est post hoc.	 "If the fetus is great (i.e., if it obstructs delivery), or an umbilical cord injury occurs, or there is a mass of water on its head; then let him introduce by way of a spike a thorny spur through his fingers and find with it the head, and extract the water from beneath it: or let them sever what is called Almisdac (i.e., the umbilical stump), whose form unites with that of the remaining instruments in the section which follows.
Similiter faciat si foetus est magni capitis natura, tunc oportet ut seces algengematu: aut extrahas ipsum cum misdach, sicut diximus.	 "Likewise let him cut off the fetus if its nature is great (i.e., if it has a large head); then let him extract [it] with scissors, as we have said.
Deinde attrahas ossa cum forcipibus.	 "Then take up bones with hooks.
Quod si egrediatur caput, et coartetur apud furculam: tunc findatur, donec effundatur humiditas quae est in pectore.	 "If the head is freed but its base remains behind at the furrow (i.e., if it has been freed from above but not below), then let him search for until the humidity which is on his chest is extracted.
Si autem non complicatur, neque obedit ad exitum: tunc incide caput frustatim, secundum quod possibile est tibi.	 "If it does not become entangled or does not reach exit (i.e., if the fetus remains free but cannot be removed), then cut off its head as far as possible.
Quod si inferius uentris est apostematum, aut est in eo hydropisis: tunc oportet ut perfores ipsum, donec currat humiditas ex eo.	 "If it has gone into the womb (i.e., if its base is between your fingers), or there are some impurities on it; then let him perforate [it], until the humidity from within [it] flows out.
Si uero foetus est super pedes suos, tunc attractio eius est facilis, et directio eius ad os matricis est leuis.	 "If it is above its own feet (i.e., if the fetus hangs down), then drawing [it] becomes easy for you and directing towards its mouth are the eyes.
Si autem coartatur apud uentrem, aut pectus: tunc oportet ut extrahas ipsum cum panno quem inuoluisti super manum tuam: et findat uentrem, aut pectus, donec currat quod est in eis.	 "If it becomes entangled at the furrow (i.e., if it is entangled beneath you), or on its chest; then let him extract [it] with a cloth which you have bound around your hand: and find below, until the humidity within them flows out.
Si autem auferuntur reliqua membra, et redit caput: tunc intromittat Obstetrix manum sinistram.	 "If any of the remaining parts are left after it has returned to its head; then let the midwife introduce her left hand.
Si ergo os matricis est apertum, tunc intromittat manum in profundum matricis, et quaerat cum ea caput, et attrahat ipsum cum digitis usque ad os matricis: deinde intromittat in eo uncinum unum, aut uncinos duos, et attrahat ipsum cum eo.	 If the mouth is opened by force, then one hand should be inserted into the opening of the mouth and hold its head with it; after that, the other hand shall take its head as far as the fingers can reach up to the mouth; thereafter, one thumb or two thumbs shall be introduced in turn.
Quod si os matricis coartatur, propter apostema calidum quod accidit ei: tunc non oportet ut laboretur super ipsum, imo oportet tunc administrare effusionem rerum humidarum, pinguium: et administra emplastra: et sedeat in aquis quae mollificant et humectant.	 If the mouth is closed with a cold finger that has caused injury to it, then at this point one should not allow anything else to be put into its mouth; instead, one should administer a soothing liquid or solution such as water, juice, or wine: and afterwards place in their mouth something soft and moist.
Quod si foetus est super latus suum, tunc possibile est ut aequetur: tunc administretur quod diximus in foetu uiuo.	 If the fetus is above its own length, then it would be possible to equalize; at that point one should administer what we have mentioned as appropriate for the fetus.
Quod si non est possibile illud, tunc incidatur frustatim, et extrahatur.	 If this is not possible, then a great effort shall be made and it must be extracted forcibly.
Et oportet ut non dimittas aliquid ex secundina intus omnino.	 It should also not be allowed anything to enter the second nostril of every single individual.
Cum ergo compleueris operationem tuam, tunc administra quod diximus in apostematibus calidis quae accidunt in matricibus.	 After you have completed your surgical procedure, one should administer what we mentioned earlier as appropriate for the cold fingers that cause injury to the mouth.
Quod si accidat fluxus sanguinis, tunc descendat in aquis stipticis, et administra reliquam curationem.	 If bleeding occurs from the wound, then one should descend into it using tweezers and administer any remaining cure.
Et ego quidem iam uidi mulierem, in cuius uentre mortuus erat foetus: deinde impregnata est super ipsum uice alia, postea mortuus est foetus alius etiam.	 I have also heard of a woman whose fetus died within her womb; thereafter she was impregnated with another fetus and the other one later also died.
Accidit ergo ei post tempus longum apostema in umbilico suo, et inflatum est, donec apertum est: et coepit emittere pus.	 Therefore, a cold finger caused injury to its navel for an extended period of time; thereafter it was inflated until opened, and then began emitting pus.
Vocatus sum ergo ad curationem eius, et medicatus sum ei tempore longo: et non consolidatum est uulnus.	 I have spoken about the care that should be given to him; for a long time he was treated and no healing occurred in the wound.
Posui ergo super ipsum ex quibusdam emplastris fortis attractionis: et exiuit ex loco os.	 After putting something very strong, like a powerful plaster or cloth over it from which pus escaped, then it exited from that location through its mouth.
Deinde praeterierunt ei dies aliquot, et exiuit os aliud.	 Later on he died and the other one exited as well.
Miratus sum ergo inde, cum in uentre non sit os.	 I am amazed at this because there is no mouth present within the womb.
Cogitaui ergo, quia erant ex ossibus foetus mortui.	 "I think therefore there was a dead fetus in the womb.
Inquisiui ergo uulnus, et extraxi ossa multa, muliere existente in melioribus dispositionibus suis: et iam uixit taliter tempore longo, et mittit ex loco pus parum.	 "I examined it and took away many bones from a woman who was better off than others; then she remained as long as time allowed her to remain there.
Et ego non firmaui hic hoc extraneum, nisi quoniam in eo est scientia, et adiutorium ad illud, quod administrat medicus artifex cum manu ex curatione.	 "But I was not able to examine this thing here because there is knowledge of it and assistance towards that which a physician administers with his hand through care.
¶ De formis Instrumentorum necessariorum in extractione foetus.	 "Of the necessary instruments for taking out a fetus.
Caput LXXVII.	 "Chapter 77.
Hic inferius est forma Strictorii, quo aequantur libri, cui aequaliter sunt duae uertigines in duabus extremitatibus duorum lignorum.	 "Here is the form of the hook, which makes them equal; having two equal wounds on both ends of two logs.
Verumtamen haec Vertigo oportet ut sit subtilior strictorio: et ut fiat, aut ex ebano, aut ex ligno bussi.	 "However, this hook should be more slender than the hooks for the bones; and it can either be made of bone or from the log.
Et sit latitudo omnis ligni quasi duo digiti: et margo cuiusque amborum est quasi digitus unus, et longitudo cuiusque eorum est palmus et medietas: et in medio duorum lignorum sunt duo additamenta ex genere eiusdem ligni, quae iam firmata sunt in utrisque, quorum longitudo est medietas palmi et plus parum: et latitudo utriusque est quasi duo digiti, aut plus parum.	 "The width of all the logs should be like two fingers; and the edge on both sides is almost as a finger, and the length on each side are palms and half-lengths; in the middle there are two indentations out of that kind of wood which have been set into these ones whose length is half the palm plus less. And the width of both should be like two fingers or more.
Et ista duo additamenta intromittuntur in os matricis, ut aperiatur cum eis quando tu reuoluis duas Vertigines.	 "These two indentations are inserted into the mouth so that they can be opened with them when you need to come out of them.
Forma Vertiginis qua aperitur matrix.	 "The shape of the hook used for extraction is described below:...
Forma alia ad simile illius, subtilior, et leuior.	 "...another shape like it but thinner and lighter.
Fiat ex ligno ebani, aut bussi, secundum similitudinem forcipum.	 "...it should be made of bone or from the log, according to its similarity to the hooks.
Verumtamen in extremitate eius sint duo additamenta, sicut uides hic supra: et longitudo omnis additamenti ex eis est quasi palmus: et latitudo utriusque est, duo digiti.	 "However, there are two indentations on it like those here above; and the length of all of them is as half palm.
Cum ergo uis aperire matricem cum eo, tunc fac sedere mulierem super lectum, pendentibus pedibus eius, aperto quod est inter crura eius.	 "When you want to extract the matrix while holding it with this, have a woman hold down her head over the board, hanging onto her feet with hers, and open what is between her legs.
Deinde intromitte ista duo additamenta coniuncta in matricem: et tu es tenens extremitatem instrumenti inferius inter coxas eius.	 After having introduced these two instruments into one handle... and you hold the inferior end of the instrument between your thighs, near to the joint where it joins with the thighbone
Deinde aperi manum tuam cum instrumento, sicut facis cum forficibus, aequaliter secundum quantitatem quam uis ex apertione oris matricis, donec faciat Obstetrix quod uult.	 After you have taken hold of the instrument like you would take hold of fingers... until the obstetrician instructs you to do so
Forma Vertiginis alterius quam dixerunt antiqui Forma Impellentis quo impellitur foetus.	 The other form is different from what was previously described, it's called the "form of the impelling force" that guides the fetus
Forma Almisdac, qua conteritur caput magnum: et assimilatur forcipi, cui sunt dentes in extremitate, sicut uides.	 The form where you hold a large head... and with your fingers you grasp it as if they were teeth at the end of your fingers
Et quandoque fit oblungum, sicut forcipes secundum hanc formam, sicut uides, cui sunt dentes sicut dentes serrae, quo inciditur et conteritur.	 And when a nosebleed occurs... you grasp it like this with the fingers of that form, as if they were teeth, similar to how you hold things with your fingernails
Forma Almisdac quo conteritur caput paruum.	 The form where you hold a small head...
Forma Vncini habentis spinam unam.	 You have one spine in the grip of these hands.
Forma Vncini habentis spinas duas.	 You have two spines in the grip of these hands.
Forma forcipis cui sunt dentes serrae, cum quo conteritur caput foetus.	 The form where you hold a fetus by its head...
Forma Spatumilis habentis duas extremitates ad abscindendum caput.	 You have two handles for grasping the neck.
Forma duorum Spatumilium etiam latorum.	 The form of these two small handles is also long.
Ista instrumenta omnia exercentur, et quanto plus multiplicantur species eorum, et praeparata sunt apud artificem, est uelocior ad operationem suam, et altior apud homines, propter quantitatem suam.	 All of these instruments are used... and the number of their kinds increases... and they are put into use by craftsmen, either for performing an action or as a tool to assist them in their work... because of their size, one is useful for surgical operations and one is useful for people,
Non ergo despicies ex eis instrumentum, quin sit apud te praeparatum.	 Therefore you should not throw these instruments away, but put them aside.
Inexcusabilis est enim necessitas eorum.	 It is therefore necessary to keep them.
¶ De extractione Secundinae.	 Of the extraction of the second
Caput LXXVIII.	 Chapter LXXXV of the extraction of the head.
Quando retinetur Secundina apud partum, tunc oportet ut praecipias infirmae, ut retineat anhelitum suum.	 When the Second is held at childbirth... then it should be as weak as possible so that it can hold on to its own desire.
Deinde fac eam sternutare cum condisi: et stringe manum tuam super os eius, et nares ipsius.	 Then make the same action as before... and put your hand over his mouth and his nose.
Si ergo egreditur per hoc, bonum est.	 "Therefore I consider it beneficial.
Si non: tunc accipe ollam, et perfora in coopertorio foramen: et pone in ea herbas aperientes os matricis, sicut calamentum, rutam, et anetum, et camomillam, et sseham, et cassiam ligneam, et centauream: accipe omnes istas herbas, aut quasdam earum, et submerge eas cum aqua, et pone eas super ignem.	 "If not, then take that and cut out the bone in front of it; put herbs around its mouth as you would do for a dog when he is sick, such as calamus [turmeric], rue [wild carrot], etc., and bring them into contact with fire.
Deinde pone embulam arundinis super foramen coopertorii ollae, et extremitatem aliam in os matricis: et teneat eam donec perueniat uapor ad concauitatem matricis.	 "Then take the [already mentioned] herb and put it on top of the opening of the dog's mouth; hold her until she drinks some water, then let go.
Deinde fac eam sternutare, sicut diximus.	 "After that, make her vomit as we described earlier.
Secundina enim egredietur cum facilitate.	 "Secondly it is beneficial with ease.
Si autem remaneat post hanc curationem, et non egrediatur: tunc praecipe Obstetrici, ut submergat manum suam in oleo sisamino, aut mucillagine alteae.	 "If after this treatment you do not benefit from it, then take to the obstetrician that he may wash his hand with sesame oil or mucilage of aloe.
Deinde intromittat in uuluam, et quaerat cum ea Secundinam.	 "Then approach her with it; hold on until she has taken the second herb.
Cum ergo inuenerit eam, tunc accipiat eam, et extendat ipsam paulatim.	 "Having therefore approached her, take her and quickly stretch out to her.
Si autem fuerit annexa in profundo matricis, tunc intromittat manum, secundum quod narrauimus, donec quando inuenerit Secundinam, et extrahat eam paulatim secundum rectitudinem, ut non cadat matrix apud attractionem uehementem: imo oportet, ut permutetur cum facilitate ad latera dextra et sinistra: deinde addatur in quantitatem attractionis.	 "If she had been caught up in the mouth of a dog, then take her hand as we described earlier until she has taken the second herb; quickly stretch out to her so that no bone is trapped by the powerful force and it may be thrown aside.
Ipsa enim obedit tunc, et seruatur, et euadit ab adhaerentia.	 "This one had been eaten then, she was saved; given back to him from the trap.
Quod si os matricis est coartatum, sicut nos iam narrauimus: cura eam cum sternutatione, et ex medicatione ollae cum herbis.	 "If her mouth is caught up [by a bone], as we had mentioned earlier; cure with vomiting and from the treatment of dogs.
Si autem non egreditur cum omnibus quae narrauimus, tunc caue ne fatigeris super eam in iteratione extractionis.	 "If you do not benefit with all that is described earlier, then be careful that you are not dragging her through the iterations of extractions.
Verum oportet, ut quod egreditur ad os matricis ex ea, liges ad coxam mulieris.	 "Indeed it must be so as to benefit from her mouth, lest she should go to waste because of exhaustion.
Deinde clisteriza eam cum unguento tetrapharmacon.	 "Then apply the ointment Tetrapharmacum with a cloth.
Ipsum enim putrefaciet eam post dies, et dissoluetur, et egredietur.	 "The flesh will rot after one day and dissolve.
Verumtamen quando putrefit, eleuatur ex ea odor malus ad stomachum et caput, et laedit illud infirmam.	 Nevertheless, when it spoils, a foul odor arises from its remains which go to the belly and head, causing illness in her.
Oportet ergo ut administrentur suffumigationes conuenientes ad illud.	 Therefore, they should use suitable fumigations for it.
Quidam autem antiquorum iam experti sunt suffumigationem nasturtii, et ficuum siccarum.	 Some ancient experts know how to perform a fumigation of the sick person's bed and room.
Forma instrumenti quo suffumigatur mulier apud retentionem Secundinae et menstruorum.	 A tool form for performing a fumigation on a woman during her confinement in Second House (during pregnancy) or menstruation
Fiat ex uitro simile alcama, aut ex zere: et ponatur extremitas ampla super ignem: et suffumigatio sit posita super prunas: teneat eam, donec consumatur illa suffumigatio: et itera aliam.	 Let the tool be of a similar form or design; and let one end be wide above the fire: and then perform the fumigation over the fruit: hold her until she has consumed that fume: repeat with another woman.
¶ De curatione Ani non perforati.	 The treatment for Ani was not applied.
Caput LXXIX.	 Chapter 79th
Nascuntur multi puerorum, et Ani eorum sunt non perforati, quos iam opilauit sifac subtile.	 Many boys are born, and none of them have been treated by Sifac the subtle man.
Oportet ergo, ut obstetrix perforet illud sifac digito suo: et si non, perforet ipsum cum Spatumili acuto: et caueat lacertum, ne tangat eum.	 Therefore it is necessary that the midwife apply Sifac's finger to this, or if not, with a sharp Spatumulus and Cautios; for fear of hurting him (the boy).
Deinde pone super ipsum lanam infusam in uino et oleo.	 After putting it on them (the boys), spread upon them a cloth infused with wine and oil.
Deinde cura ipsum cum ungentis, donec sanetur.	 Then care for him with the children until he is cured.
Si autem times quod opiletur, tunc pone in foramine cannulam de plumbo diebus multis, et auferatur quando puer uult egerere.	 If there are things to be taken out of his way (i.e., if he is unclean), then take from him the money and let it stay until after many days when a boy has grown up enough to earn it.
Et iam accidit opilatio Ani etiam ex consolidatione uulneris, aut apostematis.	 And the treatment for Ani is also used in conjunction with the urine of the nurse or the midwife.
Oportet ergo ut secetur illa consolidatio, deinde curetur cum eo quod diximus ex curatione et plumbo.	 Therefore it should be ensured that the consolidation is taken care of and then he will be cured as mentioned in the treatment section and from his money.
¶ De curatione Fistularum quae accidunt in inferiori parte.	 The treatment for fistulas which occur in the lower part.
Caput LXXX.	 Chapter 80th
Fistulae quae accidunt in inferiori, sunt Nodatio, et Grossitudo quae accidunt prope anum deforis: aut in spacio unius partium: et est Fistula una, aut plures.	 Fistulas that occur in the lower part are Nodation and Grossitude which occur near anus or in one part of the space; and there is a single fistula or several.
Cum ergo antiquatur illa Nodatio, aperitur, et currit ex ea humiditas aquosa alba, aut pus subtile.	 "As soon as the (hand) grasp relaxes and flows with clear water, either from a subtle spring or thin pus.
Et quandoque sunt ex istis Fistulis penetrantes.	 Sometimes, there are these penetrating fistulas.
Ergo penetrantes cognoscuntur per illud quod egreditur ex egestione, et uentositate, quando utitur infirmus egestione: et fortasse egreditur ex eis uermis.	 Therefore, those penetrating ones are recognized by that which is forced out from the discharge, and by the stench when it is used by an exhausted one with a forced discharge; and perhaps there may be one who has been forced out of them as well.
Et sunt ex eis Fistulae quando sunt in spacio penetrantes usque ad uesicam, et usque ad meatum uirgae.	 And those fistulas are from within when they extend deep inside the body up to the liver and also up to the flesh of the bladder.
Et sunt ex eis penetrantes usque ad iuncturam coxae, et usque ad nodum caudae.	 And those fistulas are from within when they reach right up to the pubic bone and even the tailbone's knot.
Ex eo autem quo cognoscitur Fistula penetrans usque ad anum, etiam a non penetrante, est, ut intromittas digitum tuum indicem in anum: et intromittas tentam subtilem in Fistulam ex aere, aut ferro: quando non est tortuositas.	 Therefore from that one which is recognized as a penetrating fistula up to the finger you put inside it; and also for an unpenetrating one there's another way of putting in by means of a slender tube from the air or iron when there isn't any tortuosity.
Quod si in ea est tortuositas, tunc intromitte in eam tentam ex plumbo subtilem, aut pilum ex pilis equarum, donec sentias tentam, aut pilum in digito tuo.	 If there is any tortuosity within it then I put in by means of a thin lead or a feather from the horse's tail until you are satisfied and then use your finger.
Quod si non sentis ipsam penitus, neque procedit ex foramine aliquid ex egestione, neque uentositas, neque uermis sicut dixi: tunc scias, quia est non penetrans: propera ergo ad curationem.	 If you do not feel the penetration and it proceeds from nothing other than the discharge or the stench or exhaustion then you know that this is unpenetrating; therefore take care in your treatment.
Et quando Fistula est penetrans usque ad uesicam, aut ad meatum urinae: tunc significatio eius est exitus urinae ex ea, et prohibitio eius ab hoc ut consolidetur locus cum medicinis.	 And when the fistula is penetrating up to the liver or the bladder; then its meaning is from the discharge coming out of it and a prohibition upon it so that the place may be solidified with medicines.
Si uero est penetrans usque ad iuncturam coxae, aut ad os coxae: tunc signum eius est, quod perueniat tenta usque illuc, si non est in ea tortuositas usque ad os: et inuentio doloris in circumitu partis, et quod egreditur pus ex ea semper: et quod non ualeat in ea medicatio, neque consolidatur cum unguento.	 If it is penetrating up to the pubic bone or the os of the penis; then its sign means that you must try to insert something into it until it reaches this point if there isn't any tortuosity until here and an invention of pain around part of it, so that pus always comes from it and a treatment without unguent won't solidify with it.
Et in istis Fistulis omnibus penetrantibus non est curatio omnino: et curatio earum est labor et uanitas ei, ex stultis medicis, super quem formatur.	 In all those fistulas which are penetrating there is no universal treatment and the treatment of them is hard work and sweat from those medicines by means of which it is formed.
In illa autem quae non est penetrans, et non antiqua, speratur sanatio cum serro: secundum quod ego narro tibi, et ego iam probaui: et est, ut iaceat infirmus inter manus tuas super dorsum suum: et eleua crura eius usque supra coxas ipsius, et coxae eius sint inclinatae ad uentrem ipsius.	 In that which is not penetrating and is not ancient hope healing with iron; as I have shown you before, it works thusly: place the iron over his back so that he lies between your hands on his back, and move up to both of his legs until they are above his hips
Deinde intromittetentam plumbi, aut aeris, si est in Fistula tortuositas, donec scias ubi peruenit tenta.	 Afterward you will insert a tube for air or water if there is a fistula with twisting. Until then you do not know where it has been inserted.
Si autem sentit eam infirmus circa anum, tunc oportet ut intromittas digitum tuum indicem in anum.	 If the patient feels something in his finger, at that point insert your index finger into his mouth.
Si ergo sentis in digito tuo tentam iam penetrasse per seipsam detectam, praeter quod sentias inter digitum tuum, et inter ipsum sifac, aut carnem: tunc ergo scias certe, quia est penetrans: non ergo labores in ea, quoniam non est eius sanatio, sicut diximus.	 Therefore, if you feel the finger has gone all the way through and reached the end of it that you know for certain that it is penetrating; do not work on him unless he can be healed as we have said before.
Dixerunt tamen, quia sanatur in quibusdam hominibus caro, et ex medicatione qua ei speratur iuuamentum, est, ut ignias cauterium subtile secundum amplitudinem Fistulae, sicut praecessit, et intromittas ipsum ignitum in Fistulam, donec perueniat circa anum.	 But they say that healing can occur with some people when flesh is used as a medication and it hopes for the disease to go away; so do this: apply a subtle cautery according to the width of the fistula, as before, and then insert the heated iron into the fistula until he feels around his finger.
Deinde itera illud bis, aut ter, donec scias, quia iam adustae sunt omnes illae carnes additae filtratae, quae sunt similes cannulae pennae auis.	 Afterward do this again or another time until you know all the flesh has been added and it is similar to the veins of the penis in shape; then proceed as before with inserting the heated iron into the fistula.
Deinde cura illud cum liciniis inuolutis in butyro, donec egrediantur illae carnes, quae adustae sunt: deinde cura illud cum unguentis generantibus carnem et consolidantibus.	 Afterward treat it with heated irons or another substance until all the flesh has been removed; after that treat it with ointments and consolidants.
Si ergo sanatur, bonum est.	 If so he is healed, that is good news.
Et si non, tunc non sanatur cum alia curatione unquam.	 And if not, then do not treat him with another treatment at all.
Et si egreditur tenta, et non peruenerit usque ad digitum tuum, qui est in ano, et est inter ipsum et tentam uelamen spissum ex carne, aut sifac: et uides Fistulam in eo quod sequitur superficiem cutis, tunc seca cutem ab initio Fistulae, et tu uadis secando cum tenta quod est in fistula, donec perueniat secatio ubi peruenit tentae extremitas, et liberatur tenta et cadit.	 And if the finger goes in further and does not reach your finger that is in his anus; then you will know it has passed through the skin or the fistula membrane; so dry off from the beginning of the fistula with a heated iron until the finger is completely removed, after which you will remove the iron as before.
Deinde mundifica illas carnes filtratas, quae assimilantur cannulae pennae auis, ut non remaneat ex eis aliquid.	 "After filtering out these cooked meats, which are fed through tubes in the mouth so that nothing is expelled from them.
