Praefatio.	Praefatio.
Quorum unus est, ut sit illud in scientia medici quando interrogatur de ea: et ut sciat curationem eius cui accidit.	Of which one is, that it may be in the knowledge of the physician when he is questioned about it: and so that he may know how to cure him who has had it happen to him.
Et modus alter est, quod nos multotiens indigemus castratione quorundam animalium, propter iuuamenta nostra per illud, sicut arietum, hyrcorum, et gattorum, et similium ex animalibus.	And the other mode is that we often lack castration of certain animals for our own benefit through it, such as goats, horses, and cats, and similar from animals.
Dico ergo, quod Castratio fit secundum duos modos.	I say then, that castration is done according to two ways.
Aut per attritionem.	Or by friction.
Aut per fissuram, et sectionem.	Or by a slits and sections.
In illa autem quae fit per attritionem, uia operationis est: quod nos faciamus sedere animal in aqua calida, donec mollificentur testiculi eius, et leniantur, et pendeant: deinde attere eos manu tua, donec resoluantur et non appareant sub tactu.	In that which is done by friction the course of operation is this: that we make the animal sit in warm water until his testicles become soft and loosen and hang down: then we strike them with our hand until they are completely broken and do not appear under the touch.
In castratione autem per fissuram et sectionem, oportet ut teneas animal, et premas cutem testiculorum eius cum manu sinistra.	In castration however by a slit and sections, you must hold the animal, and press the skin of his testicles with your left hand.
Deinde liga suspensorium, et seca super omne ouum sectione una, donec quando procedunt duo oua: tunc incide ea postquam excoriaueris utrumque, et non dimittas super ea ex sifaket aliquid praeter sifac subtile, quod est super uasa.	Then tie the suspenders and dry completely on all one section, until when the two balls come out: then open them after you have dried them both, and do not let slip anything except the thin skin, which is over the scrotum.
Et iste modus castrationis est melior eo qui fit per attritonem: quoniam attritio fortasse relinquit aliquid ex testiculis, quare desiderat animal coitum.	And this mode of castration is better than that which is done by friction: for friction may leave some of the testicles behind, so that the animal desires to have sex.
Deinde cura uulnus, donec sanetur.	Heal then the fracture until it heals.
¶ De cura Hermafroditae duorum modorum.	The treatment for hermaphroditism has two methods.
Caput LXX.	Chapter LXX.
Hermafrodita ex uiris est secundum duos modos.	(Hermaphrodite is from a single testicle according to two modes.)
Vnus eorum est, quia apparet in eo quod sequitur spacium, aut in cute testiculorum, in eo quod est inter duos testiculos, figura quasi uulua mulieris, in qua sunt pili: et quandoque currit urina ex eo quod est in cute testiculorum.	(The male is from one testicle because it seems to follow a gap, or on the skin of the testes, between the two testes, in the form of a small woman, with hair: and sometimes urine flows from it from the skin of the testes.)
In mulieribus autem est species una, et est uulua mulieris super pectinem sicut testiculi uiri parui omnino, eminentes ad exteriora: quorum unus est sicut priapus uiri, et duo sicut duo testiculi.	(But in women there is one form, and it is a small woman over the skin of the breast like a small testicle of the penis completely, prominent to the outside: of which one is like a penis of a man, and two like two testes.)
Et curatio trium specierum, duarum ex uiris, et speciei unius ex mulieribus, est: quia oportet ut incidas carnes additas, donec effugiat impressio earum.	(And the treatment of three forms, two of a male and one of a female, is this: because you must burn away the added flesh, until you remove the impression of them.)
Deinde cura eas curatione reliquorum uulnerum.	Then heal these wounds with care.
In specie autem secunda uirorum, ex qua egreditur urina, quae est in cute testiculorum, non est operatio, neque est eius curatio omnino.	(As for the second form of men, from which urine flows on the skin of the testes, there is no operation or cure at all.)
¶ De incisione Tentiginis, et carnis eminentis in uuluis mulierum.	On the cutting of tenting and prominent flesh in women's genitals:
Caput LXXI.	Chapter LXXI.
Tentigo fortasse additur super rem naturalem, donec foedatur et turpis fit aspectus eius: et quandoque magnificatur in quibusdam mulieribus adeo, donec expanditur sicut in uiris, et peruenit usque ad coitum.	(The tenting should perhaps be added to the natural part until it is well fed and ugly in appearance; and sometimes becomes enlarged in certain women so much that it resembles a penis, and reaches up to the bed.)
Oportet ergo ut teneas superfluitatem Tentiginis manu, aut cum uncino, et incidas: et non ultimes in incisione, praecipue in profundo radicis: ut non accidat fluxus sanguinis.	(So you should hold back the excess of the tenting by hand, or with a hook, and cut it down; and not finally in the cutting, especially in the deep root: lest there be an outflow of blood.)
Deinde cura ipsam curatione uulnerum, donec sanetur.	Then heal this wound with care until it heals.
Caro autem orta, est caro quae nascitur in orificio matricis, donec impleat ipsum: et fortasse egreditur ad exteriora secundum similitudinem caudae: et propter illud quidam primi nominant aegritudinem caudatam.	(But the central flesh is that which is born in the womb of the mother until it fills itself up: and perhaps comes out to the outside according to the similarity of a tail: and for this reason certain call it sickly tail.)
Oportet ergo ut incidamus eam sicut incidimus Tentiginem, et curemus eam, donec sanetur.	It is necessary that we cut into it as we did with Tentigine, and treat it until it heals.
¶ De cura Alratica, quae est uulua mulieris non perforata.	On the treatment of a torn and unperforated hernia in a woman.
Caput LXXII.	Chapter LVII. On the treatment of a torn and unperforated h
Alratica est, ut sit uulua mulieris non perforata, aut sit foramen paruum.	Hernia Alratica is either in a woman or a small hole.
Et est aut naturalis, aut accidentalis.	and it may be either natural or accidental.
Accidentalis est ex aegritudine quae praecessit: et ipsa quidem fit aut ex carne nata addita, aut sifach subtili, aut spisso: et fit aut in profundo matricis, aut in lateribus eius, aut in superiore ipsius, aut inferiori eius: et prohibet a coitu et impregnatione, et partu, et fortasse prohibet menstrua.	Accidental is due to an earlier illness and may itself be either of native growth added, or a small thread-like substance, or a lump: it may be in the depths of the lake, or in its sides, or in its upper part, or in its lower part; and it prohibits coitus and fertilization, and childbirth, and perhaps menstruation.
Et cognitio illius fit per aspectum obstetricis, si opilatio est apparens propinqua.	And the knowledge of this is obtained by the examination of midwives, if the swelling is apparent and near.
Si autem non est apparens, tunc quaere eam digitis tuis, aut cum radio.	If it is not apparent, then seek it with your fingers or a ray of light.
Si autem opilatio est ex sifach subtili, et est propinqua duobus labiis: tunc propera, et disrumpe ipsam.	If the swelling is caused by a small thread-like substance and is near to the two lips: then bring them together, and unravel it.
Et est, ut ponas super duo labia puluillos.	And it is, as if you place two lips on a pair of woolen balls.
Deinde pone indices tuos duarum manuum simul, et mulier sit super dorsum suum expansis cruribus suis.	Then put your fingers from both hands together, and let the woman lie on her back with her legs spread wide.
Deinde extende duo labia cum fortitudine, donec disrumpatur sifach subtile, et aperiatur opilatio.	Then open the two lips firmly, until the small thread-like substance is unravelled and the swelling opens.
Deinde accipe lanam, et imbibe eam in oleo, et pone ipsam super locum: et coeat mulier omni die, ut non consolidetur locus uice alia.	Then take a piece of wool, dip it in oil, and place it on the spot; and let the woman sit for all day so that the spot does not harden by other force.
Si autem sifach est grossum, spissum: tunc oportet ut seces ipsum cum spatumili lato simili folio myrti.	If the thread-like substance is thick and dense: then it is necessary to separate it with a flat leaf of myrtle similar to a spatulum.
Si autem opilatio est ex carne nata, tunc suspende eam cum uncinis, et incide eam: et sint tecum medicinae quae fluxum sedant sanguinis absque mordicatione, sicut acacia, et sanguis draconis, et thus aggregatum cum albugine oui.	If the swelling is of native growth, then suspend it with a hook and cut it: and let there be with you medicines that will stop the flow of blood without biting, such as acacia and dragon's blood, and such aggregate with alum and chalk.
Deinde administra cannulam ex plumbo amplam, ut non consolidetur uulnus uelociter, teneat eam diebus aliquot: et administra licinium ex lino sicco, deinde curetur reliqua curatione, donec sanetur.	Then administer a large pipe from lead, so that the ulcer does not heal quickly, hold it for a few days: and administer lymph from dry linen, then cure the rest with the remaining cure, until it is healed.
Et quandoque nasciur in matrice natiuitas carnium aliarum: oportet ergo ut incidantur secundum hunc modum: dum non est apostema cancerosum apostemati enim canceroso quod est in matrice, non fiat contrarietas cum ferro omnino.	And when ever a birth takes place in the womb of the mother there are births of other creatures; therefore they should take place according to this method: so that there is no contrario between iron and cancerous tumor, for cancer is not born in the womb with an opposite relationship to iron at all.
¶ De cura hemorroidarum, Athehelil, et Bothor rubeae in uuluis mulierum.	On the treatment of hemorrhoids, Athelyl and Bochor's red rash on the genitals of women.
Caput LXXIII.	Chapter LIII.
Hemorroides quidem sunt apertio orificiorum uenarum, donec currit ex eis sanguis multus assidue.	The hemorrhoids are an opening of the anal orifices, from which much blood runs frequently.
Cum ergo antiquantur hemorroides, fiunt thelil: et iam dixi in diuisione species earum, et signa ipsarum: et dicam hic quae ex eis recipiunt curationem, et quae non.	Now when the hemorrhoids have been long, they become thorns; and I have already, in the division of their species and the signs thereof, said here that which receives the cure, and that which does not.
Dico ergo, quod hemorroides quae sunt in orificio matricis, et non apparent sensui: tunc non est ei curatio cum ferro.	I say, therefore, that the hemorrhoids which are in the opening of the womb, and do not appear to be sensible: then there is no cure for them with iron.
Quae autem ex eis sunt in orificio matricis super quas cadit sensus, sunt quae curantur.	But those which are out of the womb, above which there is a sense, are those which are cured.
Oportet ergo ut intromittas mulierem in domum frigidam.	It is necessary that you should put the woman into a cold house.
Deinde extende athehelil cum forficibus, aut cum panno aspero, et incide eas ex radicibus suis.	Then extend Athelyl with forceps or with a rough cloth, and cut them from their roots.
Deinde pulueriza super eas apud fluxum sanguinis ex uno puluerum incisiuorum absque mordificatione: sicut acacia, et sanguis draconis, et thus, et similia eis.	Then dust them over with a powder at the flow of blood from one that has been cut without mortifying it: as acacia and dragon's blood, and thistle, and such like to it.
Deinde impellat pedes eius ad parietem hora una.	Then push her feet against the wall for an hour.
Postea depone eam in aquam frigidam.	Then put her into cold water.
Quod si perseuerat fluxus sanguinis: tunc fac eam sedere in decoctione sumach, et corticum granatorum, et gallarum, et similium.	If the flow of blood persists: then make her sit in a decoction of sumach, and cutlar root, and gall, and such like.
Deinde accipe farinam hordei, et confice eam cum melle et aceto, et fac emplastrum cum eo super dorsum eius.	Then take flour of barley, and make it into a paste with honey and vinegar, and make a ointment with it for her back.
Si ergo abscinditur sanguis cum eo, bonum est: et si non, fac adhaerere dorso uentosas, et mammillis, absque scarificatione.	If then blood is cut with it, it is good; and if not, let the back wound heal with a furrow and without scarification.
Deinde accipe lanam, et submerge in succo tarathit, aut succo arnoglossae, aut succo ramorum alaulat, id est, aglanter, uino pontico, et fac adhaerere loeo.	Then take a cloth and soak it in taraxacum juice, or arnica juice, or oak sap juice, that is, without taste, with Pontic wine, and let the back wound heal.
Cum ergo quiescit apostema, tunc cura locum cum unguentis, donec sanetur.	When then the apotheosis has subsided, then take care of the place with ointment, until it is healed.
Albarth uero rubeum est simile capitibus alhaasse, et est asperi aspectus.	Albarth is actually similar to red caps and is rough in appearance.
Oportet ergo ut incidas quod apparet ex eo, secundum quod dixi in thelil aequaliter: et cura ipsum, donec sanetur.	Therefore let it be known what appears from it, according to which I said in the litil equal: and take care of it, until it is healed.
¶ De perforatione Exiturae quae accidit in matrice.	Regarding the exit that happens in the womb.
Caput LXXIIII.	Head 74.
Accidunt in matrice species multae apostematum, sicut cancer, et apostema lapideum, et ulcera, et adubelati, et alekilati, id est, herpes, aestiomemus, et fistulae, et hemorroides, et ragadiae, et thelil, et apostema calidum.	In the womb there are many kinds of apotheosis, such as cancer, and a hard apotheosis, and sores, and blisters, and scabs, and worms, and warts, and roughness, and hot apotheosis.
Et ego quidem iam dixi omnes has aegritudines et species earum, et signa ipsarum, et earum curationes in diuisione: necesse est ut dicam in hoc tractatu apostema calidum quod accidit in matrice, quando est ex apostematibus quae colligunt saniem, et uis scire qualiter fit eius apertio cum ferro.	And I have already said all these diseases and their kinds, and their signs, and their cures, in a division: it is necessary for me to say in this book about hot apotheosis which happens in the womb, when it is from apotheosis that collect blood, and to know how its opening takes place with iron.
Oportet ergo ut consideres.	Therefore let it be known.
Tunc si dolor apostematis in incaeptione sua est acutus cum percussione sua, et flamma, et febre: et uides ipsum rubere: si cadit super ipsum sensus, tunc non properes cum perforatione eius: et cura ipsum cum eo eo quod iuuat super maturationem, donec quando quiescat acuitas accidentium.	Then if the pain of apotheosis in its beginning is acute with its percussion, and flame, and fever: and you see it red: if it falls on top of itself, then do not like the opening of it: and take care of it with him so that he may please on maturation, until when it has subsided acuity of accidents.
Tunc oportet ut facias sedere mulierem super sedem quae labeat duo sedilia, et reclinetur, uel appodietur super dorsum suum, et aggreget pedes suos ad partem inferiorem uentris: et sint coxae eius expansae, et ponat brachia sua sub genibus suis, et liget utraque ligamento conueniente ad illud.	Then let the woman sit on a seat that she may touch two chairs, and lean back, or lie down on her back, and put her feet towards the lower side of her body: and let her legs be spread out, and let her arms rest under her knees, and let her bind each leg with a binding that suits it.
Deinde sedeat obstetrix a latere dextro, et administra instrumentum quo aperitur orificium matricis.	Then let the midwife sit to the right rear, and let her administer the instrument with which she opens the womb's orifice.
Cuius forma uenit in eis quae sunt post.	Whose form came to those who are behind.
Et oportet quando uis administrare hoc instrumentum, ut figas cum Radio profundum matricis mulieris: ut non sit illud quod ingreditur ex instrumento plus, quam profundum matricis, et laedat infirmam.	And it is necessary when you administer this instrument that you hold it with the arm's depth towards the woman's womb, so that the thing that enters from the instrument does not enter more than the depth of the womb and hurts the weak one.
Si autem fuerit instrumentum magis quam profundum, tunc oportet ut ponas puluillos super tecturam profundi matricis: ut prohibeatur introitus instrumenti totius in profundum matricis: et oportet ut ponat uertiginem, quae currit in instrumento, ex latere superiore: et ut teneat instrumentum, et ut reuoluat minister uertiginem, donec aperiatur profundum matricis.	But if the instrument is more than the depth then it is necessary that you put the pulley on top of the depth of the womb so that the introduction of the instrument into all of the womb is prevented; and it is necessary that you hold the instrument, and turn back the pulley, which runs in the instrument, from the upper side: and that he holds the instrument, and turns back the pulley, until the womb'
Cum ergo apparet Exitura, et tangitur manu, et est lenis et mollis: tunc oportet ut seces ipsam apud caput suum cum spatumili lato.	So when it appears that it is coming out, and touches the hand, and is soft and smooth: then you must separate it from its head with a smooth edge.
Cum ergo euacuatur sanies, tunc oportet ut ponas in uulnus licinium submersum in oleo rosaceo: aut oleo uiridi, in quo sit quaedam stipticitas: et pone licinium, et extrahe sectionem in profundo matricis.	So when the pus is drained then you must put the licinus, which has been dipped in rose oil', in the oil of violet", and put the licinus, and take out a piece from the depth of the womb.
Et pone exterius super matricem, et super pectinem lanam mundam submersam in aqua, in qua bullitae sunt maluae.	And put the outside on top of the womb, and on the woollen cloth, which has been dipped in water, in which the salt has been boiled.
Deinde curetur post duos dies cum unguento quod conuenit ad illud, donec sanetur.	Then he will take care after two days with the ointment that suits it, until it heals up.
Et quandoque abluitur matrix et uulnus, ita quod clisterizatur cum aqua et melle: deinde cum aqua in qua bullita est radix lilii, aut aristolochia longa: deinde redeat ad unguentum.	And when the womb is washed and the scar is so that it can be cleansed with water and honey: then he will return to the ointment.
Quod si uulnus absconditum fuerit interius in matrice, tunc oportet ut prohibearis ex curatione eius cum ferro, imo cura ipsum cum eo quod diximus in diuisione.	Which if the scar is hidden inside the womb then it is necessary to prevent its cure with fire, indeed take care of itself with what we have said in division.
¶ Doctrinae Obstetricum, qualiter medicentur embriones uiui, secundum figuram non naturalem egressi.	Doctrines of obstetrics, how they treat the fetus of a woman, according to the form that is not natural for the exit.
Caput Lxxu.	Head 76.
Necesse est Obstetrici, ut cognoscat in primis figuram partus naturalis.	It is necessary for the obstetrician to recognize the natural puerperal form at first.
Ex signis ergo eius est, quod quando uides mulierem comprimi ad inferiora, et desiderat odorare aerem, et alleuiatur super eam quod super ipsam est de partu, et festinat exitus embrionis: tunc scias quod iste partus est secundum figuram naturalem, et est exitus eius super caput suum, et secundina cum eo: aut suspensa, uel pendens ex umbilico.	From the signs then, it is that when you see a woman compressing herself from below and wanting to smell the air and relieve herself because she feels the baby's exit on her, then you know that this birth is in the natural form, and its exit is above her head and with it the second, or suspended from the navel.
Cum ergo uides haec signa, tunc oportet ut comprimatur uenter eius, ut descendat embrio uelociter.	When then you see these signs, so it is necessary for the womb to compress, that the baby may descend quickly.
Nam quando descendit super caput suum, descendit secundina cum eo, et mundatur ex illis superfluitatibus mundificatione bona.	For when he has descended above his head, the second has descended with him, and it is cleansed from it with good purgations.
Qui autem est praeter hunc partum, est innaturalis, illaudabilis.	But if this birth is not like that, it is unnatural, unworthy of praise.
Quoniam quandoque egreditur foetus super pedes suos, et egreditur corpus eius ante caput ipsius, et pedes eius, et manus eius una, aut pes eius unus: aut egreditur caput eius et manus eius: aut egreditur uentrinus: et fortasse conuertitur super collum suum, et similia ex figuris illaudabilibus.	For when the baby has come out of his feet, and the body has come out in front of his head, and his feet and hands are one, or his foot or hand is: or when his head and hands have come out: or when the womb has come out: and perhaps it turns over on its neck, and similar signs that cannot be praised.
Necesse est ergo Obstetrici, ut sit prudens, subtilis in istis rebus omnibus, et caueat sibi ab errore et decaeptione: et ego sum ostendens omnem figuram ex eis, et qualiter est ingenium in ea, et significetur per illud, et stetur super ipsum.	It is therefore necessary for the obstetrician to be prudent and cautious in all these matters, and to beware of error and deception: and I show you all the figures from them, and how the mind works in it, and signals it through it, and calls out on it.
Quando egreditur foetus super caput suum egressione sua naturali, et uehemens fit illud super mulierem, et difficilis fit ei partus, et uides uirtutem eius iam debilitatam: tunc fac eam sedere super sedem, aut mulieres teneant eam: et uapora uuluam eius cum foenugraeco decocto, et cum oleis humidis.	When the baby has come out of his head with his natural exit, and he becomes heavy on the woman, and her birth is difficult, and you see her strength failing already: then make her sit down on a chair, or let women support her: and sprinkle her with fenugreek tea, and with wet oils.
Deinde intromittat Obstetrix inter digitos suos Spatumile paruum, et findat cum eo secundinam, et secet eam ungue suo, donec currat quod est in ea ex humiditate: et preme uentrem mulieris, donec descendat foetus.	Then the obstetrician will introduce his finger between her fingers a small spittle, and find with him the second, and dry it up with his nail until it is clean, and press the woman's womb, until the baby has come out.
Si autem non descendit, tunc oportet ut clisterizetur mulier ex mucillagine foenugraeci, cum oleo sisamino.	If it has not come down, then a woman should be made to spit out the foamgrape mucus with sesame oil.
Deinde praecipe ei post clistere, ut comprimatur: et fac eam sternutare cum condisi, et tene os eius et nasum ipsius hora una.	Then order her to compress herself after the enema, and have her sneeze with a condescending tone, and hold her nose and mouth for an hour.
Foetus enim egredietur statim.	For fear that the fetus will come out at once.
Quod si egrediantur duae manus foetus in primis, iunc oportet ut reducas eas cum facilitate paulatim.	What if two hands of the fetus come out first, then it is necessary that you reduce them with ease gradually.
Si autem non obedit in introitu, tunc pone mulierem super sedem, et eleua pedes eius sursum: deinde concute sedem super terram: et mulier teneatur, ut non cadat apud concussionem.	If she does not obey when led into, then place the woman on a chair, and raise her feet up: then push the chair down on the ground: and let the woman hold on, so that she does not fall by the jolt.
Si ergo non egrediuntur manus, et moritur foetus: tunc incide eas, et extrahe residuum foetus: et liga manum eius cum panno, et extrahe ipsum cum aequalitate: nam ipse egredietur.	If then the hands do not come out, and the fetus dies: then cut them open, and remove the residue of the fetus: and bind her hand with a cloth, and remove it with equality: for he will come out.
¶ Exitus embrionis super pedes suo.	Exit of the embryo on his own feet.
Quando egreditur foetus super pedes suos, tunc oportet ut impellat eos sursum: deinde conuertat foetum paulatim: postea aequet ipsum.	When the fetus comes out on his own feet, then it is necessary that you push him up: and gradually turn the fetus over: and then make him even.
Deinde accipiat unum pedum eius, et extendat eum paulatim.	Then take one of her feet, and stretch it out gradually.
Cum ergo egrediuntur usque ad coxas, tunc praecipe ei, ut comprimatur, et fac eam sternutare cum condisi: egredietur enim, si Deus uoluerit.	For when they have come out as far as the hips, then order her to compress herself, and have her sneeze with a condescending tone: for one will come out if God wills it.
Et si non egreditur cum eo quod narrauimus, tunc reduc foetum paulatim, donec ponas eum secundum figuram naturalem.	And if he does not come out with what we have described, then gradually reduce the fetus, until you put him back in his natural shape.
Nam ipse egredietur tunc egressu facili.	For he will come out then by an easy exit.
Quod si prohibeatur cum eo toto quod narrauimus: tunc accipe ex mucillagine alteae, et oleo sisamino, et gummi soluto: et percute totum in mortario percussione bona: deinde line cum eo uuluam mulieris, et inferius uentris eius.	What if you stop completely all that we have described: then take from the foamgrape, with sesame oil and a dissolved gum: and strike it all in a mortar with a good hammer: then let a woman's ulna hit it from below, and her feet.
Deinde fac eam sedere in aqua tepida, donec consequatur hypocundria.	Then I make him sit in tepid water until the hypochondriac becomes visible.
Cum ergo uides quod iam calefacta sunt inferiora eius, tunc fac ei sief de myrrha: et suppone ipsum.	When you see that his lower parts have already become warm, then make him sit on Myrrh and support him.
Quando ergo tenet sief hora una, tunc fac eam sedere super sedem.	When he has held the seat for an hour, then I make her sit on a chair.
Deinde fac eam sternutare: et stringe ipsius os et nasum: et preme inferiorem partem uentris compressione facili.	Then I make him sneeze: and tightening his mouth and nose, I press the lower part of his leg with a gentle compression.
Nam foeus egredietur statim.	For the heat will soon come out.
¶ Exitus foetus super genua et manus.	Exit the fetus over the knees and hands.
Quando egreditur secundum hanc formam, tunc ingeniet in intromittendo manus suas paulatim.	When it comes out in this form, then she will come by slowly inserting her hands.
Deinde resupinetur mulier super collum suum, et pendeant pedes eius ad inferiora: et ipsa sit iacens super lectum, et complicet manus suas.	Then the woman should lie on her back and hang her feet down to the ground: and she herself should lie on a bed and interlace her hands.
Deinde preme supra uentrem eius paulatim.	Then I press upon her belly little by little.
Deinde extrahe quod est sub pedibus eius ex puluinaribus, donec sit praeparata in inferiori parte.	Then I pull out what is under her feet from the armpits until it is prepared in the lower part.
Quod si non egreditur foetus, tunc accipe pedes eius, et moue eos motu uehementi.	If the fetus does not come out, then take her feet and move them violently.
Deinde preme quod est supra hypocundria paulatim, donec ascendat foetus ad superiora.	Then I press what is above the hypochondria little by little until the fetus rises to the upper parts.
Deinde intromittat manus suas, et aequet foetum paulatim: et praecipe mulieri, ut comprimatur, donec egrediatur foetus.	Then he should interlace his hands and smooth the fetus little by little: and he should order the woman to compress, until the fetus comes out.
¶ Exitus foetus latitudinaliter pendens ex manibus.	Exit the fetus hanging from the arms.
Ingenietur in reductione manus eius.	He should be prevented from reducing his hands.
Si autem non potest reducere eam, tunc eleua mulierem, et fac eam ambulare.	If he cannot reduce it, then the woman should be rubbed and made to walk.
Si uero ambulare non potest, tunc fac eam iacere super lectum: et concute crura eius concussione uehementi.	But if walking is not possible, then make her lie on a bed: and shake her legs violently.
Deinde administra linimentum quod praeparasti ex mucillaginibus.	Then administer the ointment which you have prepared from mucilaginous substances.
Quod si accipit eam partus, tunc fac eam sedere super sedem.	If she accepts the birth, then make her sit on a chair.
Deinde stude in reductione manus, et aequa foetum secundum figuram naturalem: et fac sternutare mulierem, et praecipe ei, ut comprimat se, donec egrediatur.	Then study the reduction of her hands and the fetus in a natural position: and make the woman sneeze, and order her to compress herself, until she comes out.
¶ Exitus foetus super collum suum, expansis manibus, et est facies eius ad dorsum matris suae.	The baby's head comes out above its shoulder, with its hands spread wide, and its face turned towards the back of its mother's body.
Oportet ut teneat Obstetrix manum foetus, deinde reuoluat eum paulatim, et aequet eum cum facilitate.	It is necessary that the obstetrician hold the baby's hand, then turn it gradually and easily.
Cum ergo aequatur, tunc pone super uuluam eius quod narrauimus ex oleo et mucillaginibus.	But when it has become calm, then place it on its back that we spoke of with oil and mucus.
Deinde praecipe ei, ut moueatur paulatim.	Then order him to move his arms slowly.
Cum ergo feceris illud, tunc fac eam sedere super sedem, et praecipe ei ut inclinetur ad latus dextrum.	But when you have done this, then make her sit down on a seat, and order her to lean against the right side.
Deinde praecipe ei, ut comprimatur: et fac eam sternutare cum condisi.	Then order him to compress himself: and make him sneeze with a handkerchief.
¶ Exitus foetus praeparati super latus.	The prepared baby is on the side.
Quando descendit ad orificium matricis secundum hunc modum cum secundina, tunc scinde secundinam cum ungue tuo, donec euacuetur ex humiditate.	When it descended into the mother' s opening in this way with the second, then cut the second with your finger, until it is discharged from the moisture.
Si ergo suspenditur super faciem foetus, et collum eius, tunc incide eam ex umbilico: ut non retineatur, et moriatur.	But if he should hang above the baby' s face and its neck, then cut him from the umbilical cord: lest he hold on and die.
Deinde impelle foetum ad interiora, donec ponas eam secundum quod oportet: et praecipe mulieri, ut comprimat se aliquotiens: ipse enim egredietur exitu leui.	Then push the baby into the insides, until you place it as is necessary: and order the woman to compress herself sometimes: for he will come out easily.
¶ Exitus Geminorum, aut foetuum multorum.	The exit of twins, or of many babies.
Scias, quod Gemini multotiens nascuntur: et quandoque nascuntur tres, et quatuor.	You know that twins are often born: and sometimes three, and four.
Verumtamen illud extraneum est, et raro contingit.	But that is unusual, and seldom happens.
Quinque uero est res extra naturam, et non uiuunt penitus: et continet eos, quamuis multiplicentur, secundina una: et separantur per sifach, distinguens inter eos ligatum in umbilico cuiusque eorum.	Five is a thing outside nature, and they do not live long apart: and it holds them together, however they multiply, only two at a time: and separates them by the scaph, distinguishing between them with tied cords around each of their navels.
Et quandoque egrediuntur sicut egreditur foetus unus exitu naturali, facili: et egrediuntur exitu illaudabili, sicut narrauimus.	And when they go out as does one baby from a natural exit easily: and they go out with a loud noise, as we have told.
Quod si difficiles fuerint quidam eorum apud partum, et perueniunt ad illud quod diximus ex figuris innaturalibus, tunc cura eos sicut narrauimus: et sit ob stetrix subtilis, et faciat quod facit cum facilitate et tarditate, et ingenietur secundum omnem figuram cum eo quod praeparatur ei ex ingenio ducente ad salutem.	That if any of them are difficult at the time of birth, and seek to go to that which we have spoken from unnatural figures, then take care of them as we have told: and let it sit on a soft cloth, and do what it does easily and tardily, and make it take all shapes with it as it is prepared by nature leading to salvation.
¶ Rememoratio eius quod formatur in matrice ex embrionibus, et abortiuntur.	Remembering that he is formed in the womb from embryos and is aborted.
Quandoque formatur in matrice unus, et duo, et tres, et quatuor, et quinque, et sex, et septem, et plures decem: et iam uerificatum est apud me, quod mulier abortiendo emisit septem, et alia quindecim, omnes formatos.	When he is formed in the womb one, two, three, four, five, six, seven, and more than ten: and I have already verified it with myself that a woman who aborts has emitted seven, and another fifteen, all formed.
Quod factum est mensuratione gloriosi sapientis.	That which was measured by the glorious sage.
Hoc ergo totum oportet ut sit in scientia Obstetricis.	This then is what should be understood in the science of obstetrics.
Fortasse enim perueniet ad eam simile illius: opponat ergo ei cum illo quod oportet	For it may perhaps come to that which is similar to it: then oppose it with it that which is necessary
¶ De extractione foetus mortui.	On the extraction of a dead fetus.
Caput LXXVI.	Chapter LXVII.
Quando curas foetum mortuum cum eo quod dixi in diuisione ex medicatione, et non egreditur, et cogeris uti operatione cum manu, tunc oportet ut consideres.	When you are concerned with the extraction of a dead fetus as I have said in the division on surgery and do not exit, and you urge that you use the hand operation, then you should consider.
Si ergo mulier est sanae uirtutis, et non est cum aliquo ex accidentibus, ex quibus timetur super eam perditio: tunc oportet ut resupinetur mulier super lectum, super dorsum suum, et sit caput eius inclinatum inferius, et crura eius eleuata: et ministra teneat eam a duabus partibus, aut ligetur ad lectum, ut non extrahatur corpus eius apud extractionem foetus.	If then the woman is of sound virtue and is not with any of the accidents from which she fears destruction: then it should be that the woman reclines on her bed, on her back, and has her head inclined downward, and her legs raised: and he should hold her by two sides, or tie her to the bed, so that her body is not extracted along with the extraction of the fetus.
Deinde humecta os matricis ex oleis humidis cum mucillagine alteae, et foenugraeci, et seminis lini.	Then moisten the mother's mouth with moist oil with mucilaginous althaea, and fenugrecum, and flax seed.
Deinde inungat Obstetrix manum suam cum istis oleis et mucillaginibus: deinde intromittat eam in matricem cum facilitate.	Then the midwife should wash her hands with these oils and mucilages: then she should enter the woman' s womb with ease.
Deinde quaerat cum ea locum in quo figat uncinos ex foetu, et loca conuenientia ad illud.	Then she should ask where to place the knot of the fetus, and the suitable places for it.
Considera ergo tunc, si foetus est praeparatus ut descendat super caput suum: tunc fige uncinos in oculos eius, aut in collo eius, aut in ore eius, aut in palato ipsius, aut sub barba eius, aut in furcula ipsius, aut in locis propinquis costis, et sub hypocundriis.	Then consider, if the fetus is prepared to descend over its head: then place the knot in her eyes, or her throat, or her mouth, or her palate, or under her beard, or in her neck, or in the places adjacent to the ribs, and beneath the hip bones.
Si autem descensus est super pedes eius, tunc in pectine, et costis eius mediis.	If however the descent is over his feet, then in the chest, and his ribs in the middle.
