Praefatio.	Premise.
Similatur color eius reliquo corpori, et est in pluribus dispositionibus absque dolore: et quando stringitur cum uehementia, sentit in eo infirmus simile stupori.	Its color is similar to the rest of the body, and it is in many dispositions without pain: and when it is squeezed with a pulse, it feels in it a similar dullness.
Et non est apostema aggregatum in profundo corporis, imo est sub cute, et ipsum mouetur ad omnem partem, et non uadit ad anteriora, uel ante, neque retro ad posteriora.	And this apoplexy is not aggregated in the depths of the body, but is under the skin, and itself moves in all directions, and does not indicate toward the front, or before, or behind.
Quod ergo ex eis est in iuncturis, non oportet ut inuadatur cum ferro.	So, since it is in joints, it should not be moved with iron.
Fortasse enim accidet contractio.	Perhaps, however, it happens because of contraction.
In illo autem quod ex eis est in capite, aut in fronte, finde cutem cum spatumili.	But in that which is from them in the head, or in the forehead, find skin with a hammer.
Si ergo est apostema paruum, tunc tene ipsum cum forficibus, et abscinde ipsum a radice.	If then it is a small apoplexy, then hold him with pliers, and cut him off at the root.
Et si est magnum, tunc suspende ipsum eum uncino, et excoria ipsum: deinde aufer ipsum, et aggrega uulnus cum sutura: et cura ipsum, donec sanetur.	And if it is a large one, then hang him with a hook and scrape him off: then take it away, and aggregate the knot with a stitch: and care for it, until it heals.
¶ De sectione apostematis, quod accidit in uentre.	On the section of apoplexies which occur in the abdomen.
Caput LI.	The head.
Accidunt quibusdam hominibus multotiens in uentribus eorum, et in reliquis corporibus ipsorum, thelil, quae nominantur Fungalia, per similitudinem ipsorum cum fungis.	Some people often have a lot of wind in their bellies, and in the rest of their bodies, which they call fungi, because of the similarity of these to mushrooms.
Quorum radix est subtilis, et ipsorum caput est grossum, et conuersa sunt labia eorum.	The root of these is thin, and their heads are thick, and their lips are swollen.
Et est ex eis paruum: et est ex eis quod magnificatur ualde.	And it is from them a little: and it is from them that it increases greatly.
Et ego quidem iam uidi uirum, et in uentre eius erant duo thelil, quae erant magis quam rebus aliis similia fungis: non erat differentia inter ea, alba, minutae radicis, et inuersabantur labia eorum, et findebantur, et humiditas currebat ex eis semper.	And indeed I have already seen a man, and in his belly were two fungi, which were more than other things like mushrooms: there was no difference between them, they had white roots, and their lips turned inward, and they were always moist.
Incidi ergo ea, et inueni in pondere unius quasi X et VIII uncia et in altero quasi VI uncia Et operatio in incisione eorum est, ut consideres tunc, si infirmus est humidus, et color thelil est albus, humidum, subtilis radicis: tunc incide ipsum cum spatumili lato, et sint in praesentia tua cauteria in igne.	So cut them, and I found in weight one as X and VIII uncia and in the other as VI uncia And the operation in their incision is, then, if weak is damp, and color thelil is albus, humidum, subtilis radicis: then cut him with a broad chisel, and let the cautery be in your presence on fire.
Multotiens enim expellitur apud sectionem eius sanguis multus: propera ergo si te uincit sanguis, tunc cauteriza ipsum.	For often expels at his sectioning much blood: so close then if you are defeated by blood, then cautery yourself.
Quod si uides infirmum pauidum et timidum ab incisione cum ferro, tunc accipe filum ex plumbo decenter factum, et stringe cum eo athelul: cuius modus est quem diximus, et dimitte ipsum duobus diebus.	That if you see weak weak and timid from the incision with iron, then take a thread of lead poorly made, and bind it with him athel: whose way is what we have said, and let go himself two days.
Deinde adde in strictura plumbi.	Then add to the constriction of lead.
Non ergo cesses stringere plumbum, quotiens imprimit in thelil, donec abscindatur, et cadat per se absque labore.	So do not cease to bind lead, when it presses on the lil, until it is cut off, and falls by itself without work.
Si autem thelil grossae fuerit radicis, tunc in incisione eius est quiddam timoris et pauoris: praecipue quod est in uentre.	But if the lil is gross radiceps, then in its incision there is something of fear and fear: above all, because it is in the belly.
Verumtamen possibile est, ut incidas medietatem eius.	Nevertheless, possible is that you cut half of him.
Deinde cauteriza ipsum, ut non redeat.	Then cautery himself, so that he does not return.
Deinde cura ipsum, donec sanetur uulnus.	Then care for him, until the wound heals.
Et caue ne praesumas incidere thelil quod est fusci coloris, pauci sensus, foedi aspectus: ipsum enim est apostema cancerosum: et ego ueniam cum rememoratione Cancri post hoc.	And do not suspect to cut the lil that is of a dark color, few senses, foul appearance: for it is an ape-like cancer: and I come with a reminder of Cancer after this.
¶ De cura eminentiae Vmbilici.	De cure of eminence of Umbilical cord.
Caput LII.	Chapter LII.
Fit eminentia Vmbilici ex caussis multis.	Fit eminentia umbilical cord from many causes.
Aut ex fissuris sifac, quod super uentrem est: et exit ex eo althub, aut intestinum, secundum quod accidit in reliquis rupturis.	Or from fissures of the stomach, which is above the navel: and comes out of it lead, or intestinal, according to what happens in other ruptures.
Aut ex sanguine qui fluit ex Vena, aut ex Arteria, secundum quod praemissum est.	Or from blood that flows from a vein, or artery, according to what has been said above.
Aut ex uentositate coartata in eo.	Or from constriction of the cord.
Si autem est propter fissuram sifac, et exitum thirbi: tunc est color apostematis similis colori corporis: et est lene, absque dolore: et apparet diuersi situs.	But if it is because of a sivac fissure, and the exit is healthy: then it is a color similar to body color: and it is soft, without pain: and appears in various places.
Et si est propter egressionem intestini, tunc est situs eius, cum eo quod narrauimus, uehementioris diuersitatis.	And if it is due to the exit of the intestines, then its site is with that which we have described, a greater diversity.
Cum ergo tu premis ipsum digitis tuis, occultatur: deinde redit, et fortasse est cum eo sonitus: et magnificatur multum apud introitum balnei, et laborem uehaementum.	Now when you press the fingers on your own belly, it is hidden away: and then it returns, and perhaps it is with it a rumbling: and it makes itself very evident at the entrance to the bath, and works a great deal of pain.
Si uero est propter humiditatem, est lene, tunc non occultatur quando premis ipsum manu tua, neque constringium, neque additur.	But if it is due to humidity, then it is soft, and then it does not get hidden away when pressed with your own hand, nor does it tighten, nor does it increase.
Quod si est propter sanguinem, tunc cum istis signis apparet apostema ad nigredinem de cliue.	What if it is due to blood, then with these signs appears a black spot at the tip.
Si autem est propter carnem natam: tunc est apostema graue, grossum, durum, et figitur secundum quantitatem unam.	But if it is born of flesh: then it is a dark grey, thick, hard, and figures according to the quantity one.
Si uero est propter uentositatem, tunc tactus eius est lenis.	But if it is due to wind, then its touch is gentle.
Et operatio in illo est, ut consideres tunc, si eminentia umbilici est propter sanguinem Arteriae, aut Venae, aut uentositatem: tunc oportet ut prohibearis a curatione eius.	And the operation on it is, that you should then, if there is eminence of the navel due to blood of an artery or vein, or wind, then you must refrain from curing it.
Nam in illo est timor et pauor, sicut docui te in capitulo, in quo dixi apostemata propter arteriam et uenam.	For in that is fear and dread, as I taught you in the chapter where I said about apostemas due to an artery or a vein.
Quod si eminentia umbilici est propter intestinum, aut zirbum: tunc oportet ut praecipias infirmo, quatenus teneat anhelitum suum, et stet stans extensus.	What if the eminence of the navel is due to intestines or gas: then you must order the sick person to hold his breath and stand with his arms spread out.
Deinde signa cum encaustro in circumitu umbilici totius.	Then signs with the caustics around the navel all over.
Postea praecipe ei, ut resupinetur inter manus tuas super dorsum suum.	Then order him to lie down between your hands on his back.
Deinde circunda cum spatumili lato in circumitu umbilici super locum quem signasti cum encaustro.	Then with a sponge wet on one side around the navel over the spot you have marked with the caustics.
Postea extende medium apostematis ad superiora, cum uncino magno.	Then extend the middle of the pouch towards the top, with a large hook.
Deinde liga eum in circumitu forti cum filo, aut cum chorda de serico ligamento firmo: et sit nodus ligamenti alenxotati.	Then bind him firmly around with a strong thread, or with silk string: and let the knot of the binding be relaxed.
Deinde aperi medium apostematis extensum supra ligamentum.	Then open the middle pouch that has been extended above the ligature.
Si ergo inueneris ipsum iam captum a ligamento: tunc extrahe alenxotati, et intromitte in ipsum digitum indicem, et impelle intestinum ad interiora uentris: et si inueneris zirbum, tunc accipe ipsum cum uncino, et incide superfluitatem eius.	If therefore you have already found him taken by a ligature: then draw out the alenxotati, and insert the index finger into him, and push the intestine to the interior of the abdomen: and if you find the zirbum, then take it with a hook, and cut off his excess.
Si autem contraria est tibi arteria, aut uena: tunc circunda ipsum multum.	If however the contrary is for you, the artery, or the new: then surround him much.
Deinde redi ad operationem tuam.	Then return to your operation.
Et accipe duas acus, et intromitte in eis duo fila fortia: et intromitte duas acus in circumitu quem fecisti circa apostema in modum crucis, quas facis penetrare.	And take two accus, and insert in them two strong fillets: and insert two accus around the one you have made around the apostema in the form of a cross, which you make to penetrate.
Deinde stringe apostema in quatuor locis super acus: et si uis, aufer acus, et dimitte locum, donec putrefiat caro extensa: et cadat per se: aut incide ipsam quando subtiliatur et putrefit.	Then tighten the apostema in four places on the accus: and if there is a desire, remove the accus, and leave the place, until the flesh extends which has putrefied: and let it fall by itself: or cut it when it thins out and putsrefies.
Deinde cura ipsum cum eo quod oportet ex unguentis, donec sanetur.	Then take care of the wound with the ointment, as is necessary, until it heals.
Quod si eminentia umbilici est ex carne nara in eo, aut ex humiditate: tunc oportet ut concaues apostema, sicut diximus.	That if there is eminence of the umbilicus out of flesh in him, or out of moisture: then it is necessary that you tighten the apostema, as we have said.
Et extrahas sanguinem, aut humiditatem, quam inuenis in eo.	And draw out the blood, or the moisture, which you have found in him.
Deinde cura ipsum cum eo quod solidat locum.	Then take care of the wound with him, as it solidifies the place.
¶ De cura CANCRI.	Regarding the treatment of cancer.
Caput LIII.	Chapter LIII.
Iam diximus in diuisione species Cancri, et qualiter est uia ad curationem eius cum medicinis: et cauendum ab eo cum curatione eius cum ferro, ut non ulceretur: et diximus Cancrum generatum in matrice, et cautelam a curatione eius.	We have already spoken in the division of the species of Cancer, and how it is to be cured with medicines: and to take care from curing him with iron, so that he does not ulcerate: and we have spoken about cancer generated in the womb, and about taking care when curing it.
Et dixerunt antiqui, quod quandoque Cancer est in loco, ubi possibilis est eius eradicatio: sicut Cancer qui est in mammillis, aut in coxa, et eis similibus, ex membris locatis ad extrahendum totum eius: praecipue quando est incipiens paruus.	And the ancients say, that sometimes cancer is in a place where it can be eradicated: such as cancer in the milk-gland, or the thigh, and similar places, from the body members so as to extract all of it: especially when it is beginning to be rough.
Quando uero antiquatur, et est magnus, non oportet ut appropinques ei.	But when it is curbed, and is great, it is not necessary that you come near it.
Ego enim non potui sanare ex eo aliquem: neque uidi alium ante me qui peruenerit ad illud.	For I could not heal anyone from it; and I did not see anyone before me who had recovered from it.
Et operatio in eo, quando est locatus sicut diximus, est, ut praecedas, et soluas infirmum ex cholera nigra aliquotiens.	And the operation, when it is placed as we have said, is, as regards its method, such that you should go before it and heal the sick from black cholera sometimes.
Deinde phlebotoma ipsum si inuenis cum repletione manifesta.	Then phlebotomy itself if it is evidently filled with blood.
Deinde praepara infirmum praeparatione, in qua locetur cum operatione.	Then prepare the sick with preparation in which the operation is placed.
Deinde proiice in Cancrum uncinos qui conueniunt ei.	Then throw into the cancer the hooks that are suitable for it.
Postea concaua ipsum ab omni parte cum cute, secundum perscrutationem, donec non remaneat aliquid ex radicibus eius: et dimitte sanguinem currere, et non abscindas ipsum uelociter, imo exprime loca, et absterge sanguinem grossum totum manu tua, aut cum quo possibile est ibi ex instrumentis.	Then wrap it all around with skin, according to the examination, until none of its roots remain: and let the blood not flow, and do not tear it quickly, except to express the places, and wipe away the gross blood altogether by your hand, or with whatever is possible there;
Si autem contrarietatem facit tibi fluxus sanguinis grossi ex incisione arteriae, aut uenae: tunc cauteriza uenam, donec abscindatur sanguis.	But if the opposition makes you flow blood from the incision of an artery or a vein: then causticate the blood, until it is cut off.
Deinde cura ipsum cum reliqua curatione, donec sanetur.	Then take care of the wound with the remaining cure, until it heals.
¶ De cura Hydropisis.	Of the treatment of hydropysis.
Caput LIIII.	Chapter LII.
Iam narrauimus in diuisione species Hydropisis, et qualiter fit aggregatio aquae: et signa omnis speciei, et curationem eius cum medicinis.	We have already spoken at length about the division of the species of hydropysis and how water is aggregated; and we shall now speak about the signs of each species, and its cure with medicines.
Et illa quae curatur cum ferro, non est nisi species asclitis sola: et non approximatur cum ferro speciei timpanitis: neque speciei hyposarcae penitus: nam illud mortale est.	And that which is cured by the use of iron, is not but one kind of hydropesis: and it does not approach the iron of timpanitis: nor does it go deep into the hyposarcous: for that would be fatal.
Quando tu iam medicatus es hanc speciem Hydropisis timpanitis cum medicinis, et non contulit medicatio tua: tunc considera.	When you have already tried to treat this species of hydropesis with medicines, and your treatment has not been successful: then reflect.
Nam si infirmo iam consecuta est debilitas, aut est cum eo infirmitas alia praeter Hydropisim: sicut si sit cum eo tussis, aut uentris solutio, et similia illis: tunc caue ne mediceris ei cum ferro: quoniam est timor illud.	For if the sick person already has a general weakness, or there is another kind of weakness along with hydropesis; such as if he has a cough, or a watery bladder, and things like that: then be careful not to treat it with iron: for there is a fear of that.
Si autem uides infirmum exuberantis uirtutis, neque est cum eo aegritudo praeter Hydropisim solam: et non est puer, neque senex: tunc modus operationis in eo est, ut tu eleues infirmum stantem inter manus tuas, et minister post ipsum exprimat uentrem eius manu sua impellendo aquam ad inferiorem partem pectinis.	But if you see a sick person with abundant strength and vigor, and there is no illness other than hydropesis: and he is not a boy, nor an old man: then the method of operation in him is this, that you should stand him before your hands, and let him express his wind by hand toward the lower part of the pineal.
Deinde accipe spatumile spinosum, secundum hanc formam.	Then take a spike-shaped spatula, shaped like this.
Sit duarum partium acutarum, longum, acutae extremitatis sicut Spatumile.	Take two acute parts, one long, the acute end like a spike-shaped spatula.
Verumtamen in eo sit quiddam breuitatis paulatim, ut non pertranseas cum eo apud operationem usque ad intestinum, et laedas ipsum.	However, in it there is something that narrows gradually so that it does not interfere with it during the operation up to the intestines and does not damage it.
Deinde considera.	Then consider.
Nam si est generatio Hydropisis ex parte intestinorum, tunc oportet ut elongeris cum sectione ab umbilico quantitate trium digitorum, ad inferiora in directo eius supra pectinem.	For if there is a generation of hydrops on the part of the intestines, then it should be extended with a section of three fingers' width from the umbilicus, towards the lower side directly above the spine.
Si uero generatio Hydropisis est propter aegritudinem epatis: tunc sit sectio tua sinistra ab umbilico tribus digitis.	If, on the other hand, there is a generation of hydrops due to liver disease: then your section should be three fingers' width from the umbilicus to the left.
Et si generatio eius est propter splenem, tunc sit sectio in latere dextro: et non oportet etiam ut sit sectio in latere super quod uult iacere infirmus, ut non currant superfluitates ad illum locum debilem.	And if that generation is due to the spleen, then your section should be on the right side: and it should not also be located at a place where the sick one will lie, so that there are no fluids going to that weak spot.
Deinde perfora cum instrumento cutem totam.	Then pierce the skin with a sharp instrument completely.
Deinde intromitte in illam sectionem, et eleua manum tuam cum Spatumili inter cutem, et sifac, quasi tu excories ipsum: et sit quantitas quae excoriatur quantitas unguis, aut circiter ilud.	Then introduce it into the section, and with your hand, with the spike-shaped spatula between the skin, as if you were scraping it off: and the amount that is scraped should be the size of a nail, or around that.
Deinde perfora sifac, donec perueniat Spatumile ad locum uacuum: et est locus aquae.	Then pierce the skin with the spike-shaped spatula until it reaches a vacuum spot: and there is a place of water.
Deinde extrahe ipsum, et intromitte in foramen instrumentum, cuius haec est forma.	Then pull out the flesh, and introduce into the opening an instrument which has this form.
Et est simile cannulae: fit ex argento, aut aere, aut aurichalco, lene, tersum: cui in inferiori parte sui est foramen paruum, et in lateribus eius sunt tria foramina, duo ab una parte, et unum a parte altera: et facia est extremitas eius incisa, secundum modum incisionis calami, sicut uides: in extremitate eius superiore est armilla.	And it is similar to a tube: it is made of silver, or brass, or gold, smooth, round: and at the lower part of it there is a small opening, and on its sides are three openings, two from one side, and one from the other side: and its end should be incised, following the pattern of the incision of a calamus, as you see: in the upper end there is an annulus.
Nam quando instrumentum peruenit ad aquam, tunc ipsa descendit statim super instrumentum, ergo euacua ex aqua in hora quantitatem mediam.	For when the instrument reaches the water, it immediately comes up on top of the instrument, thus making a small amount of air bubble come up from the water at a medium rate.
Quoniam si tu euacuas ex ea plus quam oportet, in hora fortasse moritur infirmus per resolutionem spiritus sui animalis: aut accidit ei syncopis quae appropinquat morti.	For if you drain from it more than is necessary, perhaps at the hour of death the sick person dies through a resolution of his animal spirit; or something happens to him which approaches death.
Verum euacua ex ea secundum quantitatem uirtutis eius, et secundum quod significant tibi dispositiones infirmi ex uirtute pulsus eius, et ex bonitate eius.	But drain from it according to the power of its virtue, and according to what I tell you about the dispositions of the infirm from the power of its pulse, and from its goodness.
Deinde extrahe instrumentum, et retine aquam.	Then remove the instrument and retain the water.
Quod est, quia retinetur statim propter cutem quae retinet foramen quod est super sifac: de quo narraui, ut perfores ipsum secundum illum modum.	That is, because it retains immediately by means of the skin which retains the hole which is above the sifon: of which I told you, that you should do as to that mode.
Deinde itera instrumentum die altero, si uides infirmum tolerare illud: et extrahe etiam ex aqua quantitatem paruam.	Then remove the instrument on the other day, if you see the sick person bear that thing: and also remove from the water a quantity of the pulse.
Fac illud diebus aliquot sine timore, et custodi te ab errore: donec non remaneat ex aqua nisi parum.	Do that on some days without fear, and guard yourself from error: until there remains in the water not much of a quantity.
Si autem times super infirmum, et dimittis ex aqua rem multam: tunc cura ipsum cum sepultura in harena calida, et sudore multo in balneo et sole, et expectet super sitim: et cura ipsum cum medicinis exiccatiuis, donec sanetur: et cauteriza super stomachum, et epar, et splenem, post extractionem aquae: secundum quod narraui in eo quod praecessit.	But if you are about to treat a sick person, and let go of a great deal of water: then take care of him with the dirt in the hot sand, and with a great sweat in the bath and in the sun, and let him wait on hunger: and take care of him with the medicines dried up, until he is healed: and cauterize over his stomach, and his spleen, and his liver, after the removal of the water: according to what I told you before.
¶ De cura infantium qui nascuntur locis urinae eorum non perforatis.	Of the care of infants who are born in places of their urinary organs not pierced.
Caput LV.	Chapter 50.
Quando egreditur aliquis infantium ex uentre matris suae, et caput mutonis eius est non perforatum, aut est foramen strictum, aut in non suo loco.	When any infant comes out of the womb of his mother, and the head of his swaddling clothes is not pierced, or a hole is narrow, or is not in its place.
Oportet ergo succurrere cum perforatione eius statim cum nascitur cum Spatumili subtili ualde, secundum hanc formam.	Then it is necessary to help with the piercing of him as soon as he is born with a soft sponge gently: according to this form.
Deinde pone in foramine clauum subtilem ex plumbo, et liga ipsum: et tene ipsum tribus diebus, aut quatuor.	Then put into the hole a small slip from lead, and tie him up: and hold him three days, or four.
Quando ergo uult urinam emittere, remoueatur, et mingat.	When he wants to urinate, let it move, and let it go.
Deinde reduc ipsum.	Then reduce the child.
Et si tu non ponis plumbum, iam possibile est, ut urina quae incedit super locum, non permittat ipsum claudi.	And if you do not put lead [plumb], it is possible that the urine which has flowed over the place, should not prevent him from closing [claudi].
Ille autem cuius foramen est strictum, medicatur cum plumbo, sicut diximus, diebus multis, donec amplificetur.	But he who has a narrow hole, he is treated with lead, as we have said, for many days, until it increases.
Illi autem in quibus est foramen in non suo loco, laeduntur.	But those in whom the hole is not in its proper place, are wounded.
Quod est, quia ex eis qui nascitur, foramen est apud finem capitis uirgae: quare non potest mingere ad anteriora, donec eleuat uirgam manu sua ad superiora.	That is, because from those who are born, the hole is at the end of the penis; so that he cannot urinate forward, until he raises his penis with his hand to the top.
Neque est ei generatio, propterea, quod sperma non potest peruenire ad matricem secundum rectitudinem: et est aegritudo foeda ualde.	And there is no generation in him, therefore the semen cannot reach the womb according to its straightness; and it is a foul disease.
Et modus operationis in illo est, ut resupinetur infirmus super dorsum suum.	And the mode of action in that is, that he lies down on his back.
Deinde extende caput uirgae eius manu tua sinistra extensione uehementi, et incide caput capitis uirgae ex loco priapi, cum acumine, aut spatumili acuto: sicut est incisio calami, aut sicut tu radis aliquid, ut medium eius ueniat simile capiti uirgae: et ut cadat foramen in medio secundum quod oportet.	Then extend his penis with your left hand by a powerful extension, and cut the head of the penis from its proper place with an acorn, or sharp stylus; like as you would cut a stalk, or like you cut some hair, so that it may come to resemble the head of the penis, and let the hole fall in the middle, according to what is needed.
Et caue tibi apud operationem tuam a fluxu sanguinis.	And cause yourself to be near during your operation from the flow of blood.
Multotiens enim accidit illud.	For this often happens.
Oppone ergo ei cum eo quod abscindit sanguinem, et cura uulnus, donec sanetur.	So he takes off with him who cuts off the blood, and cares for a wound, until it heals.
¶ De Albather quae accidunt in praeputio et capite uigae, et corruptione, nigredine, et adhaerentia.	Regarding the wounds that occur in the prepuce and penis, and corruption, blackening, and adhesion.
Caput LVI.	Chapter LVI
Multotiens accidunt istae Albather in uirga, et est eminentia carnis foedae.	These wounds often occur on the penis, and there is a profusion of foul flesh.
Et ex ea alia est maligna, et alia non maligna.	And from it another evil arises, and another not evil.
Non malignam ergo oportet ut suspendas cum uncino subtili, et abscindas eam, donec mundes eam totam.	So it is not evil that you should hang him with a subtle hook, and cut it off, until you have completely cleansed it.
Deinde pone super eam cotum submersum in unguento aegyptio.	Then put on it a cloth soaked in Egyptian ointment.
Deinde cura ipsum post illud cum unguento dyafinicon, donec sanetur.	Then care for him with the ointment of difinicon until he is well.
Quod si Albather est maligna, foedi coloris, tunc oportet ut administres in ea cauterium post incisionem eius et ipsius rasionem.	If the albather is male and of a bad color, then you should administer cauterization after incising it and shaving it.
Si autem Albather est in praeputio captiui, non circumcisi, et est pars Albather inter praeputium, et pars eius extra: tunc oportet ut auferas Albather, quae est intus in primis, donec quando consolidatur, tunc cura ipsum exterius: quoniam quando tu curas eam simul, non securatur praeputium quin preforetur.	If the albather is caught in the foreskin and is part of it between the foreskin and is outside part: then you should remove the albather that is inside first until it is secure, then care for him outside: because when you care for him at the same time, the foreskin does not heal securely unless it is pierced.
Et iam accidunt etiam in testiculis, et praeputio nigredo et corruptio.	And also happen to the testicles, and the foreskin blackened and corruption.
Oportet ergo, ut tu concaues totum quod iam denigratum est, et quod uult corrumpi, aut iam corruptum est.	Therefore, you should bring together everything that has been damaged, and what seeks to corrupt, or what is already corrupted.
Deinde line super ipsum post illud cum melle quod iam concussum est cum farina corticum granatorum, et herbi tritorum cribellatorum.	Then put a line of honey over the wound that has been crushed with flour of ground corn, and herbs of three times.
Deinde cura illud cum reliqua curatione, donec sanetur.	Then care for that with the remaining cure until he is well.
Si autem accidat fluxus sanguinis, tunc administra cauterium cum cauterio lunari, secundum hanc formam.	If, however, a flow of blood occurs, then administer cauterization with lunar cautery, in this form.
Cauterium enim est iuuatiuum ad duas dispositiones simul, scilicet ad fluxum sanguinis, et uulnus quando corrumpitur.	For the cauterization is suitable for two dispositions at the same time, namely for a flow of blood, and when corruption occurs.
Quod si corroditur caput uirgae, et destruitur totum in hora: tunc oportet ut intromittas in meatum priapi cannulam ex plumbo, ut mingat infirmus super eam.	If it corrodes the head of the penis and destroys all in an hour: then you should insert a plumbum cannula into the meatus of Praepaus, so that the weak can mix with it.
In adhaerentia uero praeputii cum capite uirgae, et haec quidem adhaerentia non accidit, nisi in eo cuius praeputium est sanum, et non exigitur super ipsum circumcisio: et quandoque accidit adhaerentia propter uulnus, aut apostema: oportet ergo ut excories eam cum Spatumili obtuso, donec soluatur ligamentum, et liberetur caput uirgae ab omni parte.	However, the foreskin adheres to the head of the penis, and this type of adhesion does not occur unless the foreskin is healthy, and circumcision is not required: and when an adhesion occurs due to a wound or aphasia: you should cut it with an obtuse Spatumili until the ligaments are broken, and free the head of the penis from all parts.
Quod si est difficile discernere ea exquisite, tunc oportet ut excories aliquid ex capite uirgae, et ex praeputio.	If it is difficult to distinguish it finely, then you should cut off some of the head of the penis, and from the foreskin.
Quod est, quia praeputium quando est subtile, fortasse perforatur propter subtilitatem suam uelociter.	What is, because the foreskin when it is thin, perhaps pierces quickly due to its thinness.
Deinde separa inter praeputium, et caput uirgae cum panno lini subtili, qui iam madefactus est in aqua frigida, ut non adhereant iterum.	Then separate between the foreskin and, with a thin linen cloth that has already been soaked in cold water so that it doesn't stick again.
Deinde curetur cum uino stiptico, donec consolidetur.	Then treat with astringent wine until hardened.
¶ De mundificatione infantium, et curatione ex errore eis accidente.	The purification of infants and the treatment of errors on them by accident.
Caput LVII.	Chapter LVII.
Circumcisio non est solutio continuitatis, sicut reliqua uulnera: uerumtamen cum sit ex operatione nostra, uoluntate nostra, et usus eius sit in pueris proprie, est necesse ut signemus in ea operationem meliorem, et uiam leuiorem perducentem ad salutem.	Circumcision is not a remedy for continence, like the other wounds; but since it is of our invention and use, we should mark it as an improvement on our procedure, and make it lighter, leading to health.
Dico ergo, quod antiqui non dixerunt circumcisionem in aliquo suorum librorum: quoniam non utuntur in legibus suis, et non est nisi quod acquisiuimus per experimentum.	I say, that the ancient ones did not speak of circumcision in any of their books: for they do not use it in their laws, and is only because we have acquired it through experience.
Quod est, quia ego inueni maiorem partem artificum, et phlebotomatorum uti mundificatione, circumcidendo cum nouacula, et cum forficibus: et utuntur alfecati, et ligaudo cum filo, et incisione cum ungula.	That is, because I found most of the techniques and the use of bloodletting in purification, circumcising with a knife, and using forceps: and they use leeching, binding with thread, and cutting with nails.
Et ego quidem iam probaui omnes istos modos, et non inueni meliorem mundificatione cum forficibus, et ligamento cum filo.	And I too have already tried all these methods, and did not find a better purification than circumcising with forceps and binding with thread.
Quoniam in mundificatione cum nouacula, multotiens effugit cutis.	For, in purification with leeching, the skin often escapes.
Quoniam cutis praeputii duas habet tunicas: ergo forsitan inciditur cutis superior, et temanet tunica inferior: cogitur ergo ad incisionem ad incidendum alteram, et dolorem futurum.	For the skin of the foreskin has two tunics; so perhaps one cuts the upper skin and fears that the lower tunic will tear: so it is necessary to make an incision to cut the latter, and a pain will be expected.
Et cum mundificatione quae fit per alfecati, id est, digitalis, quo utuntur sutores, non securatur incisio extremitatis uirilis membri: quoniam fortasse ingreditur in foramen eius.	And since the purification done by leeching, that is, digital, which the surgeons use, does not secure an incision at the extreme end of the male member: because perhaps it enters a hole.
In mundificatione autem cum ungula, fortasse euadit ferrum, et corrumpit operationem tuam: et cutis quidem pueri est breuis natura, et multotiens nascuntur taliter, quod non indigent mundificatione: et iam uidi illud.	In purification with nails, perhaps the iron blunts, and ruins your procedure: and the skin of the boy is naturally short, and often grows up so that it does not need purification: and I have already seen this.
Mundificationis autem cum forficibus, et ligamento cum filo, bonum experimentum detexit mihi: quoniam forfices sunt proportionalis incisionis: propterea, quod acuitas quae est superius, est sicut acuitas quae est inferius.	The Mundification with lances and thread, I have found a good experiment: For the lances are proportional to the incision: since the sharpness that is above is like the sharpness that is below.
Cum ergo premis manum tuam, proportionantur duae acuitates, et incidunt secundum operationem unam in tempore uno: et fit compressio simili figura, continens cutem uirgae ab omni parte, cum qua non cadit error omnino.	But when you press your hand with the lances, two sharpnesses are proportionate, and incise one at a time in one operation in one time: and it is made by a similar figure compression, containing the skin of the thigh from all parts, so that there is no error at all.
Et modus operationis propriae est, ut facias extimare, puerum praecipue, si est ex eis qui intelligunt parumper, quod tu non facis, nisi quod ligas filum in uirga sua tantum: et dimittas ipsum usque ad diem alium.	And the mode of operation is appropriate, so that you can estimate, especially if he is from those who understand a little, that you do not make, unless you tie the thread on his thigh alone: and let him go until another day.
Deinde fac eum gaudere et laetari omnimodo quo possibile est tibi illud, ex eo quod recipit intelligentia sua.	Then let him enjoy and rejoice in all ways as much as possible for you, since he receives intelligence from it.
Deinde fac eum stare inter manus tuas praeparatae staturae, et non sit sedens: et occulta forfices in manica tua, aut sub pede tuo, ne uideat eos puer omnino, neque aliquid ex instrumentis.	Then let him stand between your hands prepared to stand, and not sitting down: and conceal the lances in your sleeve, or under your foot, so that he does not see them at all, nor anything from the instruments.
Deinde intromitte manum tuam ad uirgam eius, et suffla in cutem, et trahe eam sursum, donec egrediatur caput uirgae.	Then put your hand on his thigh, and blow into the skin, and pull it up until the head of the thigh comes out.
Deinde mundifica ipsam ex eo quod aggregatur in ea sordicie.	Then cleanse it from him since it is gathered in her sour:
Deinde liga locum signatum cum filo duplo.	Then tie the spot marked with double thread.
Postea liga inferius eo parumper ligamentum secundum.	Then tie the lower one with a thread as much as possible as the second one.
Deinde tene cum indice tuo, et pollice locum ligamenti inferioris retentione bona, et incide inter duo ligamenta.	Then hold with your index, and keep the place of the lower ligament with good hold, and incise between the two ligaments.
Deinde eleua cutem sursum uelociter, et extrahe caput uirgae.	Then wipe the skin quickly upwards, and pull out the head of the thigh.
