Praefatio.	A preface.
Deinde compone quaedam eorum super quaedam cum figura quae sit in modo crucis: et liga cum eis alsifach, de quo diximus, quia est sub cute testiculorum ligamento uehementi, donec non possit aliquod ex uasis, quae nutriunt eos mittere ad eos aliquid: ut non accidat inde apostema calidum.	Then compose some of them above others with a figure which is in the form of a cross; and tie them to each other with the tunic, because it is under the ligament of the testicles which is strong, so that no part can send anything to them from the vessels that nourish them, lest something warm fall upon them.
Et pone iterum ligamentum secundum extra ligamentum primum, longinquum ab eo minus duobus digitis.	And again put the second ligament outside the first one, at a distance of less than two fingers from it.
Et post ista duo ligamenta dimitte ex sifach, quod est sub cute testiculorum, quantitatem magnitudinis digiti: et incide reliquum totum secundum rotunditatem, et aufer ex eo ouum.	And after those two ligaments release them from the tunic, which is under the skin of the testicles, to a size equivalent in magnitude to the width of a finger: and incise the whole remainder according to its roundness, and take out an egg from it.
Deinde seca in inferiori parte cutis testiculorum sectione, ex qua currit sanguis, et sanies: sicut narrauimus in eo quod praemissum est.	Then dry in the lower part of the skin-cutting of the testicles section, from which the blood flows, and the discharge: as we have said before.
Deinde administra lanam submersam in oleo, et pone in uulnus: et administra ligamentum quod narrauimus.	Then give him wool soaked in oil to swallow, and put it into the wound: and give him the ligament which we have mentioned.
Et quandoque cauterizatur sifach album quod diximus, post incisionem eius timendo de fluxu sanguinis.	And when sometimes the tunic is cauterized with white stuff which we mentioned, after its incision, fearing a flow of blood.
Multotiens enim accidit illud.	For it often happens that this.
Et dimitte ligamentum, donec cadat per se.	And release the ligament until it falls away of its own accord.
Si autem tardatur casus eius, tunc embrocetur cum aqua calida: et pone super ipsum illud quod diximus, donec cadat.	If however his case is delayed, then embrocation will be applied with warm water: and place over it the thing which we mentioned, until it falls.
Deinde cura uulnus cum reliqua curatione uulnerum, donec curetur.	And then care for wounds with the rest of treatment for wounds until they are cured.
¶ De Ramice uentosa.	On a poultice made from resin.
Caput LXVI.	Chapter LXVI.
IN Hac Ramice non uidi aliquem qui ausus fuerit super curationem eius cum ferro.	In this resin I did not see anyone who dared to try the treatment with iron.
Et primi quidem dixerunt, quod fit sicut narrauimus in Ramice quae est cum Vite.	And they said that it happens as we have narrated about the resin which is with wine.
Quod est, ut liges uasa post sectionem super ea cum facilitate inferius: deinde seca in medio, et cura postremo cum eo quod aperit ipsum, donec cadant uasa: et cura uulnus, secundum quod diximus, donec sanetur.	Which is that you tie the cloth over the section with ease underneath it: then dry it in the middle and after that, you treat it further with what opens itself, until the cloth falls off: and care for the wound, as we have said, until it heals.
¶ De disruptione quae fit in inguinibus.	On the separation that occurs in the groin.
Caput LXVII.	Chapter LXVII.
Quando accidit Ruptura in inguinibus, sicut diximus, et eminet locus, et non descendit ad testiculos aliquid ex intestinis: et si descendit, est illud parum, et redit in omnibus horis: uerum si prolongatur cum ea tempus, additur fissura in sifach, donec descendunt intestina in sifach.	When a rupture occurs in the groin, as we have said, and the swelling is great, and it does not descend to the testicles anything from the intestines: and if it descends, that is little, and returns all within an hour: but if prolonged with it for some time, a fissure is added to the scrotum, until the intestines come down into the scrotum.
Et accidit illud ex extensione sifach, quod est in inguinibus, sicut diximus.	And it also happens that there is an issue with the extension of the scrotum, which is as we have said.
Quod est, quia extenditur sifach: deinde mollificatur, et apostematur locus, et eminet.	Which is that the scrotum extends because it becomes soft: then a wound forms and the swelling grows.
Et cura eius est cum cauterio, sicut praecessit eius narratio.	And its treatment is with cauterization, as we have previously said.
Et quandoque curatur cum ferro, secundum hunc modum: et est, ut iaceat infirmus super dorsum suum inter manus tuas.	And sometimes it is treated with iron, in this manner: and there is, as the patient lies supine on his back between your hands.
Deinde seca locum Rupturae apostematum et eminentem, sectione per latitudinem, secundum quantitatem trium digitorum.	Then dry a place of rupture's afterthought and its prominent part, divided by length, according to the size of three fingers.
Deinde stringe alsifak et, quae sunt sub cute, donec quando detegitur sifach album, quod est sub cute quae sequitur ipsum.	Then bind a ligature around the lip and, those that are under the skin, until when the silver ribbon is uncovered, which is under the skin following it.
Tunc accipe radium, et pone ipsum super locum eminentem ex sifach, et preme ipsum ad profundum uentris.	Then take a radius and place the latter on top of the prominent part with the silver ribbon, and press it deeply into the stomach.
Deinde sue duo loca eminentia super extremitatem radii ex sifach, et annecte cum sutura unum eorum cum altero: deinde extrahe extremitatem radii.	Then sew two prominent places on the extremity of the radius with silver, and join one to the other by a single suture; then remove the extremity of the radius.
Et non incidas alsifach omnino, neque tendas ouum, neque aliud, sicut feci te scire in curatione ramicis intestinalis.	And do not cut the silver ribbon completely, nor stretch the skin, nor any other thing, as you know from having knowledge of treating intestinal stones.
Deinde cura illud curatione uulnerum.	Then treat that wound with the treatment of wounds.
Cum ergo incidis fila, mundifica illud, et restaura uulnus, donec consolidetur.	When therefore you cut the thread, clean it up and restore the wound until it is consolidated.
Sisach enim contrahitur, et non additur eminentia Rupturae.	For the silver becomes contracted, and not added to the prominence of rupture.
Et cauterium est melius in hoc loco: quoniam est propinquius ad salutem.	And cauterization is better in this place: because it is closer to salvation.
¶ De mollificatione cutis testiculorum.	¶ On softening of the skin of the testicles.
Caput LXVIII.	Chapter 68.
Multotiens mollificatur cutis testiculorum in quibusdam hominibus, propter quod mollificantur carnes quae sunt inter ea, et foedatur aspectus eius.	The skin of the testicles is often softened in some people, because of which the flesh between them softens and its appearance is corrupted.
Ergo necesse est ei qui rogatur in curatione eius, ut faciat iacere infirmum super dorsum suum, et incidat totam cutem quae mollificata est super cutem naturalem.	Therefore it is necessary for him who is being treated for this, to make the weak one lie on his back and cut the entire skin that has been softened over the natural skin.
Deinde aggreget duo labia cum sutura: et si uis, sue in primis superfluitatem cutis mollificatae tribus suturis, aut quatuor, et firma suturam.	And then take two lips with suture: and if it wishes, he should first soften the softness of the skin with three or four sutures, and a firm suture.
Deinde incide inter sututuras.	Then cut between the sutures.
Deinde cura curatione reliquorum uulnerum, usquequo sanetur, et cadant fila.	Then treat the remaining wounds with care, as long as they heal and the threads fall out.
¶ De Castratione.	¶ On Castration.
Caput LXIX.	Chapter 69.
Scias, quod Castratio in lege nostra excommunicata est: et propter illud liceret mihi, ut non rememorarer eius in libro meo isto: et non est necessaria rememoratio eius, nisi propter duos modos.	You know that castration is forbidden by law in our land: and for this reason it was allowed to me not to remember it in this book of mine; and it is not necessary to remember it, except for two reasons.
Quorum unus est, ut sit illud in scientia medici quando interrogatur de ea: et ut sciat curationem eius cui accidit.	One of which is, that it should be known in the knowledge of a doctor when asked about it: and that he may know the cure for those who have had it.
Et modus alter est, quod nos multotiens indigemus castratione quorundam animalium, propter iuuamenta nostra per illud, sicut arietum, hyrcorum, et gattorum, et similium ex animalibus.	And the other reason is, that we often need castration of certain animals for our necessities by means of it, such as oxen, hyraxes, and cats, and similar animals.
Dico ergo, quod Castratio fit secundum duos modos.	I therefore say that castration is performed in two ways.
Aut per attritionem.	Or by attrition.
Aut per fissuram, et sectionem.	Or by fissure and cutting.
In illa autem quae fit per attritionem, uia operationis est: quod nos faciamus sedere animal in aqua calida, donec mollificentur testiculi eius, et leniantur, et pendeant: deinde attere eos manu tua, donec resoluantur et non appareant sub tactu.	In those that are performed by attrition, the operation is the life of the procedure: which we do, that we make the animal sit in warm water, until its testicles soften and relax, and hang down: then beat them with your hand, until they dissolve and do not appear under touch.
In castratione autem per fissuram et sectionem, oportet ut teneas animal, et premas cutem testiculorum eius cum manu sinistra.	In castration, however, by fissure and cutting, it is necessary to hold the animal down and press its testicles with your left hand.
Deinde liga suspensorium, et seca super omne ouum sectione una, donec quando procedunt duo oua: tunc incide ea postquam excoriaueris utrumque, et non dimittas super ea ex sifaket aliquid praeter sifac subtile, quod est super uasa.	Then tie the suspensory ligament and cut off its top section through every egg until when there are two eggs: then cut them off after you have cleaned both of them, and do not leave anything else on it except for a very fine thread that is above the vessel.
Et iste modus castrationis est melior eo qui fit per attritonem: quoniam attritio fortasse relinquit aliquid ex testiculis, quare desiderat animal coitum.	And this method of castration is better than the one that is done by attrition: because attrition perhaps leaves something from the testicles, so that the animal desires coitus.
Deinde cura uulnus, donec sanetur.	Then treat the wound until it heals.
¶ De cura Hermafroditae duorum modorum.	¶ On the treatment of the hermaphrodite, two methods.
Caput LXX.	Chapter LX.
Hermafrodita ex uiris est secundum duos modos.	The hermaphrodite is from the genitals, according to two methods.
Vnus eorum est, quia apparet in eo quod sequitur spacium, aut in cute testiculorum, in eo quod est inter duos testiculos, figura quasi uulua mulieris, in qua sunt pili: et quandoque currit urina ex eo quod est in cute testiculorum.	One of them is because it appears in the fact that it follows a space, or in the fat of the testicles, in which there is an interval between the two testicles, a figure like that of a woman's vulva, in which there are hairs: and sometimes urine runs from it because it is in the fat of the testicles.
In mulieribus autem est species una, et est uulua mulieris super pectinem sicut testiculi uiri parui omnino, eminentes ad exteriora: quorum unus est sicut priapus uiri, et duo sicut duo testiculi.	In women however there is one species, and it is a vulva like that of a woman over the pubic bone, just as the testicles of a man are small entirely, protruding to the outside: for whose one is like the penis of a man, and two like two testicles.
Et curatio trium specierum, duarum ex uiris, et speciei unius ex mulieribus, est: quia oportet ut incidas carnes additas, donec effugiat impressio earum.	And the treatment of the three species, two from the testicles and one from women, is this: because it is necessary to cut the added flesh until they release their impression.
Deinde cura eas curatione reliquorum uulnerum.	Then care for those with the treatment of the remaining wounds.
In specie autem secunda uirorum, ex qua egreditur urina, quae est in cute testiculorum, non est operatio, neque est eius curatio omnino.	In the second species of men, from which urine is discharged, which is in the fat of the testicles, there is no operation, nor is its treatment complete.
¶ De incisione Tentiginis, et carnis eminentis in uuluis mulierum.	On the incision of Tentigintis, and the fatty flesh of the vulvas of women.
Caput LXXI.	Chapter LXXI.
Tentigo fortasse additur super rem naturalem, donec foedatur et turpis fit aspectus eius: et quandoque magnificatur in quibusdam mulieribus adeo, donec expanditur sicut in uiris, et peruenit usque ad coitum.	The warts perhaps are added to a natural thing, until it becomes foul and its appearance is deformed: and sometimes it swells so much in certain women that it expands as if it were flesh, and goes as far as coitus.
Oportet ergo ut teneas superfluitatem Tentiginis manu, aut cum uncino, et incidas: et non ultimes in incisione, praecipue in profundo radicis: ut non accidat fluxus sanguinis.	You must therefore hold the excess of Tentigintis by hand or with a lancet, and cut into it: and not to make a final cut, especially at the deep root: lest there be a flow of blood.
Deinde cura ipsam curatione uulnerum, donec sanetur.	Then treat this cure with the treatment of wounds, until it is healed.
Caro autem orta, est caro quae nascitur in orificio matricis, donec impleat ipsum: et fortasse egreditur ad exteriora secundum similitudinem caudae: et propter illud quidam primi nominant aegritudinem caudatam.	The flesh is cut open, which is the flesh that is born in the maternal orifice, until it fills it: and perhaps comes out to the exterior according to the shape of the tail: and for this reason some call it a condition of the tail.
Oportet ergo ut incidamus eam sicut incidimus Tentiginem, et curemus eam, donec sanetur.	You must therefore cut her as we cut a wart, and treat her, until she is healed.
¶ De cura Alratica, quae est uulua mulieris non perforata.	On the treatment of the Al-Resi warts, which are unperforated vulvas in women.
Caput LXXII.	Chapter LXXII.
Alratica est, ut sit uulua mulieris non perforata, aut sit foramen paruum.	The Al-Resi is, as if it were an unperforated vulva in a woman, or a small hole.
Et est aut naturalis, aut accidentalis.	And it can be either natural or acquired.
Accidentalis est ex aegritudine quae praecessit: et ipsa quidem fit aut ex carne nata addita, aut sifach subtili, aut spisso: et fit aut in profundo matricis, aut in lateribus eius, aut in superiore ipsius, aut inferiori eius: et prohibet a coitu et impregnatione, et partu, et fortasse prohibet menstrua.	Accidentalis is caused by an existing disease, and it itself arises either from the added flesh or from a small thread, or a point: and it forms either at a deep spot in the matrix, or in its sides, or above it, or below it. It prevents sexual intercourse and conception, childbirth, and perhaps menstruation as well.
Et cognitio illius fit per aspectum obstetricis, si opilatio est apparens propinqua.	And knowledge of this is obtained by the appearance of obstetrics, if it seems close to the eyelid.
Si autem non est apparens, tunc quaere eam digitis tuis, aut cum radio.	If, however, it is not apparent, then seek it with your fingers, or with a stick.
Si autem opilatio est ex sifach subtili, et est propinqua duobus labiis: tunc propera, et disrumpe ipsam.	If, however, the eyelid is split from a small scratch beneath the lower lid: then cut it open, and tear it apart.
Et est, ut ponas super duo labia puluillos.	And it is as if you put two wool pads.
Deinde pone indices tuos duarum manuum simul, et mulier sit super dorsum suum expansis cruribus suis.	Then place your fingers on both sides of the hands together, and have the woman lie on her back with her legs stretched out.
Deinde extende duo labia cum fortitudine, donec disrumpatur sifach subtile, et aperiatur opilatio.	Then stretch out both eyelids with force, until the small scratch is torn and the eyelid opens.
Deinde accipe lanam, et imbibe eam in oleo, et pone ipsam super locum: et coeat mulier omni die, ut non consolidetur locus uice alia.	Then take the wool and soak it in oil, and place it on that spot. And cook the woman every day, so that the place does not heal by another means.
Si autem sifach est grossum, spissum: tunc oportet ut seces ipsum cum spatumili lato simili folio myrti.	If the scratch is thick and dense, then you must cut it open with a scissor resembling a broad-leafed myrtle leaf.
Si autem opilatio est ex carne nata, tunc suspende eam cum uncinis, et incide eam: et sint tecum medicinae quae fluxum sedant sanguinis absque mordicatione, sicut acacia, et sanguis draconis, et thus aggregatum cum albugine oui.	If the eyelid is made of flesh that has come out, then suspend it with a thread and cut it: and have you the medicinals which will stop the flow of blood without cutting, such as acacia, and dragon's blood, and this mixture combined with alum.
Deinde administra cannulam ex plumbo amplam, ut non consolidetur uulnus uelociter, teneat eam diebus aliquot: et administra licinium ex lino sicco, deinde curetur reliqua curatione, donec sanetur.	Then administer a large syringe made of lead, so that the wound does not heal quickly, and hold it in for several days: and then administer licorice from dry linen, thereafter complete the treatment until healing takes place.
Et quandoque nasciur in matrice natiuitas carnium aliarum: oportet ergo ut incidantur secundum hunc modum: dum non est apostema cancerosum apostemati enim canceroso quod est in matrice, non fiat contrarietas cum ferro omnino.	And when they are born with other flesh's flesh, it is therefore necessary that they be cut according to this method: because there is no cancer of the cord, for a cancerous condition does not exist in the womb, let there be no opposition with iron altogether.
¶ De cura hemorroidarum, Athehelil, et Bothor rubeae in uuluis mulierum.	On the care of hemorrhoids, Athelhel, and the reddening of Butor's warts in women.
Caput LXXIII.	Chapter 73
Hemorroides quidem sunt apertio orificiorum uenarum, donec currit ex eis sanguis multus assidue.	Hemorrhoids are indeed the opening of the veins, until blood flows abundantly out of them.
Cum ergo antiquantur hemorroides, fiunt thelil: et iam dixi in diuisione species earum, et signa ipsarum: et dicam hic quae ex eis recipiunt curationem, et quae non.	When therefore hemorrhoids constrict, they become thickened: and I have already said in the division of their kinds, and the signs of them: and I shall say here what receives cure from them, and what does not.
Dico ergo, quod hemorroides quae sunt in orificio matricis, et non apparent sensui: tunc non est ei curatio cum ferro.	I therefore say that hemorrhoids which are in the orifice of the matrix and do not appear to the sense, then there is no cure with iron.
Quae autem ex eis sunt in orificio matricis super quas cadit sensus, sunt quae curantur.	Those which are from them that fall on the matrix over which sense falls can be cured.
Oportet ergo ut intromittas mulierem in domum frigidam.	It is therefore necessary to admit a woman into a cold house.
Deinde extende athehelil cum forficibus, aut cum panno aspero, et incide eas ex radicibus suis.	Then extend Athelhel with his ligatures or rough cloth, and strike them out from their roots.
Deinde pulueriza super eas apud fluxum sanguinis ex uno puluerum incisiuorum absque mordificatione: sicut acacia, et sanguis draconis, et thus, et similia eis.	Then sprinkle over them near the flow of blood from one of their scraped incisions without mutilation, such as acacia and dragon's blood and such like them.
Deinde impellat pedes eius ad parietem hora una.	Then cause her to push one foot against the wall for an hour.
Postea depone eam in aquam frigidam.	Afterwards put her in a cold water.
Quod si perseuerat fluxus sanguinis: tunc fac eam sedere in decoctione sumach, et corticum granatorum, et gallarum, et similium.	If the flow of blood has persisted: then make her sit on a decoction of sumach, and granated comfrey, and galls, and like.
Deinde accipe farinam hordei, et confice eam cum melle et aceto, et fac emplastrum cum eo super dorsum eius.	Then take the meal of barley and mix it with honey and vinegar, and make an ointment from it on her back.
Si ergo abscinditur sanguis cum eo, bonum est: et si non, fac adhaerere dorso uentosas, et mammillis, absque scarificatione.	If therefore blood is cut with it, this is good; and if not, make a binding on the back with wens, and nipples, without scarification.
Deinde accipe lanam, et submerge in succo tarathit, aut succo arnoglossae, aut succo ramorum alaulat, id est, aglanter, uino pontico, et fac adhaerere loeo.	Then take wool and immerse it in the juice of tartar, or the juice of arnoglossum, or the juice of glanum, that is, alaula, with Pontic wine, and make a binding on the heel.
Cum ergo quiescit apostema, tunc cura locum cum unguentis, donec sanetur.	When therefore the swelling subsides, then cure the place with ointments, until it is healed.
Albarth uero rubeum est simile capitibus alhaasse, et est asperi aspectus.	Albucasis's skin was rough like the head of an ass, and had a rough appearance.
Oportet ergo ut incidas quod apparet ex eo, secundum quod dixi in thelil aequaliter: et cura ipsum, donec sanetur.	It is therefore necessary to make an incision that appears from it, as I said earlier, equally; and treat the same, until it is healed.
¶ De perforatione Exiturae quae accidit in matrice.	On the peritonitis that occurs in the matrix.
Caput LXXIIII.	Head LXXIV.
Accidunt in matrice species multae apostematum, sicut cancer, et apostema lapideum, et ulcera, et adubelati, et alekilati, id est, herpes, aestiomemus, et fistulae, et hemorroides, et ragadiae, et thelil, et apostema calidum.	Many species occur in the matrix, such as tumors, stone cysts, ulcers, scabs, and herpetic ulcers, painful swellings, fistulas, hemorrhoids, warts, and boils, and hot swellings.
Et ego quidem iam dixi omnes has aegritudines et species earum, et signa ipsarum, et earum curationes in diuisione: necesse est ut dicam in hoc tractatu apostema calidum quod accidit in matrice, quando est ex apostematibus quae colligunt saniem, et uis scire qualiter fit eius apertio cum ferro.	And I have already said all these diseases and their kinds, and the signs of them, and their treatments divided: it is necessary that I say in this treatise about the hot swelling that occurs in the matrix, which happens from swellings that collect pus, and how to know by its opening with iron.
Oportet ergo ut consideres.	It is therefore necessary to consider.
Tunc si dolor apostematis in incaeptione sua est acutus cum percussione sua, et flamma, et febre: et uides ipsum rubere: si cadit super ipsum sensus, tunc non properes cum perforatione eius: et cura ipsum cum eo eo quod iuuat super maturationem, donec quando quiescat acuitas accidentium.	Then if the pain of the swelling in its onset is sharp with percussion, and inflammation, and fever; and you see it to be red, if anything falls on top of it, then do not wait for perforation of it: treat it with it as it suits the healing of the matrix, until when the sharpness of the accidents subsides.
Tunc oportet ut facias sedere mulierem super sedem quae labeat duo sedilia, et reclinetur, uel appodietur super dorsum suum, et aggreget pedes suos ad partem inferiorem uentris: et sint coxae eius expansae, et ponat brachia sua sub genibus suis, et liget utraque ligamento conueniente ad illud.	Then you must make the woman sit on a bench that is over two benches, and she reclines or it is placed over her back, and her feet are brought to the lower part of her belly: and her hips should be stretched out, and she places her arms under her breasts, and ties both with the ligament suitable for that.
Deinde sedeat obstetrix a latere dextro, et administra instrumentum quo aperitur orificium matricis.	Then the woman-birther sits on the right side, and she administers the instrument by which the aperture of the uterus is opened.
Cuius forma uenit in eis quae sunt post.	Whose form comes to them that are posterior.
Et oportet quando uis administrare hoc instrumentum, ut figas cum Radio profundum matricis mulieris: ut non sit illud quod ingreditur ex instrumento plus, quam profundum matricis, et laedat infirmam.	And it is necessary when you administer this instrument, to tie with cord the uterus of a woman, so that it may not enter by the instrument more than the depth of the uterus, and injure the weak one.
Si autem fuerit instrumentum magis quam profundum, tunc oportet ut ponas puluillos super tecturam profundi matricis: ut prohibeatur introitus instrumenti totius in profundum matricis: et oportet ut ponat uertiginem, quae currit in instrumento, ex latere superiore: et ut teneat instrumentum, et ut reuoluat minister uertiginem, donec aperiatur profundum matricis.	If however the instrument is more than the depth, then you must put wool over the covering of the depth of the uterus: so that the entrance of the entire instrument may be prohibited in the depth of the uterus: and you must place the vertebra, which runs on the upper side of the instrument, so that it holds the instrument and turns the vertebra, until the depth of the uterus is opened.
Cum ergo apparet Exitura, et tangitur manu, et est lenis et mollis: tunc oportet ut seces ipsam apud caput suum cum spatumili lato.	When therefore the opening appears and is touched with one's hand, and it is soft and smooth: then you must cut the same off at its head with a saw.
Cum ergo euacuatur sanies, tunc oportet ut ponas in uulnus licinium submersum in oleo rosaceo: aut oleo uiridi, in quo sit quaedam stipticitas: et pone licinium, et extrahe sectionem in profundo matricis.	When therefore the discharge is evacuated, then you must put on a ligature, submerged in rose oil or green oil, in which there is some congealing: and place the ligature, and draw out the section from the depth of the uterus.
Et pone exterius super matricem, et super pectinem lanam mundam submersam in aqua, in qua bullitae sunt maluae.	And place it outside over the uterus, and over the clean wool covering submerged in water, in which bolls are boiled.
Deinde curetur post duos dies cum unguento quod conuenit ad illud, donec sanetur.	And afterwards it is treated with an ointment that is suitable for it, until it heals.
Et quandoque abluitur matrix et uulnus, ita quod clisterizatur cum aqua et melle: deinde cum aqua in qua bullita est radix lilii, aut aristolochia longa: deinde redeat ad unguentum.	And when the matrix and wound are cleaned, so that a poultice is applied with water and honey: then with water in which the root of the mallow or long Aristolochia has been boiled: then it returns to the ointment.
Quod si uulnus absconditum fuerit interius in matrice, tunc oportet ut prohibearis ex curatione eius cum ferro, imo cura ipsum cum eo quod diximus in diuisione.	But if the wound is hidden within the matrix, then you must avoid treating it with iron or, indeed, treat it as we said in the division.
¶ Doctrinae Obstetricum, qualiter medicentur embriones uiui, secundum figuram non naturalem egressi.	On the Doctrine of Childbirth, how they are treated for living embryos, following an unnatural form.
Caput Lxxu.	Head LXII.
Necesse est Obstetrici, ut cognoscat in primis figuram partus naturalis.	It is necessary for the obstetrician to first recognize the natural form of childbirth.
Ex signis ergo eius est, quod quando uides mulierem comprimi ad inferiora, et desiderat odorare aerem, et alleuiatur super eam quod super ipsam est de partu, et festinat exitus embrionis: tunc scias quod iste partus est secundum figuram naturalem, et est exitus eius super caput suum, et secundina cum eo: aut suspensa, uel pendens ex umbilico.	From these signs, therefore, you will know that when you see a woman compressed towards the lower parts, and she desires to smell the air, and is relieved above her where there is labor of birth, and hastens the exit of the embryo: then you will know that this delivery is according to the natural form, and it is the head coming out over its own, and in turn with it: or suspended, hanging from the navel.
Cum ergo uides haec signa, tunc oportet ut comprimatur uenter eius, ut descendat embrio uelociter.	So when you see these signs, then it is necessary that the navel of hers be compressed, so that the embryo descends quickly.
Nam quando descendit super caput suum, descendit secundina cum eo, et mundatur ex illis superfluitatibus mundificatione bona.	For when it descends over its head, the afterbirth follows with it, and is cleansed of those superfluous things by good purification.
Qui autem est praeter hunc partum, est innaturalis, illaudabilis.	But whatever is outside this birth is unnatural and shameful.
Quoniam quandoque egreditur foetus super pedes suos, et egreditur corpus eius ante caput ipsius, et pedes eius, et manus eius una, aut pes eius unus: aut egreditur caput eius et manus eius: aut egreditur uentrinus: et fortasse conuertitur super collum suum, et similia ex figuris illaudabilibus.	For sometimes the fetus emerges over its feet, and its body emerges before its head, and its feet and hands one by one: or its head and hand emerge: or its abdomen emerges: and perhaps it turns on to its neck, and similar things from unnatural forms.
Necesse est ergo Obstetrici, ut sit prudens, subtilis in istis rebus omnibus, et caueat sibi ab errore et decaeptione: et ego sum ostendens omnem figuram ex eis, et qualiter est ingenium in ea, et significetur per illud, et stetur super ipsum.	It is necessary therefore for the obstetrician to be prudent and subtle in all these matters, and to beware of error and folly: and I am showing all forms from them, and how the mind is disposed towards it, and signifying it through this very thing, and setting it upon it.
Quando egreditur foetus super caput suum egressione sua naturali, et uehemens fit illud super mulierem, et difficilis fit ei partus, et uides uirtutem eius iam debilitatam: tunc fac eam sedere super sedem, aut mulieres teneant eam: et uapora uuluam eius cum foenugraeco decocto, et cum oleis humidis.	When the fetus emerges over its head through natural expulsion, and that woman is troubled by it, and giving birth is difficult for her, and you see the virtue of hers already weakened: then seat her on a stool, or hold her tightly by women; and pour down upon her the woolly vapour of the fenugreek decocted, and with moist olive oil.
Deinde intromittat Obstetrix inter digitos suos Spatumile paruum, et findat cum eo secundinam, et secet eam ungue suo, donec currat quod est in ea ex humiditate: et preme uentrem mulieris, donec descendat foetus.	Then the obstetrician shall insert a small instrument, called sponula, between her fingers, and feel with it secondly, and prick it with her nail until it flows out from within her with moisture: and press upon the woman's abdomen until the fetus descends.
Si autem non descendit, tunc oportet ut clisterizetur mulier ex mucillagine foenugraeci, cum oleo sisamino.	If it does not descend, then it is necessary that the woman be treated with a dressing made of fenugreek mucilage, mixed with sasa oil.
Deinde praecipe ei post clistere, ut comprimatur: et fac eam sternutare cum condisi, et tene os eius et nasum ipsius hora una.	Then prescribe for her afterwards that she be compressed, so that it is compacted: and have her spit on her compresses with honey, and tie up her jaws and nose at the same hour.
Foetus enim egredietur statim.	For the fetus will immediately emerge.
Quod si egrediantur duae manus foetus in primis, iunc oportet ut reducas eas cum facilitate paulatim.	If two hands of the fetus emerge first, it is necessary that you reduce them with ease and graduality.
Si autem non obedit in introitu, tunc pone mulierem super sedem, et eleua pedes eius sursum: deinde concute sedem super terram: et mulier teneatur, ut non cadat apud concussionem.	If it does not obey at the entrance, then place the woman on a stool, and raise her legs upwards: then strike the stool upon the earth: and hold the woman tightly, so that she will not fall at the concussion.
Si ergo non egrediuntur manus, et moritur foetus: tunc incide eas, et extrahe residuum foetus: et liga manum eius cum panno, et extrahe ipsum cum aequalitate: nam ipse egredietur.	If however the hands do not emerge and the fetus dies, then cut them open and extract the remaining fetus: and bind its hand with a cloth, and extract it with evenness: for he himself will emerge.
¶ Exitus embrionis super pedes suo.	The outcome of the fetus over its foot.
Quando egreditur foetus super pedes suos, tunc oportet ut impellat eos sursum: deinde conuertat foetum paulatim: postea aequet ipsum.	When the fetus emerges over its own feet, then it is necessary that they push them upwards: afterwards the fetus gradually changes direction: finally it equilibrates itself.
Deinde accipiat unum pedum eius, et extendat eum paulatim.	Then take one of its feet and stretch it out gradually.
Cum ergo egrediuntur usque ad coxas, tunc praecipe ei, ut comprimatur, et fac eam sternutare cum condisi: egredietur enim, si Deus uoluerit.	When therefore they go down to the hips, then order that it be compressed and have a compression made with a cushion: for it will come out if God wills.
Et si non egreditur cum eo quod narrauimus, tunc reduc foetum paulatim, donec ponas eum secundum figuram naturalem.	And if it does not come out as we have narrated, then reduce the fetus gradually until you place it in the natural form.
Nam ipse egredietur tunc egressu facili.	For when he comes out with ease.
Quod si prohibeatur cum eo toto quod narrauimus: tunc accipe ex mucillagine alteae, et oleo sisamino, et gummi soluto: et percute totum in mortario percussione bona: deinde line cum eo uuluam mulieris, et inferius uentris eius.	But if it is prohibited with him as we have narrated: then take from the albumen of the bird and oil sesame, and gum unctuous, and strike all over with good mortar pounding: afterwards put a linen strip on it, and below the belly of hers.
Deinde fac eam sedere in aqua tepida, donec consequatur hypocundria.	Then make it sit in warm water until it gets a temperature.
Cum ergo uides quod iam calefacta sunt inferiora eius, tunc fac ei sief de myrrha: et suppone ipsum.	When therefore you see that the lower parts are already warm, then make it sit on myrrh: and put it upon itself.
Quando ergo tenet sief hora una, tunc fac eam sedere super sedem.	When therefore it holds steady for one hour, then make it sit on a bed.
Deinde fac eam sternutare: et stringe ipsius os et nasum: et preme inferiorem partem uentris compressione facili.	Then make it stifle: and tie its own nose and mouth: and press the lower part of its belly gently.
Nam foeus egredietur statim.	For the heat will come out immediately.
¶ Exitus foetus super genua et manus.	The outcome of the fetus over the knee and hand.
Quando egreditur secundum hanc formam, tunc ingeniet in intromittendo manus suas paulatim.	When he emerges in this form, then he should gradually insert his hands into it.
Deinde resupinetur mulier super collum suum, et pendeant pedes eius ad inferiora: et ipsa sit iacens super lectum, et complicet manus suas.	Then the woman is laid upon her back over her neck, and her feet hang down to the lower parts: and she lies lying upon a couch, and covers herself with her hands.
Deinde preme supra uentrem eius paulatim.	Then he presses above her chest gradually.
Deinde extrahe quod est sub pedibus eius ex puluinaribus, donec sit praeparata in inferiori parte.	Then he removes what is under her feet from the armpits until it is prepared at the lower part.
Quod si non egreditur foetus, tunc accipe pedes eius, et moue eos motu uehementi.	If the fetus does not emerge, then take her feet and move them with a great movement.
